# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.289
metadata : {}


# id : NWRW1800000048.289.1.1
11일부터 군포 헌책방 축제

11일부터	11/SN+일/NNB+부터/JX
꿈꾼다.	꿈꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.6.3
이런 꿈이 낯설지 않은 것은 주민 10명 중 8명이 도서관 회원에 가입할 만큼 책에 대한 관심과 참여가 많기 때문이다.

이런	이런/MMD
꿈이	꿈/NNG+이/JKS
낯설지	낯설/VA+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
주민	주민/NNG
10명	10/SN+명/NNB
중	중/NNB
8명이	8/SN+명/NNB+이/JKS
도서관	도서관/NNG
회원에	회원/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
책에	책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
참여가	참여/NNG+가/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.289.7.1
올해 군포 주민들은 직접 11개 동별로 헌책방 부스를 운영할 예정이다.

올해	올해/NNG
군포	군포/NNP
주민들은	주민/NNG+들/XSN+은/JX
직접	직접/MAG
11개	11/SN+개/NNB
동별로	동/NNG+별/XSN+로/JKB
헌책방	헌책방/NNG
부스를	부스/NNG+를/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.289.7.2
한번 읽고 집에 묵혀뒀던 책들을 가져와 팔거나 교환한다.

한번	한/MMN+번/NNB
읽고	읽/VV+고/EC
집에	집/NNG+에/JKB
묵혀뒀던	묵히/VV+어/EC+두/VX+었/EP+던/ETM
책들을	책/NNG+들/XSN+을/JKO
가져와	가져오/VV+아/EC
팔거나	팔/VV+거나/EC
교환한다.	교환/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.7.3
판매 수익금은 군포시 장학재단에 기증된다.

판매	판매/NNG
수익금은	수익금/NNG+은/JX
군포시	군포시/NNP
장학재단에	장학/NNG+재단/NNG+에/JKB
기증된다.	기증/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.8.1
‘책 우물’은 시민들이 책을 기증하는 곳으로, 기증된 책들은 군포시내 북카페 6곳에 보내진다.

‘책	‘/SS+책/NNG
우물’은	우물/NNG+’/SS+은/JX
시민들이	시민/NNG+들/XSN+이/JKS
책을	책/NNG+을/JKO
기증하는	기증/NNG+하/XSV+는/ETM
곳으로,	곳/NNG+으로/JKB+,/SP
기증된	기증/NNG+되/XSV+ㄴ/ETM
책들은	책/NNG+들/XSN+은/JX
군포시내	군포시/NNP+내/NNB
북카페	북카페/NNG
6곳에	6/SN+곳/NNG+에/JKB
보내진다.	보내/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.289.8.2
군포시에서 활동중인 독서동아리 3곳과 중고서적 판매점 5곳 등이 참여하는 헌책방 부스도 열린다.

군포시에서	군포시/NNP+에서/JKB
활동중인	활동/NNG+중/NNB+이/VCP+ㄴ/ETM
독서동아리	독서/NNG+동아리/NNG
3곳과	3/SN+곳/NNG+과/JC
중고서적	중고/NNG+서적/NNG
판매점	판매점/NNG
5곳	5/SN+곳/NNG
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
헌책방	헌책방/NNG
부스도	부스/NNG+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.9.1
독서 관련 행사들도 다채롭다.

독서	독서/NNG
관련	관련/NNG
행사들도	행사/NNG+들/XSN+도/JX
다채롭다.	다채롭/VA+다/EF+./SF


# id : NWRW1800000048.289.9.2
12일에는 김용택 시인과 고정욱, 엄도경 작가의 강연, ‘헤이온와이’를 일궈낸 영국의 리처드 부스의 강연이 열린다.

12일에는	12/SN+일/NNB+에/JKB+는/JX
김용택	김용택/NNP
시인과	시인/NNG+과/JC
고정욱,	고정욱/NNP+,/SP
엄도경	엄도경/NNP
작가의	작가/NNG+의/JKG
강연,	강연/NNG+,/SP
‘헤이온와이’를	‘/SS+헤이온와이/NNP+’/SS+를/JKO
일궈낸	일구/VV+어/EC+내/VX+ㄴ/ETM
영국의	영국/NNP+의/JKG
리처드	리처드/NNP
부스의	부스/NNP+의/JKG
강연이	강연/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.9.3
각종 공연과 심포지엄, 만화책 전시, 어린이들의 책 체험 활동도 펼쳐진다.

각종	각종/NNG
공연과	공연/NNG+과/JC
심포지엄,	심포지엄/NNG+,/SP
만화책	만화책/NNG
전시,	전시/NNG+,/SP
어린이들의	어린이/NNG+들/XSN+의/JKG
책	책/NNG
체험	체험/NNG
활동도	활동/NNG+도/JX
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.289.10.1
군포시 김덕희 책읽는사업본부장은 “집에서 잠자는 헌책을 순환시켜 자발적인 독서문화를 만들고 이를 바탕으로 군포의 헌책방 축제를 한국의 대표적 책 축제로 키워나가겠다”고 말했다.

군포시	군포시/NNP
김덕희	김덕희/NNP
책읽는사업본부장은	책/NNG+읽/VV+는/ETM+사업/NNG+본부장/NNG+은/JX
“집에서	“/SS+집/NNG+에서/JKB
잠자는	잠자/VV+는/ETM
헌책을	헌책/NNG+을/JKO
순환시켜	순환/NNG+시키/XSV+어/EC
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
독서문화를	독서/NNG+문화/NNG+를/JKO
만들고	만들/VV+고/EC
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
군포의	군포/NNP+의/JKG
헌책방	헌책방/NNG
축제를	축제/NNG+를/JKO
한국의	한국/NNP+의/JKG
대표적	대표/NNG+적/XSN
책	책/NNG
축제로	축제/NNG+로/JKB
키워나가겠다”고	키우/VV+어/EC+나가/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


