# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.183
metadata : {}


# id : NWRW1800000025.183.1.1
춤추는 위안화 환율

춤추는	춤추/VV+는/ETM
이에 앞서 중국 중앙은행인 런민(人民)은행은 이날 오전 위안화의 대미 달러 기준 환율을 2005년 7월 복수통화바스켓제도로 바꾼 뒤 5년 만에 최저치인 6.7980위안으로 고시해 중국 정부가 본격적인 위안화 절상을 위한 구체적인 행동에 들어간 것 아니냐는 분석이 한때 나돌기도 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
중국	중국/NNP
중앙은행인	중앙은행/NNG+이/VCP+ㄴ/ETM
런민(人民)은행은	런민/NNP+(/SS+人民/SH+)/SS+은행/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
위안화의	위안화/NNG+의/JKG
대미	대미/NNG
달러	달러/NNG
기준	기준/NNG
환율을	환율/NNG+을/JKO
2005년	2005/SN+년/NNB
7월	7/SN+월/NNB
복수통화바스켓제도로	복수/NNG+통화/NNG+바스켓/NNG+제도/NNG+로/JKB
바꾼	바꾸/VV+ㄴ/ETM
뒤	뒤/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
최저치인	최저/NNG+치/XSN+이/VCP+ㄴ/ETM
6.7980위안으로	6/SN+./SP+7980/SN+위안/NNB+으로/JKB
고시해	고시/NNG+하/XSV+아/EC
정부가	정부/NNG+가/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
위안화	위안화/NNG
절상을	절상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
행동에	행동/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
한때	한때/MAG
나돌기도	나돌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.183.6.1
○ 중국 당국 ‘보이지 않는 손’ 작용한 듯

○	○/SW
중국	중국/NNP
당국	당국/NNG
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’	손/NNG+’/SS
작용한	작용/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000025.183.7.1
위안화 환율의 이 같은 급반등은 중국 당국의 ‘보이지 않는 손’이 개입했기 때문일 가능성이 높은 것으로 전문가들은 보고 있다.

위안화	위안화/NNG
환율의	환율/NNG+의/JKG
이	이/NP
같은	같/VA+은/ETM
급반등은	급반등/NNG+은/JX
중국	중국/NNP
당국의	당국/NNG+의/JKG
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’이	손/NNG+’/SS+이/JKS
개입했기	개입/NNG+하/XSV+았/EP+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.183.7.2
중국 당국은 20일 “급격한 환율 변동은 (중국의) 근본 이익에 반하기 때문에 합리적이고 안정적인 환율 관리를 하겠다”고 밝힌 바 있다.

중국	중국/NNP
당국은	당국/NNG+은/JX
20일	20/SN+일/NNB
“급격한	“/SS+급격하/VA+ㄴ/ETM
환율	환율/NNG
변동은	변동/NNG+은/JX
(중국의)	(/SS+중국/NNP+의/JKG+)/SS
근본	근본/NNG
이익에	이익/NNG+에/JKB
반하기	반하/VV+기/ETN
때문에	때문/NNB+에/JKB
합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
관리를	관리/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.183.8.1
한 금융업계 관계자는 “중국 당국이 환율을 관리하는 수단은 기준 환율을 고시하고 하루 변동폭(0.5%) 내에서만 움직이도록 하는 것이 가장 대표적이지만 은행이나 대형 국유기업 등에 달러 매도를 자제토록 하는 등 ‘창구 관리’도 매우 강력하다”고 말했다.

한	한/MMN
금융업계	금융업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“중국	“/SS+중국/NNP
당국이	당국/NNG+이/JKS
환율을	환율/NNG+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
수단은	수단/NNG+은/JX
기준	기준/NNG
고시하고	고시/NNG+하/XSV+고/EC
하루	하루/NNG
변동폭(0.5%)	변동/NNG+폭/NNG+(/SS+0/SN+./SP+5/SN+%/SW+)/SS
내에서만	내/NNB+에서/JKB+만/JX
움직이도록	움직이/VV+도록/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
대표적이지만	대표/NNG+적/XSN+이/VCP+지만/EC
은행이나	은행/NNG+이나/JC
대형	대형/NNG
국유기업	국유/NNG+기업/NNG
등에	등/NNB+에/JKB
달러	달러/NNG
매도를	매도/NNG+를/JKO
자제토록	자제/NNG+하/XSV+도록/EC
등	등/NNB
‘창구	‘/SS+창구/NNG
관리’도	관리/NNG+’/SS+도/JX
매우	매우/MAG
강력하다”고	강력/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.8.2
이 관계자는 또 “중국이 보유한 막대한 외환(3월 현재 2조4470억 달러)으로 시장에 개입해 당국이 원하는 수준으로 벗어나지 않도록 위안화 절상에 제동을 걸었을 수도 있다”고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
또	또/MAG
“중국이	“/SS+중국/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
막대한	막대하/VA+ㄴ/ETM
외환(3월	외환/NNG+(/SS+3/SN+월/NNB
현재	현재/MAG
2조4470억	2/SN+조/NR+4470/SN+억/NR
달러)으로	달러/NNB+)/SS+으로/JKB
시장에	시장/NNG+에/JKB
개입해	개입/NNG+하/XSV+아/EC
당국이	당국/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
수준으로	수준/NNG+으로/JKB
벗어나지	벗어나/VV+지/EC
않도록	않/VX+도록/EC
위안화	위안화/NNG
절상에	절상/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸었을	걸/VV+었/EP+을/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.9.1
다른 전문가는 “일반적으로 서방에서는 시장 메커니즘이 가격 결정의 ‘보이지 않는 손’이지만 중국에서는 ‘당국의 보이지 않는 손’이 있다는 것이 정설”이라고 덧붙였다.

다른	다른/MMD
전문가는	전문가/NNG+는/JX
“일반적으로	“/SS+일반/NNG+적/XSN+으로/JKB
서방에서는	서방/NNG+에서/JKB+는/JX
시장	시장/NNG
메커니즘이	메커니즘/NNG+이/JKS
가격	가격/NNG
결정의	결정/NNG+의/JKG
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’이지만	손/NNG+’/SS+이/VCP+지만/EC
중국에서는	중국/NNP+에서/JKB+는/JX
‘당국의	‘/SS+당국/NNG+의/JKG
보이지	보이/VV+지/EC
손’이	손/NNG+’/SS+이/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
정설”이라고	정설/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.183.10.1
○ 장기 추세는 여전히 위안화 절상

○	○/SW
장기	장기/NNG
추세는	추세/NNG+는/JX
여전히	여전히/MAG
위안화	위안화/NNG
절상	절상/NNG


# id : NWRW1800000025.183.11.1
하지만 중국 당국의 영향을 받지 않는 역외 선물시장에서는 여전히 위안화의 환율이 내릴 것으로 예상하고 떨어지는 추세가 계속되고 있다.

하지만	하지만/MAJ
중국	중국/NNP
당국의	당국/NNG+의/JKG
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
역외	역외/NNG
선물시장에서는	선물/NNG+시장/NNG+에서/JKB+는/JX
여전히	여전히/MAG
위안화의	위안화/NNG+의/JKG
환율이	환율/NNG+이/JKS
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
떨어지는	떨어지/VV+는/ETM
추세가	추세/NNG+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.183.11.2
블룸버그통신에 따르면 1년물 위안화 선물 환율은 18일 6.7090에서 21일 6.6415, 22일 6.6389로 줄곧 하락 추세를 이어갔다.

블룸버그통신에	블룸버그통신/NNP+에/JKB
따르면	따르/VV+면/EC
1년물	1/SN+년물/NNG
위안화	위안화/NNG
선물	선물/NNG
환율은	환율/NNG+은/JX
18일	18/SN+일/NNB
6.7090에서	6/SN+./SP+7090/SN+에서/JKB
21일	21/SN+일/NNB
6.6415,	6/SN+./SF+6415/SN+,/SP
22일	22/SN+일/NNB
6.6389로	6/SN+./SP+6389/SN+로/JKB
줄곧	줄곧/MAG
하락	하락/NNG
추세를	추세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.183.11.3
단기적으로는 위안화 환율이 상하로 요동을 치더라도 장기적으로 결국 위안화 절상 추세로 이어질 것이라는 믿음이 시장에 강하게 깔려 있다는 증거다.

단기적으로는	단기/NNG+적/XSN+으로/JKB+는/JX
위안화	위안화/NNG
환율이	환율/NNG+이/JKS
상하로	상하/NNG+로/JKB
요동을	요동/NNG+을/JKO
치더라도	치/VV+더라도/EC
장기적으로	장기/NNG+적/XSN+으로/JKB
결국	결국/NNG
절상	절상/NNG
추세로	추세/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
믿음이	믿음/NNG+이/JKS
시장에	시장/NNG+에/JKB
강하게	강하/VA+게/EC
깔려	깔리/VV+어/EC
있다는	있/VX+다는/ETM
증거다.	증거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.183.12.1
한편 21일 국제유가는 중국이 위안화 환율의 유동성을 높이겠다고 밝힌 영향으로 올랐다.

한편	한편/MAG
21일	21/SN+일/NNB
국제유가는	국제/NNG+유가/NNG+는/JX
중국이	중국/NNP+이/JKS
위안화	위안화/NNG
환율의	환율/NNG+의/JKG
유동성을	유동/NNG+성/XSN+을/JKO
높이겠다고	높이/VV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
영향으로	영향/NNG+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.12.2
이날 뉴욕상업거래소에서 7월 인도분 미국 서부 텍사스산 원유는 0.64달러(0.8%) 오른 배럴당 77.82달러에 거래를 마쳤다.

이날	이날/NNG
뉴욕상업거래소에서	뉴욕상업거래소/NNP+에서/JKB
7월	7/SN+월/NNB
인도분	인도/NNG+분/XSN
미국	미국/NNP
서부	서부/NNG
텍사스산	텍사스/NNP+산/XSN
원유는	원유/NNG+는/JX
0.64달러(0.8%)	0/SN+./SP+64/SN+달러/NNB+(/SS+0/SN+./SP+8/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
배럴당	배럴/NNG+당/XSN
77.82달러에	77/SN+./SP+82/SN+달러/NNB+에/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.183.12.3
유럽 증시도 중국 위안화 절상에 대한 기대감으로 9일 연속 상승세를 이어갔으나 뉴욕 증시는 위안화 절상 전망에 회의를 나타내며 하락세로 반전했다.

유럽	유럽/NNP
증시도	증시/NNG+도/JX
중국	중국/NNP
위안화	위안화/NNG
절상에	절상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
9일	9/SN+일/NNB
연속	연속/NNG
상승세를	상승세/NNG+를/JKO
이어갔으나	잇/VV+어/EC+가/VX+았/EP+으나/EC
뉴욕	뉴욕/NNP
증시는	증시/NNG+는/JX
절상	절상/NNG
전망에	전망/NNG+에/JKB
회의를	회의/NNG+를/JKO
나타내며	나타내/VV+며/EC
하락세로	하락세/NNG+로/JKB
반전했다.	반전/NNG+하/XSV+았/EP+다/EF+./SF


