# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.285
metadata : {}


# id : NWRW1800000022.285.1.1
中·대만 노트북PC 업체들 "한국 시장을 잡아라";에이서·레노버·아수스 등 싸고 좋은 넷북으로 도전 AS강화, 대대적 광고까지… 국산제품과 진검승부 예고

中·대만	中/SH+·/SP+대만/NNP
지난해 가장 먼저 한국에 진출한 아수스도 최신 모델인 'Eee PC HD 1101HA'를 한국에서 구입하더라도 세계 59개국에서 현지 서비스를 받도록 하는 프리미엄 서비스를 최근 시작했다.

지난해	지난해/NNG
가장	가장/MAG
먼저	먼저/MAG
한국에	한국/NNP+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
아수스도	아수스/NNP+도/JX
최신	최신/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
'Eee	'/SS+Eee/SL
PC	PC/SL
HD	HD/SL
1101HA'를	1101/SN+HA/SL+'/SS+를/JKO
한국에서	한국/NNP+에서/JKB
구입하더라도	구입/NNG+하/XSV+더라도/EC
세계	세계/NNG
59개국에서	59/SN+개국/NNB+에서/JKB
현지	현지/NNG
서비스를	서비스/NNG+를/JKO
받도록	받/VV+도록/EC
하는	하/VX+는/ETM
프리미엄	프리미엄/NNG
최근	최근/NNG
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.8.1
◆'싼 게 비지떡'은 옛말

◆'싼	◆/SW+'/SS+싸/VA+ㄴ/ETM
게	거/NNB+이/JKS
비지떡'은	비지떡/NNG+'/SS+은/JX
옛말	옛말/NNG


# id : NWRW1800000022.285.9.1
과거 대만·중국 제품들은 저렴한 가격을 내세웠다.

과거	과거/NNG
대만·중국	대만/NNP+·/SP+중국/NNP
제품들은	제품/NNG+들/XSN+은/JX
저렴한	저렴하/VA+ㄴ/ETM
가격을	가격/NNG+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.9.2
하지만 이들 업체가 선보인 신제품들은 삼성·LG 등 국산제품과 비슷한 성능이거나 추가 기능까지 탑재했다.

하지만	하지만/MAJ
이들	이/NP+들/XSN
업체가	업체/NNG+가/JKS
선보인	선보이/VV+ㄴ/ETM
신제품들은	신/XPN+제품/NNG+들/XSN+은/JX
삼성·LG	삼성/NNP+·/SP+LG/SL
등	등/NNB
국산제품과	국산/NNG+제품/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
성능이거나	성능/NNG+이/VCP+거나/EC
추가	추가/NNG
기능까지	기능/NNG+까지/JX
탑재했다.	탑재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.10.1
에이서가 다음 달 출시하는 넷북 '아스파이어 원 D250'은 국산 넷북(10인치)보다 큰 11.6인치 화면을 장착하고도 두께는 1인치에 무게도 1.11㎏에 불과하다.

에이서가	에이서/NNP+가/JKS
다음	다음/NNG
달	달/NNG
출시하는	출시/NNG+하/XSV+는/ETM
넷북	넷북/NNG
'아스파이어	'/SS+아스파이어/NNP
원	원/NNP
D250'은	D/SL+250/SN+'/SS+은/JX
국산	국산/NNG
넷북(10인치)보다	넷북/NNG+(/SS+10/SN+인치/NNB+)/SS+보다/JKB
큰	크/VA+ㄴ/ETM
11.6인치	11/SN+./SP+6/SN+인치/NNB
화면을	화면/NNG+을/JKO
장착하고도	장착/NNG+하/XSV+고/EC+도/JX
두께는	두께/NNG+는/JX
1인치에	1/SN+인치/NNB+에/JKB
무게도	무게/NNG+도/JX
1.11㎏에	1/SN+./SP+11/SN+㎏/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000022.285.10.2
그러면서도 가격은 70만원대 후반인 국내 제품보다 10% 정도 싸게 책정할 예정이다.

그러면서도	그러/VV+면서/EC+도/JX
가격은	가격/NNG+은/JX
70만원대	70/SN+만/NR+원/NNB+대/XSN
후반인	후반/NNG+이/VCP+ㄴ/ETM
국내	국내/NNG
제품보다	제품/NNG+보다/JKB
10%	10/SN+%/SW
정도	정도/NNG
싸게	싸/VA+게/EC
책정할	책정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.11.1
아수스의 'Eee PC HD 1101HA'는 한번 충전으로 최대 11시간30분을 이용하는 대용량 배터리를 탑재했다.

아수스의	아수스/NNP+의/JKG
'Eee	'/SS+Eee/SL
PC	PC/SL
HD	HD/SL
1101HA'는	1101/SN+HA/SL+'/SS+는/JX
한번	한/MMN+번/NNB
충전으로	충전/NNG+으로/JKB
최대	최대/NNG
11시간30분을	11/SN+시간/NNB+30/SN+분/NNB+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
대용량	대/XPN+용량/NNG
배터리를	배터리/NNG+를/JKO
탑재했다.	탑재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.11.2
기존 제품 중 최고 수준이다.

기존	기존/NNG
제품	제품/NNG
중	중/NNB
최고	최고/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.11.3
또 HD(고화질) 영상을 감상할 수 있는 11.6인치 화면을 장착하는 등 고급 사양을 갖추고도 가격은 69만9000원이다.

또	또/MAG
HD(고화질)	HD/SL+(/SS+고/XPN+화질/NNG+)/SS
영상을	영상/NNG+을/JKO
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
11.6인치	11/SN+./SP+6/SN+인치/NNB
화면을	화면/NNG+을/JKO
장착하는	장착/NNG+하/XSV+는/ETM
등	등/NNB
고급	고급/NNG
사양을	사양/NNG+을/JKO
갖추고도	갖추/VV+고도/EC
가격은	가격/NNG+은/JX
69만9000원이다.	69/SN+만/NR+9000/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.11.4
한달 만에 3000대가 팔렸다.

한달	한/MMN+달/NNB
만에	만/NNB+에/JKB
3000대가	3000/SN+대/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.11.5
레노버의 아이디어패드 역시 업무용 제품 '씽크패드'에 쓰이던 '데이터 복구' 기능을 탑재했다.

레노버의	레노버/NNP+의/JKG
아이디어패드	아이디어패드/NNP
역시	역시/MAG
업무용	업무/NNG+용/XSN
제품	제품/NNG
'씽크패드'에	'/SS+씽크패드/NNP+'/SS+에/JKB
쓰이던	쓰이/VV+던/ETM
'데이터	'/SS+데이터/NNG
복구'	복구/NNG+'/SS
기능을	기능/NNG+을/JKO
탑재했다.	탑재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.12.1
◆치열한 경쟁에 소비자는 함박웃음

◆치열한	◆/SW+치열/NNG+하/XSA+ㄴ/ETM
경쟁에	경쟁/NNG+에/JKB
소비자는	소비자/NNG+는/JX
함박웃음	함박웃음/NNG


# id : NWRW1800000022.285.13.1
시장 조사업체인 한국IDC에 따르면 올 상반기 국내에 판매된 노트북PC 100만대 가운데 20% 이상이 넷북이었다.

시장	시장/NNG
조사업체인	조사/NNG+업체/NNG+이/VCP+ㄴ/ETM
한국IDC에	한국IDC/NNP+에/JKB
따르면	따르/VV+면/EC
올	올/NNG
상반기	상반기/NNG
국내에	국내/NNG+에/JKB
판매된	판매/NNG+되/XSV+ㄴ/ETM
노트북PC	노트북/NNG+PC/SL
100만대	100/SN+만/NR+대/NNB
가운데	가운데/NNG
20%	20/SN+%/SW
이상이	이상/NNG+이/JKS
넷북이었다.	넷북/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.285.13.2
틈새시장 제품으로 여겨졌던 넷북이 어느새 전체 시장에 영향을 줄 정도로 성장한 것.

틈새시장	틈새시장/NNG
제품으로	제품/NNG+으로/JKB
여겨졌던	여기/VV+어/EC+지/VX+었/EP+던/ETM
넷북이	넷북/NNG+이/JKS
어느새	어느새/MAG
전체	전체/NNG
시장에	시장/NNG+에/JKB
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.285.14.1
하지만 국내 업체들은 넷북에 강한 중국·대만업체들의 진입에 자신 있다는 반응이다.

하지만	하지만/MAJ
국내	국내/NNG
업체들은	업체/NNG+들/XSN+은/JX
넷북에	넷북/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
중국·대만업체들의	중국/NNP+·/SP+대만/NNP+업체/NNG+들/XSN+의/JKG
진입에	진입/NNG+에/JKB
자신	자신/NNG
있다는	있/VA+다는/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.15.1
LG전자 HE(홈엔터테인먼트) 마케팅팀 이우경 상무는 "국내 업체들의 한발 빠른 고객 서비스는 여전히 중국 업체들이 넘기 어려운 장벽"이라며 "국내 소비자 입맛에 맞는 신제품들을 더 많이 선보이겠다"고 말했다.

LG전자	LG전자/NNP
HE(홈엔터테인먼트)	HE/SL+(/SS+홈엔터테인먼트/NNG+)/SS
마케팅팀	마케팅/NNG+팀/NNG
이우경	이우경/NNP
상무는	상무/NNG+는/JX
"국내	"/SS+국내/NNG
업체들의	업체/NNG+들/XSN+의/JKG
한발	한발/MAG
빠른	빠르/VA+ㄴ/ETM
고객	고객/NNG
서비스는	서비스/NNG+는/JX
여전히	여전히/MAG
중국	중국/NNP
업체들이	업체/NNG+들/XSN+이/JKS
넘기	넘/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
장벽"이라며	장벽/NNG+"/SS+이/VCP+라며/EC
소비자	소비자/NNG
입맛에	입맛/NNG+에/JKB
맞는	맞/VV+는/ETM
신제품들을	신/XPN+제품/NNG+들/XSN+을/JKO
더	더/MAG
많이	많이/MAG
선보이겠다"고	선보이/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.16.1
결과적으로 중국·대만 업체의 한국 시장 공략은 소비자의 선택권을 넓혀 가격 인하 등의 혜택으로 돌아올 전망이다.

결과적으로	결과/NNG+적/XSN+으로/JKB
중국·대만	중국/NNP+·/SP+대만/NNP
업체의	업체/NNG+의/JKG
한국	한국/NNP
시장	시장/NNG
공략은	공략/NNG+은/JX
소비자의	소비자/NNG+의/JKG
선택권을	선택/NNG+권/XSN+을/JKO
넓혀	넓히/VV+어/EC
가격	가격/NNG
인하	인하/NNG
등의	등/NNB+의/JKG
혜택으로	혜택/NNG+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.16.2
이미 하반기 대만산 넷북 신제품의 대거 출시가 예고되자 온라인 쇼핑몰 등에서는 기존 제품들의 가격이 최대 10% 인하된 가격에 거래되는 현상도 나타났다.

이미	이미/MAG
하반기	하반기/NNG
대만산	대만/NNP+산/XSN
넷북	넷북/NNG
신제품의	신/XPN+제품/NNG+의/JKG
대거	대거/MAG
출시가	출시/NNG+가/JKS
예고되자	예고/NNG+되/XSV+자/EC
온라인	온라인/NNG
쇼핑몰	쇼핑몰/NNG
등에서는	등/NNB+에서/JKB+는/JX
기존	기존/NNG
제품들의	제품/NNG+들/XSN+의/JKG
가격이	가격/NNG+이/JKS
최대	최대/NNG
10%	10/SN+%/SW
인하된	인하/NNG+되/XSV+ㄴ/ETM
가격에	가격/NNG+에/JKB
거래되는	거래/NNG+되/XSV+는/ETM
현상도	현상/NNG+도/JX
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.16.3
특히 넷북 업체들이 KT·SK텔레콤 등 통신사와 함께 통신 서비스와 넷북을 묶어 싼값에 공급하는 상품을 잇달아 선보이면서 소비자들의 부담을 덜어줄 전망이다.

특히	특히/MAG
넷북	넷북/NNG
업체들이	업체/NNG+들/XSN+이/JKS
KT·SK텔레콤	KT/SL+·/SP+SK텔레콤/NNP
등	등/NNB
통신사와	통신사/NNG+와/JKB
함께	함께/MAG
통신	통신/NNG
서비스와	서비스/NNG+와/JC
넷북을	넷북/NNG+을/JKO
묶어	묶/VV+어/EC
싼값에	싼값/NNG+에/JKB
공급하는	공급/NNG+하/XSV+는/ETM
상품을	상품/NNG+을/JKO
잇달아	잇달/VV+아/EC
선보이면서	선보이/VV+면서/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
부담을	부담/NNG+을/JKO
덜어줄	덜/VV+어/EC+주/VX+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


