# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.385
metadata : {}


# id : NWRW1800000040.385.1.1
통일장관의 부적절한 표현

통일장관의	통일/NNG+장관/NNG+의/JKG
비난하는데	비난/NNG+하/XSV+는데/EC
왜	왜/MAG
가만있느냐는	가만있/VV+느냐는/ETM
질책을	질책/NNG+을/JKO
의식해서일까?	의식/NNG+하/XSV+아서/EC+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000040.385.4.4
그의 말은 거침이 없었다.

그의	그/NP+의/JKG
말은	말/NNG+은/JX
거침이	거치/VV+ㅁ/ETN+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.385.5.1
그러나 북한의 막말이 그렇듯 표현이 거칠면 그가 애초에 전하고자 했던 뜻보다 그 말본새가 부각되는 법이다.

그러나	그러나/MAJ
북한의	북한/NNP+의/JKG
막말이	막말/NNG+이/JKS
그렇듯	그렇/VA+듯/EC
표현이	표현/NNG+이/JKS
거칠면	거칠/VA+면/EC
그가	그/NP+가/JKS
애초에	애초/NNG+에/JKB
전하고자	전하/VV+고자/EC
했던	하/VX+았/EP+던/ETM
뜻보다	뜻/NNG+보다/JKB
그	그/MMD
말본새가	말본새/NNG+가/JKS
부각되는	부각/NNG+되/XSV+는/ETM
법이다.	법/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.385.5.2
‘핫바지’, ‘엿먹어라’ 등등 감정적 표현들은 혹여 강연에서 분위기를 돋우기 위한 필요가 있다 해도 피했어야 할 말이다.

‘핫바지’,	‘/SS+핫바지/NNG+’/SS+,/SP
‘엿먹어라’	‘/SS+엿/NNG+먹/VV+어라/EF+’/SS
등등	등등/NNB
감정적	감정/NNG+적/XSN
표현들은	표현/NNG+들/XSN+은/JX
혹여	혹여/MAG
강연에서	강연/NNG+에서/JKB
분위기를	분위기/NNG+를/JKO
돋우기	돋우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
필요가	필요/NNG+가/JKS
있다	있/VA+다/EF
해도	하/VV+아도/EC
피했어야	피하/VV+았/EP+어야/EC
할	하/VX+ㄹ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.385.6.1
류 장관의 말을 거두절미해서 문제 삼자는 것은 아니다.

류	류/NNP
장관의	장관/NNG+의/JKG
말을	말/NNG+을/JKO
거두절미해서	거두절미/NNG+하/XSV+아서/EC
문제	문제/NNG
삼자는	삼/VV+자는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.385.6.2
그는 자신이 4월2일 개성공단을 남북관계의 ‘마중물’이라고 언급하며 개성공단의 중요성을 언급하자마자 바로 다음날 북한이 개성공단의 통행을 제한하는 조처를 취했다고 말했다.

그는	그/NP+는/JX
자신이	자신/NNG+이/JKS
4월2일	4/SN+월/NNB+2/SN+일/NNB
개성공단을	개성공단/NNP+을/JKO
남북관계의	남북/NNP+관계/NNG+의/JKG
‘마중물’이라고	‘/SS+마중물/NNG+’/SS+이라고/JKQ
언급하며	언급/NNG+하/XSV+며/EC
개성공단의	개성공단/NNP+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
언급하자마자	언급/NNG+하/XSV+자마자/EC
바로	바로/MAG
다음날	다음날/NNG
북한이	북한/NNP+이/JKS
통행을	통행/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
조처를	조처/NNG+를/JKO
취했다고	취하/VV+았/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.385.6.3
그리고 이를 “(북한이) 꼭 그렇게 하려는 건 아니었겠지만 이것은 마치 속된 말로 ‘통일부 엿먹어라’고 하는 식의 태도를 보인 것”이라고 했다.

그리고	그리고/MAJ
이를	이/NP+를/JKO
“(북한이)	“/SS+(/SS+북한/NNP+이/JKS+)/SS
꼭	꼭/MAG
그렇게	그렇/VA+게/EC
하려는	하/VV+려는/ETM
건	거/NNB+ㄴ/JX
아니었겠지만	아니/VCN+었/EP+겠/EP+지만/EC
이것은	이것/NP+은/JX
마치	마치/MAG
속된	속/NNG+되/XSA+ㄴ/ETM
말로	말/NNG+로/JKB
‘통일부	‘/SS+통일부/NNG
엿먹어라’고	엿/NNG+먹/VV+어라/EF+’/SS+고/JKQ
하는	하/VV+는/ETM
식의	식/NNB+의/JKG
태도를	태도/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.385.6.4
당혹감을 생생하게 전하려 했을지도 모른다.

당혹감을	당혹감/NNG+을/JKO
생생하게	생생하/VA+게/EC
전하려	전하/VV+려/EC
했을지도	하/VX+았/EP+을지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.385.6.5
그러나 류 장관 자신의 말처럼 그건 속된 말이다.

그러나	그러나/MAJ
류	류/NNP
장관	장관/NNG
자신의	자신/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
그건	그거/NP+ㄴ/JX
속된	속/NNG+되/XSA+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.385.7.1
그는 북한이 남북 당국간 대화를 거부한 채 6·15 공동행사를 제의하고, 기업인들의 방문은 허용하겠다고 한 데 대해서도 “북한은 과거에 늘 봐왔던, 관과 민을 분리시켜 스멀스멀 들어와서 문제를 어물쩍 넘기려는 태도를 보이고 있다”고 말했다.

그는	그/NP+는/JX
북한이	북한/NNP+이/JKS
남북	남북/NNP
당국간	당국/NNG+간/NNB
대화를	대화/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
채	채/NNB
6·15	6/SN+·/SP+15/SN
공동행사를	공동/NNG+행사/NNG+를/JKO
제의하고,	제의/NNG+하/XSV+고/EC+,/SP
기업인들의	기업인/NNG+들/XSN+의/JKG
방문은	방문/NNG+은/JX
허용하겠다고	허용/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
데	데/NNB
대해서도	대하/VV+아서/EC+도/JX
“북한은	“/SS+북한/NNP+은/JX
과거에	과거/NNG+에/JKB
늘	늘/MAG
봐왔던,	보/VV+아/EC+오/VX+았/EP+던/ETM+,/SP
관과	관/NNG+과/JKB
민을	민/NNG+을/JKO
분리시켜	분리/NNG+시키/XSV+어/EC
스멀스멀	스멀스멀/MAG
들어와서	들어오/VV+아서/EC
문제를	문제/NNG+를/JKO
어물쩍	어물쩍/MAG
넘기려는	넘기/VV+려는/ETM
태도를	태도/NNG+를/JKO
보이고	보이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.385.7.2
그러곤 북한이 “변화하는 모습을 보여주면서 수를 써야지 처음부터 노골적으로 (수를) 쓰면 우리를 ‘핫바지’로 보는 것 아니냐”고 반문했다.

그러곤	그러/VV+곤/EC
북한이	북한/NNP+이/JKS
“변화하는	“/SS+변화/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여주면서	보이/VV+어/EC+주/VX+면서/EC
수를	수/NNG+를/JKO
써야지	쓰/VV+어야지/EC
처음부터	처음/NNG+부터/JX
노골적으로	노골/NNG+적/XSN+으로/JKB
(수를)	(/SS+수/NNG+를/JKO+)/SS
쓰면	쓰/VV+면/EC
우리를	우리/NP+를/JKO
‘핫바지’로	‘/SS+핫바지/NNG+’/SS+로/JKB
보는	보/VV+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.385.8.1
남북한이 하루가 멀다 하고 성명과 담화를 주고받으며 공방을 벌이는 와중에 개성공단은 죽어가고 있다.

남북한이	남북한/NNP+이/JKS
하루가	하루/NNG+가/JKS
멀다	멀/VA+다/EF
하고	하/VV+고/EC
성명과	성명/NNG+과/JC
담화를	담화/NNG+를/JKO
주고받으며	주고받/VV+으며/EC
공방을	공방/NNG+을/JKO
벌이는	벌이/VV+는/ETM
와중에	와중/NNG+에/JKB
개성공단은	개성공단/NNP+은/JX
죽어가고	죽/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.385.8.2
입주기업 가운데는 절망감을 넘어 공황상태에 빠진 이들도 있다고 한다.

입주기업	입주/NNG+기업/NNG
가운데는	가운데/NNG+는/JX
절망감을	절망감/NNG+을/JKO
넘어	넘/VV+어/EC
공황상태에	공황/NNG+상태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
이들도	이/NNB+들/XSN+도/JX
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.385.8.3
통일부 장관이 말싸움이나 벌이고 있을 때가 아닌 것이다.

통일부	통일부/NNG
장관이	장관/NNG+이/JKS
말싸움이나	말싸움/NNG+이나/JX
벌이고	벌이/VV+고/EC
있을	있/VX+을/ETM
때가	때/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


