# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.311
metadata : {}


# id : NWRW1800000028.311.1.1
수억원 내고도 60살미만 입주불가…‘실버주택’ 시끌시끌

수억원	수억/NR+원/NNB
있는	있/VA+는/ETM
‘노인복지주택’이었던	‘/SS+노인/NNG+복지/NNG+주택/NNG+’/SS+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.311.2.8
2년 전 162.68㎡(49평)형을 13억여원에 분양받았고 절반을 중도금으로 낸 터였다.

2년	2/SN+년/NNB
전	전/NNG
162.68㎡(49평)형을	162/SN+./SP+68/SN+㎡/SW+(/SS+49/SN+평/NNB+)/SS+형/XSN+을/JKO
13억여원에	13/SN+억/NR+여/XSN+원/NNB+에/JKB
분양받았고	분양/NNG+받/XSV+았/EP+고/EC
절반을	절반/NNG+을/JKO
중도금으로	중도금/NNG+으로/JKB
낸	내/VV+ㄴ/ETM
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.311.2.9
계획대로라면 지금 사는 집을 팔고 가족들과 입주해야 하는데 그게 불가능해진 것이다.

계획대로라면	계획/NNG+대로/JX+이/VCP+라면/EC
지금	지금/MAG
사는	살/VV+는/ETM
집을	집/NNG+을/JKO
팔고	팔/VV+고/EC
가족들과	가족/NNG+들/XSN+과/JKB
입주해야	입주/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
그게	그거/NP+이/JKS
불가능해진	불/XPN+가능/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.311.2.10
잔금을 다 치르더라도 입주 자격이 안 돼 거리에 나앉을 판이다.

잔금을	잔금/NNG+을/JKO
다	다/MAG
치르더라도	치르/VV+더라도/EC
입주	입주/NNG
자격이	자격/NNG+이/JKC
안	안/MAG
돼	되/VV+어/EC
거리에	거리/NNG+에/JKB
나앉을	나앉/VV+을/ETM
판이다.	판/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.311.3.1
임씨는 계약 당시 이런 사실을 전혀 몰랐다고 했다.

임씨는	임/NNP+씨/NNB+는/JX
계약	계약/NNG
당시	당시/NNG
이런	이런/MMD
사실을	사실/NNG+을/JKO
전혀	전혀/MAG
몰랐다고	모르/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.3.2
그는 “건설회사가 60살 이상 노인과 공동 명의로 계약만 하면 젊은 사람도 거주할 수 있다고 해서 장모와 처의 이름으로 계약을 했다”며 “60살 미만이 살 수 없다는 말은 전혀 듣지 못했다”고 말했다.

그는	그/NP+는/JX
“건설회사가	“/SS+건설/NNG+회사/NNG+가/JKS
60살	60/SN+살/NNB
이상	이상/NNG
노인과	노인/NNG+과/JKB
공동	공동/NNG
명의로	명의/NNG+로/JKB
계약만	계약/NNG+만/JX
하면	하/VV+면/EC
젊은	젊/VA+은/ETM
사람도	사람/NNG+도/JX
거주할	거주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
해서	하/VV+아서/EC
장모와	장모/NNG+와/JC
처의	처/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
계약을	계약/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“60살	“/SS+60/SN+살/NNB
미만이	미만/NNG+이/JKS
살	살/VV+ㄹ/ETM
없다는	없/VA+다는/ETM
말은	말/NNG+은/JX
전혀	전혀/MAG
듣지	듣/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.4.1
이 아파트 118.6㎡(36평)형을 8억원에 분양받은 직장인 장아무개(25)씨 사정도 비슷하다.

이	이/MMD
아파트	아파트/NNG
118.6㎡(36평)형을	118/SN+./SP+6/SN+㎡/SW+(/SS+36/SN+평/NNB+)/SS+형/XSN+을/JKO
8억원에	8/SN+억/NR+원/NNB+에/JKB
분양받은	분양/NNG+받/XSV+은/ETM
직장인	직장인/NNG
장아무개(25)씨	장/NNP+아무개/NP+(/SS+25/SN+)/SS+씨/NNB
사정도	사정/NNG+도/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000028.311.4.2
2년 전 분양받고는 싶었지만 계약할 자격이 있는 가족이 없었다.

2년	2/SN+년/NNB
전	전/NNG
분양받고는	분양/NNG+받/XSV+고/EC+는/JX
싶었지만	싶/VX+었/EP+지만/EC
계약할	계약/NNG+하/XSV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있는	있/VA+는/ETM
가족이	가족/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.311.4.3
시행업체는 일단 아무나 60살 이상인 사람과 함께 공동 명의로 계약했다가 나중에 지분을 넘겨받는 방식을 쓰면 된다고 유도했다고 한다.

시행업체는	시행/NNG+업체/NNG+는/JX
일단	일단/MAG
아무나	아무/NP+나/JX
60살	60/SN+살/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람과	사람/NNG+과/JKB
함께	함께/MAG
공동	공동/NNG
명의로	명의/NNG+로/JKB
계약했다가	계약/NNG+하/XSV+았/EP+다가/EC
나중에	나중/NNG+에/JKB
지분을	지분/NNG+을/JKO
넘겨받는	넘겨받/VV+는/ETM
방식을	방식/NNG+을/JKO
쓰면	쓰/VV+면/EC
된다고	되/VV+ㄴ다고/EC
유도했다고	유도/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.311.4.4
장씨는 직원에게 도장과 신분증을 맡겼다.

장씨는	장/NNP+씨/NNB+는/JX
직원에게	직원/NNG+에게/JKB
도장과	도장/NNG+과/JC
신분증을	신분증/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.4.5
몇 시간 뒤 직원은 김아무개(68)씨라는 한 인물과 장씨가 공동 명의로 된 분양계약서, 김씨가 장씨에게 지분을 판다는 내용의 ‘부동산거래 계약 신고필증’을 장씨에게 건네줬다.

몇	몇/NR
시간	시간/NNB
뒤	뒤/NNG
직원은	직원/NNG+은/JX
김아무개(68)씨라는	김/NNP+아무개/NP+(/SS+68/SN+)/SS+씨/NNB+이/VCP+라는/ETM
한	한/MMN
인물과	인물/NNG+과/JC
장씨가	장/NNP+씨/NNB+가/JKS
공동	공동/NNG
명의로	명의/NNG+로/JKB
된	되/VV+ㄴ/ETM
분양계약서,	분양/NNG+계약서/NNG+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
장씨에게	장/NNP+씨/NNB+에게/JKB
지분을	지분/NNG+을/JKO
판다는	팔/VV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
‘부동산거래	‘/SS+부동산/NNG+거래/NNG
계약	계약/NNG
신고필증’을	신고필증/NNG+’/SS+을/JKO
건네줬다.	건네주/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.4.6
장씨는 “직원으로부터 계약서를 받았을 당시 계약서를 읽어보지 않은 것은 내가 잘못한 일”이라고 후회했다.

장씨는	장/NNP+씨/NNB+는/JX
“직원으로부터	“/SS+직원/NNG+으로부터/JKB
계약서를	계약서/NNG+를/JKO
받았을	받/VV+았/EP+을/ETM
당시	당시/NNG
읽어보지	읽/VV+어/EC+보/VX+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
내가	내/NP+가/JKS
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
후회했다.	후회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.4.7
그러나 장씨는 당시 어느 누구로부터도 60살 미만은 입주가 안 된다는 말을 듣지 못했고 이날 마포구로부터 발급받은 부동산거래 계약 신고필증에는 부동산 종류가 ‘공동주택-아파트’로 명시돼 있어 의심의 여지가 없었다고 주장했다.

그러나	그러나/MAJ
장씨는	장/NNP+씨/NNB+는/JX
당시	당시/NNG
어느	어느/MMD
누구로부터도	누구/NP+로부터/JKB+도/JX
60살	60/SN+살/NNB
미만은	미만/NNG+은/JX
입주가	입주/NNG+가/JKC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
못했고	못하/VX+았/EP+고/EC
이날	이날/NNG
마포구로부터	마포구/NNP+로부터/JKB
발급받은	발급/NNG+받/XSV+은/ETM
부동산거래	부동산/NNG+거래/NNG
계약	계약/NNG
신고필증에는	신고필증/NNG+에/JKB+는/JX
부동산	부동산/NNG
종류가	종류/NNG+가/JKS
‘공동주택-아파트’로	‘/SS+공동/NNG+주택/NNG+-/SO+아파트/NNG+’/SS+로/JKB
명시돼	명시/NNG+되/XSV+어/EC
있어	있/VX+어/EC
의심의	의심/NNG+의/JKG
여지가	여지/NNB+가/JKS
없었다고	없/VA+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.5.1
이런 사정으로 입주를 못할 처지에 놓인 서울 마포구 상암동 상암디지털미디어시티(DMC) 지구 ㅋ아파트 계약자 200여명은 최근 시행업체와 마포구를 상대로 문제 해결을 요구하고 있다.

이런	이런/MMD
사정으로	사정/NNG+으로/JKB
입주를	입주/NNG+를/JKO
못할	못/MAG+하/VV+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
서울	서울/NNP
마포구	마포구/NNP
상암동	상암동/NNP
상암디지털미디어시티(DMC)	상암디지털미디어시티/NNP+(/SS+DMC/SL+)/SS
지구	지구/NNG
ㅋ아파트	ㅋ/NNG+아파트/NNG
계약자	계약자/NNG
200여명은	200/SN+여/XSN+명/NNB+은/JX
최근	최근/NNG
시행업체와	시행/NNG+업체/NNG+와/JC
마포구를	마포구/NNP+를/JKO
상대로	상대/NNG+로/JKB
문제	문제/NNG
해결을	해결/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.311.6.1
이 아파트는 노인복지법에 규정된 ‘노인복지주택’으로서, 60살 미만은 소유·거주·매매를 할 수 없게 돼 있다.

이	이/MMD
아파트는	아파트/NNG+는/JX
노인복지법에	노인/NNG+복지법/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
‘노인복지주택’으로서,	‘/SS+노인/NNG+복지/NNG+주택/NNG+’/SS+으로서/JKB+,/SP
60살	60/SN+살/NNB
미만은	미만/NNG+은/JX
소유·거주·매매를	소유/NNG+·/SP+거주/NNG+·/SP+매매/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.311.6.2
그런데 계약자들은 시행업체인 ㅇ건설이 이처럼 중요한 사실을 제대로 알리지 않고 ‘60살 미만도 거주·전매가 가능하다’고 속였거나 오인하도록 유도했다고 주장한다.

그런데	그런데/MAJ
계약자들은	계약자/NNG+들/XSN+은/JX
시행업체인	시행/NNG+업체/NNG+이/VCP+ㄴ/ETM
ㅇ건설이	ㅇ/NNG+건설/NNG+이/JKS
이처럼	이/NP+처럼/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
사실을	사실/NNG+을/JKO
제대로	제대로/MAG
알리지	알리/VV+지/EC
않고	않/VX+고/EC
‘60살	‘/SS+60/SN+살/NNB
미만도	미만/NNG+도/JX
거주·전매가	거주/NNG+·/SP+전매/NNG+가/JKS
가능하다’고	가능/NNG+하/XSA+다/EF+’/SS+고/JKQ
속였거나	속이/VV+었/EP+거나/EC
오인하도록	오인/NNG+하/XSV+도록/EC
유도했다고	유도/NNG+하/XSV+았/EP+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.311.6.3
그 근거로 분양 당시 각종 매체에 낸 광고, 기사 등을 들었다.

그	그/MMD
근거로	근거/NNG+로/JKB
분양	분양/NNG
당시	당시/NNG
각종	각종/NNG
매체에	매체/NNG+에/JKB
낸	내/VV+ㄴ/ETM
광고,	광고/NNG+,/SP
기사	기사/NNG
등을	등/NNB+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.6.4
당시 ㅇ건설이 제작한 8장짜리 홍보물을 보면 이 아파트를 ‘주상복합 아파트’라고 소개하고, “분양권 무제한 전매” 따위 홍보 문구도 썼다.

당시	당시/NNG
ㅇ건설이	ㅇ/NNG+건설/NNG+이/JKS
제작한	제작/NNG+하/XSV+ㄴ/ETM
8장짜리	8/SN+장/NNB+짜리/XSN
홍보물을	홍보물/NNG+을/JKO
보면	보/VV+면/EC
이	이/MMD
아파트를	아파트/NNG+를/JKO
‘주상복합	‘/SS+주상/NNG+복합/NNG
아파트’라고	아파트/NNG+’/SS+라고/JKQ
소개하고,	소개/NNG+하/XSV+고/EC+,/SP
“분양권	“/SS+분양/NNG+권/XSN
무제한	무/XPN+제한/NNG
전매”	전매/NNG+”/SS
따위	따위/NNB
홍보	홍보/NNG
문구도	문구/NNG+도/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.6.5
이 아파트가 노인복지주택이어서 60살 이상만 분양이 가능하다는 설명은 맨 마지막 페이지 하단에 아주 작은 글씨로 한 줄 쓰여 있었다.

이	이/MMD
아파트가	아파트/NNG+가/JKS
노인복지주택이어서	노인/NNG+복지/NNG+주택/NNG+이/VCP+어서/EC
60살	60/SN+살/NNB
이상만	이상/NNG+만/JX
분양이	분양/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
설명은	설명/NNG+은/JX
맨	맨/MMA
마지막	마지막/NNG
페이지	페이지/NNG
하단에	하단/NNG+에/JKB
아주	아주/MAG
작은	작/VA+은/ETM
글씨로	글씨/NNG+로/JKB
한	한/MMN
줄	줄/NNG
쓰여	쓰이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.311.7.1
애초 노인복지주택은 60살 이상에게만 분양·매매가 가능했지만 처벌 규정이 없어 60살 미만도 분양받고 매매하곤 했다.

애초	애초/NNG
노인복지주택은	노인/NNG+복지/NNG+주택/NNG+은/JX
60살	60/SN+살/NNB
이상에게만	이상/NNG+에게/JKB+만/JX
분양·매매가	분양/NNG+·/SP+매매/NNG+가/JKS
가능했지만	가능/NNG+하/XSA+았/EP+지만/EC
처벌	처벌/NNG
규정이	규정/NNG+이/JKS
없어	없/VA+어/EC
미만도	미만/NNG+도/JX
분양받고	분양/NNG+받/XSV+고/EC
매매하곤	매매/NNG+하/XSV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.311.7.2
그러다 2008년 8월 처벌 규정이 처음 생겼다.

그러다	그러/VV+다/EC
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
처벌	처벌/NNG
규정이	규정/NNG+이/JKS
처음	처음/NNG
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.8.1
ㅋ아파트 분양계약자 대책위원장 표진웅(47)씨는 “240가구 가운데 200여가구가 60살 미만 계약자들”이라며 “건설회사가 법 개정 뒤엔 일반인들에게 분양이 어려워질 것으로 보고 서둘러 분양자를 유인했다”고 주장했다.

ㅋ아파트	ㅋ/NNG+아파트/NNG
분양계약자	분양/NNG+계약자/NNG
대책위원장	대책/NNG+위원장/NNG
표진웅(47)씨는	표진웅/NNP+(/SS+47/SN+)/SS+씨/NNB+는/JX
“240가구	“/SS+240/SN+가구/NNG
가운데	가운데/NNG
200여가구가	200/SN+여/XSN+가구/NNG+가/JKS
60살	60/SN+살/NNB
미만	미만/NNG
계약자들”이라며	계약자/NNG+들/XSN+”/SS+이/VCP+라며/EC
“건설회사가	“/SS+건설/NNG+회사/NNG+가/JKS
법	법/NNG
개정	개정/NNG
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
일반인들에게	일반인/NNG+들/XSN+에게/JKB
분양이	분양/NNG+이/JKS
어려워질	어렵/VA+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
서둘러	서두르/VV+어/EC
분양자를	분양자/NNG+를/JKO
유인했다”고	유인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.9.1
그러나 ㅇ건설은 계약자들의 주장은 사실이 아니라고 맞섰다.

그러나	그러나/MAJ
ㅇ건설은	ㅇ/NNG+건설/NNG+은/JX
계약자들의	계약자/NNG+들/XSN+의/JKG
주장은	주장/NNG+은/JX
사실이	사실/NNG+이/JKC
아니라고	아니/VCN+라고/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.311.9.2
계약서와 입주자 모집공고에 “60세 이상만 입주가 가능하다”고 명시했고, 이를 계약자들도 알고 있었다는 것이다.

계약서와	계약서/NNG+와/JC
입주자	입주자/NNG
모집공고에	모집/NNG+공고/NNG+에/JKB
“60세	“/SS+60/SN+세/NNB
이상만	이상/NNG+만/JX
입주가	입주/NNG+가/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
명시했고,	명시/NNG+하/XSV+았/EP+고/EC+,/SP
이를	이/NP+를/JKO
계약자들도	계약자/NNG+들/XSN+도/JX
알고	알/VV+고/EC
있었다는	있/VX+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.311.9.3
지난달 19일 한 계약자가 제기한 분양금 반환소송에서 ㅇ건설이 승소했다고 했다.

지난달	지난달/NNG
19일	19/SN+일/NNB
한	한/MMN
계약자가	계약자/NNG+가/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
분양금	분양금/NNG
반환소송에서	반환/NNG+소송/NNG+에서/JKB
ㅇ건설이	ㅇ/NNG+건설/NNG+이/JKS
승소했다고	승소/NNG+하/XSV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.9.4
ㅇ건설 홍보실 쪽은 “노인복지법 개정안이 시행되기 전 투자가치를 판단해 서둘러 계약한 건 분양자 쪽”이라고 말했다.

ㅇ건설	ㅇ/NNG+건설/NNG
홍보실	홍보실/NNG
쪽은	쪽/NNB+은/JX
“노인복지법	“/SS+노인/NNG+복지법/NNG
개정안이	개정안/NNG+이/JKS
시행되기	시행/NNG+되/XSV+기/ETN
전	전/NNG
투자가치를	투자/NNG+가치/NNG+를/JKO
판단해	판단/NNG+하/XSV+아/EC
서둘러	서두르/VV+어/EC
계약한	계약/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
분양자	분양자/NNG
쪽”이라고	쪽/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.10.1
계약자들은 엉터리 분양이 이뤄지도록 방관했다며 마포구에도 책임을 묻고 있다.

계약자들은	계약자/NNG+들/XSN+은/JX
엉터리	엉터리/NNG
분양이	분양/NNG+이/JKS
이뤄지도록	이뤄지/VV+도록/EC
방관했다며	방관/NNG+하/XSV+았/EP+다며/EC
마포구에도	마포구/NNP+에/JKB+도/JX
책임을	책임/NNG+을/JKO
묻고	묻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.311.10.2
그러나 마포구 쪽은 분양 갈등에 자치단체가 개입하는 것은 적절하지 않다는 태도다.

그러나	그러나/MAJ
마포구	마포구/NNP
쪽은	쪽/NNB+은/JX
분양	분양/NNG
갈등에	갈등/NNG+에/JKB
자치단체가	자치/NNG+단체/NNG+가/JKS
개입하는	개입/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절하지	적절하/VA+지/EC
않다는	않/VX+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.311.10.3
진경식 마포구 도시계획과장은 “노인복지주택의 설치에 관한 사항 가운데 일부는 주택법을 준용하기 때문에 아마 부동산 거래계약 신고필증에 아파트라고 표기했을 것”이라며 “다만 이런 갈등을 풀기 위해 60살 미만 계약자들도 입주할 수 있도록 노인복지법을 개정해달라고 서울시와 보건복지부에 요청했다”고 말했다.

진경식	진경식/NNP
마포구	마포구/NNP
도시계획과장은	도시/NNG+계획과장/NNG+은/JX
“노인복지주택의	“/SS+노인/NNG+복지/NNG+주택/NNG+의/JKG
설치에	설치/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항	사항/NNG
가운데	가운데/NNG
일부는	일부/NNG+는/JX
주택법을	주택법/NNG+을/JKO
준용하기	준용/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
아마	아마/MAG
부동산	부동산/NNG
거래계약	거래/NNG+계약/NNG
신고필증에	신고필증/NNG+에/JKB
아파트라고	아파트/NNG+이/VCP+라고/EC
표기했을	표기/NNG+하/XSV+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“다만	“/SS+다만/MAG
이런	이런/MMD
갈등을	갈등/NNG+을/JKO
풀기	풀/VV+기/ETN
위해	위하/VV+아/EC
60살	60/SN+살/NNB
미만	미만/NNG
계약자들도	계약자/NNG+들/XSN+도/JX
입주할	입주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노인복지법을	노인/NNG+복지법/NNG+을/JKO
개정해달라고	개정/NNG+하/XSV+아/EC+달/VX+라고/EC
서울시와	서울시/NNP+와/JC
보건복지부에	보건/NNG+복지부/NNG+에/JKB
요청했다”고	요청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


