# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.75
metadata : {}


# id : NWRW1800000033.75.1.1
[뉴욕은 지금]‘폐식용유 도둑’

[뉴욕은	[/SS+뉴욕/NNP+은/JX
바이오연료로	바이오/NNG+연료/NNG+로/JKB
재활용되기	재/XPN+활용/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
기름값이	기름값/NNG+이/JKS
비싼	비싸/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
값어치가	값/NNG+어치/XSN+가/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.75.4.4
수거업체들은 뉴욕 시와 계약을 하고 폐식용유를 모아 재활용업체에 다시 판다.

수거업체들은	수거업체/NNG+들/XSN+은/JX
뉴욕	뉴욕/NNP
시와	시/NNG+와/JKB
계약을	계약/NNG+을/JKO
하고	하/VV+고/EC
폐식용유를	폐/XPN+식용유/NNG+를/JKO
모아	모으/VV+아/EC
재활용업체에	재활용업체/NNG+에/JKB
다시	다시/MAG
판다.	팔/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.75.4.5
뉴욕 시 브루클린 등의 폐식용유를 수거하는 M&E소프의 에드워드 군더슨 사장은 “올 들어 도둑들이 기승을 부리고 있다.

뉴욕	뉴욕/NNP
시	시/NNG
브루클린	브루클린/NNP
등의	등/NNB+의/JKG
폐식용유를	폐/XPN+식용유/NNG+를/JKO
수거하는	수거/NNG+하/XSV+는/ETM
M&E소프의	M&E소프/NNP+의/JKG
에드워드	에드워드/NNP
군더슨	군더슨/NNP
사장은	사장/NNG+은/JX
“올	“/SS+올/NNG
들어	들/VV+어/EC
도둑들이	도둑/NNG+들/XSN+이/JKS
기승을	기승/NNG+을/JKO
부리고	부리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.75.4.6
전체 수거량의 10% 정도가 도난당하는 것으로 보인다.

전체	전체/NNG
수거량의	수거량/NNG+의/JKG
10%	10/SN+%/SW
정도가	정도/NNG+가/JKS
도난당하는	도난/NNG+당하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.75.4.7
폐식용유 도둑들은 수백 달러를 손쉽게 벌고 있다”고 비난했다.

폐식용유	폐/XPN+식용유/NNG
도둑들은	도둑/NNG+들/XSN+은/JX
수백	수백/NR
달러를	달러/NNB+를/JKO
손쉽게	손쉽/VA+게/EC
벌고	벌/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.75.5.1
폐식용유뿐 아니라 폐지, 고철, 동파이프, 전선, 중고 냉장고, 세탁기 등도 주요 타깃이 되고 있다.

폐식용유뿐	폐/XPN+식용유/NNG+뿐/JX
아니라	아니/VCN+라/EC
폐지,	폐지/NNG+,/SP
고철,	고철/NNG+,/SP
동파이프,	동/NNG+파이프/NNG+,/SP
전선,	전선/NNG+,/SP
중고	중고/NNG
냉장고,	냉장고/NNG+,/SP
세탁기	세탁기/NNG
등도	등/NNB+도/JX
주요	주요/NNG
타깃이	타깃/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.75.5.2
폐지의 경우 2년 전만 해도 파운드당 1센트에 불과했으나 중국으로부터의 수요가 늘면서 최근 6배나 값이 뛰었다.

폐지의	폐지/NNG+의/JKG
경우	경우/NNG
2년	2/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
파운드당	파운드/NNB+당/XSN
1센트에	1/SN+센트/NNB+에/JKB
불과했으나	불과/MAG+하/XSA+았/EP+으나/EC
중국으로부터의	중국/NNP+으로부터/JKB+의/JKG
수요가	수요/NNG+가/JKS
늘면서	늘/VV+면서/EC
최근	최근/MAG
6배나	6/SN+배/NNG+나/JX
값이	값/NNG+이/JKS
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.75.5.3
폐지를 수거해가는 D&N서비스의 한 직원은 “(업계 전체로) 매달 100만∼200만 달러어치(약 11억6600만∼23억3200만 원)를 도난당한다”고 추정했다.

폐지를	폐지/NNG+를/JKO
수거해가는	수거/NNG+하/XSV+아/EC+가/VX+는/ETM
D&N서비스의	D&N서비스/NNP+의/JKG
한	한/MMN
직원은	직원/NNG+은/JX
“(업계	“/SS+(/SS+업계/NNG
전체로)	전체/NNG+로/JKB+)/SS
매달	매달/MAG
100만∼200만	100/SN+만/NR+∼/SO+200/SN+만/NR
달러어치(약	달러/NNB+어치/XSN+(/SS+약/MMA
11억6600만∼23억3200만	11/SN+억/NR+6600/SN+만/NR+∼/SO+23/SN+억/NR+3200/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
도난당한다”고	도난/NNG+당하/XSV+ㄴ다/EF+”/SS+고/JKQ
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.75.6.1
뉴욕 시 위생국 비토 투르소 대변인은 “거리의 폐품은 뉴욕 시 소유이기 때문에 시와 계약을 하지 않은 개인이나 기업이 가져가는 것은 명백한 불법”이라고 말했다.

뉴욕	뉴욕/NNP
시	시/NNG
위생국	위생국/NNG
비토	비토/NNP
투르소	투르소/NNP
대변인은	대변인/NNG+은/JX
“거리의	“/SS+거리/NNG+의/JKG
폐품은	폐품/NNG+은/JX
소유이기	소유/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
시와	시/NNG+와/JKB
계약을	계약/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
개인이나	개인/NNG+이나/JC
기업이	기업/NNG+이/JKS
가져가는	가져가/VV+는/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
불법”이라고	불법/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


