# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.270
metadata : {}


# id : NWRW1800000029.270.1.1
연아 복귀무대 ‘반갑지 않은 손님’

연아	연아/NNP
패널이었다.	패널/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.270.5.3
2009년 그랑프리 파이널 쇼트프로그램에서도 김연아는 트리플 러츠-트리플 토루프 콤비네이션 점프로 9명의 심판 중 8명으로부터 가산점을 받았다.

2009년	2009/SN+년/NNB
그랑프리	그랑프리/NNG
파이널	파이널/NNG
쇼트프로그램에서도	쇼트프로그램/NNG+에서/JKB+도/JX
김연아는	김연아/NNP+는/JX
트리플	트리플/NNG
러츠-트리플	러츠/NNG+-/SO+트리플/NNG
토루프	토루프/NNG
콤비네이션	콤비네이션/NNG
점프로	점프/NNG+로/JKB
9명의	9/SN+명/NNB+의/JKG
심판	심판/NNG
중	중/NNB
8명으로부터	8/SN+명/NNB+으로부터/JKB
가산점을	가산점/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.270.5.4
하지만 로리올오버빌러 심판은 이때도 점프 회전수가 부족했다며 김연아에게 감점을 줬다.

하지만	하지만/MAJ
로리올오버빌러	로리올오버빌러/NNP
심판은	심판/NNG+은/JX
이때도	이때/NNG+도/JX
점프	점프/NNG
회전수가	회전수/NNG+가/JKS
부족했다며	부족/NNG+하/XSA+았/EP+다며/EC
김연아에게	김연아/NNP+에게/JKB
감점을	감점/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.270.5.5
국제빙상경기연맹(ISU)은 올 시즌 회전수가 부족한 점프에 대한 판정을 두 단계로 나눴다.

국제빙상경기연맹(ISU)은	국제빙상경기연맹/NNP+(/SS+ISU/SL+)/SS+은/JX
올	올/NNG
시즌	시즌/NNG
회전수가	회전수/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
점프에	점프/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
판정을	판정/NNG+을/JKO
두	두/MMN
단계로	단계/NNG+로/JKB
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.270.5.6
그만큼 테크니컬 패널의 판단이 영향을 미칠 범위도 넓어져 김연아에게는 악재로 작용할 수도 있다.

그만큼	그만큼/MAG
테크니컬	테크니컬/NNG
패널의	패널/NNG+의/JKG
판단이	판단/NNG+이/JKS
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
범위도	범위/NNG+도/JX
넓어져	넓어지/VV+어/EC
김연아에게는	김연아/NNP+에게/JKB+는/JX
악재로	악재/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.270.6.1
하지만 러시아는 김연아에겐 행복한 추억으로 가득 찬 곳.

하지만	하지만/MAJ
러시아는	러시아/NNP+는/JX
김연아에겐	김연아/NNP+에게/JKB+ㄴ/JX
행복한	행복/NNG+하/XSA+ㄴ/ETM
추억으로	추억/NNG+으로/JKB
가득	가득/MAG
찬	차/VV+ㄴ/ETM
곳.	곳/NNG+./SF


# id : NWRW1800000029.270.6.2
김연아는 2006년 시니어 무대 데뷔 이후 러시아에서 두 차례 우승을 차지했다.

김연아는	김연아/NNP+는/JX
2006년	2006/SN+년/NNB
시니어	시니어/NNG
무대	무대/NNG
데뷔	데뷔/NNG
이후	이후/NNG
러시아에서	러시아/NNP+에서/JKB
두	두/MMN
차례	차례/NNG
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.270.6.3
2006년 상트페테르부르크에서 열린 그랑프리 파이널에서, 다음 해 모스크바에서 열린 그랑프리 5차 대회에서 금메달을 목에 걸었다.

2006년	2006/SN+년/NNB
상트페테르부르크에서	상트페테르부르크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
그랑프리	그랑프리/NNG
파이널에서,	파이널/NNG+에서/JKB+,/SP
다음	다음/NNG
해	해/NNG
모스크바에서	모스크바/NNP+에서/JKB
5차	5/SN+차/NNB
대회에서	대회/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


