# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.412
metadata : {}


# id : NWRW1800000054.412.1.1
李총리, 방송장악 문건 만든 민주당 관련 "쓸데없는 짓 했다"

李총리,	李/SH+총리/NNG+,/SP
다수의	다수/NNG+의/JKG
의견이라	의견/NNG+이/VCP+라/EC
그	그/MMD
방향으로	방향/NNG+으로/JKB
정책을	정책/NNG+을/JKO
추진하려고	추진/NNG+하/XSV+려고/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.5.3
김 부총리는 자신의 세 딸이 강남 8학군 학교를 나온 것에 대해 "그건 제가 30년 전부터 살았던 지역이기 때문"이라고 했다.

김	김/NNP
부총리는	부총리/NNG+는/JX
자신의	자신/NNG+의/JKG
세	세/MMN
딸이	딸/NNG+이/JKS
강남	강남/NNP
8학군	8/SN+학군/NNG
학교를	학교/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"그건	"/SS+그거/NP+ㄴ/JX
제가	제/NP+가/JKS
30년	30/SN+년/NNB
전부터	전/NNG+부터/JX
살았던	살/VV+았/EP+던/ETM
지역이기	지역/NNG+이/VCP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.6.1
일부 민주당 의원들은 이날 이명박 전 대통령에 대한 검찰 수사를 촉구하기도 했다.

일부	일부/NNG
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
이명박	이명박/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
촉구하기도	촉구/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.412.6.2
신경민 의원은 박상기 법무부장관에게 이른바 '국정원 블랙리스트'를 언급하며 "MB도 필요하면 부르겠느냐"고 했고, 박영선 의원은 "BBK와 관련해 전면적으로 재수사해야 한다"고 했다.

신경민	신경민/NNP
의원은	의원/NNG+은/JX
박상기	박상기/NNP
법무부장관에게	법무부/NNG+장관/NNG+에게/JKB
이른바	이른바/MAG
'국정원	'/SS+국정원/NNG
블랙리스트'를	블랙리스트/NNG+'/SS+를/JKO
언급하며	언급/NNG+하/XSV+며/EC
"MB도	"/SS+MB/SL+도/JX
필요하면	필요/NNG+하/XSA+면/EC
부르겠느냐"고	부르/VV+겠/EP+느냐/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
박영선	박영선/NNP
"BBK와	"/SS+BBK/SL+와/JKB
관련해	관련/NNG+하/XSV+아/EC
전면적으로	전면/NNG+적/XSN+으로/JKB
재수사해야	재/XPN+수사/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.6.3
박 장관은 "검찰이 판단할 것으로 본다"고 했다.

박	박/NNP
장관은	장관/NNG+은/JX
"검찰이	"/SS+검찰/NNG+이/JKS
판단할	판단/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


