# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.59
metadata : {}


# id : NWRW1800000054.59.1.1
[그래픽 뉴스] 시력교정술 하면 안되는 사람

[그래픽	[/SS+그래픽/NNG
# id : NWRW1800000054.59.3.3
야간에 빛이 심하게 번져보이거나 영구적인 시력 저하 등 부작용이 생길 수 있기 때문이다.

야간에	야간/NNG+에/JKB
빛이	빛/NNG+이/JKS
심하게	심하/VA+게/EC
번져보이거나	번지/VV+어/EC+보이/VV+거나/EC
영구적인	영구/NNG+적/XSN+이/VCP+ㄴ/ETM
시력	시력/NNG
저하	저하/NNG
등	등/NNB
부작용이	부작용/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.3.4
인구 10명 중 1~2명은 시력교정술을 할 때 부작용이 생길 정도로 동공이 크며, 원추각막은 인구의 0.5% 정도가 가지고 있다.

인구	인구/NNG
10명	10/SN+명/NNB
중	중/NNB
1~2명은	1/SN+~/SO+2/SN+명/NNB+은/JX
시력교정술을	시력/NNG+교정술/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
부작용이	부작용/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
동공이	동공/NNG+이/JKS
크며,	크/VA+며/EC+,/SP
원추각막은	원추/NNG+각막/NNG+은/JX
인구의	인구/NNG+의/JKG
0.5%	0/SN+./SP+5/SN+%/SW
정도가	정도/NNG+가/JKS
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.59.4.1
◇동공 크면 각막 충분히 못 깎아

◇동공	◇/SW+동공/NNG
크면	크/VA+면/EC
각막	각막/NNG
충분히	충분히/MAG
못	못/MAG
깎아	깎/VV+아/EC


# id : NWRW1800000054.59.5.1
라식·라섹을 할 때는 절개용 칼이나 희석된 알코올로 각막 상층부를 뚜껑처럼 동그랗게 절개한다.

라식·라섹을	라식/NNG+·/SP+라섹/NNG+을/JKO
할	하/VV+ㄹ/ETM
때는	때/NNG+는/JX
절개용	절개/NNG+용/XSN
칼이나	칼/NNG+이나/JC
희석된	희석/NNG+되/XSV+ㄴ/ETM
알코올로	알코올/NNG+로/JKB
각막	각막/NNG
상층부를	상층부/NNG+를/JKO
뚜껑처럼	뚜껑/NNG+처럼/JKB
동그랗게	동그랗/VA+게/EC
절개한다.	절개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.59.5.2
뚜껑처럼 절개된 상층부는 열어두고, 절개된 부분에 레이저를 조사해 각막을 깎는다.

뚜껑처럼	뚜껑/NNG+처럼/JKB
절개된	절개/NNG+되/XSV+ㄴ/ETM
상층부는	상층부/NNG+는/JX
열어두고,	열/VV+어/EC+두/VX+고/EC+,/SP
부분에	부분/NNG+에/JKB
레이저를	레이저/NNG+를/JKO
조사해	조사/NNG+하/XSV+아/EC
각막을	각막/NNG+을/JKO
깎는다.	깎/VV+는다/EF+./SF


# id : NWRW1800000054.59.5.3
그 다음 절개된 상층부를 다시 원 위치에 덮어준다.

그	그/MMD
다음	다음/NNG
절개된	절개/NNG+되/XSV+ㄴ/ETM
상층부를	상층부/NNG+를/JKO
다시	다시/MAG
원	원/NA
위치에	위치/NNG+에/JKB
덮어준다.	덮/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.59.5.4
이때 레이저 조사 범위는 각막 중심에서 지름 6㎜ 정도다.

이때	이때/NNG
레이저	레이저/NNG
조사	조사/NNG
범위는	범위/NNG+는/JX
각막	각막/NNG
중심에서	중심/NNG+에서/JKB
지름	지름/NNG
6㎜	6/SN+㎜/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.5.5
지름 6㎜는 각막 밑에 위치한 검은자위인 동공 크기에 맞춰져 있다.

지름	지름/NNG
6㎜는	6/SN+㎜/SW+는/JX
각막	각막/NNG
밑에	밑/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
검은자위인	검은자위/NNG+이/VCP+ㄴ/ETM
동공	동공/NNG
크기에	크기/NNG+에/JKB
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.59.5.6
동공 크기에 맞게 각막을 깎아야 빛 굴절이 잘 돼 시력이 제대로 교정된다.

동공	동공/NNG
크기에	크기/NNG+에/JKB
맞게	맞/VV+게/EC
각막을	각막/NNG+을/JKO
깎아야	깎/VV+아야/EC
빛	빛/NNG
굴절이	굴절/NNG+이/JKS
잘	잘/MAG
돼	되/VV+어/EC
시력이	시력/NNG+이/JKS
제대로	제대로/MAG
교정된다.	교정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.59.5.7
그런데 동공 크기가 원래 크거나, 어두운 곳에 있을 때 유난히 커지는 사람이 있다.

그런데	그런데/MAJ
동공	동공/NNG
크기가	크기/NNG+가/JKS
원래	원래/MAG
크거나,	크/VA+거나/EC+,/SP
어두운	어둡/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
있을	있/VA+을/ETM
때	때/NNG
유난히	유난히/MAG
커지는	커지/VV+는/ETM
사람이	사람/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.59.5.8
7~9㎜면 큰 편이다.

7~9㎜면	7/SN+~/SO+9/SN+㎜/SW+이/VCP+면/EC
큰	크/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.5.9
이런 사람은 레이저를 조사 해도 자신의 동공 크기에 맞게 각막을 깎을 수 없다〈그래픽〉.

이런	이런/MMD
사람은	사람/NNG+은/JX
레이저를	레이저/NNG+를/JKO
조사	조사/NNG
해도	하/VV+아도/EC
자신의	자신/NNG+의/JKG
동공	동공/NNG
크기에	크기/NNG+에/JKB
맞게	맞/VV+게/EC
각막을	각막/NNG+을/JKO
깎을	깎/VV+을/ETM
수	수/NNB
없다〈그래픽〉.	없/VA+다/EF+〈/SS+그래픽/NNG+〉/SS+./SF


# id : NWRW1800000054.59.5.10
김안과병원 각막센터 권영아 교수는 "각막 조사 범위는 중앙으로부터 7㎜를 넘기지 않기 때문에 동공이 이보다 크면 제대로 깎을 수 없다"고 말했다.

김안과병원	김안과병원/NNP
각막센터	각막/NNG+센터/NNG
권영아	권영아/NNP
교수는	교수/NNG+는/JX
"각막	"/SS+각막/NNG
조사	조사/NNG
범위는	범위/NNG+는/JX
중앙으로부터	중앙/NNG+으로부터/JKB
7㎜를	7/SN+㎜/SW+를/JKO
넘기지	넘기/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
동공이	동공/NNG+이/JKS
이보다	이/NP+보다/JKB
크면	크/VA+면/EC
제대로	제대로/MAG
깎을	깎/VV+을/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.59.5.11
동공 크기와 다르게 각막을 깎게 되면 빛 번짐이 심하게 나타난다.

동공	동공/NNG
크기와	크기/NNG+와/JKB
다르게	다르/VA+게/EC
각막을	각막/NNG+을/JKO
깎게	깎/VV+게/EC
되면	되/VV+면/EC
빛	빛/NNG
번짐이	번지/VV+ㅁ/ETN+이/JKS
심하게	심하/VA+게/EC
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.59.5.12
빛 번짐이 심하면 네온사인·신호등·컴퓨터 화면 등이 흐리게 보이며, 밤길 운전이 힘들다.

빛	빛/NNG
번짐이	번지/VV+ㅁ/ETN+이/JKS
심하면	심하/VA+면/EC
네온사인·신호등·컴퓨터	네온사인/NNG+·/SP+신호등/NNG+·/SP+컴퓨터/NNG
화면	화면/NNG
등이	등/NNB+이/JKS
흐리게	흐리/VA+게/EC
보이며,	보이/VV+며/EC+,/SP
밤길	밤길/NNG
운전이	운전/NNG+이/JKS
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000054.59.6.1
◇초기 원추각막, 라식·라섹하면 시력 저하

◇초기	◇/SW+초기/NNG
원추각막,	원추/NNG+각막/NNG+,/SP
라식·라섹하면	라식/NNG+·/SP+라섹/NNG+하/VV+면/EC
시력	시력/NNG
저하	저하/NNG


# id : NWRW1800000054.59.7.1
원추각막은 각막의 중심 부위가 뾰쪽하게 돌출되면서 시야가 일그러져 보이는 질환이다.

원추각막은	원추/NNG+각막/NNG+은/JX
각막의	각막/NNG+의/JKG
중심	중심/NNG
부위가	부위/NNG+가/JKS
뾰쪽하게	뾰쪽/MAG+하/XSA+게/EC
돌출되면서	돌출/NNG+되/XSV+면서/EC
시야가	시야/NNG+가/JKS
일그러져	일그러지/VV+어/EC
보이는	보이/VV+는/ETM
질환이다.	질환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.7.2
10대에 잘 생기며, 유전이나 심한 눈 비빔이 원인으로 추측된다.

10대에	10/SN+대/NNB+에/JKB
잘	잘/MAG
생기며,	생기/VV+며/EC+,/SP
유전이나	유전/NNG+이나/JC
심한	심하/VA+ㄴ/ETM
눈	눈/NNG
비빔이	비비/VV+ㅁ/ETN+이/JKS
원인으로	원인/NNG+으로/JKB
추측된다.	추측/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.59.7.3
초기 단계의 원추각막은 자각 증상이 거의 없고 각막 모양도 정상에 가까워 원추각막인줄 알기 쉽지 않다.

초기	초기/NNG
단계의	단계/NNG+의/JKG
원추각막은	원추/NNG+각막/NNG+은/JX
자각	자각/NNG
증상이	증상/NNG+이/JKS
거의	거의/MAG
없고	없/VA+고/EC
각막	각막/NNG
모양도	모양/NNG+도/JX
정상에	정상/NNG+에/JKB
가까워	가깝/VA+어/EC
원추각막인줄	원추/NNG+각막/NNG+이/VCP+ㄴ/ETM+줄/NNB
알기	알/VV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.59.7.4
시야가 흐리게 보이는 정도다.

시야가	시야/NNG+가/JKS
흐리게	흐리/VA+게/EC
보이는	보이/VV+는/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.7.5
원추각막인지 모르고 라식·라섹을 하면 영구적인 시력 저하가 생길 수 있다.

원추각막인지	원추/NNG+각막/NNG+이/VCP+ㄴ지/EC
모르고	모르/VV+고/EC
라식·라섹을	라식/NNG+·/SP+라섹/NNG+을/JKO
하면	하/VV+면/EC
영구적인	영구/NNG+적/XSN+이/VCP+ㄴ/ETM
시력	시력/NNG
저하가	저하/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.59.7.6
원추각막은 진행성 질환인데, 라식·라섹으로 각막이 얇아진 상태에서 각막이 돌출되면 각막이 더욱 얇아지면서 원추각막 증상이 더 심해진다〈그래픽〉.

원추각막은	원추/NNG+각막/NNG+은/JX
진행성	진행/NNG+성/XSN
질환인데,	질환/NNG+이/VCP+ㄴ데/EC+,/SP
라식·라섹으로	라식/NNG+·/SP+라섹/NNG+으로/JKB
각막이	각막/NNG+이/JKS
얇아진	얇아지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
돌출되면	돌출/NNG+되/XSV+면/EC
더욱	더욱/MAG
얇아지면서	얇아지/VV+면서/EC
원추각막	원추/NNG+각막/NNG
증상이	증상/NNG+이/JKS
더	더/MAG
심해진다〈그래픽〉.	심하/VA+아/EC+지/VX+ㄴ다/EF+〈/SS+그래픽/NNG+〉/SS+./SF


# id : NWRW1800000054.59.7.7
건강한 사람이라도 시력교정수술 후 각막이 얇아져 원추각막이 생기기도 한다.

건강한	건강/NNG+하/XSA+ㄴ/ETM
사람이라도	사람/NNG+이/VCP+라도/EC
시력교정수술	시력/NNG+교정/NNG+수술/NNG
후	후/NNG
각막이	각막/NNG+이/JKS
얇아져	얇아지/VV+어/EC
원추각막이	원추/NNG+각막/NNG+이/JKS
생기기도	생기/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.59.7.8
새빛안과병원 정성근 병원장은 "원추각막이 있으면 시력교정술은 금물"이라며 "눈을 자주, 심하게 비비는 사람은 시력교정술 전 의사와 원추각막이 있을 가능성에 대해 충분히 논의하고 각막 형태를 면밀히 검사해야 한다"고 말했다.

새빛안과병원	새빛안과병원/NNP
정성근	정성근/NNP
병원장은	병원장/NNG+은/JX
"원추각막이	"/SS+원추/NNG+각막/NNG+이/JKS
있으면	있/VA+으면/EC
시력교정술은	시력/NNG+교정술/NNG+은/JX
금물"이라며	금물/NNG+"/SS+이/VCP+라며/EC
"눈을	"/SS+눈/NNG+을/JKO
자주,	자주/MAG+,/SP
심하게	심하/VA+게/EC
비비는	비비/VV+는/ETM
사람은	사람/NNG+은/JX
시력교정술	시력/NNG+교정술/NNG
전	전/NNG
의사와	의사/NNG+와/JKB
원추각막이	원추/NNG+각막/NNG+이/JKS
있을	있/VA+을/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
충분히	충분히/MAG
논의하고	논의/NNG+하/XSV+고/EC
각막	각막/NNG
형태를	형태/NNG+를/JKO
면밀히	면밀히/MAG
검사해야	검사/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.59.8.1
☞ 라식·라섹

☞	☞/SW
라식·라섹	라식/NNG+·/SP+라섹/NNG


# id : NWRW1800000054.59.9.1
각막을 얇고 평평하게 깎아 빛의 굴절률을 교정해, 시력을 높이는 수술이다.

각막을	각막/NNG+을/JKO
얇고	얇/VA+고/EC
평평하게	평평하/VA+게/EC
깎아	깎/VV+아/EC
빛의	빛/NNG+의/JKG
굴절률을	굴절/NNG+률/XSN+을/JKO
교정해,	교정/NNG+하/XSV+아/EC+,/SP
시력을	시력/NNG+을/JKO
높이는	높이/VV+는/ETM
수술이다.	수술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.59.9.2
라식은 절개용 칼을, 라섹은 희석된 알코올을 이용해 각막 뚜껑을 만든다.

라식은	라식/NNG+은/JX
절개용	절개/NNG+용/XSN
칼을,	칼/NNG+을/JKO+,/SP
라섹은	라섹/NNG+은/JX
희석된	희석/NNG+되/XSV+ㄴ/ETM
알코올을	알코올/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
각막	각막/NNG
뚜껑을	뚜껑/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


