# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.383
metadata : {}


# id : NWRW1800000046.383.1.1
김관진 안보실장…치밀하고 차분하게… '협상경험 全無' 우려 깼다

김관진	김관진/NNP
지뢰와	지뢰/NNG+와/JC
포격	포격/NNG
도발에	도발/NNG+에/JKB
대해	대하/VV+아/EC
'오리발'을	'/SS+오리발/NNG+'/SS+을/JKO
내밀자	내밀/VV+자/EC
"내가	"/SS+내/NP+가/JKS
전군(全軍)을	전군/NNG+(/SS+全軍/SH+)/SS+을/JKO
지휘했던	지휘/NNG+하/XSV+았/EP+던/ETM
사람"이라며	사람/NNG+"/SS+이/VCP+라며/EC
강력하게	강력/NNG+하/XSA+게/EC
대응했다.	대응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.5.4
왜 북한 도발이 맞는지를 조목조목 짚어서 반박했다고 한다.

왜	왜/MAG
북한	북한/NNP
도발이	도발/NNG+이/JKS
맞는지를	맞/VV+는지/EC+를/JKO
조목조목	조목조목/MAG
짚어서	짚/VV+어서/EC
반박했다고	반박/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.383.6.1
청와대는 고위급 접촉이 시작된 22일 밤부터 '회담 결과 브리핑은 김 실장이 할 것'이라는 입장을 정했다.

청와대는	청와대/NNP+는/JX
고위급	고위급/NNG
접촉이	접촉/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
22일	22/SN+일/NNB
밤부터	밤/NNG+부터/JX
'회담	'/SS+회담/NNG
결과	결과/NNG
브리핑은	브리핑/NNG+은/JX
김	김/NNP
실장이	실장/NNG+이/JKS
할	하/VV+ㄹ/ETM
것'이라는	것/NNB+'/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.7.1
현 정부 들어 남북 협상 결과에 대한 브리핑을 통일부가 맡아서 한 것과 달라진 조치였다.

현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
남북	남북/NNP
협상	협상/NNG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
브리핑을	브리핑/NNG+을/JKO
통일부가	통일부/NNG+가/JKS
맡아서	맡/VV+아서/EC
한	하/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달라진	달라지/VV+ㄴ/ETM
조치였다.	조치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.383.7.2
그동안 '커튼' 뒤에 있었던 국가안보실장이 언론 앞에 나선 것은 처음이다.

그동안	그동안/NNG
'커튼'	'/SS+커튼/NNG+'/SS
뒤에	뒤/NNG+에/JKB
있었던	있/VA+었/EP+던/ETM
국가안보실장이	국가/NNG+안보실장/NNG+이/JKS
언론	언론/NNG
앞에	앞/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.383.8.1
청와대 관계자는 "이번 고위급 접촉의 컨트롤 타워는 청와대이고, 국가안보실장이 책임지고 협상을 해 나간다는 것을 공식화한 것으로 볼 수 있다"고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"이번	"/SS+이번/NNG
고위급	고위급/NNG
접촉의	접촉/NNG+의/JKG
컨트롤	컨트롤/NNG
타워는	타워/NNG+는/JX
청와대이고,	청와대/NNP+이/VCP+고/EC+,/SP
국가안보실장이	국가/NNG+안보실장/NNG+이/JKS
책임지고	책임지/VV+고/EC
협상을	협상/NNG+을/JKO
해	하/VV+아/EC
나간다는	나가/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
공식화한	공식/NNG+화/XSN+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.9.1
김 실장은 25일 새벽 2시 판문점 평화의 집에서 청와대 춘추관으로 직행해 6개 항의 합의문을 발표하면서도 비교적 담담한 표정이었다.

김	김/NNP
실장은	실장/NNG+은/JX
25일	25/SN+일/NNB
새벽	새벽/NNG
2시	2/SN+시/NNB
판문점	판문점/NNP
평화의	평화/NNG+의/JKG
집에서	집/NNG+에서/JKB
청와대	청와대/NNP
춘추관으로	춘추관/NNP+으로/JKB
직행해	직행/NNG+하/XSV+아/EC
6개	6/SN+개/NNB
항의	항의/NNG
합의문을	합의문/NNG+을/JKO
발표하면서도	발표/NNG+하/XSV+면서/EC+도/JX
비교적	비교/NNG+적/XSN
담담한	담담하/VA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.383.9.2
그는 기자들의 질문에 짤막하게만 답변했다.

그는	그/NP+는/JX
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
짤막하게만	짤막하/VA+게/EC+만/JX
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.9.3
그날 밤 "수고하셨다"고 인사를 건네는 다른 수석비서관들에게 "모든 것은 대통령이 한 것이다.

그날	그날/NNG
밤	밤/NNG
"수고하셨다"고	"/SS+수고/NNG+하/XSV+시/EP+었/EP+다/EF+"/SS+고/JKQ
인사를	인사/NNG+를/JKO
건네는	건네/VV+는/ETM
다른	다른/MMD
수석비서관들에게	수석/NNG+비서관/NNG+들/XSN+에게/JKB
"모든	"/SS+모든/MMN
것은	것/NNB+은/JX
대통령이	대통령/NNG+이/JKS
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.383.9.4
다 대통령 덕분이다"고 말했다고 한다.

다	다/MAG
대통령	대통령/NNG
덕분이다"고	덕분/NNG+이/VCP+다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


