# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.79
metadata : {}


# id : NWRW1800000038.79.1.1
[이 영화] 어느 예술가의 마지막 일주일

[이	[/SS+이/MMD
"바이올린	"/SS+바이올린/NNG
하나쯤"이라고	하나/NR+쯤/XSN+"/SS+이라고/JKQ
말하지만	말/NNG+하/XSV+지만/EC
나세르에겐	나세르/NNP+에게/JKB+ㄴ/JX
몸의	몸/NNG+의/JKG
일부가	일부/NNG+가/JKS
떨어져	떨어지/VV+어/EC
나간	나가/VX+ㄴ/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.4.3
마음에 드는 바이올린을 못 찾고, 연주도 그만두게 되면서 자살하기로 마음먹는다.

마음에	마음/NNG+에/JKB
드는	들/VV+는/ETM
바이올린을	바이올린/NNG+을/JKO
못	못/MAG
찾고,	찾/VV+고/EC+,/SP
연주도	연주/NNG+도/JX
그만두게	그만두/VV+게/EC
되면서	되/VV+면서/EC
자살하기로	자살/NNG+하/XSV+기/ETN+로/JKB
마음먹는다.	마음먹/VV+는다/EF+./SF


# id : NWRW1800000038.79.4.4
안 아프고 우아하게 죽기 위해 침대에 누워 죽음이 찾아오길 기다린다.

안	안/MAG
아프고	아프/VA+고/EC
우아하게	우아하/VA+게/EC
죽기	죽/VV+기/ETN
위해	위하/VV+아/EC
침대에	침대/NNG+에/JKB
누워	눕/VV+어/EC
죽음이	죽음/NNG+이/JKS
찾아오길	찾아오/VV+기/ETN+ㄹ/JKO
기다린다.	기다리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.4.5
사신(死神)이 올 때까지 그는 과거를 회상한다.

사신(死神)이	사신/NNG+(/SS+死神/SH+)/SS+이/JKS
올	오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
그는	그/NP+는/JX
과거를	과거/NNG+를/JKO
회상한다.	회상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.4.6
나세르는 첫사랑인 이레인(골쉬프테 파라하니)과 헤어지지만 그 경험으로 음악적 기술인이 아닌 예술인이 된다.

나세르는	나세르/NNP+는/JX
첫사랑인	첫사랑/NNG+이/VCP+ㄴ/ETM
이레인(골쉬프테	이레인/NNP+(/SS+골쉬프테/NNP
파라하니)과	파라하니/NNP+)/SS+과/JKB
헤어지지만	헤어지/VV+지만/EC
그	그/MMD
경험으로	경험/NNG+으로/JKB
음악적	음악/NNG+적/XSN
기술인이	기술인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
예술인이	예술인/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.4.7
그리고 강압적인 어머니(이사벨라 로셀리니)에 의해 사랑하지도 않은 수학 교사와 결혼한다.

그리고	그리고/MAJ
강압적인	강압/NNG+적/XSN+이/VCP+ㄴ/ETM
어머니(이사벨라	어머니/NNG+(/SS+이사벨라/NNP
로셀리니)에	로셀리니/NNP+)/SS+에/JKB
의해	의하/VV+아/EC
사랑하지도	사랑/NNG+하/XSV+지/EC+도/JX
않은	않/VX+은/ETM
수학	수학/NNG
교사와	교사/NNG+와/JKB
결혼한다.	결혼/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.5.1
불행한 삶을 살아온 남자의 죽음을 다룬 이야기라지만 슬프지는 않다.

불행한	불행/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아온	살아오/VV+ㄴ/ETM
남자의	남자/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
이야기라지만	이야기/NNG+이/VCP+라지만/EC
슬프지는	슬프/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.79.5.2
그가 회상하는 유년 시기와 청년기에 코믹한 요소가 많아서이기도 하지만 그의 죽음 자체에 담긴 부조리함 때문이기도 하다.

그가	그/NP+가/JKS
회상하는	회상/NNG+하/XSV+는/ETM
유년	유년/NNG
시기와	시기/NNG+와/JC
청년기에	청년기/NNG+에/JKB
코믹한	코믹/NNG+하/XSA+ㄴ/ETM
요소가	요소/NNG+가/JKS
많아서이기도	많/VA+아서/EC+이/VCP+기/ETN+도/JX
하지만	하/VX+지만/EC
그의	그/NP+의/JKG
죽음	죽음/NNG
자체에	자체/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
부조리함	부/XPN+조리/NNG+하/XSA+ㅁ/ETN
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000038.79.5.3
영화의 원제는 '자두 치킨'.

영화의	영화/NNG+의/JKG
원제는	원제/NNG+는/JX
'자두	'/SS+자두/NNG
치킨'.	치킨/NNG+'/SS+./SF


# id : NWRW1800000038.79.5.4
나세르가 가장 좋아하는 음식이고, 그가 죽음을 결심한 뒤 아내가 삶의 의지를 되살리려고 만든 음식이다.

나세르가	나세르/NNP+가/JKS
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
음식이고,	음식/NNG+이/VCP+고/EC+,/SP
그가	그/NP+가/JKS
죽음을	죽음/NNG+을/JKO
결심한	결심/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
아내가	아내/NNG+가/JKS
삶의	삶/NNG+의/JKG
의지를	의지/NNG+를/JKO
되살리려고	되살리/VV+려고/EC
만든	만들/VV+ㄴ/ETM
음식이다.	음식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.5.5
젊은 날의 첫사랑이 안겨준 절망 때문에 중년의 나이에 죽음까지 결심하면서 인생의 절반을 함께한 여자가 차려준 음식을 거부하는 나세르를 어떻게 순수하게 동정할 수 있을까.

젊은	젊/VA+은/ETM
날의	날/NNG+의/JKG
첫사랑이	첫사랑/NNG+이/JKS
안겨준	안기/VV+어/EC+주/VX+ㄴ/ETM
절망	절망/NNG
때문에	때문/NNB+에/JKB
중년의	중년/NNG+의/JKG
나이에	나이/NNG+에/JKB
죽음까지	죽음/NNG+까지/JX
결심하면서	결심/NNG+하/XSV+면서/EC
인생의	인생/NNG+의/JKG
절반을	절반/NNG+을/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
여자가	여자/NNG+가/JKS
차려준	차리/VV+어/EC+주/VX+ㄴ/ETM
음식을	음식/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
나세르를	나세르/NNP+를/JKO
어떻게	어떻/VA+게/EC
순수하게	순수/NNG+하/XSA+게/EC
동정할	동정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000038.79.6.1
데뷔작인 애니메이션 '페르세폴리스'로 2007 칸국제영화제 심사위원상을 수상한 마르잔 사트라피(44)와 벵상 파로노(43) 감독이 또다시 공동 연출한 작품이다.

데뷔작인	데뷔작/NNG+이/VCP+ㄴ/ETM
애니메이션	애니메이션/NNG
'페르세폴리스'로	'/SS+페르세폴리스/NNP+'/SS+로/JKB
2007	2007/SN
칸국제영화제	칸/NNP+국제/NNG+영화제/NNG
심사위원상을	심사/NNG+위원/NNG+상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
마르잔	마르잔/NNP
사트라피(44)와	사트라피/NNP+(/SS+44/SN+)/SS+와/JC
벵상	벵상/NNP
파로노(43)	파로노/NNP+(/SS+43/SN+)/SS
감독이	감독/NNG+이/JKS
또다시	또다시/MAG
공동	공동/NNG
연출한	연출/NNG+하/XSV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.6.2
이번 영화는 실사(實寫)이지만 강렬한 음영의 대비와 인공적인 색채가 두드러져 여전히 애니메이션의 기운을 물씬 풍기고 있으며 애니메이션과 동화책 일러스트 등의 효과도 과감하게 사용한다.

이번	이번/NNG
영화는	영화/NNG+는/JX
실사(實寫)이지만	실사/NNG+(/SS+實寫/SH+)/SS+이/VCP+지만/EC
강렬한	강렬하/VA+ㄴ/ETM
음영의	음영/NNG+의/JKG
대비와	대비/NNG+와/JC
인공적인	인공/NNG+적/XSN+이/VCP+ㄴ/ETM
색채가	색채/NNG+가/JKS
두드러져	두드러지/VV+어/EC
여전히	여전히/MAG
애니메이션의	애니메이션/NNG+의/JKG
기운을	기운/NNG+을/JKO
물씬	물씬/MAG
풍기고	풍기/VV+고/EC
있으며	있/VX+으며/EC
애니메이션과	애니메이션/NNG+과/JC
동화책	동화책/NNG
일러스트	일러스트/NNG
등의	등/NNB+의/JKG
효과도	효과/NNG+도/JX
과감하게	과감하/VA+게/EC
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.6.3
마술적이고 몽환적이며 때로는 미소가 번질 정도로 유쾌하긴 하지만 인물의 감정이 깊게 표현되진 않는다.

마술적이고	마술/NNG+적/XSN+이/VCP+고/EC
몽환적이며	몽환/NNG+적/XSN+이/VCP+며/EC
때로는	때로/MAG+는/JX
미소가	미소/NNG+가/JKS
번질	번지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
유쾌하긴	유쾌/NNG+하/XSA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
인물의	인물/NNG+의/JKG
감정이	감정/NNG+이/JKS
깊게	깊/VA+게/EC
표현되진	표현/NNG+되/XSV+지/EC+ㄴ/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.79.6.4
차라리 이 영화를 실사가 아닌 애니메이션으로 만들었으면 관객들이 몰입하기 더 쉬웠을지도 모른다.

차라리	차라리/MAG
이	이/MMD
영화를	영화/NNG+를/JKO
실사가	실사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
애니메이션으로	애니메이션/NNG+으로/JKB
만들었으면	만들/VV+었/EP+으면/EC
관객들이	관객/NNG+들/XSN+이/JKS
몰입하기	몰입/NNG+하/XSV+기/ETN
더	더/MAG
쉬웠을지도	쉽/VA+었/EP+을지/EC+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.7.1
내러티브가 비선형적인 데다가 관습적으로 진행되지 않는 이 영화에 당황스러운 관객이라도 음악을 들으면서 평정심을 찾을 수 있을 것이다.

내러티브가	내러티브/NNG+가/JKS
비선형적인	비/XPN+선형/NNG+적/XSN+이/VCP+ㄴ/ETM
데다가	데/NNB+다가/JX
관습적으로	관습/NNG+적/XSN+으로/JKB
진행되지	진행/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
이	이/MMD
영화에	영화/NNG+에/JKB
당황스러운	당황/NNG+스럽/XSA+ㄴ/ETM
관객이라도	관객/NNG+이/VCP+라도/EC
음악을	음악/NNG+을/JKO
들으면서	듣/VV+으면서/EC
평정심을	평정심/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.7.2
클래식, 탱고, 재즈 등 다채로운 음악이 어우러지고 전통 서양 악기뿐 아니라 기타, 페르시아(옛 이란)에서 시작돼 인도 북부에서 주로 사용된 악기인 시타르를 비롯해 글로켄슈필(철금) 등 각종 타악기가 동원된다.

클래식,	클래식/NNG+,/SP
탱고,	탱고/NNG+,/SP
재즈	재즈/NNG
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
음악이	음악/NNG+이/JKS
어우러지고	어우러지/VV+고/EC
전통	전통/NNG
서양	서양/NNG
악기뿐	악기/NNG+뿐/JX
아니라	아니/VCN+라/EC
기타,	기타/NNG+,/SP
페르시아(옛	페르시아/NNP+(/SS+옛/MMA
이란)에서	이란/NNP+)/SS+에서/JKB
시작돼	시작/NNG+되/XSV+어/EC
인도	인도/NNP
북부에서	북부/NNG+에서/JKB
주로	주로/MAG
사용된	사용/NNG+되/XSV+ㄴ/ETM
악기인	악기/NNG+이/VCP+ㄴ/ETM
시타르를	시타르/NNG+를/JKO
비롯해	비롯하/VV+아/EC
글로켄슈필(철금)	글로켄슈필/NNG+(/SS+철금/NNG+)/SS
각종	각종/NNG
타악기가	타악기/NNG+가/JKS
동원된다.	동원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.7.3
잔잔하고 로맨틱한 선율이라 여러 방향으로 통통 튀는 영화의 결을 한 방향으로 가다듬어주는 역할을 한다.

잔잔하고	잔잔하/VA+고/EC
로맨틱한	로맨틱/NNG+하/XSA+ㄴ/ETM
선율이라	선율/NNG+이/VCP+라/EC
여러	여러/MMN
방향으로	방향/NNG+으로/JKB
통통	통통/MAG
튀는	튀/VV+는/ETM
영화의	영화/NNG+의/JKG
결을	결/NNG+을/JKO
한	한/MMN
가다듬어주는	가다듬/VV+어/EC+주/VX+는/ETM
역할을	역할/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.7.4
20일 개봉.

20일	20/SN+일/NNB
개봉.	개봉/NNG+./SF


# id : NWRW1800000038.79.7.5
15세 이상 관람가.

15세	15/SN+세/NNB
이상	이상/NNG
관람가.	관람/NNG+가/NNG+./SF


