# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.50
metadata : {}


# id : NWRW1800000024.50.1.1
‘선진’과 ‘창조’ 툭하면 불협화음

‘선진’과	‘/SS+선진/NNG+’/SS+과/JC
6·15	6/SN+·/SP+15/SN
선언과	선언/NNG+과/JC
10·4	10/SN+·/SP+4/SN
합의	합의/NNG
준수	준수/NNG
주장	주장/NNG
역시	역시/MAG
현실을	현실/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
처사로	처사/NNG+로/JKB
북한당국의	북한/NNP+당국/NNG+의/JKG
주장과	주장/NNG+과/JKB
다르지	다르/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.4.1
앞서 지난 2일엔 이회창 자유선진당 총재가 창조한국당의 이용경 원내수석부대표가 외통위 폭력 사태에 관해 위원회 차원의 사과를 하기로 합의한 것을 두고 “우리가 교섭단체를 이루고 있는 선진과 창조의 모임 부대표가 나서 이런 합의에 동의한 것은 참으로 어처구니가 없다”고 직설적으로 비판했다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
2일엔	2/SN+일/NNB+에/JKB+ㄴ/JX
이회창	이회창/NNP
자유선진당	자유선진당/NNP
총재가	총재/NNG+가/JKS
창조한국당의	창조한국당/NNP+의/JKG
이용경	이용경/NNP
원내수석부대표가	원내/NNG+수석/NNG+부대표/NNG+가/JKS
외통위	외통위/NNG
폭력	폭력/NNG
사태에	사태/NNG+에/JKB
관해	관하/VV+아/EC
위원회	위원회/NNG
차원의	차원/NNG+의/JKG
사과를	사과/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“우리가	“/SS+우리/NP+가/JKS
교섭단체를	교섭/NNG+단체/NNG+를/JKO
이루고	이루/VV+고/EC
있는	있/VX+는/ETM
선진과	선진/NNG+과/JC
창조의	창조/NNG+의/JKG
모임	모임/NNG
부대표가	부대표/NNG+가/JKS
나서	나/VV+아서/EC
이런	이런/MMD
합의에	합의/NNG+에/JKB
동의한	동의/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
참으로	참으로/MAG
어처구니가	어처구니/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
직설적으로	직설/NNG+적/XSN+으로/JKB
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.5.1
두 당의 ‘삐걱거림’은 예견된 것이다.

두	두/MMN
당의	당/NNG+의/JKG
‘삐걱거림’은	‘/SS+삐걱거리/VV+ㅁ/ETN+’/SS+은/JX
예견된	예견/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.50.5.2
정통 보수를 표방한 선진당과 일정 부분 진보적이란 평가를 받는 창조한국당은 다른 ‘색깔’ 탓에 지난해 5월 공동 교섭단체 구성 당시에도 △대운하 반대 △공교육 강화 △미국산 쇠고기 수입 반대 △중소기업 지원 강화 등 4개 분야만의 한정된 정책공조를 약속했다.

정통	정통/NNG
보수를	보수/NNG+를/JKO
표방한	표방/NNG+하/XSV+ㄴ/ETM
선진당과	선진당/NNP+과/JC
일정	일정/NNG
부분	부분/NNG
진보적이란	진보/NNG+적/XSN+이/VCP+란/ETM
평가를	평가/NNG+를/JKO
받는	받/VV+는/ETM
창조한국당은	창조한국당/NNP+은/JX
다른	다른/MMD
‘색깔’	‘/SS+색깔/NNG+’/SS
탓에	탓/NNG+에/JKB
지난해	지난해/NNG
5월	5/SN+월/NNB
공동	공동/NNG
교섭단체	교섭/NNG+단체/NNG
구성	구성/NNG
당시에도	당시/NNG+에/JKB+도/JX
△대운하	△/SW+대/XPN+운하/NNG
반대	반대/NNG
△공교육	△/SW+공교육/NNG
강화	강화/NNG
△미국산	△/SW+미국/NNP+산/XSN
쇠고기	쇠고기/NNG
수입	수입/NNG
△중소기업	△/SW+중소기업/NNG
지원	지원/NNG
등	등/NNB
4개	4/SN+개/NNB
분야만의	분야/NNG+만/JX+의/JKG
한정된	한정/NNG+되/XSV+ㄴ/ETM
정책공조를	정책/NNG+공조/NNG+를/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.6.1
권선택 자유선진당 원내대표는 “두 당의 정체성 차이가 분명히 존재한다”며 “특히 교섭단체 대표 연설에 관해 사전 조율을 했지만 북핵 문제 등은 선진당의 당론과 확연히 달라 분명한 태도를 밝힐 필요가 있었다”고 말했다.

권선택	권선택/NNP
자유선진당	자유선진당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“두	“/SS+두/MMN
당의	당/NNG+의/JKG
정체성	정체/NNG+성/XSN
차이가	차이/NNG+가/JKS
분명히	분명히/MAG
존재한다”며	존재/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
교섭단체	교섭/NNG+단체/NNG
대표	대표/NNG
연설에	연설/NNG+에/JKB
관해	관하/VV+아/EC
사전	사전/NNG
조율을	조율/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
북핵	북핵/NNG
문제	문제/NNG
등은	등/NNB+은/JX
선진당의	선진당/NNP+의/JKG
당론과	당론/NNG+과/JKB
확연히	확연히/MAG
달라	다르/VA+아/EC
분명한	분명/MAG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.6.2
박선영 대변인은 “4개 정책 공조 분야 외에 다른 목소리가 나오는 것은 당연하다.

박선영	박선영/NNP
대변인은	대변인/NNG+은/JX
“4개	“/SS+4/SN+개/NNB
정책	정책/NNG
공조	공조/NNG
분야	분야/NNG
외에	외/NNB+에/JKB
다른	다른/MMD
목소리가	목소리/NNG+가/JKS
나오는	나오/VV+는/ETM
것은	것/NNB+은/JX
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.50.6.3
하지만 앞으로도 선진당의 정책과 다른 부분은 계속 논평을 통해 지적할 것”이라고 말했다.

하지만	하지만/MAJ
앞으로도	앞/NNG+으로/JKB+도/JX
선진당의	선진당/NNP+의/JKG
정책과	정책/NNG+과/JKB
다른	다른/MMD
부분은	부분/NNG+은/JX
계속	계속/MAG
논평을	논평/NNG+을/JKO
통해	통하/VV+아/EC
지적할	지적/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.6.4
김동민 창조한국당 사무총장은 “네 가지 사안 외에 불협화음을 내는 건 자연스러운 것”이라면서도 “창조한국당은 사안에 따라 야당, 시민단체와도 연대하는 등 고유 방향대로 활동할 것”이라고 말했다.

김동민	김동민/NNP
창조한국당	창조한국당/NNP
사무총장은	사무총장/NNG+은/JX
“네	“/SS+네/MMN
가지	가지/NNB
사안	사안/NNG
외에	외/NNB+에/JKB
불협화음을	불협화음/NNG+을/JKO
내는	내/VV+는/ETM
건	거/NNB+ㄴ/JX
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“창조한국당은	“/SS+창조한국당/NNP+은/JX
사안에	사안/NNG+에/JKB
따라	따르/VV+아/EC
야당,	야당/NNG+,/SP
시민단체와도	시민/NNG+단체/NNG+와/JKB+도/JX
연대하는	연대/NNG+하/XSV+는/ETM
등	등/NNB
고유	고유/NNG
방향대로	방향/NNG+대로/JX
활동할	활동/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


