# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.49
metadata : {}


# id : NWRW1800000022.49.1.1
부산외대, 동티모르에 '한국어 문화센터' 개설;1만 산업연수생에게 한국을 가르친다

부산외대,	부산외대/NNP+,/SP
# id : NWRW1800000022.49.6.2
라모스 오르타 대통령은 동티모르의 비폭력 독립운동을 이끈 공로로 1996년 노벨 평화상을 받은 바 있다.

라모스	라모스/NNP
오르타	오르타/NNP
대통령은	대통령/NNG+은/JX
동티모르의	동티모르/NNP+의/JKG
비폭력	비/XPN+폭력/NNG
독립운동을	독립운동/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
공로로	공로/NNG+로/JKB
1996년	1996/SN+년/NNB
노벨	노벨/NNP
평화상을	평화상/NNG+을/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.49.7.1
이재혁 입학홍보처장은 "외국어로서 한국어를 가르칠 수 있는 교육 방법이나 교재, 교육시스템이 이미 구축돼 있다"면서 "전체 인구가 120만명인 동티모르에서 1만명이 한국어 교육 등을 받으면서 한국에 대해 배운다는 것은 상당한 의미가 있다"고 말했다.

이재혁	이재혁/NNP
입학홍보처장은	입학/NNG+홍보처장/NNG+은/JX
"외국어로서	"/SS+외국어/NNG+로서/JKB
한국어를	한국어/NNP+를/JKO
가르칠	가르치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
교육	교육/NNG
방법이나	방법/NNG+이나/JC
교재,	교재/NNG+,/SP
교육시스템이	교육/NNG+시스템/NNG+이/JKS
이미	이미/MAG
구축돼	구축/NNG+되/XSV+어/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"전체	"/SS+전체/NNG
인구가	인구/NNG+가/JKS
120만명인	120/SN+만/NR+명/NNB+이/VCP+ㄴ/ETM
동티모르에서	동티모르/NNP+에서/JKB
1만명이	1/SN+만/NR+명/NNB+이/JKS
한국어	한국어/NNP
등을	등/NNB+을/JKO
받으면서	받/VV+으면서/EC
한국에	한국/NNP+에/JKB
대해	대하/VV+아/EC
배운다는	배우/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.49.8.1
한국어 교육은 짧게는 6개월에서 길게는 12개월까지 진행될 예정인데 산업연수생이 입국 전에 체계적인 언어, 문화 교육을 받는 사례는 거의 없는 것으로 알려졌다.

한국어	한국어/NNP
교육은	교육/NNG+은/JX
짧게는	짧/VA+게/EC+는/JX
6개월에서	6/SN+개월/NNB+에서/JKB
길게는	길/VA+게/EC+는/JX
12개월까지	12/SN+개월/NNB+까지/JX
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정인데	예정/NNG+이/VCP+ㄴ데/EC
산업연수생이	산업/NNG+연수/NNG+생/XSN+이/JKS
입국	입국/NNG
전에	전/NNG+에/JKB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
언어,	언어/NNG+,/SP
문화	문화/NNG
교육을	교육/NNG+을/JKO
받는	받/VV+는/ETM
사례는	사례/NNG+는/JX
거의	거의/MAG
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.49.9.1
한국산업인력공단 부산지역본부 서창승 외국인고용지원팀장은 "정부와 산업연수생 파견 협약을 맺은 15개 국가 중에서 입국 전에 체계적인 한국 관련 교육을 받을 수 있는 곳은 없다"고 말했다.

한국산업인력공단	한국산업인력공단/NNP
부산지역본부	부산지역/NNP+본부/NNG
서창승	서창승/NNP
외국인고용지원팀장은	외국인/NNG+고용/NNG+지원/NNG+팀장/NNG+은/JX
"정부와	"/SS+정부/NNG+와/JC
산업연수생	산업/NNG+연수/NNG+생/XSN
파견	파견/NNG
협약을	협약/NNG+을/JKO
맺은	맺/VV+은/ETM
15개	15/SN+개/NNB
국가	국가/NNG
중에서	중/NNB+에서/JKB
입국	입국/NNG
전에	전/NNG+에/JKB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
한국	한국/NNP
관련	관련/NNG
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
곳은	곳/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.49.9.2
때문에 한국에 들어온 산업연수생들이 언어와 문화에 대한 이해 부족으로 적응에 어려움을 겪는 경우가 많은 실정이다.

때문에	때문/NNB+에/JKB
한국에	한국/NNP+에/JKB
들어온	들어오/VV+ㄴ/ETM
산업연수생들이	산업/NNG+연수/NNG+생/XSN+들/XSN+이/JKS
언어와	언어/NNG+와/JC
문화에	문화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해	이해/NNG
부족으로	부족/NNG+으로/JKB
적응에	적응/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
경우가	경우/NNG+가/JKS
많은	많/VA+은/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.49.10.1
부산외대 유선규 총장은 "동티모르는 석유와 천연가스가 풍부해 미국, 호주 등 세계의 주목을 받는 신생국이지만 어려움이 많은 나라"라며 "이 나라가 국가의 기초를 닦는 시점에 한국의 대학이 작은 도움이라도 줄 수 있고, 또 그것이 우리나라의 이미지를 드높이는 계기로 작용할 수 있을 것으로 기대한다"고 말했다.

부산외대	부산외대/NNP
유선규	유선규/NNP
총장은	총장/NNG+은/JX
"동티모르는	"/SS+동티모르/NNP+는/JX
석유와	석유/NNG+와/JKB
천연가스가	천연가스/NNG+가/JKS
풍부해	풍부하/VA+아/EC
미국,	미국/NNP+,/SP
호주	호주/NNP
등	등/NNB
세계의	세계/NNG+의/JKG
주목을	주목/NNG+을/JKO
받는	받/VV+는/ETM
신생국이지만	신생국/NNG+이/VCP+지만/EC
어려움이	어려움/NNG+이/JKS
많은	많/VA+은/ETM
나라"라며	나라/NNG+"/SS+이/VCP+라며/EC
"이	"/SS+이/MMD
나라가	나라/NNG+가/JKS
국가의	국가/NNG+의/JKG
기초를	기초/NNG+를/JKO
닦는	닦/VV+는/ETM
시점에	시점/NNG+에/JKB
한국의	한국/NNP+의/JKG
대학이	대학/NNG+이/JKS
작은	작/VA+은/ETM
도움이라도	도움/NNG+이라도/JX
줄	주/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
또	또/MAG
그것이	그것/NP+이/JKS
우리나라의	우리나라/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
드높이는	드높이/VV+는/ETM
계기로	계기/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


