# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.60
metadata : {}


# id : NWRW1800000038.60.1.1
누군가를 계속 도와야 안심 된다면 알코올·도박 같은 중독 질환일 수도

누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
잡지	잡/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.5
남자친구가 함부로 대하고 심지어 때려도, 그가 없는 삶은 상상할 수 없다며 복종했다.

남자친구가	남자/NNG+친구/NNG+가/JKS
함부로	함부로/MAG
대하고	대하/VV+고/EC
심지어	심지어/MAG
때려도,	때리/VV+어도/EC+,/SP
그가	그/NP+가/JKS
없는	없/VA+는/ETM
삶은	삶/NNG+은/JX
상상할	상상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
복종했다.	복종/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.6
전 남자친구와 사귈 때도 똑같았다.

전	전/MMD
남자친구와	남자/NNG+친구/NNG+와/JKB
사귈	사귀/VV+ㄹ/ETM
때도	때/NNG+도/JX
똑같았다.	똑같/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.7
유씨같은 증상을 '관계중독'이라고 한다.

유씨같은	유/NNP+씨/NNB+같/VA+은/ETM
증상을	증상/NNG+을/JKO
'관계중독'이라고	'/SS+관계/NNG+중독/NNG+'/SS+이라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.60.4.1
보통 중독이라고 하면 알코올, 도박 등을 떠올리지만 권씨, 유씨같은 사례도 중독 증상이라고 볼 수 있다.

보통	보통/MAG
중독이라고	중독/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
알코올,	알코올/NNG+,/SP
도박	도박/NNG
등을	등/NNB+을/JKO
떠올리지만	떠올리/VV+지만/EC
권씨,	권/NNP+씨/NNB+,/SP
유씨같은	유/NNP+씨/NNB+같/VA+은/ETM
사례도	사례/NNG+도/JX
중독	중독/NNG
증상이라고	증상/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.60.4.2
서울중독심리연구소 김형근 소장은 "우리연구소를 찾는 중독 환자의 30% 정도는 관계중독과 동반의존증을 보이고 있다"고 말했다.

서울중독심리연구소	서울중독심리연구소/NNP
김형근	김형근/NNP
소장은	소장/NNG+은/JX
"우리연구소를	"/SS+우리/NP+연구소/NNG+를/JKO
찾는	찾/VV+는/ETM
중독	중독/NNG
환자의	환자/NNG+의/JKG
30%	30/SN+%/SW
정도는	정도/NNG+는/JX
관계중독과	관계/NNG+중독/NNG+과/JC
동반의존증을	동반/NNG+의존증/NNG+을/JKO
보이고	보이/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.5.1
인천성모병원 정신건강의학과 기선완 교수에 따르면 중독에는 3가지 공통된 특징이 있다.

인천성모병원	인천성모병원/NNP
정신건강의학과	정신/NNG+건강/NNG+의학과/NNG
기선완	기선완/NNP
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
중독에는	중독/NNG+에/JKB+는/JX
3가지	3/SN+가지/NNB
공통된	공통/NNG+되/XSV+ㄴ/ETM
특징이	특징/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.60.5.2
통제가 안 되고, 내성이나 금단 증상이 생기고, 모든 면에서 부정적 결과가 나타나는 것이다.

통제가	통제/NNG+가/JKS
안	안/MAG
되고,	되/VV+고/EC+,/SP
내성이나	내성/NNG+이나/JC
금단	금단/NNG
증상이	증상/NNG+이/JKS
생기고,	생기/VV+고/EC+,/SP
모든	모든/MMN
면에서	면/NNG+에서/JKB
부정적	부정/NNG+적/XSN
결과가	결과/NNG+가/JKS
나타나는	나타나/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.60.5.3
관계중독은 ▷관계가 바람직하지 않다는 것을 알면서도 또 다른 대상이 나타나지 않는 한 끊을 수 없다 ▷관계를 맺지 않으면 불안해 견딜 수 없다 ▷중독된 관계 속에서의 일 말고는 아무것도 할 수 없고, 관계를 맺은 상대에게 항상 버림받는다는 특징이 있다.

관계중독은	관계/NNG+중독/NNG+은/JX
▷관계가	▷/SW+관계/NNG+가/JKS
바람직하지	바람직하/VA+지/EC
않다는	않/VX+다는/ETM
것을	것/NNB+을/JKO
알면서도	알/VV+면서/EC+도/JX
또	또/MAG
다른	다른/MMD
대상이	대상/NNG+이/JKS
나타나지	나타나/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
끊을	끊/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF
▷관계를	▷/SW+관계/NNG+를/JKO
맺지	맺/VV+지/EC
않으면	않/VX+으면/EC
불안해	불안/NNG+하/XSA+아/EC
견딜	견디/VV+ㄹ/ETM
▷중독된	▷/SW+중독/NNG+되/XSV+ㄴ/ETM
관계	관계/NNG
속에서의	속/NNG+에서/JKB+의/JKG
일	일/NNG
말고는	말/VV+고/EC+는/JX
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
없고,	없/VA+고/EC+,/SP
관계를	관계/NNG+를/JKO
맺은	맺/VV+은/ETM
상대에게	상대/NNG+에게/JKB
항상	항상/MAG
버림받는다는	버림받/VV+는다는/ETM
특징이	특징/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.60.6.1
동반의존증의 특징은 ▷남의 일에 간섭하면서 고통·스트레스를 받지만 돕는 것을 그만둘 수 없다 ▷남에게 도움을 주지 않으면 우울해 견딜 수 없다 ▷정작 상대방은 좋아하지도 않고, 좋은 방향으로 변하지도 않는다는 것이다.

동반의존증의	동반/NNG+의존증/NNG+의/JKG
특징은	특징/NNG+은/JX
▷남의	▷/SW+남/NNG+의/JKG
일에	일/NNG+에/JKB
간섭하면서	간섭/NNG+하/XSV+면서/EC
고통·스트레스를	고통/NNG+·/SP+스트레스/NNG+를/JKO
받지만	받/VV+지만/EC
돕는	돕/VV+는/ETM
것을	것/NNB+을/JKO
그만둘	그만두/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EF
▷남에게	▷/SW+남/NNG+에게/JKB
도움을	도움/NNG+을/JKO
주지	주/VV+지/EC
않으면	않/VX+으면/EC
우울해	우울/NNG+하/XSA+아/EC
견딜	견디/VV+ㄹ/ETM
▷정작	▷/SW+정작/MAG
상대방은	상대방/NNG+은/JX
좋아하지도	좋아하/VV+지/EC+도/JX
않고,	않/VX+고/EC+,/SP
좋은	좋/VA+은/ETM
방향으로	방향/NNG+으로/JKB
변하지도	변하/VV+지/EC+도/JX
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.60.7.1
이 두 가지 증상은 어렸을 때 받은 상처로 '나는 쓸모없는 사람'이라고 생각하기 때문에 생긴다.

이	이/MMD
두	두/MMN
가지	가지/NNB
증상은	증상/NNG+은/JX
어렸을	어리/VA+었/EP+을/ETM
때	때/NNG
받은	받/VV+은/ETM
상처로	상처/NNG+로/JKB
'나는	'/SS+나/NP+는/JX
쓸모없는	쓸모없/VA+는/ETM
사람'이라고	사람/NNG+'/SS+이라고/JKQ
생각하기	생각/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.60.7.2
이런 사람이 '사랑받을 수 있다면 나는 쓸모있는 사람'이라고 착각하면 관계중독이 될 수 있다.

이런	이런/MMD
사람이	사람/NNG+이/JKS
'사랑받을	'/SS+사랑/NNG+받/XSV+을/ETM
수	수/NNB
있다면	있/VA+다면/EC
나는	나/NP+는/JX
쓸모있는	쓸모/NNG+있/VA+는/ETM
사람'이라고	사람/NNG+'/SS+이라고/JKQ
착각하면	착각/NNG+하/XSV+면/EC
관계중독이	관계/NNG+중독/NNG+이/JKC
될	되/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.60.7.3
또 '누군가를 도울 수 있다면 나는 쓸모있는 사람'으로 생각이 발전하면 동반의존증이 된다.

또	또/MAG
'누군가를	'/SS+누구/NP+이/VCP+ㄴ가/EF+를/JKO
도울	돕/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
나는	나/NP+는/JX
쓸모있는	쓸모/NNG+있/VA+는/ETM
사람'으로	사람/NNG+'/SS+으로/JKB
생각이	생각/NNG+이/JKS
발전하면	발전/NNG+하/XSV+면/EC
동반의존증이	동반/NNG+의존증/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.60.7.4
김형근 소장은 "어렸을 때 부모와 떨어져 살았거나 가정에서 사랑을 받지 못하고 학대·무시를 당한 경험이 있다면 이런 증상이 생길 가능성이 있다"고 말했다.

김형근	김형근/NNP
소장은	소장/NNG+은/JX
"어렸을	"/SS+어리/VA+었/EP+을/ETM
때	때/NNG
부모와	부모/NNG+와/JKB
떨어져	떨어지/VV+어/EC
살았거나	살/VV+았/EP+거나/EC
가정에서	가정/NNG+에서/JKB
사랑을	사랑/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
학대·무시를	학대/NNG+·/SP+무시/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다면	있/VA+다면/EC
이런	이런/MMD
증상이	증상/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.8.1
관계중독과 동반의존증이 심해지면 우울증, 편집증세, 폭식 습관, 또 다른 중독이 생길 수도 있다.

관계중독과	관계/NNG+중독/NNG+과/JC
동반의존증이	동반/NNG+의존증/NNG+이/JKS
심해지면	심하/VA+아/EC+지/VX+면/EC
우울증,	우울증/NNG+,/SP
편집증세,	편집/NNG+증세/NNG+,/SP
폭식	폭식/NNG
습관,	습관/NNG+,/SP
또	또/MAG
다른	다른/MMD
중독이	중독/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.60.8.2
드물지만 자살하는 일도 생긴다.

드물지만	드물/VA+지만/EC
자살하는	자살/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.60.9.1
증상이 있는 사람은 심리상담이나 인지행동 치료 등이 필요한데, 보통 6개월~2년 정도 받으면 낫는다.

증상이	증상/NNG+이/JKS
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
심리상담이나	심리/NNG+상담/NNG+이나/JC
인지행동	인지/NNG+행동/NNG
치료	치료/NNG
등이	등/NNB+이/JKS
필요한데,	필요/NNG+하/XSA+ㄴ데/EC+,/SP
보통	보통/MAG
6개월~2년	6/SN+개월/NNB+~/SO+2/SN+년/NNB
정도	정도/NNG
받으면	받/VV+으면/EC
낫는다.	낫/VV+는다/EF+./SF


# id : NWRW1800000038.60.9.2
증상이 심하거나 급성으로 나타나면 항우울제 등을 쓰기도 한다.

증상이	증상/NNG+이/JKS
심하거나	심하/VA+거나/EC
급성으로	급성/NNG+으로/JKB
나타나면	나타나/VV+면/EC
항우울제	항우울제/NNG
등을	등/NNB+을/JKO
쓰기도	쓰/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.60.10.1
학계에서는 관계중독과 동반의존증을 정신질환인 중독으로 보기 어렵다고도 한다.

학계에서는	학계/NNG+에서/JKB+는/JX
관계중독과	관계/NNG+중독/NNG+과/JC
동반의존증을	동반/NNG+의존증/NNG+을/JKO
정신질환인	정신/NNG+질환/NNG+이/VCP+ㄴ/ETM
중독으로	중독/NNG+으로/JKB
보기	보/VV+기/ETN
어렵다고도	어렵/VA+다고/EC+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.60.10.2
연구로 입증된 게 거의 없다는 것이다.

연구로	연구/NNG+로/JKB
입증된	입증/NNG+되/XSV+ㄴ/ETM
게	거/NNB+이/JKS
거의	거의/MAG
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.60.10.3
세브란스병원 남궁기 교수는 "사람끼리 관계를 맺는 일종의 유형일 뿐, 학계에서 정설로 인정된 건 아니다"라고 말했다.

세브란스병원	세브란스병원/NNP
남궁기	남궁기/NNP
교수는	교수/NNG+는/JX
"사람끼리	"/SS+사람/NNG+끼리/XSN
관계를	관계/NNG+를/JKO
맺는	맺/VV+는/ETM
일종의	일종/NNG+의/JKG
유형일	유형/NNG+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
학계에서	학계/NNG+에서/JKB
정설로	정설/NNG+로/JKB
인정된	인정/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


