# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.326
metadata : {}


# id : NWRW1800000028.326.1.1
“드라마 속 가족, 가부장제·이기주의 팽배”

“드라마	“/SS+드라마/NNG
“<글로리아>에는 첩을 둔 기업 회장이 두 사람이나 등장하고, 그들은 아내 앞에서 당당하게 첩과 전화 통화까지 한다”고 지적했다.

“<글로리아>에는	“/SS+</SS+글로리아/NNP+>/SS+에/JKB+는/JX
첩을	첩/NNG+을/JKO
둔	두/VV+ㄴ/ETM
기업	기업/NNG
회장이	회장/NNG+이/JKS
두	두/MMN
사람이나	사람/NNG+이나/JX
등장하고,	등장/NNG+하/XSV+고/EC+,/SP
그들은	그/NP+들/XSN+은/JX
아내	아내/NNG
앞에서	앞/NNG+에서/JKB
당당하게	당당/MAG+하/XSA+게/EC
첩과	첩/NNG+과/JKB
전화	전화/NNG
통화까지	통화/NNG+까지/JX
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.4.4
“교수인 남편을 뒷바라지한 아내를 멸시하는 <결혼해주세요>처럼 불평등한 부부의 모습을 청소년들이 배울까 염려된다”는 점도 덧붙였다.

“교수인	“/SS+교수/NNG+이/VCP+ㄴ/ETM
남편을	남편/NNG+을/JKO
뒷바라지한	뒷바라지/NNG+하/XSV+ㄴ/ETM
아내를	아내/NNG+를/JKO
멸시하는	멸시/NNG+하/XSV+는/ETM
<결혼해주세요>처럼	</SS+결혼/NNG+하/XSV+아/EC+주/VX+시/EP+어요/EF+>/SS+처럼/JKB
불평등한	불/XPN+평등/NNG+하/XSA+ㄴ/ETM
부부의	부부/NNG+의/JKG
모습을	모습/NNG+을/JKO
청소년들이	청소년/NNG+들/XSN+이/JKS
배울까	배우/VV+ㄹ까/EF
염려된다”는	염려/NNG+되/XSV+ㄴ다/EF+”/SS+는/ETM
점도	점/NNG+도/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.326.4.5
또 <제빵왕 김탁구> 등이 1970~80년대를 배경으로 하고 있지만 21세기에 남아 선호를 노골적으로 드러내는 내용을 방송한다는 점도 문제라고 꼬집었다.

또	또/MAG
<제빵왕	</SS+제빵왕/NNG
김탁구>	김탁구/NNP+>/SS
등이	등/NNB+이/JKS
1970~80년대를	1970/SN+~/SO+80/SN+년대/NNB+를/JKO
배경으로	배경/NNG+으로/JKB
하고	하/VV+고/EC
있지만	있/VX+지만/EC
21세기에	21/SN+세기/NNG+에/JKB
남아	남아/NNG
선호를	선호/NNG+를/JKO
노골적으로	노골/NNG+적/XSN+으로/JKB
드러내는	드러내/VV+는/ETM
내용을	내용/NNG+을/JKO
방송한다는	방송/NNG+하/XSV+ㄴ다는/ETM
점도	점/NNG+도/JX
문제라고	문제/NNG+이/VCP+라고/EC
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.326.5.1
드라마들이 가족 이기주의를 모성애나 부성애로 포장하는 점도 비판받았다.

드라마들이	드라마/NNG+들/XSN+이/JKS
가족	가족/NNG
이기주의를	이기주의/NNG+를/JKO
모성애나	모성애/NNG+나/JC
부성애로	부성애/NNG+로/JKB
포장하는	포장/NNG+하/XSV+는/ETM
점도	점/NNG+도/JX
비판받았다.	비판/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.5.2
특히 <제빵왕 김탁구>는 서인숙(전인화)이 아들 마준(주원)을 위해 김탁구(윤시윤)를 원양어선에 팔아넘기는 등 내 자식을 위해서라면 다른 사람의 자식은 죽어도 된다는 설정이 습관처럼 등장한다고 분석했다.

특히	특히/MAG
<제빵왕	</SS+제빵왕/NNG
김탁구>는	김탁구/NNP+>/SS+는/JX
서인숙(전인화)이	서인숙/NNP+(/SS+전인화/NNP+)/SS+이/JKS
아들	아들/NNG
마준(주원)을	마준/NNP+(/SS+주원/NNP+)/SS+을/JKO
위해	위하/VV+아/EC
김탁구(윤시윤)를	김탁구/NNP+(/SS+윤시윤/NNP+)/SS+를/JKO
원양어선에	원양/NNG+어선/NNG+에/JKB
팔아넘기는	팔아넘기/VV+는/ETM
등	등/NNB
내	나/NP+의/JKG
자식을	자식/NNG+을/JKO
위해서라면	위하/VV+아서/EC+이/VCP+라면/EC
다른	다른/MMD
사람의	사람/NNG+의/JKG
자식은	자식/NNG+은/JX
죽어도	죽/VV+어도/EC
된다는	되/VV+ㄴ다는/ETM
설정이	설정/NNG+이/JKS
습관처럼	습관/NNG+처럼/JKB
등장한다고	등장/NNG+하/XSV+ㄴ다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.6.1
이런 경향 속에서 어머니의 역할이 왜곡되는 점도 지적됐다.

이런	이런/MMD
경향	경향/NNG
속에서	속/NNG+에서/JKB
어머니의	어머니/NNG+의/JKG
역할이	역할/NNG+이/JKS
왜곡되는	왜곡/NNG+되/XSV+는/ETM
점도	점/NNG+도/JX
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.326.6.2
드라마 속 어머니들이 허수아비 같은 존재거나 탐욕스런 가치관을 자녀들에게 강요하는 모습으로 그려지는 부분이다.

드라마	드라마/NNG
속	속/NNG
어머니들이	어머니/NNG+들/XSN+이/JKS
허수아비	허수아비/NNG
같은	같/VA+은/ETM
존재거나	존재/NNG+이/VCP+거나/EC
탐욕스런	탐욕/NNG+스럽/XSA+ㄴ/ETM
가치관을	가치관/NNG+을/JKO
자녀들에게	자녀/NNG+들/XSN+에게/JKB
강요하는	강요/NNG+하/XSV+는/ETM
모습으로	모습/NNG+으로/JKB
그려지는	그리/VV+어/EC+지/VX+는/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.326.6.3
<자이언트>에서 황정식의 어머니는 아들을 어떻게든 사장 자리에 앉히려고 욕심만 부리는 천박한 여성으로 나오고, <결혼해주세요>의 김태호 어머니는 가부장적인 남편 때문에 단 한 번도 자신의 생각을 말하지도 못하는 설정이다.

<자이언트>에서	</SS+자이언트/NNP+>/SS+에서/JKB
황정식의	황정식/NNP+의/JKG
어머니는	어머니/NNG+는/JX
아들을	아들/NNG+을/JKO
어떻게든	어떻/VA+게/EC+든/JX
사장	사장/NNG
자리에	자리/NNG+에/JKB
앉히려고	앉히/VV+려고/EC
욕심만	욕심/NNG+만/JX
부리는	부리/VV+는/ETM
천박한	천박/NNG+하/XSA+ㄴ/ETM
여성으로	여성/NNG+으로/JKB
나오고,	나오/VV+고/EC+,/SP
<결혼해주세요>의	</SS+결혼/NNG+하/XSV+아/EC+주/VX+시/EP+어요/EF+>/SS+의/JKG
김태호	김태호/NNP
가부장적인	가부장/NNG+적/XSN+이/VCP+ㄴ/ETM
남편	남편/NNG
때문에	때문/NNB+에/JKB
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
말하지도	말/NNG+하/XSV+지/EC+도/JX
못하는	못하/VX+는/ETM
설정이다.	설정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.326.6.4
“<자이언트>의 조필연(정보석)은 아들에게 돈과 권력만 좇으며 살라고 가르치고, <글로리아>에서도 이권에 따라 자녀의 혼맥을 형성하려는 등 드라마 속 아버지들도 자녀와 인격적으로 교감하는 모습은 찾아볼 수 없다”는 것이다.

“<자이언트>의	“/SS+</SS+자이언트/NNP+>/SS+의/JKG
조필연(정보석)은	조필연/NNP+(/SS+정보석/NNP+)/SS+은/JX
아들에게	아들/NNG+에게/JKB
돈과	돈/NNG+과/JC
권력만	권력/NNG+만/JX
좇으며	좇/VV+으며/EC
살라고	살/VV+라고/EC
가르치고,	가르치/VV+고/EC+,/SP
<글로리아>에서도	</SS+글로리아/NNP+>/SS+에서/JKB+도/JX
이권에	이권/NNG+에/JKB
따라	따르/VV+아/EC
자녀의	자녀/NNG+의/JKG
혼맥을	혼맥/NNG+을/JKO
형성하려는	형성/NNG+하/XSV+려는/ETM
등	등/NNB
드라마	드라마/NNG
속	속/NNG
아버지들도	아버지/NNG+들/XSN+도/JX
자녀와	자녀/NNG+와/JKB
인격적으로	인격/NNG+적/XSN+으로/JKB
교감하는	교감/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.326.7.1
청소년 비평단은 “청소년들이 부정적인 가족의 모습을 반복해서 보게 되면 어느 순간 무뎌져서 문제점조차 발견하지 못할 것”이라면서 “요즘 청소년들이 티브이를 보는 시간은 주로 밤 10시 이후이기 때문에 이 시간에 가족의 참모습이 무엇인지, 우리 가정이 어떤 모습으로 발전해야 하는지를 따뜻하게 그리는 드라마를 보고 싶다”고 호소했다.

청소년	청소년/NNG
비평단은	비평단/NNG+은/JX
“청소년들이	“/SS+청소년/NNG+들/XSN+이/JKS
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
가족의	가족/NNG+의/JKG
모습을	모습/NNG+을/JKO
반복해서	반복/NNG+하/XSV+아서/EC
보게	보/VV+게/EC
되면	되/VV+면/EC
어느	어느/MMD
순간	순간/NNG
무뎌져서	무뎌지/VV+어서/EC
문제점조차	문제점/NNG+조차/JX
발견하지	발견/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라면서	것/NNB+”/SS+이/VCP+라면서/EC
“요즘	“/SS+요즘/NNG
청소년들이	청소년/NNG+들/XSN+이/JKS
티브이를	티브이/NNG+를/JKO
보는	보/VV+는/ETM
시간은	시간/NNG+은/JX
주로	주로/MAG
밤	밤/NNG
10시	10/SN+시/NNB
이후이기	이후/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
이	이/MMD
시간에	시간/NNG+에/JKB
참모습이	참모습/NNG+이/JKS
무엇인지,	무엇/NP+이/VCP+ㄴ지/EF+,/SP
우리	우리/NP
가정이	가정/NNG+이/JKS
어떤	어떤/MMD
모습으로	모습/NNG+으로/JKB
발전해야	발전/NNG+하/XSV+아야/EC
하는지를	하/VX+는지/EF+를/JKO
따뜻하게	따뜻하/VA+게/EC
그리는	그리/VV+는/ETM
드라마를	드라마/NNG+를/JKO
보고	보/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


