# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.365
metadata : {}


# id : NWRW1800000025.365.1.1
[수도권]“예술 연남동”… 주민들 붓 들고 동네 한바퀴

[수도권]“예술	[/SS+수도/NNG+권/XSN+]/SS+“/SS+예술/NNG
간단했다.	간단하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.365.12.1
“예술은 특별한 쇼가 아니라 ‘분식집’처럼 익숙한 생활상 그 자체니까요.”

“예술은	“/SS+예술/NNG+은/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
쇼가	쇼/NNG+가/JKC
아니라	아니/VCN+라/EC
‘분식집’처럼	‘/SS+분식집/NNG+’/SS+처럼/JKB
익숙한	익숙하/VA+ㄴ/ETM
생활상	생활상/NNG
그	그/MMD
자체니까요.”	자체/NNG+이/VCP+니까요/EF+./SF+”/SS


