# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.432
metadata : {}


# id : NWRW1800000054.432.1.1
"트럼프·푸틴 만난다" "안 만난다"… 엇갈린 신호

"트럼프·푸틴	"/SS+트럼프/NNP+·/SP+푸틴/NNP
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.432.6.4
이에 대해 폴리티코는 "미국 내에서 러시아가 2016년 미국 대선에 개입했다는 의혹이 짙어지자 백악관이 러시아와 거리 두기를 하려는 것으로 보인다"고 분석했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
폴리티코는	폴리티코/NNP+는/JX
"미국	"/SS+미국/NNP
내에서	내/NNB+에서/JKB
러시아가	러시아/NNP+가/JKS
2016년	2016/SN+년/NNB
미국	미국/NNP
대선에	대선/NNG+에/JKB
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
짙어지자	짙어지/VV+자/EC
백악관이	백악관/NNP+이/JKS
러시아와	러시아/NNP+와/JKB
거리	거리/NNG
두기를	두/VV+기/ETN+를/JKO
하려는	하/VV+려는/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


