# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.74
metadata : {}


# id : NWRW1800000030.74.1.1
'1박2일' 강호동 이어 '무한도전' 유재석도 들썩… 예능 판도 바뀌나

'1박2일'	'/SS+1/SN+박/NNB+2/SN+일/NNB+'/SS
그가	그/NP+가/JKS
그만두면	그만두/VV+면/EC
나머지	나머지/NNG
멤버들까지	멤버/NNG+들/XSN+까지/JX
동요해	동요/NNG+하/XSV+아/EC
결국	결국/MAG
프로그램	프로그램/NNG
폐지로까지	폐지/NNG+로/JKB+까지/JX
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.74.6.1
그와 친분이 두터운 한 PD는 "평소 강호동이 피곤하다는 얘기를 많이 했다"고 했다.

그와	그/NP+와/JKB
친분이	친분/NNG+이/JKS
두터운	두텁/VA+ㄴ/ETM
한	한/MMN
PD는	PD/SL+는/JX
"평소	"/SS+평소/NNG
강호동이	강호동/NNP+이/JKS
피곤하다는	피곤/NNG+하/XSA+다는/ETM
얘기를	얘기/NNG+를/JKO
많이	많이/MAG
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.74.6.2
"강호동 같은 A급 연예인들은 시청률에 안주하지 않고 새로운 것을 보여주겠다는 생각이 강해 4년이나 해온 1박2일에 대한 미련은 더 이상 없을 것"이라는 얘기다.

"강호동	"/SS+강호동/NNP
같은	같/VA+은/ETM
A급	A/SL+급/NNG
연예인들은	연예인/NNG+들/XSN+은/JX
시청률에	시청/NNG+률/XSN+에/JKB
안주하지	안주/NNG+하/XSV+지/EC
않고	않/VX+고/EC
새로운	새롭/VA+ㄴ/ETM
것을	것/NNB+을/JKO
보여주겠다는	보이/VV+어/EC+주/VX+겠/EP+다는/ETM
생각이	생각/NNG+이/JKS
강해	강하/VA+아/EC
4년이나	4/SN+년/NNB+이나/JX
해온	하/VV+아/EC+오/VX+ㄴ/ETM
1박2일에	1/SN+박/NNB+2/SN+일/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
미련은	미련/NNG+은/JX
더	더/MAG
이상	이상/NNG
없을	없/VA+을/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.6.3
다른 PD는 "시청률이 20% 안팎을 기록하며 경쟁 프로들을 여유 있게 앞서고 있는 지금을 명예로운 퇴진의 적기로 판단했을 수 있다"고 했다.

다른	다른/MMD
PD는	PD/SL+는/JX
"시청률이	"/SS+시청/NNG+률/XSN+이/JKS
20%	20/SN+%/SW
안팎을	안팎/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
경쟁	경쟁/NNG
프로들을	프로/NNG+들/XSN+을/JKO
여유	여유/NNG
있게	있/VA+게/EC
앞서고	앞서/VV+고/EC
있는	있/VX+는/ETM
지금을	지금/NNG+을/JKO
명예로운	명예/NNG+롭/XSA+ㄴ/ETM
퇴진의	퇴진/NNG+의/JKG
적기로	적기/NNG+로/JKB
판단했을	판단/NNG+하/XSV+았/EP+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.74.6.4
'1박2일'이 1박2일에 걸쳐 100% 야외 촬영으로 진행되고 있기 때문에 출연 멤버 모두 체력적으로나 시간적으로나 큰 부담을 느꼈을 것으로 짐작된다.

'1박2일'이	'/SS+1/SN+박/NNB+2/SN+일/NNB+'/SS+이/JKS
1박2일에	1/SN+박/NNB+2/SN+일/NNB+에/JKB
걸쳐	걸치/VV+어/EC
100%	100/SN+%/SW
야외	야외/NNG
촬영으로	촬영/NNG+으로/JKB
진행되고	진행/NNG+되/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
출연	출연/NNG
멤버	멤버/NNG
모두	모두/MAG
체력적으로나	체력/NNG+적/XSN+으로/JKB+나/JX
시간적으로나	시간/NNG+적/XSN+으로/JKB+나/JX
큰	크/VA+ㄴ/ETM
부담을	부담/NNG+을/JKO
느꼈을	느끼/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
짐작된다.	짐작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.74.6.5
방송계에선 강호동이 하차 의사를 번복할 가능성을 낮게 보고 있다.

방송계에선	방송/NNG+계/XSN+에서/JKB+ㄴ/JX
강호동이	강호동/NNP+이/JKS
하차	하차/NNG
의사를	의사/NNG+를/JKO
번복할	번복/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
낮게	낮/VA+게/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.74.6.6
'이미 언론에 공개된 이상 강호동 측으로선 이참에 결론을 지으려 할 가능성이 크다'는 이유다.

'이미	'/SS+이미/MAG
언론에	언론/NNG+에/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
이상	이상/NNG
강호동	강호동/NNP
측으로선	측/NNB+으로서/JKB+ㄴ/JX
이참에	이참/NNG+에/JKB
결론을	결론/NNG+을/JKO
지으려	짓/VV+으려/EC
할	하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다'는	크/VA+다/EF+'/SS+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.6.7
그의 앞으로 행보에 대해선 "공중파든 케이블이든 신설 프로를맡아 변화를 시도하지 않겠느냐"는 추측이 많다.

그의	그/NP+의/JKG
앞으로	앞/NNG+으로/JKB
행보에	행보/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"공중파든	"/SS+공중파/NNG+든/JX
케이블이든	케이블/NNG+이든/JX
신설	신설/NNG
프로를맡아	프로/NNG+를/JKO+맡/VV+아/EC
변화를	변화/NNG+를/JKO
시도하지	시도/NNG+하/XSV+지/EC
않겠느냐"는	않/VX+겠/EP+느냐/EF+"/SS+는/ETM
추측이	추측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.74.7.1
유재석도 강호동과 비슷한 이유로 조만간 움직이지 않겠느냐는 추측이 나온다.

유재석도	유재석/NNP+도/JX
강호동과	강호동/NNP+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
이유로	이유/NNG+로/JKB
조만간	조만간/MAG
움직이지	움직이/VV+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
추측이	추측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.74.7.2
그의 간판 프로인 '무한도전'은 방영된 지 5년이나 된다.

그의	그/NP+의/JKG
간판	간판/NNG
프로인	프로/NNG+이/VCP+ㄴ/ETM
'무한도전'은	'/SS+무한/NNG+도전/NNG+'/SS+은/JX
방영된	방영/NNG+되/XSV+ㄴ/ETM
지	지/NNB
5년이나	5/SN+년/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.74.7.3
유재석도 현재 진행중인 프로들을 그만둘 경우 공중파나 케이블에서 자신만의 새로운 작품을 선보이려 할 것으로 보여 예능 프로그램 판도의 격변은 불가피할 전망이다.

유재석도	유재석/NNP+도/JX
현재	현재/MAG
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
프로들을	프로/NNG+들/XSN+을/JKO
그만둘	그만두/VV+ㄹ/ETM
경우	경우/NNG
공중파나	공중파/NNG+나/JC
케이블에서	케이블/NNG+에서/JKB
자신만의	자신/NNG+만/JX+의/JKG
새로운	새롭/VA+ㄴ/ETM
작품을	작품/NNG+을/JKO
선보이려	선보이/VV+려/EC
할	하/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
예능	예능/NNG
프로그램	프로그램/NNG
판도의	판도/NNG+의/JKG
격변은	격변/NNG+은/JX
불가피할	불가피하/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


