# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.16
metadata : {}


# id : NWRW1800000037.16.1.1
한번에 3명 이상 동시에 전화통화… SKT 스마트폰 앱 ‘T그룹온’

한번에	한번/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.16.5.3
이번에는 안드로이드용 앱만 나왔지만 SK텔레콤은 곧 아이폰 앱도 선보일 계획이다.

이번에는	이번/NNG+에/JKB+는/JX
안드로이드용	안드로이드/NNG+용/XSN
앱만	앱/NNG+만/JX
나왔지만	나오/VV+았/EP+지만/EC
SK텔레콤은	SK텔레콤/NNP+은/JX
곧	곧/MAG
아이폰	아이폰/NNP
앱도	앱/NNG+도/JX
선보일	선보이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


