# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.283
metadata : {}


# id : NWRW1800000040.283.1.1
날벼락 맞은 레슬링 “희망은 있다”

날벼락	날/XPN+벼락/NNG
여파	여파/NNG
속에서도	속/NNG+에서/JKB+도/JX
13일	13/SN+일/NNB
태릉선수촌	태릉선수촌/NNP
월계관에서	월계관/NNP+에서/JKB
레슬링대표팀의	레슬링/NNG+대표/NNG+팀/NNG+의/JKG
체력훈련을	체력/NNG+훈련/NNG+을/JKO
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
방대두	방대두/NNP
감독은	감독/NNG+은/JX
“레슬링이	“/SS+레슬링/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
운동이라	운동/NNG+이/VCP+라/EC
저변이	저변/NNG+이/JKS
점차	점차/MAG
줄어드는	줄어들/VV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.7.2
그런데 올림픽 종목에서까지 퇴출된다니 충격”이라며 한숨을 쉬었다.

그런데	그런데/MAJ
올림픽	올림픽/NNG
종목에서까지	종목/NNG+에서/JKB+까지/JX
퇴출된다니	퇴출/NNG+되/XSV+ㄴ다니/EC
충격”이라며	충격/NNG+”/SS+이/VCP+라며/EC
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.283.8.1
아시안게임과 올림픽 금메달 야망을 키워온 국가대표팀 막내 최재민(22·충북대)은 “나처럼 꿈을 가진 선수가 많은데 올림픽 퇴출이라니, (이번 결정은) 말이 안 된다는 생각밖에 들지 않는다.

아시안게임과	아시안/NNP+게임/NNG+과/JC
올림픽	올림픽/NNG
금메달	금메달/NNG
야망을	야망/NNG+을/JKO
키워온	키우/VV+어/EC+오/VX+ㄴ/ETM
국가대표팀	국가/NNG+대표/NNG+팀/NNG
막내	막내/NNG
최재민(22·충북대)은	최재민/NNP+(/SS+22/SN+·/SP+충북대/NNP+)/SS+은/JX
“나처럼	“/SS+나/NP+처럼/JKB
꿈을	꿈/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
선수가	선수/NNG+가/JKS
많은데	많/VA+은데/EC
퇴출이라니,	퇴출/NNG+이/VCP+라니/EC+,/SP
(이번	(/SS+이번/NNG
결정은)	결정/NNG+은/JX+)/SS
말이	말/NNG+이/JKC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
생각밖에	생각/NNG+밖에/JX
들지	들/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.283.8.2
어제 소식을 들은 이후 기운이 빠졌다”고 낙담했다.

어제	어제/NNG
소식을	소식/NNG+을/JKO
들은	듣/VV+은/ETM
이후	이후/NNG
기운이	기운/NNG+이/JKS
빠졌다”고	빠지/VV+었/EP+다/EF+”/SS+고/JKQ
낙담했다.	낙담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.283.9.1
김학열 대한레슬링협회 사무국장은 “(이번 집행위의 결정은) 전혀 예상하지도 사전에 인지하지도 못했다.

김학열	김학열/NNP
대한레슬링협회	대한레슬링협회/NNP
사무국장은	사무국장/NNG+은/JX
“(이번	“/SS+(/SS+이번/NNG
집행위의	집행위/NNG+의/JKG
결정은)	결정/NNG+은/JX+)/SS
전혀	전혀/MAG
예상하지도	예상/NNG+하/XSV+지/EC+도/JX
사전에	사전/NNG+에/JKB
인지하지도	인지/NNG+하/XSV+지/EC+도/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.283.9.2
날벼락을 맞은 기분이다.

날벼락을	날/XPN+벼락/NNG+을/JKO
맞은	맞/VV+은/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.9.3
국제레슬링연맹이 안일하게 생각하다가 낭패를 당한 것 같다”고 했다.

국제레슬링연맹이	국제레슬링연맹/NNP+이/JKS
안일하게	안일/NNG+하/XSA+게/EC
생각하다가	생각/NNG+하/XSV+다가/EC
낭패를	낭패/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.283.10.1
침울한 분위기 속에서도 레슬링인들은 아직 두차례 기회가 있다며 희망의 끈을 놓지 않는 분위기다.

침울한	침울하/VA+ㄴ/ETM
분위기	분위기/NNG
속에서도	속/NNG+에서/JKB+도/JX
레슬링인들은	레슬링인/NNG+들/XSN+은/JX
아직	아직/MAG
두차례	두/MMN+차례/NNG
기회가	기회/NNG+가/JKS
있다며	있/VA+다며/EC
희망의	희망/NNG+의/JKG
끈을	끈/NNG+을/JKO
놓지	놓/VV+지/EC
않는	않/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.10.2
국제올림픽위 집행위가 애초 퇴출 가능성이 거론되던 태권도와 근대 5종 대신 레슬링을 택했지만, 5월 러시아 상트페테르부르크에서 열리는 집행위에서 다시 한번 기회가 있다는 것이다.

국제올림픽위	국제올림픽위/NNP
집행위가	집행위/NNG+가/JKS
애초	애초/NNG
퇴출	퇴출/NNG
가능성이	가능/NNG+성/XSN+이/JKS
거론되던	거론/NNG+되/XSV+던/ETM
태권도와	태권도/NNG+와/JC
근대	근대/NNG
5종	5/SN+종/NNG
대신	대신/NNG
레슬링을	레슬링/NNG+을/JKO
택했지만,	택하/VV+았/EP+지만/EC+,/SP
5월	5/SN+월/NNB
러시아	러시아/NNP
상트페테르부르크에서	상트페테르부르크/NNP+에서/JKB
열리는	열리/VV+는/ETM
집행위에서	집행위/NNG+에서/JKB
다시	다시/MAG
한번	한번/NNG
기회가	기회/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.10.3
이때 야구·소프트볼, 가라테, 우슈, 롤러, 스쿼시, 스포츠클라이밍, 웨이크보드 등 다른 7개 종목과 함께 2020 올림픽에 추가될 마지막 한자리를 놓고 경쟁하게 된다는 것이다.

이때	이때/NNG
야구·소프트볼,	야구/NNG+·/SP+소프트볼/NNG+,/SP
가라테,	가라테/NNG+,/SP
우슈,	우슈/NNG+,/SP
롤러,	롤러/NNG+,/SP
스쿼시,	스쿼시/NNG+,/SP
스포츠클라이밍,	스포츠클라이밍/NNG+,/SP
웨이크보드	웨이크보드/NNG
등	등/NNB
다른	다른/MMD
7개	7/SN+개/NNB
종목과	종목/NNG+과/JKB
함께	함께/MAG
2020	2020/SN
올림픽에	올림픽/NNG+에/JKB
추가될	추가/NNG+되/XSV+ㄹ/ETM
마지막	마지막/NNG
한자리를	한자리/NNG+를/JKO
놓고	놓/VV+고/EC
경쟁하게	경쟁/NNG+하/XSV+게/EC
된다는	되/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.11.1
레슬링은 고대올림픽 종목인데다, 1896년 시작된 근대올림픽에서도 줄곧 정식종목이었다는 점에서 다른 종목보다 유리할 것으로 레슬링인들은 전망한다.

레슬링은	레슬링/NNG+은/JX
고대올림픽	고대/NNG+올림픽/NNG
종목인데다,	종목/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
1896년	1896/SN+년/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
근대올림픽에서도	근대/NNG+올림픽/NNG+에서/JKB+도/JX
줄곧	줄곧/MAG
정식종목이었다는	정식/NNG+종목/NNG+이/VCP+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
다른	다른/MMD
종목보다	종목/NNG+보다/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
레슬링인들은	레슬링인/NNG+들/XSN+은/JX
전망한다.	전망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.283.11.2
게다가 집행위가 열리는 러시아가 레슬링 최강국이어서, 러시아도 어떤 식으로든 레슬링의 올림픽 종목 퇴출 저지에 총력을 기울일 것이라는 분석도 나온다.

게다가	게다가/MAG
집행위가	집행위/NNG+가/JKS
열리는	열리/VV+는/ETM
러시아가	러시아/NNP+가/JKS
레슬링	레슬링/NNG
최강국이어서,	최강국/NNG+이/VCP+어서/EC+,/SP
러시아도	러시아/NNP+도/JX
어떤	어떤/MMD
식으로든	식/NNB+으로/JKB+이/VCP+든/EC
레슬링의	레슬링/NNG+의/JKG
올림픽	올림픽/NNG
종목	종목/NNG
퇴출	퇴출/NNG
저지에	저지/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울일	기울이/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.283.11.3
2020년 여름올림픽 개최지로 유력한 일본도 2012 런던올림픽 때 레슬링에서 금메달 4개와 동메달 2개를 따낸 강국이다.

2020년	2020/SN+년/NNB
여름올림픽	여름/NNG+올림픽/NNG
개최지로	개최지/NNG+로/JKB
유력한	유력/NNG+하/XSA+ㄴ/ETM
일본도	일본/NNP+도/JX
2012	2012/SN
런던올림픽	런던/NNP+올림픽/NNG
때	때/NNG
레슬링에서	레슬링/NNG+에서/JKB
금메달	금메달/NNG
4개와	4/SN+개/NNB+와/JC
동메달	동메달/NNG
2개를	2/SN+개/NNB+를/JKO
따낸	따내/VV+ㄴ/ETM
강국이다.	강국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.11.4
일본도 레슬링 퇴출 반대에 적극 나설 것으로 보는 근거다.

일본도	일본/NNP+도/JX
레슬링	레슬링/NNG
퇴출	퇴출/NNG
반대에	반대/NNG+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
근거다.	근거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.11.5
역대 올림픽 레슬링에서 통산 100개의 금메달을 딴 미국도 마찬가지다.

역대	역대/NNG
올림픽	올림픽/NNG
레슬링에서	레슬링/NNG+에서/JKB
통산	통산/NNG
100개의	100/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
미국도	미국/NNP+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.11.6
미국레슬링연맹(USWF)의 마이클 노보그래츠 회장이 “생각이 있는 결정이 아니다.

미국레슬링연맹(USWF)의	미국레슬링연맹/NNP+(/SS+USWF/SL+)/SS+의/JKG
마이클	마이클/NNP
노보그래츠	노보그래츠/NNP
회장이	회장/NNG+이/JKS
“생각이	“/SS+생각/NNG+이/JKS
있는	있/VA+는/ETM
결정이	결정/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.283.11.7
야합이다”라며 집행위 결정을 맹비난하고 나선 것도 바로 이 때문이다.

야합이다”라며	야합/NNG+이/VCP+다/EF+”/SS+이/VCP+라며/EC
집행위	집행위/NNG
결정을	결정/NNG+을/JKO
맹비난하고	맹비난/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것도	것/NNB+도/JX
바로	바로/MAG
이	이/NP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.12.1
김학열 사무국장은 “집행위에서 위원들이 다른 종목들의 로비로 레슬링을 희생양으로 삼았지만, 오는 9월 총회에서는 다른 결정이 내려질 것이다.

김학열	김학열/NNP
사무국장은	사무국장/NNG+은/JX
“집행위에서	“/SS+집행위/NNG+에서/JKB
위원들이	위원/NNG+들/XSN+이/JKS
다른	다른/MMD
종목들의	종목/NNG+들/XSN+의/JKG
로비로	로비/NNG+로/JKB
레슬링을	레슬링/NNG+을/JKO
희생양으로	희생양/NNG+으로/JKB
삼았지만,	삼/VV+았/EP+지만/EC+,/SP
오는	오/VV+는/ETM
9월	9/SN+월/NNB
총회에서는	총회/NNG+에서/JKB+는/JX
결정이	결정/NNG+이/JKS
내려질	내려지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.12.2
우리는 희망을 가지고 있다”고 했다.

우리는	우리/NP+는/JX
희망을	희망/NNG+을/JKO
가지고	가지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.283.12.3
방대두 감독도 “아직 최종 퇴출된 게 아니다.

방대두	방대두/NNP
감독도	감독/NNG+도/JX
“아직	“/SS+아직/MAG
최종	최종/NNG
퇴출된	퇴출/NNG+되/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.283.12.4
레슬링이 다시 (올림픽 종목으로) 살아날 수 있도록 레슬링인들이 힘을 모아야 한다”고 강조했다.

레슬링이	레슬링/NNG+이/JKS
다시	다시/MAG
(올림픽	(/SS+올림픽/NNG
종목으로)	종목/NNG+으로/JKB+)/SS
살아날	살아나/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
레슬링인들이	레슬링인/NNG+들/XSN+이/JKS
힘을	힘/NNG+을/JKO
모아야	모으/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.283.13.1
현재 국제레슬링연맹(FILA) 회장은 연맹 심판위원장 출신인 라파엘 마르티네티다.

현재	현재/MAG
국제레슬링연맹(FILA)	국제레슬링연맹/NNP+(/SS+FILA/SL+)/SS
회장은	회장/NNG+은/JX
연맹	연맹/NNG
심판위원장	심판/NNG+위원장/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
라파엘	라파엘/NNP
마르티네티다.	마르티네티/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.13.2
스위스인인데 국제올림픽위 집행위원은 아니어서 이번에 방심했다가 퇴출 폭탄을 맞은 것으로 보인다.

스위스인인데	스위스인/NNG+이/VCP+ㄴ데/EC
국제올림픽위	국제올림픽위/NNP
집행위원은	집행/NNG+위원/NNG+은/JX
아니어서	아니/VCN+어서/EC
이번에	이번/NNG+에/JKB
방심했다가	방심/NNG+하/XSV+았/EP+다가/EC
퇴출	퇴출/NNG
폭탄을	폭탄/NNG+을/JKO
맞은	맞/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.283.13.3
국제레슬링연맹은 13일 누리집을 통해 “고대와 근대올림픽의 근간종목인 레슬링에 대한 정도를 벗어난 결정이라는 점을 국제올림픽위 집행위원과 위원들에게 납득시키기 위해 필요한 조치를 취할 것”이라고 밝혔다.

국제레슬링연맹은	국제레슬링연맹/NNP+은/JX
13일	13/SN+일/NNB
누리집을	누리집/NNG+을/JKO
통해	통하/VV+아/EC
“고대와	“/SS+고대/NNG+와/JC
근대올림픽의	근대/NNG+올림픽/NNG+의/JKG
근간종목인	근간/NNG+종목/NNG+이/VCP+ㄴ/ETM
레슬링에	레슬링/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정도를	정도/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
결정이라는	결정/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
국제올림픽위	국제올림픽위/NNP
집행위원과	집행/NNG+위원/NNG+과/JC
위원들에게	위원/NNG+들/XSN+에게/JKB
납득시키기	납득/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


