# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.49
metadata : {}


# id : NWRW1800000041.49.1.1
소치는 ‘남의 집 잔치’

소치는	소치/NNP+는/JX
# id : NWRW1800000041.49.6.1
올림픽 개최국인 러시아는 압하지야를 올림픽 출전국 이름에 올렸다.

올림픽	올림픽/NNG
개최국인	개최국/NNG+이/VCP+ㄴ/ETM
러시아는	러시아/NNP+는/JX
압하지야를	압하지야/NNP+를/JKO
출전국	출전국/NNG
이름에	이름/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.49.6.2
하지만 국제사회로부터 아직 독립국 지위를 인정받지 못한 압하지야는 국제올림픽위원회(IOC) 회원국으로 등록되지 않아 IOC로부터 참가 자격을 인정받지 못했다.

하지만	하지만/MAJ
국제사회로부터	국제/NNG+사회/NNG+로부터/JKB
아직	아직/MAG
독립국	독립국/NNG
지위를	지위/NNG+를/JKO
인정받지	인정/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
압하지야는	압하지야/NNP+는/JX
국제올림픽위원회(IOC)	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS
회원국으로	회원국/NNG+으로/JKB
등록되지	등록/NNG+되/XSV+지/EC
않아	않/VX+아/EC
IOC로부터	IOC/SL+로부터/JKB
참가	참가/NNG
자격을	자격/NNG+을/JKO
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.49.6.3
조지아 소속으로는 출전할 수 있지만 압하지야 이름을 걸고는 나갈 수 없게 된 것이다.

조지아	조지아/NNP
소속으로는	소속/NNG+으로/JKB+는/JX
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
압하지야	압하지야/NNP
이름을	이름/NNG+을/JKO
걸고는	걸/VV+고/EC+는/JX
나갈	나가/VV+ㄹ/ETM
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.49.7.1
근로자 월평균 소득이 80달러(약 8만6000원)에 불과한 압하지야는 바로 옆에서 겨울올림픽이 열리지만 테러 방지 등을 위해 소치 인근 주변국과의 국경이 봉쇄돼 경제적 혜택도 누릴 수 없는 것은 물론이고 경기를 관람하는 것도 어렵게 됐다.

근로자	근로자/NNG
월평균	월평균/NNG
소득이	소득/NNG+이/JKS
80달러(약	80/SN+달러/NNB+(/SS+약/MMA
8만6000원)에	8/SN+만/NR+6000/SN+원/NNB+)/SS+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
압하지야는	압하지야/NNP+는/JX
바로	바로/MAG
옆에서	옆/NNG+에서/JKB
겨울올림픽이	겨울/NNG+올림픽/NNG+이/JKS
열리지만	열리/VV+지만/EC
테러	테러/NNG
방지	방지/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
소치	소치/NNP
인근	인근/NNG
주변국과의	주변국/NNG+과/JKB+의/JKG
국경이	국경/NNG+이/JKS
봉쇄돼	봉쇄/NNG+되/XSV+어/EC
경제적	경제/NNG+적/XSN
혜택도	혜택/NNG+도/JX
누릴	누리/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
경기를	경기/NNG+를/JKO
관람하는	관람/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.49.8.1
인도 국가대표 선수들은 인도올림픽위원회 내부의 불법 선거를 이유로 인도가 IOC 회원국 자격을 박탈당한 뒤 아직 복권되지 않아 이번 올림픽에 인도 대표로 참가할 수 없다.

인도	인도/NNP
국가대표	국가/NNG+대표/NNG
선수들은	선수/NNG+들/XSN+은/JX
인도올림픽위원회	인도올림픽위원회/NNP
내부의	내부/NNG+의/JKG
불법	불법/NNG
선거를	선거/NNG+를/JKO
이유로	이유/NNG+로/JKB
인도가	인도/NNP+가/JKS
IOC	IOC/SL
회원국	회원국/NNG
자격을	자격/NNG+을/JKO
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
뒤	뒤/NNG
아직	아직/MAG
복권되지	복권/NNG+되/XSV+지/EC
않아	않/VX+아/EC
이번	이번/NNG
올림픽에	올림픽/NNG+에/JKB
대표로	대표/NNG+로/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.49.8.2
인도에서 이번 올림픽에 참가 자격이 있는 선수는 루지 종목의 시바 케샤반 등 4명.

인도에서	인도/NNP+에서/JKB
이번	이번/NNG
올림픽에	올림픽/NNG+에/JKB
참가	참가/NNG
자격이	자격/NNG+이/JKS
있는	있/VA+는/ETM
선수는	선수/NNG+는/JX
루지	루지/NNG
종목의	종목/NNG+의/JKG
시바	시바/NNP
케샤반	케샤반/NNP
등	등/NNB
4명.	4/SN+명/NNB+./SF


# id : NWRW1800000041.49.8.3
개막식에 입장할 때는 오륜기를 들고 금메달을 따면 인도 국가(國歌) 대신에 ‘올림픽 찬가’가 연주된다.

개막식에	개막식/NNG+에/JKB
입장할	입장/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
오륜기를	오륜기/NNG+를/JKO
들고	들/VV+고/EC
금메달을	금메달/NNG+을/JKO
따면	따/VV+면/EC
인도	인도/NNP
국가(國歌)	국가/NNG+(/SS+國歌/SH+)/SS
대신에	대신/NNG+에/JKB
‘올림픽	‘/SS+올림픽/NNG
찬가’가	찬가/NNG+’/SS+가/JKS
연주된다.	연주/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.49.8.4
케샤반은 “인도 국기 아래 행진할 수 없다는 것이 수치스럽다”고 말했다.

케샤반은	케샤반/NNP+은/JX
“인도	“/SS+인도/NNP
국기	국기/NNG
아래	아래/NNG
행진할	행진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이	것/NNB+이/JKS
수치스럽다”고	수치/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


