# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.303
metadata : {}


# id : NWRW1800000021.303.1.1
‘뉴 미디어 시대의 총아’ 美 SNS… 이름도용-사생활침해 ‘소송역풍’

‘뉴	‘/SS+뉴/NNG
페이스북의	페이스북/NNP+의/JKG
사용자	사용자/NNG
친구들에게	친구/NNG+들/XSN+에게/JKB
공개되도록	공개/NNG+되/XSV+도록/EC
하는	하/VV+는/ETM
프로그램.	프로그램/NNG+./SF


# id : NWRW1800000021.303.5.3
그러나 사용자가 원하지 않는 정보까지 알려지는 일이 빈번하게 일어나자 사생활 침해 논란이 일었고, 지난해 미 시민단체들은 소송을 냈다.

그러나	그러나/MAJ
사용자가	사용자/NNG+가/JKS
원하지	원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
정보까지	정보/NNG+까지/JX
알려지는	알려지/VV+는/ETM
일이	일/NNG+이/JKS
빈번하게	빈번하/VA+게/EC
일어나자	일어나/VV+자/EC
사생활	사생활/NNG
침해	침해/NNG
논란이	논란/NNG+이/JKS
일었고,	일/VV+었/EP+고/EC+,/SP
지난해	지난해/NNG
미	미/NNP
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.5.4
페이스북은 ‘온라인 사생활 보호 및 보안 재단’ 설립에 950만 달러를 내기로 했다.

페이스북은	페이스북/NNP+은/JX
‘온라인	‘/SS+온라인/NNG
사생활	사생활/NNG
보호	보호/NNG
및	및/MAG
보안	보안/NNG
재단’	재단/NNG+’/SS
설립에	설립/NNG+에/JKB
950만	950/SN+만/NR
달러를	달러/NNB+를/JKO
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.6.1
○ 예견된 취약점

○	○/SW
예견된	예견/NNG+되/XSV+ㄴ/ETM
취약점	취약점/NNG


# id : NWRW1800000021.303.7.1
이런 소송은 예견된 것이나 마찬가지였다.

이런	이런/MMD
소송은	소송/NNG+은/JX
예견된	예견/NNG+되/XSV+ㄴ/ETM
것이나	것/NNB+이나/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.303.7.2
트위터는 1월 버락 오바마 대통령 당선자 등 트위터를 사용하는 유명인사 33명의 계정이 해킹돼 엉터리 메시지가 퍼지는 소동을 겪었다.

트위터는	트위터/NNP+는/JX
1월	1/SN+월/NNB
버락	버락/NNP
오바마	오바마/NNP
대통령	대통령/NNG
당선자	당선자/NNG
등	등/NNB
트위터를	트위터/NNP+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
유명인사	유명/NNG+인사/NNG
33명의	33/SN+명/NNB+의/JKG
계정이	계정/NNG+이/JKS
해킹돼	해킹/NNG+되/XSV+어/EC
엉터리	엉터리/NNG
메시지가	메시지/NNG+가/JKS
퍼지는	퍼지/VV+는/ETM
소동을	소동/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.7.3
이후 영국 외교장관 데이비드 밀리밴드, 팝가수 브리트니 스피어스 등 명사 수십 명의 이름이 도용됐고, 영국 배우 이완 맥그리거는 트위터에 법적 대응을 하겠다고 으름장을 놓기도 했다.

이후	이후/NNG
영국	영국/NNP
외교장관	외교/NNG+장관/NNG
데이비드	데이비드/NNP
밀리밴드,	밀리밴드/NNP+,/SP
팝가수	팝/NNG+가수/NNG
브리트니	브리트니/NNP
스피어스	스피어스/NNP
등	등/NNB
명사	명사/NNG
수십	수십/NR
명의	명/NNB+의/JKG
이름이	이름/NNG+이/JKS
도용됐고,	도용/NNG+되/XSV+었/EP+고/EC+,/SP
배우	배우/NNG
이완	이완/NNP
맥그리거는	맥그리거/NNP+는/JX
트위터에	트위터/NNP+에/JKB
법적	법/NNG+적/XSN
대응을	대응/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
으름장을	으름장/NNG+을/JKO
놓기도	놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.303.7.4
당시 일부 전문가는 “이름 도용 문제가 트위터를 망칠 것”이라고까지 주장했지만 트위터 측은 이를 대수롭지 않게 여겼다.

당시	당시/NNG
일부	일부/NNG
전문가는	전문가/NNG+는/JX
“이름	“/SS+이름/NNG
도용	도용/NNG
문제가	문제/NNG+가/JKS
트위터를	트위터/NNP+를/JKO
망칠	망치/VV+ㄹ/ETM
것”이라고까지	것/NNB+”/SS+이라고/JKQ+까지/JX
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
트위터	트위터/NNP
측은	측/NNB+은/JX
이를	이/NP+를/JKO
대수롭지	대수/NNG+롭/XSA+지/EC
않게	않/VX+게/EC
여겼다.	여기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.7.5
그러나 소송이 잇따르자 트위터는 우선 유명인사의 계정에 대한 실명 확인 시스템을 시험 가동했다.

그러나	그러나/MAJ
소송이	소송/NNG+이/JKS
잇따르자	잇따르/VV+자/EC
트위터는	트위터/NNP+는/JX
우선	우선/MAG
유명인사의	유명/NNG+인사/NNG+의/JKG
계정에	계정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실명	실명/NNG
확인	확인/NNG
시스템을	시스템/NNG+을/JKO
시험	시험/NNG
가동했다.	가동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.7.6
미 연방 통신품위법 등에 따라 사이트에서 발생한 이름, 상표 도용을 해당 사이트 측이 책임질 필요는 없다는 주장도 있지만 트위터 측은 이를 계기로 불거진 취약점을 수정하겠다는 의지를 보였다.

미	미/NNP
연방	연방/NNG
통신품위법	통신/NNG+품위/NNG+법/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
사이트에서	사이트/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
이름,	이름/NNG+,/SP
상표	상표/NNG
도용을	도용/NNG+을/JKO
해당	해당/NNG
사이트	사이트/NNG
측이	측/NNB+이/JKS
책임질	책임지/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다는	없/VA+다는/ETM
주장도	주장/NNG+도/JX
있지만	있/VA+지만/EC
트위터	트위터/NNP
측은	측/NNB+은/JX
이를	이/NP+를/JKO
계기로	계기/NNG+로/JKB
불거진	불거지/VV+ㄴ/ETM
취약점을	취약점/NNG+을/JKO
수정하겠다는	수정/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.8.1
○ “부작용에도 사용자는 늘 것” 전망

○	○/SW
“부작용에도	“/SS+부작용/NNG+에/JKB+도/JX
사용자는	사용자/NNG+는/JX
늘	늘/VV+ㄹ/ETM
것”	것/NNB+”/SS
전망	전망/NNG


# id : NWRW1800000021.303.9.1
시카고트리뷴은 20일 일리노이 주의 한 미용학원 교사들이 페이스북에 자신들을 모욕하는 글을 올렸다며 한 학원생을 상대로 5만 달러 손해배상 청구소송을 냈다고 보도했다.

시카고트리뷴은	시카고트리뷴/NNP+은/JX
20일	20/SN+일/NNB
일리노이	일리노이/NNP
주의	주/NNG+의/JKG
한	한/MMN
미용학원	미용/NNG+학원/NNG
교사들이	교사/NNG+들/XSN+이/JKS
페이스북에	페이스북/NNP+에/JKB
자신들을	자신/NNG+들/XSN+을/JKO
모욕하는	모욕/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
올렸다며	올리/VV+었/EP+다며/EC
학원생을	학원/NNG+생/XSN+을/JKO
상대로	상대/NNG+로/JKB
5만	5/SN+만/NR
달러	달러/NNB
손해배상	손해/NNG+배상/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.9.2
또, 시카고의 한 집주인은 트위터에 “집 곰팡이로 피해를 입었다”고 올린 세입자를 명예훼손으로 고소했다.

또,	또/MAG+,/SP
시카고의	시카고/NNP+의/JKG
한	한/MMN
집주인은	집주인/NNG+은/JX
트위터에	트위터/NNP+에/JKB
“집	“/SS+집/NNG
곰팡이로	곰팡이/NNG+로/JKB
피해를	피해/NNG+를/JKO
입었다”고	입/VV+었/EP+다/EF+”/SS+고/JKQ
올린	올리/VV+ㄴ/ETM
세입자를	세입자/NNG+를/JKO
명예훼손으로	명예/NNG+훼손/NNG+으로/JKB
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.9.3
미 법률 전문가들은 이처럼 누리꾼이 SNS에 올린 글로 인한 소송이 줄을 이을 것으로 본다.

미	미/NNP
법률	법률/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이처럼	이/NP+처럼/JKB
누리꾼이	누리/NNG+꾼/XSN+이/JKS
SNS에	SNS/SL+에/JKB
올린	올리/VV+ㄴ/ETM
글로	글/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
소송이	소송/NNG+이/JKS
줄을	줄/NNG+을/JKO
이을	잇/VV+을/ETM
것으로	것/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.303.9.4
또 소송이 거듭되면 SNS 측에 책임을 묻는 경우도 생길 것으로 보고 있다.

또	또/MAG
소송이	소송/NNG+이/JKS
거듭되면	거듭/MAG+되/XSV+면/EC
SNS	SNS/SL
측에	측/NNB+에/JKB
책임을	책임/NNG+을/JKO
묻는	묻/VV+는/ETM
경우도	경우/NNG+도/JX
생길	생기/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.303.9.5
이 같은 부작용에도 누리꾼의 SNS 사랑은 이어질 것이라는 게 중론이다.

이	이/NP
같은	같/VA+은/ETM
부작용에도	부작용/NNG+에/JKB+도/JX
누리꾼의	누리/NNG+꾼/XSN+의/JKG
SNS	SNS/SL
사랑은	사랑/NNG+은/JX
이어질	이어지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
중론이다.	중론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.303.9.6
네덜란드 틸뷔르흐대 로날드 레네스 교수는 23일 “누리꾼에게 SNS를 떠나는 것은 ‘사회적 자살’로 여겨질 수 있다”고 말했다.

네덜란드	네덜란드/NNP
틸뷔르흐대	틸뷔르흐대/NNP
로날드	로날드/NNP
레네스	레네스/NNP
교수는	교수/NNG+는/JX
23일	23/SN+일/NNB
“누리꾼에게	“/SS+누리/NNG+꾼/XSN+에게/JKB
SNS를	SNS/SL+를/JKO
떠나는	떠나/VV+는/ETM
것은	것/NNB+은/JX
‘사회적	‘/SS+사회/NNG+적/XSN
자살’로	자살/NNG+’/SS+로/JKB
여겨질	여기/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


