# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.433
metadata : {}


# id : NWRW1800000028.433.1.1
일 새 방위대강 “중 군사력 견제 핵심”

일	일/NNP
동향을	동향/NNG+을/JKO
계속	계속/MAG
주시한다’고	주시/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
언급하고,	언급/NNG+하/XSV+고/EC+,/SP
북한의	북한/NNP+의/JKG
군사적	군사/NNG+적/XSN
움직임은	움직임/NNG+은/JX
‘지역	‘/SS+지역/NNG
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
불안요인’으로	불안/NNG+요인/NNG+’/SS+으로/JKB
규정하는	규정/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.433.4.2
특히 중국의 적극적인 해양진출에 대응해 난세이제도 등 도서지역에 필요최소한의 부대를 새롭게 배치한다는 내용이 담길 것으로 전해졌다.

특히	특히/MAG
중국의	중국/NNP+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
해양진출에	해양/NNG+진출/NNG+에/JKB
대응해	대응/NNG+하/XSV+아/EC
난세이제도	난세이제도/NNP
등	등/NNB
도서지역에	도서/NNG+지역/NNG+에/JKB
필요최소한의	필요/NNG+최소한/NNG+의/JKG
부대를	부대/NNG+를/JKO
새롭게	새롭/VA+게/EC
배치한다는	배치/NNG+하/XSV+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
담길	담기/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.433.4.3
현재 16척인 잠수함을 22척으로 늘리고, 요격 미사일을 탑재할 수 있는 이지스함을 현재의 4척에서 증강하기로 하는 것도 같은 취지다.

현재	현재/MAG
16척인	16/SN+척/NNB+이/VCP+ㄴ/ETM
잠수함을	잠수함/NNG+을/JKO
22척으로	22/SN+척/NNB+으로/JKB
늘리고,	늘리/VV+고/EC+,/SP
요격	요격/NNG
미사일을	미사일/NNG+을/JKO
탑재할	탑재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이지스함을	이지스함/NNG+을/JKO
현재의	현재/NNG+의/JKG
4척에서	4/SN+척/NNB+에서/JKB
증강하기로	증강/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.433.4.4
자위대의 인적 구성도 개선해, 간부의 비율을 낮춘다.

자위대의	자위대/NNG+의/JKG
인적	인/NNG+적/XSN
구성도	구성/NNG+도/JX
개선해,	개선/NNG+하/XSV+아/EC+,/SP
간부의	간부/NNG+의/JKG
비율을	비율/NNG+을/JKO
낮춘다.	낮추/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.433.5.1
이와 함께 안보에 대한 즉각대응 태세를 강화하기 위해 총리 관저에 미국의 백악관 국가안보회의(NSC)와 같은 국가안전보장에 관한 새로운 조직을 설치한다는 내용이 담긴다.

이와	이/NP+와/JKB
함께	함께/MAG
안보에	안보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
즉각대응	즉각/MAG+대응/NNG
태세를	태세/NNG+를/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
총리	총리/NNG
관저에	관저/NNG+에/JKB
미국의	미국/NNP+의/JKG
백악관	백악관/NNP
국가안보회의(NSC)와	국가안보회의/NNP+(/SS+NSC/SL+)/SS+와/JKB
같은	같/VA+은/ETM
국가안전보장에	국가/NNG+안전/NNG+보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
조직을	조직/NNG+을/JKO
설치한다는	설치/NNG+하/XSV+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
담긴다.	담기/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.433.5.2
하지만 외국과 무기의 공동개발 및 생산, 무기의 외국 수출을 사실상 금지한 ‘무기수출 3원칙’의 완화는 정책연합을 하기로 한 사민당의 반발을 고려해, 필요성만 지적하기로 했다.

하지만	하지만/MAJ
외국과	외국/NNG+과/JC
무기의	무기/NNG+의/JKG
공동개발	공동/NNG+개발/NNG
및	및/MAG
생산,	생산/NNG+,/SP
외국	외국/NNG
수출을	수출/NNG+을/JKO
사실상	사실/NNG+상/XSN
금지한	금지/NNG+하/XSV+ㄴ/ETM
‘무기수출	‘/SS+무기/NNG+수출/NNG
3원칙’의	3/SN+원칙/NNG+’/SS+의/JKG
완화는	완화/NNG+는/JX
정책연합을	정책/NNG+연합/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
사민당의	사민당/NNP+의/JKG
반발을	반발/NNG+을/JKO
고려해,	고려/NNG+하/XSV+아/EC+,/SP
필요성만	필요/NNG+성/XSN+만/JX
지적하기로	지적/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


