# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.167
metadata : {}


# id : NWRW1800000033.167.1.1
1+1=1.15… 맞벌이 실질소득 외벌이의 1.15배 그쳐

1+1=1.15…	1/SN++/SW+1/SN+=/SW+1/SN+./SP+15/SN+…/SE
써야	쓰/VV+어야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.167.6.1
이지선 LG경제연구원 연구원은 25일 ‘한국 맞벌이, 가사노동 시간이 부족하다’는 보고서에서 가사노동의 가치를 고려하면 맞벌이 가구의 실질소득은 부부 중 한 명이 홀로 버는 외벌이보다 15% 정도 많은 데 그쳤다고 밝혔다.

이지선	이지선/NNP
LG경제연구원	LG경제연구원/NNP
연구원은	연구원/NNG+은/JX
25일	25/SN+일/NNB
‘한국	‘/SS+한국/NNP
맞벌이,	맞벌이/NNG+,/SP
가사노동	가사/NNG+노동/NNG
시간이	시간/NNG+이/JKS
부족하다’는	부족/NNG+하/XSA+다/EF+’/SS+는/ETM
보고서에서	보고서/NNG+에서/JKB
가사노동의	가사/NNG+노동/NNG+의/JKG
가치를	가치/NNG+를/JKO
고려하면	고려/NNG+하/XSV+면/EC
맞벌이	맞벌이/NNG
가구의	가구/NNG+의/JKG
실질소득은	실질/NNG+소득/NNG+은/JX
부부	부부/NNG
중	중/NNB
한	한/MMN
명이	명/NNB+이/JKS
홀로	홀로/MAG
버는	벌/VV+는/ETM
외벌이보다	외벌이/NNG+보다/JKB
15%	15/SN+%/SW
정도	정도/NNG
많은	많/VA+은/ETM
데	데/NNB
그쳤다고	그치/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.167.6.2
반면에 가사노동 손실이 작은 미국은 맞벌이 부부의 소득이 외벌이보다 47% 많았다.

반면에	반면/NNG+에/JKB
가사노동	가사/NNG+노동/NNG
손실이	손실/NNG+이/JKS
작은	작/VA+은/ETM
미국은	미국/NNP+은/JX
맞벌이	맞벌이/NNG
부부의	부부/NNG+의/JKG
소득이	소득/NNG+이/JKS
외벌이보다	외벌이/NNG+보다/JKB
47%	47/SN+%/SW
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.167.7.1
보고서에 따르면 한국 맞벌이 가구의 월평균 소득은 496만 원으로, 외벌이 가구(370만 원)보다 126만 원(34%) 많았다.

보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
한국	한국/NNP
맞벌이	맞벌이/NNG
가구의	가구/NNG+의/JKG
월평균	월평균/NNG
소득은	소득/NNG+은/JX
496만	496/SN+만/NR
원으로,	원/NNB+으로/JKB+,/SP
외벌이	외벌이/NNG
가구(370만	가구/NNG+(/SS+370/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
126만	126/SN+만/NR
원(34%)	원/NNB+(/SS+34/SN+%/SW+)/SS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.167.7.2
하지만 가사노동 비용을 고려하면 격차는 15%로 줄어든다.

하지만	하지만/MAJ
가사노동	가사/NNG+노동/NNG
비용을	비용/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
격차는	격차/NNG+는/JX
15%로	15/SN+%/SW+로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.167.8.1
맞벌이 가구가 집안일에 투입하는 노동의 가치를 돈으로 환산하면 월 평균 91만 원인 것으로 추산됐다.

맞벌이	맞벌이/NNG
가구가	가구/NNG+가/JKS
집안일에	집안일/NNG+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
노동의	노동/NNG+의/JKG
가치를	가치/NNG+를/JKO
돈으로	돈/NNG+으로/JKB
환산하면	환산/NNG+하/XSV+면/EC
월	월/NNG
평균	평균/NNG
91만	91/SN+만/NR
원인	원/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
추산됐다.	추산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.167.8.2
이는 한 달 평균 161만 원에 해당하는 노동력을 가사에 투입하는 외벌이 가구보다 70만 원 적은 것이다.

이는	이/NP+는/JX
한	한/MMN
달	달/NNB
평균	평균/NNG
161만	161/SN+만/NR
원에	원/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
노동력을	노동력/NNG+을/JKO
가사에	가사/NNG+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
외벌이	외벌이/NNG
가구보다	가구/NNG+보다/JKB
70만	70/SN+만/NR
원	원/NNB
적은	적/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.167.8.3
이에 따라 맞벌이 가구는 부족한 가사노동을 대체하기 위해 외식과 가사서비스에 더 많은 비용을 지출해야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
맞벌이	맞벌이/NNG
가구는	가구/NNG+는/JX
부족한	부족/NNG+하/XSA+ㄴ/ETM
가사노동을	가사/NNG+노동/NNG+을/JKO
대체하기	대체/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
외식과	외식/NNG+과/JC
가사서비스에	가사/NNG+서비스/NNG+에/JKB
더	더/MAG
많은	많/VA+은/ETM
비용을	비용/NNG+을/JKO
지출해야	지출/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.167.8.4
통계청에 따르면 2011년 현재 맞벌이 가구는 외벌이보다 외식비를 한 달 평균 9만 원 더 지출했다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
2011년	2011/SN+년/NNB
현재	현재/MAG
맞벌이	맞벌이/NNG
가구는	가구/NNG+는/JX
외벌이보다	외벌이/NNG+보다/JKB
외식비를	외식비/NNG+를/JKO
한	한/MMN
달	달/NNB
평균	평균/NNG
9만	9/SN+만/NR
원	원/NNB
더	더/MAG
지출했다.	지출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.167.8.5
맞벌이 가구의 가사 서비스 지출은 외벌이의 5.2배로 조사됐다.

맞벌이	맞벌이/NNG
가구의	가구/NNG+의/JKG
가사	가사/NNG
서비스	서비스/NNG
지출은	지출/NNG+은/JX
외벌이의	외벌이/NNG+의/JKG
5.2배로	5/SN+./SP+2/SN+배/NNG+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.167.8.6
육아 도우미 고용비용은 통계청에서 집계하지 않지만 맞벌이와 외벌이 가구의 실질소득에 가장 큰 영향을 미칠 것으로 보인다.

육아	육아/NNG
도우미	도우미/NNG
고용비용은	고용/NNG+비용/NNG+은/JX
통계청에서	통계청/NNG+에서/JKB
집계하지	집계/NNG+하/XSV+지/EC
않지만	않/VX+지만/EC
맞벌이와	맞벌이/NNG+와/JC
외벌이	외벌이/NNG
가구의	가구/NNG+의/JKG
실질소득에	실질/NNG+소득/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.167.9.1
맞벌이 가구의 실질소득 감소는 노동시간이 길고 여성 임금이 낮은 한국 노동시장의 특수성에서도 원인을 찾을 수 있다.

맞벌이	맞벌이/NNG
가구의	가구/NNG+의/JKG
실질소득	실질/NNG+소득/NNG
감소는	감소/NNG+는/JX
노동시간이	노동/NNG+시간/NNG+이/JKS
길고	길/VA+고/EC
여성	여성/NNG
임금이	임금/NNG+이/JKS
낮은	낮/VA+은/ETM
한국	한국/NNP
노동시장의	노동/NNG+시장/NNG+의/JKG
특수성에서도	특수/NNG+성/XSN+에서/JKB+도/JX
원인을	원인/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.167.9.2
2009년 현재 한국의 맞벌이 주부는 하루 평균 회사 일에 6시간, 집안일에 3.7시간을 썼다.

2009년	2009/SN+년/NNB
현재	현재/MAG
한국의	한국/NNP+의/JKG
맞벌이	맞벌이/NNG
주부는	주부/NNG+는/JX
하루	하루/NNG
평균	평균/NNG
회사	회사/NNG
일에	일/NNG+에/JKB
6시간,	6/SN+시간/NNB+,/SP
집안일에	집안일/NNG+에/JKB
3.7시간을	3/SN+./SP+7/SN+시간/NNB+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.167.9.3
반면에 일본 맞벌이 주부는 회사 일에 5.3시간, 집안일에 4.8시간을 투입했고, 미국은 각각 5.1시간, 4.5시간으로 집안일 비중이 이보다 더 컸다.

반면에	반면/NNG+에/JKB
일본	일본/NNP
맞벌이	맞벌이/NNG
주부는	주부/NNG+는/JX
회사	회사/NNG
일에	일/NNG+에/JKB
5.3시간,	5/SN+./SP+3/SN+시간/NNB+,/SP
집안일에	집안일/NNG+에/JKB
4.8시간을	4/SN+./SP+8/SN+시간/NNB+을/JKO
투입했고,	투입/NNG+하/XSV+았/EP+고/EC+,/SP
미국은	미국/NNP+은/JX
각각	각각/MAG
5.1시간,	5/SN+./SP+1/SN+시간/NNB+,/SP
4.5시간으로	4/SN+./SP+5/SN+시간/NNB+으로/JKB
집안일	집안일/NNG
비중이	비중/NNG+이/JKS
이보다	이/NP+보다/JKB
더	더/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.167.9.4
같은 해 여성 정규직 평균임금은 156만 원으로, 경제협력개발기구(OECD) 국가 중 남녀 임금격차가 가장 클 정도다.

같은	같/VA+은/ETM
해	해/NNG
여성	여성/NNG
정규직	정규직/NNG
평균임금은	평균/NNG+임금/NNG+은/JX
156만	156/SN+만/NR
원으로,	원/NNB+으로/JKB+,/SP
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
국가	국가/NNG
중	중/NNB
남녀	남녀/NNG
임금격차가	임금/NNG+격차/NNG+가/JKS
가장	가장/MAG
클	크/VA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.167.10.1
이 연구원은 “시간제 근로, 출퇴근 시간을 조정하는 유연근로제도 등처럼 가사노동을 병행할 수 있는 탄력적 근무방식을 도입할 필요가 있다”고 말했다.

이	이/NNP
연구원은	연구원/NNG+은/JX
“시간제	“/SS+시간/NNG+제/XSN
근로,	근로/NNG+,/SP
출퇴근	출퇴근/NNG
시간을	시간/NNG+을/JKO
조정하는	조정/NNG+하/XSV+는/ETM
유연근로제도	유연/XR+근로/NNG+제도/NNG
등처럼	등/NNB+처럼/JKB
가사노동을	가사/NNG+노동/NNG+을/JKO
병행할	병행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
탄력적	탄력/NNG+적/XSN
근무방식을	근무/NNG+방식/NNG+을/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


