# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.323
metadata : {}


# id : NWRW1800000030.323.1.1
해킹당한 문서도 모르면서… 외교부 '책임 떠넘기기'

해킹당한	해킹/NNG+당하/XSV+ㄴ/ETM
# id : NWRW1800000030.323.4.1
지난 4일 외교부는 '한·미 대통령 통화내용, 중(中)에 해킹당했다'는 본지 기사〈6월 4일자 A1·A4면 보도〉와 관련해 약 500자 분량의 보도자료를 냈다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
외교부는	외교부/NNG+는/JX
'한·미	'/SS+한·미/NNP
대통령	대통령/NNG
통화내용,	통화/NNG+내용/NNG+,/SP
중(中)에	중/NNP+(/SS+中/SH+)/SS+에/JKB
해킹당했다'는	해킹/NNG+당하/XSV+았/EP+다/EF+'/SS+는/ETM
본지	본지/NNG
기사〈6월	기사/NNG+〈/SS+6/SN+월/NNB
4일자	4/SN+일/NNB+자/NNG
A1·A4면	A/SL+1/SN+·/SP+A/SL+4/SN+면/NNG
보도〉와	보도/NNG+〉/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
약	약/MMA
500자	500/SN+자/NNG
분량의	분량/NNG+의/JKG
보도자료를	보도/NNG+자료/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.323.4.2
①한미 정상 간 통화내용이 해킹됐다는 것은 사실이 아니며 ②이 기간에 외교통상부 (공식) 이메일은 해킹을 당한 적이 없다는 내용이었다.

①한미	①/SN+한미/NNP
정상	정상/NNG
간	간/NNB
통화내용이	통화/NNG+내용/NNG+이/JKS
해킹됐다는	해킹/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
사실이	사실/NNG+이/JKC
아니며	아니/VCN+며/EC
②이	②/SN+이/MMD
기간에	기간/NNG+에/JKB
외교통상부	외교/NNG+통상부/NNG
(공식)	(/SS+공식/NNG+)/SS
이메일은	이메일/NNG+은/JX
해킹을	해킹/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다는	없/VA+다는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.323.5.1
해당 기사는 민주당 신학용 의원이 국정원의 대면 보고를 받아 발표한 내용을 인용해, 정부가 2009년 4월 영국 런던에서 열린 G20(주요 20개국) 정상회의를 앞두고 작성했던 보고서 3건이 중국 측 해킹으로 유출됐다는 사실을 담고 있었다.

해당	해당/NNG
기사는	기사/NNG+는/JX
민주당	민주당/NNP
신학용	신학용/NNP
의원이	의원/NNG+이/JKS
국정원의	국정원/NNG+의/JKG
대면	대면/NNG
보고를	보고/NNG+를/JKO
받아	받/VV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
정부가	정부/NNG+가/JKS
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
영국	영국/NNP
런던에서	런던/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
G20(주요	G/SL+20/SN+(/SS+주요/NNG
20개국)	20/SN+개국/NNB+)/SS
정상회의를	정상/NNG+회의/NNG+를/JKO
앞두고	앞두/VV+고/EC
작성했던	작성/NNG+하/XSV+았/EP+던/ETM
보고서	보고서/NNG
3건이	3/SN+건/NNB+이/JKS
중국	중국/NNP
측	측/NNB
해킹으로	해킹/NNG+으로/JKB
유출됐다는	유출/NNG+되/XSV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
담고	담/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.323.5.2
외교부는 보도자료에서 이에 대해 '관계 기관에 확인한 결과 2009년 3월 다른 부처 소속 공무원이 해외에 있는 동료 직원과 상용 메일로 G20 정상회의 준비 관련 문건을 주고받는 과정에서 PC가 해킹당했다'고 해명했다.

외교부는	외교부/NNG+는/JX
보도자료에서	보도/NNG+자료/NNG+에서/JKB
이에	이/NP+에/JKB
대해	대하/VV+아/EC
'관계	'/SS+관계/NNG
기관에	기관/NNG+에/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
다른	다른/MMD
부처	부처/NNG
소속	소속/NNG
공무원이	공무원/NNG+이/JKS
해외에	해외/NNG+에/JKB
있는	있/VA+는/ETM
동료	동료/NNG
직원과	직원/NNG+과/JC
상용	상용/NNG
메일로	메일/NNG+로/JKB
G20	G/SL+20/SN
정상회의	정상/NNG+회의/NNG
준비	준비/NNG
관련	관련/NNG
문건을	문건/NNG+을/JKO
주고받는	주고받/VV+는/ETM
과정에서	과정/NNG+에서/JKB
PC가	PC/SL+가/JKS
해킹당했다'고	해킹/NNG+당하/XSV+았/EP+다/EF+'/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.323.5.3
"외교부가 아닌 다른 부처 책임"이란 뜻이다.

"외교부가	"/SS+외교부/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
부처	부처/NNG
책임"이란	책임/NNG+"/SS+이/VCP+란/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.323.6.1
그러나 외교부는 정상 간 통화 내용이 정말 유출되지 않았는지, 해킹 시기를 신 의원이 주장한 2월이 아닌 3월로 적은 이유가 무엇인지 근거를 대지 못했을 뿐만 아니라 제대로 파악도 못한 듯했다.

그러나	그러나/MAJ
외교부는	외교부/NNG+는/JX
정상	정상/NNG
간	간/NNB
통화	통화/NNG
내용이	내용/NNG+이/JKS
정말	정말/MAG
유출되지	유출/NNG+되/XSV+지/EC
않았는지,	않/VX+았/EP+는지/EF+,/SP
해킹	해킹/NNG
시기를	시기/NNG+를/JKO
신	신/NNP
의원이	의원/NNG+이/JKS
주장한	주장/NNG+하/XSV+ㄴ/ETM
2월이	2/SN+월/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
3월로	3/SN+월/NNB+로/JKB
적은	적/VA+은/ETM
이유가	이유/NNG+가/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
근거를	근거/NNG+를/JKO
대지	대/VV+지/EC
못했을	못하/VX+았/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
제대로	제대로/MAG
파악도	파악/NNG+도/JX
못한	못/MAG+하/VV+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.323.6.2
보도자료 작성에 관여한 한 당국자는 "국정원에 물어보니 관계 부처가 그해 3월 해킹당했다고 해서 그렇게 썼다"며 "관계 부처라고 하기에 업무 성격상 기재부로 추정할 뿐 우리도 정확히 무엇이 언제 유출됐는지 (국정원의) 통보를 받지 못해 모른다"고 말했다.

보도자료	보도/NNG+자료/NNG
작성에	작성/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
한	한/MMN
당국자는	당국자/NNG+는/JX
"국정원에	"/SS+국정원/NNG+에/JKB
물어보니	물어보/VV+니/EC
관계	관계/NNG
부처가	부처/NNG+가/JKS
그해	그해/NNG
3월	3/SN+월/NNB
해킹당했다고	해킹/NNG+당하/XSV+았/EP+다고/EC
해서	하/VV+아서/EC
그렇게	그렇/VA+게/EC
썼다"며	쓰/VV+었/EP+다/EF+"/SS+며/EC
"관계	"/SS+관계/NNG
부처라고	부처/NNG+이/VCP+라고/EC
하기에	하/VV+기에/EC
업무	업무/NNG
성격상	성격/NNG+상/XSN
기재부로	기재부/NNG+로/JKB
추정할	추정/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
우리도	우리/NP+도/JX
정확히	정확히/MAG
무엇이	무엇/NP+이/JKS
언제	언제/MAG
유출됐는지	유출/NNG+되/XSV+었/EP+는지/EF
(국정원의)	(/SS+국정원/NNG+의/JKG+)/SS
통보를	통보/NNG+를/JKO
받지	받/VV+지/EC
못해	못하/VX+아/EC
모른다"고	모르/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.323.7.1
해외 공관의 일원이 본국과 문건을 주고받다가 유출됐다면 외교부도 책임이 있다.

해외	해외/NNG
공관의	공관/NNG+의/JKG
일원이	일원/NNG+이/JKS
본국과	본국/NNG+과/JKB
문건을	문건/NNG+을/JKO
주고받다가	주고받/VV+다가/EC
유출됐다면	유출/NNG+되/XSV+었/EP+다면/EC
외교부도	외교부/NNG+도/JX
책임이	책임/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.323.7.2
그러나 외교부는 전말을 모두 밝혀내기도 전에 "외교관이 작성한 대외비 문건은 아닐 것"이란 논리만 내세우고 있다.

그러나	그러나/MAJ
외교부는	외교부/NNG+는/JX
전말을	전말/NNG+을/JKO
모두	모두/MAG
밝혀내기도	밝혀내/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
"외교관이	"/SS+외교관/NNG+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
대외비	대외비/NNG
문건은	문건/NNG+은/JX
아닐	아니/VCN+ㄹ/ETM
것"이란	것/NNB+"/SS+이/VCP+란/ETM
논리만	논리/NNG+만/JX
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


