# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.292
metadata : {}


# id : NWRW1800000036.292.1.1
김치파이터 UFC 정복

김치파이터	김치/NNG+파이터/NNG
등극했다.	등극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.292.6.3
헨더슨의 통산 전적은 16승2패.

헨더슨의	헨더슨/NNP+의/JKG
통산	통산/NNG
전적은	전적/NNG+은/JX
16승2패.	16/SN+승/NNB+2/SN+패/NNB+./SF


# id : NWRW1800000036.292.7.1
헨더슨은 에드거를 1라운드부터 큰 키와 리치를 활용해 거세게 몰아붙였다.

헨더슨은	헨더슨/NNP+은/JX
에드거를	에드거/NNP+를/JKO
1라운드부터	1/SN+라운드/NNG+부터/JX
큰	크/VA+ㄴ/ETM
키와	키/NNG+와/JC
리치를	리치/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
거세게	거세/VA+게/EC
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.292.7.2
2라운드 종료 직전에는 헨더슨이 누워 있는 상태에서 올려 찬 킥이 에드거의 안면을 정확하게 강타해 KO 직전까지 갔다.

2라운드	2/SN+라운드/NNG
종료	종료/NNG
직전에는	직전/NNG+에/JKB+는/JX
헨더슨이	헨더슨/NNP+이/JKS
누워	눕/VV+어/EC
있는	있/VX+는/ETM
상태에서	상태/NNG+에서/JKB
올려	올리/VV+어/EC
찬	차/VV+ㄴ/ETM
킥이	킥/NNG+이/JKS
에드거의	에드거/NNP+의/JKG
안면을	안면/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
강타해	강타/NNG+하/XSV+아/EC
KO	KO/SL
직전까지	직전/NNG+까지/JX
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.292.7.3
아쉽게도 2라운드 종료 종이 울려 공격을 중단해야 했지만 에드거의 얼굴은 피범벅이 됐을 정도로 치명적인 한방이었다.

아쉽게도	아쉽/VA+게/EC+도/JX
2라운드	2/SN+라운드/NNG
종료	종료/NNG
종이	종/NNG+이/JKS
울려	울리/VV+어/EC
공격을	공격/NNG+을/JKO
중단해야	중단/NNG+하/XSV+아야/EC
했지만	하/VX+았/EP+지만/EC
에드거의	에드거/NNP+의/JKG
얼굴은	얼굴/NNG+은/JX
피범벅이	피범벅/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
한방이었다.	한/MMN+방/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.292.7.4
이후에도 5라운드 종료 때까지 에드거의 안면을 정확하게 강타하며 점수를 차곡차곡 쌓아 결국 완승으로 이끌었다.

이후에도	이후/NNG+에/JKB+도/JX
5라운드	5/SN+라운드/NNG
종료	종료/NNG
때까지	때/NNG+까지/JX
에드거의	에드거/NNP+의/JKG
안면을	안면/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
강타하며	강타/NNG+하/XSV+며/EC
점수를	점수/NNG+를/JKO
차곡차곡	차곡차곡/MAG
쌓아	쌓/VV+아/EC
결국	결국/MAG
완승으로	완승/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.292.8.1
헨더슨은 한국인 어머니와 주한미군 아버지 사이에서 태어난 ‘하프 코리안’이다.

헨더슨은	헨더슨/NNP+은/JX
한국인	한국인/NNG
어머니와	어머니/NNG+와/JC
주한미군	주한/NNG+미군/NNG
아버지	아버지/NNG
사이에서	사이/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
‘하프	‘/SS+하프/NNG
코리안’이다.	코리안/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.292.8.2
어릴 때부터 태권도로 몸을 단련했고, ‘김치 파이터’라는 별명에 걸맞게 평소 김치를 즐겨 먹는다.

어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
태권도로	태권도/NNG+로/JKB
몸을	몸/NNG+을/JKO
단련했고,	단련/NNG+하/XSV+았/EP+고/EC+,/SP
‘김치	‘/SS+김치/NNG
파이터’라는	파이터/NNG+’/SS+이/VCP+라는/ETM
별명에	별명/NNG+에/JKB
걸맞게	걸맞/VA+게/EC
평소	평소/NNG
김치를	김치/NNG+를/JKO
즐겨	즐기/VV+어/EC
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000036.292.8.3
헨더슨의 어머니 김성화(50)씨는 헨더슨이 어린 시절 남편과 이혼한 뒤 혼자 힘으로 헨더슨을 길러냈다.

헨더슨의	헨더슨/NNP+의/JKG
어머니	어머니/NNG
김성화(50)씨는	김성화/NNP+(/SS+50/SN+)/SS+씨/NNB+는/JX
헨더슨이	헨더슨/NNP+이/JKS
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
남편과	남편/NNG+과/JKB
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
혼자	혼자/MAG
힘으로	힘/NNG+으로/JKB
헨더슨을	헨더슨/NNP+을/JKO
길러냈다.	기르/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.292.8.4
이 때문에 헨더슨은 경기가 끝난 뒤 장내 인터뷰 때 항상 “어무니 사랑해요”를 외친다.

이	이/NP
때문에	때문/NNB+에/JKB
헨더슨은	헨더슨/NNP+은/JX
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
장내	장내/NNG
인터뷰	인터뷰/NNG
때	때/NNG
항상	항상/MAG
“어무니	“/SS+어무니/NNG
사랑해요”를	사랑/NNG+하/XSV+아요/EF+”/SS+를/JKO
외친다.	외치/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.292.9.1
앞서 벌어진 웰터급 경기에서는 추성훈(37·일본명 아키야마 요시히로)이 제이크 실즈(33·미국)를 맞아 잘 싸우고도 경기 막판 결정적인 테이크다운을 내줘 심판 전원일치 판정패를 당했다.

앞서	앞서/MAG
벌어진	벌어지/VV+ㄴ/ETM
웰터급	웰터급/NNG
경기에서는	경기/NNG+에서/JKB+는/JX
추성훈(37·일본명	추성훈/NNP+(/SS+37/SN+·/SP+일본/NNP+명/NNG
아키야마	아키야마/NNP
요시히로)이	요시히로/NNP+)/SS+이/JKS
제이크	제이크/NNP
실즈(33·미국)를	실즈/NNP+(/SS+33/SN+·/SP+미국/NNP+)/SS+를/JKO
맞아	맞/VV+아/EC
잘	잘/MAG
싸우고도	싸우/VV+고/EC+도/JX
경기	경기/NNG
막판	막판/NNG
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
테이크다운을	테이크/NNP+다운/NNG+을/JKO
내줘	내주/VV+어/EC
심판	심판/NNG
전원일치	전원일치/NNG
판정패를	판정패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


