# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.274
metadata : {}


# id : NWRW1800000046.274.1.1
[만물상] 오바마의 퇴근 시간

[만물상]	[/SS+만물상/NNG+]/SS
판결문	판결문/NNG
쓰겠다며	쓰/VV+겠/EP+다며/EC
팔을	팔/NNG+을/JKO
걷어붙였으니…."	걷어붙이/VV+었/EP+으니/EC+…/SE+./SF+"/SS
총리의	총리/NNG+의/JKG
귀여운	귀엽/VA+ㄴ/ETM
'폭로'에	'/SS+폭로/NNG+'/SS+에/JKB
와르르	와르르/MAG
웃음이	웃음/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.274.2.7
▶미국 기업은 밤늦도록 사무실에 남아 일하는 사람을 별로 좋아하지 않는다.

▶미국	▶/SW+미국/NNP
기업은	기업/NNG+은/JX
밤늦도록	밤늦/VA+도록/EC
사무실에	사무실/NNG+에/JKB
남아	남/VV+아/EC
일하는	일/NNG+하/XSV+는/ETM
사람을	사람/NNG+을/JKO
별로	별로/MAG
좋아하지	좋아하/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.274.2.8
'무능하다' 평하기도 한다.

'무능하다'	'/SS+무능/NNG+하/XSA+다/EF+'/SS
평하기도	평/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.274.2.9
한국계 테마파크 디자이너 니나 안은 워커·커닝햄 같은 유수의 설계 회사에서 맹활약했다.

한국계	한국/NNP+계/XSN
테마파크	테마파크/NNG
디자이너	디자이너/NNG
니나	니나/NNP
안은	안/NNP+은/JX
워커·커닝햄	워커/NNP+·/SP+커닝햄/NNP
같은	같/VA+은/ETM
유수의	유수/NNG+의/JKG
설계	설계/NNG
회사에서	회사/NNG+에서/JKB
맹활약했다.	맹활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.10
말단에서 유리천장을 뚫기까지 그녀는 '시간과의 싸움'이 가장 힘겨웠다고 했다.

말단에서	말단/NNG+에서/JKB
유리천장을	유리/NNG+천장/NNG+을/JKO
뚫기까지	뚫/VV+기/ETN+까지/JX
그녀는	그녀/NP+는/JX
'시간과의	'/SS+시간/NNG+과/JKB+의/JKG
싸움'이	싸움/NNG+'/SS+이/JKS
가장	가장/MAG
힘겨웠다고	힘겹/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.11
백인 동료를 뛰어넘으려면 몇 배 노력해야 하는데 회사에 오래 남아 있으면 '실력 없다' 찍히니 집으로 몰래 일감을 싸들고 가야 했다는 거다.

백인	백인/NNG
동료를	동료/NNG+를/JKO
뛰어넘으려면	뛰어넘/VV+으려면/EC
몇	몇/NR
배	배/NNG
노력해야	노력/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
회사에	회사/NNG+에/JKB
오래	오래/MAG
남아	남/VV+아/EC
있으면	있/VX+으면/EC
'실력	'/SS+실력/NNG
없다'	없/VA+다/EF+'/SS
찍히니	찍히/VV+니/EC
집으로	집/NNG+으로/JKB
몰래	몰래/MAG
일감을	일감/NNG+을/JKO
싸들고	싸/VV+아/EC+들/VV+고/EC
가야	가/VV+아야/EC
했다는	하/VX+았/EP+다는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.274.2.12
'시간을 다루는 기술'이 곧 능력의 잣대였다.

'시간을	'/SS+시간/NNG+을/JKO
다루는	다루/VV+는/ETM
기술'이	기술/NNG+'/SS+이/JKS
곧	곧/MAG
능력의	능력/NNG+의/JKG
잣대였다.	잣대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.274.2.13
▶9시 출근, 5시 퇴근 '나인 투 파이브'를 철저히 지키는 북유럽 기업도 시간과 전쟁을 치른다.

▶9시	▶/SW+9/SN+시/NNB
출근,	출근/NNG+,/SP
5시	5/SN+시/NNB
퇴근	퇴근/NNG
'나인	'/SS+나인/NNG
투	투/NNG
파이브'를	파이브/NNG+'/SS+를/JKO
철저히	철저히/MAG
지키는	지키/VV+는/ETM
북유럽	북유럽/NNP
기업도	기업/NNG+도/JX
시간과	시간/NNG+과/JC
전쟁을	전쟁/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.274.2.14
퇴근 시각은 오후 5시이지만 3시부터는 자유업무 시간으로 어떤 회의도 열지 않으니 아침부터 바지런히 움직여야 그날 일을 매듭짓는다.

퇴근	퇴근/NNG
시각은	시각/NNG+은/JX
오후	오후/NNG
5시이지만	5/SN+시/NNB+이/VCP+지만/EC
3시부터는	3/SN+시/NNB+부터/JX+는/JX
자유업무	자유/NNG+업무/NNG
시간으로	시간/NNG+으로/JKB
어떤	어떤/MMD
회의도	회의/NNG+도/JX
열지	열/VV+지/EC
않으니	않/VX+으니/EC
아침부터	아침/NNG+부터/JX
바지런히	바지런히/MAG
움직여야	움직이/VV+어야/EC
그날	그날/NNG
일을	일/NNG+을/JKO
매듭짓는다.	매듭짓/VV+는다/EF+./SF


# id : NWRW1800000046.274.2.15
점심 먹을 시간도 없어 샌드위치 들고 일하는 직원이 태반이다.

점심	점심/NNG
먹을	먹/VV+을/ETM
시간도	시간/NNG+도/JX
없어	없/VA+어/EC
샌드위치	샌드위치/NNG
들고	들/VV+고/EC
일하는	일/NNG+하/XSV+는/ETM
직원이	직원/NNG+이/JKS
태반이다.	태반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.274.2.16
그래도 행복하다.

그래도	그렇/VA+어도/EC
행복하다.	행복/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.274.2.17
가족과의 단란한 저녁 식사가 기다리고 있으므로.

가족과의	가족/NNG+과/JKB+의/JKG
단란한	단란하/VA+ㄴ/ETM
저녁	저녁/NNG
식사가	식사/NNG+가/JKS
기다리고	기다리/VV+고/EC
있으므로.	있/VX+으므로/EC+./SF


# id : NWRW1800000046.274.2.18
▶세계에서 가장 바쁜 남자라고 할 오바마 미국 대통령도 알고 보니 '칼퇴근'하는 남자란다.

▶세계에서	▶/SW+세계/NNG+에서/JKB
가장	가장/MAG
바쁜	바쁘/VA+ㄴ/ETM
남자라고	남자/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
오바마	오바마/NNP
미국	미국/NNP
대통령도	대통령/NNG+도/JX
알고	알/VV+고/EC
보니	보/VX+니/EC
'칼퇴근'하는	'/SS+칼퇴근/NNG+'/SS+하/XSV+는/ETM
남자란다.	남자/NNG+이/VCP+란다/EF+./SF


# id : NWRW1800000046.274.2.19
외국 정상 만찬같이 중요한 약속이 없는 한 오후 6시 30분 퇴근해 가족과 저녁을 먹는다.

외국	외국/NNG
정상	정상/NNG
만찬같이	만찬/NNG+같이/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
약속이	약속/NNG+이/JKS
없는	없/VA+는/ETM
한	한/NNG
오후	오후/NNG
6시	6/SN+시/NNB
30분	30/SN+분/NNB
퇴근해	퇴근/NNG+하/XSV+아/EC
가족과	가족/NNG+과/JKB
저녁을	저녁/NNG+을/JKO
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000046.274.2.20
오바마는 "내 하루의 하이라이트는 딸들 이야기 들으며 그들이 멋진 숙녀로 커가는 걸 지켜보는 것"이라고 했다.

오바마는	오바마/NNP+는/JX
"내	"/SS+나/NP+의/JKG
하루의	하루/NNG+의/JKG
하이라이트는	하이라이트/NNG+는/JX
딸들	딸/NNG+들/XSN
이야기	이야기/NNG
들으며	듣/VV+으며/EC
그들이	그/NP+들/XSN+이/JKS
멋진	멋지/VA+ㄴ/ETM
숙녀로	숙녀/NNG+로/JKB
커가는	크/VA+어/EC+가/VX+는/ETM
걸	거/NNB+ㄹ/JKO
지켜보는	지켜보/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.21
가족의 존귀함, 휴식의 진가를 아는 이 다정하고 지혜로운 남자를 아줌마들이 좋아하지 않을 수 없다.

가족의	가족/NNG+의/JKG
존귀함,	존귀/NNG+하/XSA+ㅁ/ETN+,/SP
휴식의	휴식/NNG+의/JKG
진가를	진가/NNG+를/JKO
아는	알/VV+는/ETM
이	이/MMD
다정하고	다정/NNG+하/XSA+고/EC
지혜로운	지혜/NNG+롭/XSA+ㄴ/ETM
남자를	남자/NNG+를/JKO
아줌마들이	아줌마/NNG+들/XSN+이/JKS
좋아하지	좋아하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.274.2.22
▶그러고 보면 우리 남편들 참 안쓰럽다.

▶그러고	▶/SW+그러/VV+고/EC
보면	보/VX+면/EC
우리	우리/NP
남편들	남편/NNG+들/XSN
참	참/MAG
안쓰럽다.	안쓰럽/VA+다/EF+./SF


# id : NWRW1800000046.274.2.23
사정이 나아졌다곤 해도 한국은 여전히 가장 오래 일하고 휴가 적게 쓰기로 OECD 1~2등을 다툰다.

사정이	사정/NNG+이/JKS
나아졌다곤	나아지/VV+었/EP+다곤/EC
해도	하/VX+아도/EC
한국은	한국/NNP+은/JX
여전히	여전히/MAG
가장	가장/MAG
오래	오래/MAG
일하고	일/NNG+하/XSV+고/EC
휴가	휴가/NNG
적게	적/VA+게/EC
쓰기로	쓰/VV+기/ETN+로/JKB
OECD	OECD/SL
1~2등을	1/SN+~/SO+2/SN+등/NNB+을/JKO
다툰다.	다투/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.274.2.24
삶의 만족도는 물론 기업 생산성이 높을 리 없다.

삶의	삶/NNG+의/JKG
만족도는	만족도/NNG+는/JX
물론	물론/MAG
기업	기업/NNG
생산성이	생산/NNG+성/XSN+이/JKS
높을	높/VA+을/ETM
리	리/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.274.2.25
CEO들 생각부터 바뀌어야 한다.

CEO들	CEO/SL+들/XSN
생각부터	생각/NNG+부터/JX
바뀌어야	바뀌/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.274.2.26
세계적으로 성공한 IT 기업들은 '일과 가정의 균형(work & life balance)'을 경영 핵심 가치로 삼은 지 오래다.

세계적으로	세계/NNG+적/XSN+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
IT	IT/SL
기업들은	기업/NNG+들/XSN+은/JX
'일과	'/SS+일/NNG+과/JC
가정의	가정/NNG+의/JKG
균형(work	균형/NNG+(/SS+work/SL
&	&/SW
life	life/SL
balance)'을	balance/SL+)/SS+'/SS+을/JKO
경영	경영/NNG
핵심	핵심/NNG
가치로	가치/NNG+로/JKB
삼은	삼/VV+은/ETM
지	지/NNB
오래다.	오래/VA+다/EF+./SF


# id : NWRW1800000046.274.2.27
남자들도 자기 권리를 주장해야 한다.

남자들도	남자/NNG+들/XSN+도/JX
자기	자기/NP
권리를	권리/NNG+를/JKO
주장해야	주장/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.274.2.28
가족과 더불어 저녁 시간 누릴 권리, 육아의 기쁨을 만끽할 권리 말이다.

가족과	가족/NNG+과/JKB
더불어	더불/VV+어/EC
저녁	저녁/NNG
시간	시간/NNG
누릴	누리/VV+ㄹ/ETM
권리,	권리/NNG+,/SP
육아의	육아/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
만끽할	만끽/NNG+하/XSV+ㄹ/ETM
권리	권리/NNG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.274.2.29
잘 쉬고 잘 놀 줄 아는 사람이 일도 잘하는 법이다.

잘	잘/MAG
쉬고	쉬/VV+고/EC
놀	놀/VV+ㄹ/ETM
줄	줄/NNB
아는	알/VV+는/ETM
사람이	사람/NNG+이/JKS
일도	일/NNG+도/JX
잘하는	잘/MAG+하/XSV+는/ETM
법이다.	법/NNB+이/VCP+다/EF+./SF


