# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.264
metadata : {}


# id : NWRW1800000028.264.1.1
러, 잇단 산불에 모스크바도 비상

러,	러/NNP+,/SP
10월까지	10/SN+월/NNB+까지/JX
새로	새로/MAG
집을	집/NNG+을/JKO
지어주겠다고	짓/VV+어/EC+주/VX+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.264.5.1
러시아 당국이 진화작업에 최선을 다하고 있지만, 산불은 쉽게 진정되지 않을 전망이다.

러시아	러시아/NNP
당국이	당국/NNG+이/JKS
진화작업에	진화/NNG+작업/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
산불은	산불/NNG+은/JX
쉽게	쉽/VA+게/EC
진정되지	진정/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.264.5.2
러시아는 기록적인 가뭄에 다음주는 40도까지 기온이 치솟을 것으로 예보돼 산불이 확산될 것으로 우려되고 있다.

러시아는	러시아/NNP+는/JX
기록적인	기록/NNG+적/XSN+이/VCP+ㄴ/ETM
가뭄에	가뭄/NNG+에/JKB
다음주는	다음/NNG+주/NNG+는/JX
40도까지	40/SN+도/NNB+까지/JX
기온이	기온/NNG+이/JKS
치솟을	치솟/VV+을/ETM
것으로	것/NNB+으로/JKB
예보돼	예보/NNG+되/XSV+어/EC
산불이	산불/NNG+이/JKS
확산될	확산/NNG+되/XSV+ㄹ/ETM
우려되고	우려/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.264.5.3
러시아는 최근 몇주간 여러 지역에서 평균기온이 섭씨 35도 이상을 보이는 등 불볕더위가 이어지고 있다.

러시아는	러시아/NNP+는/JX
최근	최근/MAG
몇주간	몇/NR+주/NNB+간/XSN
여러	여러/MMN
지역에서	지역/NNG+에서/JKB
평균기온이	평균/NNG+기온/NNG+이/JKS
섭씨	섭씨/NNG
35도	35/SN+도/NNB
이상을	이상/NNG+을/JKO
보이는	보이/VV+는/ETM
등	등/NNB
불볕더위가	불볕더위/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


