# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.378
metadata : {}


# id : NWRW1800000021.378.1.1
“기내 남성 서빙 인기 높은데 스튜어드는 점점 줄어들어”

“기내	“/SS+기내/NNG
미소나	미소/NNG+나/JC
‘감사합니다’라는	‘/SS+감사/NNG+하/XSV+ㅂ니다/EF+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
몸에	몸/NNG+에/JKB
배	배/VV+어/EC
이웃들에게	이웃/NNG+들/XSN+에게/JKB
‘깔끔하고	‘/SS+깔끔/NNG+하/XSA+고/EC
예의바른	예의/NNG+바르/VA+ㄴ/ETM
사람’으로	사람/NNG+’/SS+으로/JKB
통한다”고	통하/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.6.1
이 씨는 경상도 사투리를 고치기 위해 무던히 애썼다.

이	이/NNP
씨는	씨/NNB+는/JX
경상도	경상도/NNP
사투리를	사투리/NNG+를/JKO
고치기	고치/VV+기/ETN
위해	위하/VV+아/EC
무던히	무던히/MAG
애썼다.	애쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.378.6.2
그는 “남자여서 더 눈에 잘 띈다는 점이 장점이자 단점”이라며 “해외로 비행갈 때마다 호텔방에서 혼자 녹음하고 들어보면서 사투리를 고치곤 했다”고 털어놨다.

그는	그/NP+는/JX
“남자여서	“/SS+남자/NNG+이/VCP+어서/EC
더	더/MAG
눈에	눈/NNG+에/JKB
잘	잘/MAG
띈다는	띄/VV+ㄴ다는/ETM
점이	점/NNG+이/JKS
장점이자	장점/NNG+이/VCP+자/EC
단점”이라며	단점/NNG+”/SS+이/VCP+라며/EC
“해외로	“/SS+해외/NNG+로/JKB
비행갈	비행/NNG+가/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
호텔방에서	호텔방/NNG+에서/JKB
혼자	혼자/NNG
녹음하고	녹음/NNG+하/XSV+고/EC
들어보면서	듣/VV+어/EC+보/VX+면서/EC
사투리를	사투리/NNG+를/JKO
고치곤	고치/VV+곤/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.7.1
대한항공의 이덕영 객실사무장(37)은 미혼인데도 아기를 어르고 달래는 데 ‘고수’가 됐다고 한다.

대한항공의	대한항공/NNP+의/JKG
이덕영	이덕영/NNP
객실사무장(37)은	객실/NNG+사무장/NNG+(/SS+37/SN+)/SS+은/JX
미혼인데도	미혼/NNG+이/VCP+ㄴ데/EC+도/JX
아기를	아기/NNG+를/JKO
어르고	어르/VV+고/EC
달래는	달래/VV+는/ETM
데	데/NNB
‘고수’가	‘/SS+고수/NNG+’/SS+가/JKC
됐다고	되/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.378.7.2
비행기를 탄 아기들은 열에 아홉은 울음을 터뜨리기 때문에 아기 달래는 법을 배우지 않을 수 없었다.

비행기를	비행기/NNG+를/JKO
탄	타/VV+ㄴ/ETM
아기들은	아기/NNG+들/XSN+은/JX
열에	열/NR+에/JKB
아홉은	아홉/NR+은/JX
울음을	울음/NNG+을/JKO
터뜨리기	터뜨리/VV+기/ETN
때문에	때문/NNB+에/JKB
아기	아기/NNG
달래는	달래/VV+는/ETM
법을	법/NNB+을/JKO
배우지	배우/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.378.7.3
여성 동료들로부터 아기 보기 노하우를 전수받고 조카들과 함께 놀아주며 터득했다.

여성	여성/NNG
동료들로부터	동료/NNG+들/XSN+로부터/JKB
아기	아기/NNG
보기	보/VV+기/ETN
노하우를	노하우/NNG+를/JKO
전수받고	전수/NNG+받/XSV+고/EC
조카들과	조카/NNG+들/XSN+과/JKB
함께	함께/MAG
놀아주며	놀/VV+아/EC+주/VX+며/EC
터득했다.	터득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.7.4
그는 “종이컵에 땅콩을 넣고 달그락달그락 소리를 내 아기의 주의를 끌면 좋다”고 귀띔했다.

그는	그/NP+는/JX
“종이컵에	“/SS+종이컵/NNG+에/JKB
땅콩을	땅콩/NNG+을/JKO
넣고	넣/VV+고/EC
달그락달그락	달그락달그락/MAG
소리를	소리/NNG+를/JKO
내	내/VV+어/EC
아기의	아기/NNG+의/JKG
주의를	주의/NNG+를/JKO
끌면	끌/VV+면/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.8.1
기내에서 술 마시고 소란 피우는 남자들을 진정시킬 때 스튜어드의 진가가 발휘된다.

기내에서	기내/NNG+에서/JKB
술	술/NNG
마시고	마시/VV+고/EC
소란	소란/NNG
피우는	피우/VV+는/ETM
남자들을	남자/NNG+들/XSN+을/JKO
진정시킬	진정/NNG+시키/XSV+ㄹ/ETM
때	때/NNG
스튜어드의	스튜어드/NNG+의/JKG
진가가	진가/NNG+가/JKS
발휘된다.	발휘/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.378.8.2
이두원 씨는 “기내에서 제공하는 술을 마시고 취하는 손님이 적지 않다.

이두원	이두원/NNP
씨는	씨/NNB+는/JX
“기내에서	“/SS+기내/NNG+에서/JKB
제공하는	제공/NNG+하/XSV+는/ETM
술을	술/NNG+을/JKO
마시고	마시/VV+고/EC
취하는	취하/VV+는/ETM
손님이	손/NNG+님/XSN+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.378.8.3
손님이 ‘술 더 달라’고 할 때 스튜어드가 가서 너스레 떨며 자제해 달라고 이야기하는 것이 호소력이 있지 않나 싶다”며 웃었다.

손님이	손/NNG+님/XSN+이/JKS
‘술	‘/SS+술/NNG
더	더/MAG
달라’고	달/VV+라/EF+’/SS+고/JKQ
할	하/VV+ㄹ/ETM
때	때/NNG
스튜어드가	스튜어드/NNG+가/JKS
가서	가/VV+아서/EC
너스레	너스레/NNG
떨며	떨/VV+며/EC
자제해	자제/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
이야기하는	이야기/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
호소력이	호소력/NNG+이/JKS
있지	있/VA+지/EC
않나	않/VX+나/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.378.9.1
○ 줄어드는 추세의 스튜어드

○	○/SW
줄어드는	줄어들/VV+는/ETM
추세의	추세/NNG+의/JKG
스튜어드	스튜어드/NNG


# id : NWRW1800000021.378.10.1
앞으론 스튜어드를 보기 힘들어질지 모른다.

앞으론	앞/NNG+으로/JKB+ㄴ/JX
스튜어드를	스튜어드/NNG+를/JKO
보기	보/VV+기/ETN
힘들어질지	힘들/VA+어/EC+지/VX+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.378.10.2
국내 항공사에서 스튜어드 수가 줄어드는 추세이기 때문이다.

국내	국내/NNG
항공사에서	항공사/NNG+에서/JKB
스튜어드	스튜어드/NNG
수가	수/NNG+가/JKS
줄어드는	줄어들/VV+는/ETM
추세이기	추세/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.378.10.3
대한항공, 아시아나항공의 스튜어드 비중은 1990년 약 33%에서 2009년 약 11%로 줄었다.

대한항공,	대한항공/NNP+,/SP
아시아나항공의	아시아나항공/NNP+의/JKG
스튜어드	스튜어드/NNG
비중은	비중/NNG+은/JX
1990년	1990/SN+년/NNB
약	약/MMA
33%에서	33/SN+%/SW+에서/JKB
2009년	2009/SN+년/NNB
11%로	11/SN+%/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.378.10.4
대한항공은 1990년 전체 승무원 1480명 가운데 약 32%인 480명이 스튜어드였으나 올해 기준으로는 3776명 중 12%(455명)에 불과하다.

대한항공은	대한항공/NNP+은/JX
1990년	1990/SN+년/NNB
전체	전체/NNG
승무원	승무원/NNG
1480명	1480/SN+명/NNB
가운데	가운데/NNG
약	약/MMA
32%인	32/SN+%/SW+이/VCP+ㄴ/ETM
480명이	480/SN+명/NNB+이/JKS
스튜어드였으나	스튜어드/NNG+이/VCP+었/EP+으나/EC
올해	올해/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
3776명	3776/SN+명/NNB
중	중/NNB
12%(455명)에	12/SN+%/SW+(/SS+455/SN+명/NNB+)/SS+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000021.378.10.5
아시아나항공은 1988년 출범 첫해 공채 104명 중 41명(39.4%)을 남자로 뽑았지만 올해는 29명 중 1명만이 남자였다.

아시아나항공은	아시아나항공/NNP+은/JX
1988년	1988/SN+년/NNB
출범	출범/NNG
첫해	첫해/NNG
공채	공채/NNG
104명	104/SN+명/NNB
중	중/NNB
41명(39.4%)을	41/SN+명/NNB+(/SS+39/SN+./SP+4/SN+%/SW+)/SS+을/JKO
남자로	남자/NNG+로/JKB
뽑았지만	뽑/VV+았/EP+지만/EC
올해는	올해/NNG+는/JX
29명	29/SN+명/NNB
1명만이	1/SN+명/NNB+만/JX+이/JKS
남자였다.	남자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.378.10.6
대한항공은 1997년부터 스튜어드는 따로 공채하지 않고 일반직으로 뽑은 후 사내 공모를 통해 선발해, 2008년 12월 국가인권위원회로부터 “남성에 대한 성차별”이라며 시정 권고를 받기도 했다.

대한항공은	대한항공/NNP+은/JX
1997년부터	1997/SN+년/NNB+부터/JX
스튜어드는	스튜어드/NNG+는/JX
따로	따로/MAG
공채하지	공채/NNG+하/XSV+지/EC
않고	않/VX+고/EC
일반직으로	일반직/NNG+으로/JKB
뽑은	뽑/VV+은/ETM
후	후/NNG
사내	사내/NNG
공모를	공모/NNG+를/JKO
통해	통하/VV+아/EC
선발해,	선발/NNG+하/XSV+아/EC+,/SP
2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
국가인권위원회로부터	국가인권위원회/NNP+로부터/JKB
“남성에	“/SS+남성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성차별”이라며	성차별/NNG+”/SS+이/VCP+라며/EC
시정	시정/NNG
권고를	권고/NNG+를/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.378.10.7
하지만 대한항공 측은 “기업 고유의 권한”이라며 권고를 받아들이지 않을 방침이어서 앞으로도 스튜어드는 늘기 힘들어 보인다.

하지만	하지만/MAJ
대한항공	대한항공/NNP
측은	측/NNB+은/JX
“기업	“/SS+기업/NNG
고유의	고유/NNG+의/JKG
권한”이라며	권한/NNG+”/SS+이/VCP+라며/EC
권고를	권고/NNG+를/JKO
받아들이지	받아들이/VV+지/EC
않을	않/VX+을/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
앞으로도	앞/NNG+으로/JKB+도/JX
스튜어드는	스튜어드/NNG+는/JX
늘기	늘/VV+기/ETN
힘들어	힘들/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.378.11.1
윤선정 한국관광대 항공서비스과 교수는 “승무원이라고 하면 대개 젊고 예쁜 여자만을 떠올린다”며 “남성 비율을 조금 높이는 것도 외모 지상주의 이미지에서 벗어나는 데 도움이 될 것”이라고 말했다.

윤선정	윤선정/NNP
한국관광대	한국관광대/NNP
항공서비스과	항공/NNG+서비스/NNG+과/NNG
교수는	교수/NNG+는/JX
“승무원이라고	“/SS+승무원/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
대개	대개/MAG
젊고	젊/VA+고/EC
예쁜	예쁘/VA+ㄴ/ETM
여자만을	여자/NNG+만/JX+을/JKO
떠올린다”며	떠올리/VV+ㄴ다/EF+”/SS+며/EC
“남성	“/SS+남성/NNG
비율을	비율/NNG+을/JKO
조금	조금/MAG
높이는	높이/VV+는/ETM
것도	것/NNB+도/JX
외모	외모/NNG
지상주의	지상주의/NNG
이미지에서	이미지/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


