# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.110
metadata : {}


# id : NWRW1800000026.110.1.1
中 자본시장 흔드는 태자당의 손;원자바오 아들 수십억 달러 사모펀드 운용·주룽지 아들은 국제금융공사 회장…

中	中/SH
이 태자당들이 이젠 금융시장에도 속속 포진하고 있다.

이	이/MMD
태자당들이	태자당/NNG+들/XSN+이/JKS
이젠	이제/NNG+ㄴ/JX
금융시장에도	금융/NNG+시장/NNG+에/JKB+도/JX
속속	속속/MAG
포진하고	포진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.110.4.2
리루이환(李瑞環) 전 정협 주석의 맏아들 조지 리는 글로벌 금융기관에서 근무하다 독립해 지금은 사모펀드를 운영하고 있다.

리루이환(李瑞環)	리루이환/NNP+(/SS+李瑞環/SH+)/SS
전	전/MMD
정협	정협/NNP
주석의	주석/NNG+의/JKG
맏아들	맏/XPN+아들/NNG
조지	조지/NNP
리는	리/NNP+는/JX
글로벌	글로벌/NNG
금융기관에서	금융/NNG+기관/NNG+에서/JKB
근무하다	근무/NNG+하/XSV+다/EC
독립해	독립/NNG+하/XSV+아/EC
지금은	지금/NNG+은/JX
사모펀드를	사모/NNG+펀드/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.110.4.3
그의 둘째 아들인 제프리 리도 사모펀드를 만들기 위해 최근 다국적 제약회사의 중국 총재직을 던졌다.

그의	그/NP+의/JKG
둘째	둘째/NR
아들인	아들/NNG+이/VCP+ㄴ/ETM
제프리	제프리/NNP
리도	리/NNP+도/JX
사모펀드를	사모/NNG+펀드/NNG+를/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
최근	최근/MAG
다국적	다국적/NNG
제약회사의	제약/NNG+회사/NNG+의/JKG
중국	중국/NNP
총재직을	총재직/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.110.4.4
중국 권력 서열 2위인 우방궈(吳邦國) 전국인민대표대회 상무위원장의 사위인 윌슨 펑은 2년 전 메릴린치를 사직한 뒤 국유 핵에너지회사와 합작 펀드를 운용하고 있다.

중국	중국/NNP
권력	권력/NNG
서열	서열/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
우방궈(吳邦國)	우방궈/NNP+(/SS+吳邦國/SH+)/SS
전국인민대표대회	전국인민대표대회/NNP
상무위원장의	상무/NNG+위원장/NNG+의/JKG
사위인	사위/NNG+이/VCP+ㄴ/ETM
윌슨	윌슨/NNP
펑은	펑/NNP+은/JX
2년	2/SN+년/NNB
전	전/NNG
메릴린치를	메릴린치/NNP+를/JKO
사직한	사직/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국유	국유/NNG
핵에너지회사와	핵에너지/NNG+회사/NNG+와/JKB
합작	합작/NNG
펀드를	펀드/NNG+를/JKO
운용하고	운용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.110.4.5
중국 공산당 정치국 상무위원인 리창춘(李長春)의 딸(리퉁)은 중국은행의 홍콩지점에서 사모펀드를 운용하고, 국무원 부총리 쩡페이옌(曾培炎)의 아들(제프리 쩡)은 최근 중국 국유금융회사와 펀드 회사를 차렸다.

중국	중국/NNP
공산당	공산당/NNP
정치국	정치국/NNG
상무위원인	상무위원/NNG+이/VCP+ㄴ/ETM
리창춘(李長春)의	리창춘/NNP+(/SS+李長春/SH+)/SS+의/JKG
딸(리퉁)은	딸/NNG+(/SS+리퉁/NNP+)/SS+은/JX
중국은행의	중국은행/NNP+의/JKG
홍콩지점에서	홍콩/NNP+지점/NNG+에서/JKB
사모펀드를	사모/NNG+펀드/NNG+를/JKO
운용하고,	운용/NNG+하/XSV+고/EC+,/SP
국무원	국무원/NNG
부총리	부총리/NNG
쩡페이옌(曾培炎)의	쩡페이옌/NNP+(/SS+曾培炎/SH+)/SS+의/JKG
아들(제프리	아들/NNG+(/SS+제프리/NNP
쩡)은	쩡/NNP+)/SS+은/JX
최근	최근/MAG
국유금융회사와	국유/NNG+금융/NNG+회사/NNG+와/JC
펀드	펀드/NNG
회사를	회사/NNG+를/JKO
차렸다.	차리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.110.4.6
이들의 선배는 중국국제금융공사(CICC)의 회장인 주룽지(朱鎔基) 전 총리의 아들 레빈 주(52)와 상하이 알리안스투자(SAI) 회사를 경영하는 장쩌민(江澤民) 전 국가주석의 아들 장??헝(江綿恒·58)이다.

이들의	이/NP+들/XSN+의/JKG
선배는	선배/NNG+는/JX
중국국제금융공사(CICC)의	중국국제금융공사/NNP+(/SS+CICC/SL+)/SS+의/JKG
회장인	회장/NNG+이/VCP+ㄴ/ETM
주룽지(朱鎔基)	주룽지/NNP+(/SS+朱鎔基/SH+)/SS
전	전/MMD
총리의	총리/NNG+의/JKG
아들	아들/NNG
레빈	레빈/NNP
주(52)와	주/NNP+(/SS+52/SN+)/SS+와/JC
상하이	상하이/NNP
알리안스투자(SAI)	알리안스투자/NNP+(/SS+SAI/SL+)/SS
회사를	회사/NNG+를/JKO
경영하는	경영/NNG+하/XSV+는/ETM
장쩌민(江澤民)	장쩌민/NNP+(/SS+江澤民/SH+)/SS
국가주석의	국가주석/NNG+의/JKG
장??헝(江綿恒·58)이다.	장??헝/NF+(/SS+江綿恒/SH+·/SP+58/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.110.4.7
그러나 일반인들의 시선은 곱지 않다.

그러나	그러나/MAJ
일반인들의	일반인/NNG+들/XSN+의/JKG
시선은	시선/NNG+은/JX
곱지	곱/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000026.110.5.1
공산당 기관지인 인민일보의 여론조사 결과 "중국 부유층은 정치적 배경을 갖고 있다"고 응답한 자가 91%나 됐다.

공산당	공산당/NNP
기관지인	기관지/NNG+이/VCP+ㄴ/ETM
인민일보의	인민일보/NNP+의/JKG
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
"중국	"/SS+중국/NNP
부유층은	부유/NNG+층/XSN+은/JX
정치적	정치/NNG+적/XSN
배경을	배경/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
응답한	응답/NNG+하/XSV+ㄴ/ETM
자가	자/NNB+가/JKS
91%나	91/SN+%/SW+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


