# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.230
metadata : {}


# id : NWRW1800000037.230.1.1
형-아우 감독끼리… 올 슈퍼볼은 ‘하보 볼’

형-아우	형/NNG+-/SO+아우/NNG
하지만	하지만/MAJ
짐이	짐/NNP+이/JKS
1981년	1981/SN+년/NNB
캘리포니아	캘리포니아/NNP
팰러앨토	팰러앨토/NNP
고등학교로	고등학교/NNG+로/JKB
옮기면서	옮기/VV+면서/EC
따로	따로/MAG
성장하게	성장/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.6.1
선수로서는 동생 짐이 화려하게 빛났다.

선수로서는	선수/NNG+로서/JKB+는/JX
동생	동생/NNG
짐이	짐/NNP+이/JKS
화려하게	화려하/VA+게/EC
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.230.6.2
디펜시브 백 존은 오하이오 주 마이애미대를 졸업한 뒤 곧바로 지도자의 길을 걸은 반면에 쿼터백 짐은 미시간대를 거쳐 NFL 시카고 베어스에서 데뷔해 여러 팀에서 프로 선수로 활약했다.

디펜시브	디펜시브/NNG
백	백/NNG
존은	존/NNP+은/JX
오하이오	오하이오/NNP
주	주/NNG
마이애미대를	마이애미대/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
지도자의	지도자/NNG+의/JKG
길을	길/NNG+을/JKO
걸은	걷/VV+은/ETM
반면에	반면/NNG+에/JKB
쿼터백	쿼터백/NNG
짐은	짐/NNP+은/JX
미시간대를	미시간대/NNP+를/JKO
거쳐	거치/VV+어/EC
NFL	NFL/SL
시카고	시카고/NNP
베어스에서	베어스/NNP+에서/JKB
데뷔해	데뷔/NNG+하/XSV+아/EC
여러	여러/MMN
팀에서	팀/NNG+에서/JKB
프로	프로/NNG
선수로	선수/NNG+로/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.230.6.3
짐은 프로 통산 177경기 중 140경기를 선발로 뛰었고 3918번의 패스 중 2305번을 성공시켜 총 2만6288야드 전진과 129개의 터치다운을 이끌었다.

짐은	짐/NNP+은/JX
프로	프로/NNG
통산	통산/NNG
177경기	177/SN+경기/NNG
중	중/NNB
140경기를	140/SN+경기/NNG+를/JKO
선발로	선발/NNG+로/JKB
뛰었고	뛰/VV+었/EP+고/EC
3918번의	3918/SN+번/NNB+의/JKG
패스	패스/NNG
2305번을	2305/SN+번/NNB+을/JKO
성공시켜	성공/NNG+시키/XSV+어/EC
총	총/MMA
2만6288야드	2/SN+만/NR+6288/SN+야드/NNB
전진과	전진/NNG+과/JC
129개의	129/SN+개/NNB+의/JKG
터치다운을	터치다운/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.6.4
짐은 1994년 켄터키대 감독인 아버지 밑에서 지도자 수업을 시작했다.

짐은	짐/NNP+은/JX
1994년	1994/SN+년/NNB
켄터키대	켄터키대/NNP
감독인	감독/NNG+이/VCP+ㄴ/ETM
아버지	아버지/NNG
밑에서	밑/NNG+에서/JKB
지도자	지도자/NNG
수업을	수업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.230.7.1
지도자로선 ‘난형난제’의 실력을 보여주고 있다.

지도자로선	지도자/NNG+로서/JKB+ㄴ/JX
‘난형난제’의	‘/SS+난형난제/NNG+’/SS+의/JKG
실력을	실력/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.230.7.2
대학과 프로 코치로 경력을 쌓은 존은 2008년 볼티모어 사령탑을 맡았고 짐도 지도자로 대학교와 프로를 거친 뒤 2011년 샌프란시스코 헤드코치가 됐다.

대학과	대학/NNG+과/JC
프로	프로/NNG
코치로	코치/NNG+로/JKB
경력을	경력/NNG+을/JKO
쌓은	쌓/VV+은/ETM
존은	존/NNP+은/JX
2008년	2008/SN+년/NNB
볼티모어	볼티모어/NNP
사령탑을	사령탑/NNG+을/JKO
맡았고	맡/VV+았/EP+고/EC
짐도	짐/NNP+도/JX
지도자로	지도자/NNG+로/JKB
대학교와	대/XPN+학교/NNG+와/JC
프로를	프로/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
2011년	2011/SN+년/NNB
샌프란시스코	샌프란시스코/NNP
헤드코치가	헤드코치/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.7.3
존은 지난 시즌 팀을 아메리칸풋볼콘퍼런스(AFC) 결승까지 올려놓는 지도력을 발휘했다.

존은	존/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
팀을	팀/NNG+을/JKO
아메리칸풋볼콘퍼런스(AFC)	아메리칸/NNP+풋볼/NNG+콘퍼런스/NNG+(/SS+AFC/SL+)/SS
결승까지	결승/NNG+까지/JX
올려놓는	올려놓/VV+는/ETM
지도력을	지도력/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.230.7.4
아깝게 뉴잉글랜드 패트리어츠에 져 눈물을 흘렸지만 올해에는 뉴잉글랜드와 다시 만난 설욕전에서 28-13으로 역전승을 거뒀다.

아깝게	아깝/VA+게/EC
뉴잉글랜드	뉴잉글랜드/NNP
패트리어츠에	패트리어츠/NNP+에/JKB
져	지/VV+어/EC
눈물을	눈물/NNG+을/JKO
흘렸지만	흘리/VV+었/EP+지만/EC
올해에는	올해/NNG+에/JKB+는/JX
뉴잉글랜드와	뉴잉글랜드/NNP+와/JKB
다시	다시/MAG
만난	만나/VV+ㄴ/ETM
설욕전에서	설욕전/NNG+에서/JKB
28-13으로	28/SN+-/SO+13/SN+으로/JKB
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.7.5
볼티모어는 2001년 이후 12년 만에 슈퍼볼에 올랐다.

볼티모어는	볼티모어/NNP+는/JX
2001년	2001/SN+년/NNB
이후	이후/NNG
12년	12/SN+년/NNB
만에	만/NNB+에/JKB
슈퍼볼에	슈퍼볼/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.230.7.6
짐은 팀을 맡은 뒤 2년 만에 팀을 포스트시즌에 올렸고 슈퍼볼 무대에까지 서는 괴력을 보여줬다.

짐은	짐/NNP+은/JX
팀을	팀/NNG+을/JKO
맡은	맡/VV+은/ETM
뒤	뒤/NNG
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
포스트시즌에	포스트시즌/NNG+에/JKB
올렸고	올리/VV+었/EP+고/EC
슈퍼볼	슈퍼볼/NNG
무대에까지	무대/NNG+에/JKB+까지/JX
서는	서/VV+는/ETM
괴력을	괴력/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.230.7.7
샌프란시스코는 21일 내셔널풋볼콘퍼런스(NFC) 결승에서는 애틀랜타 팰컨스를 28-24로 제압하고 1995년 이후 18년 만에 슈퍼볼 무대에 섰다.

샌프란시스코는	샌프란시스코/NNP+는/JX
21일	21/SN+일/NNB
내셔널풋볼콘퍼런스(NFC)	내셔널풋볼콘퍼런스/NNG+(/SS+NFC/SL+)/SS
결승에서는	결승/NNG+에서/JKB+는/JX
애틀랜타	애틀랜타/NNP
팰컨스를	팰컨스/NNP+를/JKO
28-24로	28/SN+-/SO+24/SN+로/JKB
제압하고	제압/NNG+하/XSV+고/EC
1995년	1995/SN+년/NNB
이후	이후/NNG
18년	18/SN+년/NNB
만에	만/NNB+에/JKB
슈퍼볼	슈퍼볼/NNG
무대에	무대/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.7.8
대망의 슈퍼볼은 2월 4일 루이지애나 주 뉴올리언스의 메르세데스벤츠 슈퍼돔에서 열린다.

대망의	대망/NNG+의/JKG
슈퍼볼은	슈퍼볼/NNG+은/JX
2월	2/SN+월/NNB
4일	4/SN+일/NNB
루이지애나	루이지애나/NNP
주	주/NNG
뉴올리언스의	뉴올리언스/NNP+의/JKG
메르세데스벤츠	메르세데스벤츠/NNP
슈퍼돔에서	슈퍼돔/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


