# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.35
metadata : {}


# id : NWRW1800000054.35.1.1
[월드 톡톡] 美 여성지 편집장 "늙어가는 것을 퇴치 대상으로 보는 '안티 에이징' 표현 안써"

[월드	[/SS+월드/NNG
수일째	수일/NNG+째/XSN
달구고	달구/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.35.4.1
리 편집장은 이 편지에서 "아름다움은 젊은 사람만의 전유물이 아니다"며 "'나이에 비해 예뻐 보인다'는 식이 아니라 그냥 '멋지다'라는 표현으로도 충분하다"고 썼다.

리	리/NNP
편집장은	편집장/NNG+은/JX
이	이/MMD
편지에서	편지/NNG+에서/JKB
"아름다움은	"/SS+아름다움/NNG+은/JX
젊은	젊/VA+은/ETM
사람만의	사람/NNG+만/JX+의/JKG
전유물이	전유물/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"'나이에	"/SS+'/SS+나이/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
예뻐	예쁘/VA+어/EC
보인다'는	보이/VV+ㄴ다/EF+'/SS+는/ETM
식이	식/NNB+이/JKC
아니라	아니/VCN+라/EC
그냥	그냥/MAG
'멋지다'라는	'/SS+멋지/VA+다/EF+'/SS+이/VCP+라는/ETM
표현으로도	표현/NNG+으로/JKB+도/JX
충분하다"고	충분하/VA+다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.35.4.2
또 "오랜 시간 '안티 에이징'을 강조해온 미용업계의 마케팅 관행이 하룻밤에 바뀌진 않겠지만, '모든 연령대가 아름답다'는 인식을 일상 대화에서부터 정착시켜야 한다"고 적었다.

또	또/MAG
"오랜	"/SS+오랜/MMA
시간	시간/NNG
'안티	'/SS+안티/NNG
에이징'을	에이징/NNG+'/SS+을/JKO
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
미용업계의	미용업/NNG+계/XSN+의/JKG
마케팅	마케팅/NNG
관행이	관행/NNG+이/JKS
하룻밤에	하룻밤/NNG+에/JKB
바뀌진	바뀌/VV+지/EC+ㄴ/JX
않겠지만,	않/VX+겠/EP+지만/EC+,/SP
'모든	'/SS+모든/MMN
연령대가	연령대/NNG+가/JKS
아름답다'는	아름답/VA+다/EF+'/SS+는/ETM
인식을	인식/NNG+을/JKO
일상	일상/NNG
대화에서부터	대화/NNG+에서부터/JKB
정착시켜야	정착/NNG+시키/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.35.4.3
일본 아사히(朝日)신문은 "리 편집장의 선언은 전 세계 패션·미용업계에 큰 영향을 미칠 것"이라고 했다.

일본	일본/NNP
아사히(朝日)신문은	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG+은/JX
"리	"/SS+리/NNP
편집장의	편집장/NNG+의/JKG
선언은	선언/NNG+은/JX
전	전/MMN
세계	세계/NNG
패션·미용업계에	패션/NNG+·/SP+미용업/NNG+계/XSN+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.35.5.1
얼루어는 이날 리 편집장의 선언을 뒷받침하는 다음 달 호(9월) 표지사진>를 인터넷에 공개했다.

얼루어는	얼루어/NNP+는/JX
이날	이날/NNG
리	리/NNP
편집장의	편집장/NNG+의/JKG
선언을	선언/NNG+을/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
다음	다음/NNG
달	달/NNG
호(9월)	호/NNB+(/SS+9/SN+월/NNB+)/SS
표지사진>를	표지/NNG+사진/NNG+>/SS+를/JKO
인터넷에	인터넷/NNG+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.35.5.2
72세의 영국 여배우 헬렌 미렌(2007년 아카데미 여주연상)을 표지 모델로 등장시킨 것이다.

72세의	72/SN+세/NNB+의/JKG
영국	영국/NNP
여배우	여배우/NNG
헬렌	헬렌/NNP
미렌(2007년	미렌/NNP+(/SS+2007/SN+년/NNB
아카데미	아카데미/NNG
여주연상)을	여/NNG+주연상/NNG+)/SS+을/JKO
표지	표지/NNG
모델로	모델/NNG+로/JKB
등장시킨	등장/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.35.5.3
은발의 미렌은 주름진 손을 내보이며 미소 짓고 있다.

은발의	은발/NNG+의/JKG
미렌은	미렌/NNP+은/JX
주름진	주름지/VV+ㄴ/ETM
손을	손/NNG+을/JKO
내보이며	내보이/VV+며/EC
미소	미소/NNG
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.35.5.4
얼루어는 "미렌은 늙는다는 것과 아름답다는 것이 서로 충돌하는 개념이 아니라는 것을 보여주는 대표적인 인물"이라고 했다.

얼루어는	얼루어/NNP+는/JX
"미렌은	"/SS+미렌/NNP+은/JX
늙는다는	늙/VV+는다는/ETM
것과	것/NNB+과/JKB
아름답다는	아름답/VA+다는/ETM
것이	것/NNB+이/JKS
서로	서로/MAG
충돌하는	충돌/NNG+하/XSV+는/ETM
개념이	개념/NNG+이/JKS
아니라는	아니/VCN+라는/ETM
것을	것/NNB+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
인물"이라고	인물/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.35.6.1
소셜미디어에는 "이 같은 선언이 미용업계 대표 잡지에서 나오다니 반갑다" "나도 아름다운 여성이라는 걸 일깨워줘 감사하다"는 등의 댓글이 올라왔다.

소셜미디어에는	소셜/NNG+미디어/NNG+에/JKB+는/JX
"이	"/SS+이/NP
같은	같/VA+은/ETM
선언이	선언/NNG+이/JKS
미용업계	미용업/NNG+계/XSN
대표	대표/NNG
잡지에서	잡지/NNG+에서/JKB
나오다니	나오/VV+다니/EC
반갑다"	반갑/VA+다/EF+"/SS
"나도	"/SS+나/NP+도/JX
아름다운	아름답/VA+ㄴ/ETM
여성이라는	여성/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
일깨워줘	일깨우/VV+어/EC+주/VX+어/EC
감사하다"는	감사/NNG+하/XSA+다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
댓글이	댓글/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.35.6.2
반면 "노화를 방지하려는 노력이 왜 잘못된 것인지 모르겠다"는 댓글도 상당수였다.

반면	반면/NNG
"노화를	"/SS+노화/NNG+를/JKO
방지하려는	방지/NNG+하/XSV+려는/ETM
노력이	노력/NNG+이/JKS
왜	왜/MAG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
모르겠다"는	모르/VV+겠/EP+다/EF+"/SS+는/ETM
댓글도	댓글/NNG+도/JX
상당수였다.	상당수/NNG+이/VCP+었/EP+다/EF+./SF


