# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.116
metadata : {}


# id : NWRW1800000033.116.1.1
[공연 리뷰]4人4色 에너지, 대극장을 감싸다

[공연	[/SS+공연/NNG
2007년	2007/SN+년/NNB
국립중앙박물관	국립중앙박물관/NNP
극장	극장/NNG
용에서	용/NNG+에서/JKB
초연한	초연/NNG+하/XSV+ㄴ/ETM
이	이/MMD
작품은	작품/NNG+은/JX
뒤주에	뒤주/NNG+에/JKB
갇혀	갇히/VV+어/EC
죽음을	죽음/NNG+을/JKO
맞은	맞/VV+은/ETM
사도세자의	사도/NNP+세자/NNG+의/JKG
마지막	마지막/NNG
8일을	8/SN+일/NNB+을/JKO
사도,	사도/NNP+,/SP
혜경궁	혜경궁/NNP
홍씨,	홍/NNP+씨/NNB+,/SP
영조,	영조/NNP+,/SP
정조	정조/NNP
4명만으로	4/SN+명/NNB+만/JX+으로/JKB
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.116.4.2
안무가 국수호 씨의 명성을 증명하듯 빈자리 없이 객석을 채운 관객이 80분 동안 몰입한 채 공연을 지켜봤다.

안무가	안무가/NNG
국수호	국수호/NNP
씨의	씨/NNB+의/JKG
명성을	명성/NNG+을/JKO
증명하듯	증명/NNG+하/XSV+듯/EC
빈자리	빈자리/NNG
없이	없이/MAG
객석을	객석/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
관객이	관객/NNG+이/JKS
80분	80/SN+분/NNB
동안	동안/NNG
몰입한	몰입/NNG+하/XSV+ㄴ/ETM
채	채/NNB
공연을	공연/NNG+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.116.5.1
초연에 이어 주인공 사도세자 역을 맡은 이영일 씨(현대무용단 무브먼트 팩토리 컴퍼니 대표)의 춤은 발군이었다.

초연에	초연/NNG+에/JKB
이어	잇/VV+어/EC
주인공	주인공/NNG
사도세자	사도/NNP+세자/NNG
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
이영일	이영일/NNP
씨(현대무용단	씨/NNB+(/SS+현대/NNG+무용단/NNG
무브먼트	무브먼트/NNP
팩토리	팩토리/NNP
컴퍼니	컴퍼니/NNG
대표)의	대표/NNG+)/SS+의/JKG
춤은	춤/NNG+은/JX
발군이었다.	발군/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.116.5.2
춤 동작이 유연하고 부드러우면서도 단단한 내공이 느껴졌다.

춤	춤/NNG
동작이	동작/NNG+이/JKS
유연하고	유연하/VA+고/EC
부드러우면서도	부드럽/VA+으면서/EC+도/JX
단단한	단단하/VA+ㄴ/ETM
내공이	내공/NNG+이/JKS
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.116.5.3
뒤주에 갇히기 전에 부인인 혜경궁 홍씨(이윤경)와 추는 2인무에선 부드러우면서 열정적이었고 1인무에선 세상을 다 가진 듯한 호방한 기운을 뿜어냈다.

뒤주에	뒤주/NNG+에/JKB
갇히기	갇히/VV+기/ETN
전에	전/NNG+에/JKB
부인인	부인/NNG+이/VCP+ㄴ/ETM
혜경궁	혜경궁/NNP
홍씨(이윤경)와	홍/NNP+씨/NNB+(/SS+이윤경/NNP+)/SS+와/JKB
추는	추/VV+는/ETM
2인무에선	2/SN+인무/NNG+에서/JKB+ㄴ/JX
부드러우면서	부드럽/VA+으면서/EC
열정적이었고	열정/NNG+적/XSN+이/VCP+었/EP+고/EC
1인무에선	1/SN+인무/NNG+에서/JKB+ㄴ/JX
세상을	세상/NNG+을/JKO
다	다/MAG
가진	가지/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
호방한	호방하/VA+ㄴ/ETM
기운을	기운/NNG+을/JKO
뿜어냈다.	뿜어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.116.6.1
이번 공연에 새로 합류한 영조 역의 손관중 씨(한양대 교수)는 전반적으로 경직되어 보이는 춤 동작으로 유연한 사도와 대비를 이뤘고 정조 역의 정지욱 씨는 통통 튀는 순발력 넘치는 동작으로 아이 같은 느낌을 잘 살렸다.

이번	이번/NNG
공연에	공연/NNG+에/JKB
새로	새로/MAG
합류한	합류/NNG+하/XSV+ㄴ/ETM
영조	영조/NNP
역의	역/NNG+의/JKG
손관중	손관중/NNP
씨(한양대	씨/NNB+(/SS+한양대/NNP
교수)는	교수/NNG+)/SS+는/JX
전반적으로	전반/NNG+적/XSN+으로/JKB
경직되어	경직/NNG+되/XSV+어/EC
보이는	보이/VV+는/ETM
춤	춤/NNG
동작으로	동작/NNG+으로/JKB
유연한	유연하/VA+ㄴ/ETM
사도와	사도/NNP+와/JKB
대비를	대비/NNG+를/JKO
이뤘고	이루/VV+었/EP+고/EC
정조	정조/NNP
정지욱	정지욱/NNP
씨는	씨/NNB+는/JX
통통	통통/MAG
튀는	튀/VV+는/ETM
순발력	순발력/NNG
넘치는	넘치/VV+는/ETM
아이	아이/NNG
같은	같/VA+은/ETM
느낌을	느낌/NNG+을/JKO
잘	잘/MAG
살렸다.	살리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.116.7.1
홍동기 씨가 작곡한 20곡의 창작곡은 춤사위로 표현하는 배우들의 감정을 더욱 효과적으로 증폭시켰다.

홍동기	홍동기/NNP
씨가	씨/NNB+가/JKS
작곡한	작곡/NNG+하/XSV+ㄴ/ETM
20곡의	20/SN+곡/NNG+의/JKG
창작곡은	창작곡/NNG+은/JX
춤사위로	춤사위/NNG+로/JKB
표현하는	표현/NNG+하/XSV+는/ETM
배우들의	배우/NNG+들/XSN+의/JKG
감정을	감정/NNG+을/JKO
더욱	더욱/MAG
효과적으로	효과/NNG+적/XSN+으로/JKB
증폭시켰다.	증폭/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.116.7.2
2대의 피아노 음악 위주로 흐르다가 극도의 슬픔이나 괴로움을 표현할 때는 바이올린의 고음 연주가 더해졌다.

2대의	2/SN+대/NNB+의/JKG
피아노	피아노/NNG
음악	음악/NNG
위주로	위주/NNG+로/JKB
흐르다가	흐르/VV+다가/EC
극도의	극도/NNG+의/JKG
슬픔이나	슬픔/NNG+이나/JC
괴로움을	괴로움/NNG+을/JKO
표현할	표현/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
바이올린의	바이올린/NNG+의/JKG
고음	고음/NNG
연주가	연주/NNG+가/JKS
더해졌다.	더/MAG+하/XSV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.116.8.1
오케스트라 피트에 5.7t의 물을 채워 뒤주를 표현한 것은 시각적으로 좋은 아이디어였다.

오케스트라	오케스트라/NNG
피트에	피트/NNG+에/JKB
5.7t의	5/SN+./SP+7/SN+t/SW+의/JKG
물을	물/NNG+을/JKO
채워	채우/VV+어/EC
뒤주를	뒤주/NNG+를/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
시각적으로	시각/NNG+적/XSN+으로/JKB
좋은	좋/VA+은/ETM
아이디어였다.	아이디어/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.116.8.2
뒤주 속에서 허우적거리는 모습이 죽기 전 고통을 실감나게 살려냈다.

뒤주	뒤주/NNG
속에서	속/NNG+에서/JKB
허우적거리는	허우적거리/VV+는/ETM
모습이	모습/NNG+이/JKS
죽기	죽/VV+기/ETN
전	전/NNG
고통을	고통/NNG+을/JKO
실감나게	실감/NNG+나/VV+게/EC
살려냈다.	살리/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.116.8.3
수조에서 옷을 완전히 벗은 사도가 물 밖으로 나와 무대 뒤로 사라질 땐 객석에서 숨소리조차 들리지 않았다.

수조에서	수조/NNG+에서/JKB
옷을	옷/NNG+을/JKO
완전히	완전히/MAG
벗은	벗/VV+은/ETM
사도가	사도/NNP+가/JKS
물	물/NNG
밖으로	밖/NNG+으로/JKB
나와	나오/VV+아/EC
무대	무대/NNG
뒤로	뒤/NNG+로/JKB
사라질	사라지/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
객석에서	객석/NNG+에서/JKB
숨소리조차	숨소리/NNG+조차/JX
들리지	들리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


