# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.185
metadata : {}


# id : NWRW1800000037.185.1.1
9층빌딩 통째 원스톱성매매 ‘풀살롱’

9층빌딩	9/SN+층/NNG+빌딩/NNG
성매매를	성매매/NNG+를/JKO
알선한	알선/NNG+하/XSV+ㄴ/ETM
혐의(성매매알선	혐의/NNG+(/SS+성매매/NNG+알선/NNG
등	등/NNB
행위의	행위/NNG+의/JKG
처벌에	처벌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반)로	위반/NNG+)/SS+로/JKB
업소	업소/NNG
총책임자	총책임자/NNG
정모	정/NNP+모/NP
씨(35)를	씨/NNB+(/SS+35/SN+)/SS+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.185.4.2
경찰은 이 업소에서 일하는 여성 종업원 9명과 단속 당시 호텔 객실에 있던 손님 9명, 업소 남자 직원 1명 등 19명은 불구속 입건했다.

경찰은	경찰/NNG+은/JX
이	이/MMD
업소에서	업소/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
여성	여성/NNG
종업원	종업원/NNG
9명과	9/SN+명/NNB+과/JC
단속	단속/NNG
당시	당시/NNG
호텔	호텔/NNG
객실에	객실/NNG+에/JKB
있던	있/VV+던/ETM
손님	손/NNG+님/XSN
9명,	9/SN+명/NNB+,/SP
업소	업소/NNG
남자	남자/NNG
직원	직원/NNG
1명	1/SN+명/NNB
등	등/NNB
19명은	19/SN+명/NNB+은/JX
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.4.3
이 업소는 지난해 5월에도 경찰에 단속돼 영업정지를 받은 바 있다.

이	이/MMD
업소는	업소/NNG+는/JX
지난해	지난해/NNG
5월에도	5/SN+월/NNB+에/JKB+도/JX
경찰에	경찰/NNG+에/JKB
단속돼	단속/NNG+되/XSV+어/EC
영업정지를	영업/NNG+정지/NNG+를/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.185.5.1
경찰에 따르면 정 씨는 2010년 6월부터 이 건물 지하 1층과 지상 2∼5층(1층은 로비)에 유흥업소를 차리고 여성 종업원 100여 명을 고용해 손님으로부터 1인당 33만 원을 받고 성매매를 알선했다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
정	정/NNP
씨는	씨/NNB+는/JX
2010년	2010/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
이	이/MMD
건물	건물/NNG
지하	지하/NNG
1층과	1/SN+층/NNG+과/JC
지상	지상/NNG
2∼5층(1층은	2/SN+∼/SO+5/SN+층/NNG+(/SS+1/SN+층/NNG+은/JX
로비)에	로비/NNG+)/SS+에/JKB
유흥업소를	유흥업소/NNG+를/JKO
차리고	차리/VV+고/EC
여성	여성/NNG
종업원	종업원/NNG
100여	100/SN+여/XSN
명을	명/NNB+을/JKO
고용해	고용/NNG+하/XSV+아/EC
손님으로부터	손/NNG+님/XSN+으로부터/JKB
1인당	1/SN+인/NNG+당/XSN
33만	33/SN+만/NR
원을	원/NNB+을/JKO
받고	받/VV+고/EC
성매매를	성매매/NNG+를/JKO
알선했다.	알선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.5.2
이들은 총 21개의 방에서 손님에게 술과 함께 1차 유사성행위를 제공한 뒤 6∼9층 A호텔 객실에서 2차로 성관계를 하도록 하는 등 총 2100m²(약 630평) 건물 전체를 성매매 장소로 사용했다.

이들은	이/NP+들/XSN+은/JX
총	총/MMA
21개의	21/SN+개/NNB+의/JKG
방에서	방/NNG+에서/JKB
손님에게	손/NNG+님/XSN+에게/JKB
술과	술/NNG+과/JKB
함께	함께/MAG
1차	1/SN+차/NNB
유사성행위를	유사/NNG+성행위/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6∼9층	6/SN+∼/SO+9/SN+층/NNG
A호텔	A/SL+호텔/NNG
객실에서	객실/NNG+에서/JKB
2차로	2/SN+차/NNB+로/JKB
성관계를	성관계/NNG+를/JKO
하도록	하/VV+도록/EC
하는	하/VX+는/ETM
등	등/NNB
2100m²(약	2100/SN+m²/SW+(/SS+약/MMA
630평)	630/SN+평/NNB+)/SS
건물	건물/NNG
전체를	전체/NNG+를/JKO
성매매	성매매/NNG
장소로	장소/NNG+로/JKB
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.5.3
업주는 건물을 통째로 빌려 성매매를 위한 공간으로 개조한 뒤 6∼9층은 호텔로 재임대했다.

업주는	업주/NNG+는/JX
건물을	건물/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
빌려	빌리/VV+어/EC
성매매를	성매매/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공간으로	공간/NNG+으로/JKB
개조한	개조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6∼9층은	6/SN+∼/SO+9/SN+층/NNG+은/JX
호텔로	호텔/NNG+로/JKB
재임대했다.	재/XPN+임대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.5.4
이 호텔은 일반 투숙객은 아예 받지 않았다.

이	이/MMD
호텔은	호텔/NNG+은/JX
일반	일반/NNG
투숙객은	투숙객/NNG+은/JX
아예	아예/MAG
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.185.6.1
경찰은 이들이 업소를 운영하며 하루 평균 2400여만 원씩 벌어들여 지금까지 200억 원대의 수익을 올린 것으로 추산했다.

경찰은	경찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
업소를	업소/NNG+를/JKO
운영하며	운영/NNG+하/XSV+며/EC
하루	하루/NNG
평균	평균/NNG
2400여만	2400/SN+여/XSN+만/NR
원씩	원/NNB+씩/XSN
벌어들여	벌어들이/VV+어/EC
지금까지	지금/NNG+까지/JX
200억	200/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
수익을	수익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추산했다.	추산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.6.2
이들은 오후 8시 이전에 오는 손님에게는 가격을 깎아 주고 손님이 몰릴 때는 순번대기표까지 배부하는 등 ‘기업형 마케팅’을 했다.

이들은	이/NP+들/XSN+은/JX
오후	오후/NNG
8시	8/SN+시/NNB
이전에	이전/NNG+에/JKB
오는	오/VV+는/ETM
손님에게는	손/NNG+님/XSN+에게/JKB+는/JX
가격을	가격/NNG+을/JKO
깎아	깎/VV+아/EC
주고	주/VX+고/EC
손님이	손/NNG+님/XSN+이/JKS
몰릴	몰리/VV+ㄹ/ETM
때는	때/NNG+는/JX
순번대기표까지	순번/NNG+대기표/NNG+까지/JX
배부하는	배부/NNG+하/XSV+는/ETM
등	등/NNB
‘기업형	‘/SS+기업/NNG+형/XSN
마케팅’을	마케팅/NNG+’/SS+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.7.1
20일 본보 기자가 찾은 이 업소에는 대학교수, 판사, 변호사, 외교통상부 간부, 국내 대형은행 간부, 대기업 간부, 정부산하기관 연구원, 서울 일선 경찰서 경찰 등의 명함 약 1000장이 1층 카운터 서랍에 정리돼 있었다.

20일	20/SN+일/NNB
본보	본보/NNG
기자가	기자/NNG+가/JKS
찾은	찾/VV+은/ETM
이	이/MMD
업소에는	업소/NNG+에/JKB+는/JX
대학교수,	대학교수/NNG+,/SP
판사,	판사/NNG+,/SP
변호사,	변호사/NNG+,/SP
외교통상부	외교/NNG+통상부/NNG
간부,	간부/NNG+,/SP
국내	국내/NNG
대형은행	대형/NNG+은행/NNG
대기업	대/XPN+기업/NNG
정부산하기관	정부/NNG+산하/NNG+기관/NNG
연구원,	연구원/NNG+,/SP
서울	서울/NNP
일선	일선/NNG
경찰서	경찰서/NNG
경찰	경찰/NNG
등의	등/NNB+의/JKG
명함	명함/NNG
약	약/MMA
1000장이	1000/SN+장/NNB+이/JKS
1층	1/SN+층/NNG
카운터	카운터/NNG
서랍에	서랍/NNG+에/JKB
정리돼	정리/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.185.7.2
하지만 이 명함들이 업주가 다른 일로 개인적으로 주고받은 것인지, 고객이 남긴 것인지는 확인되지 않았다.

하지만	하지만/MAJ
이	이/MMD
명함들이	명함/NNG+들/XSN+이/JKS
업주가	업주/NNG+가/JKS
다른	다른/MMD
일로	일/NNG+로/JKB
개인적으로	개인/NNG+적/XSN+으로/JKB
주고받은	주고받/VV+은/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EC+,/SP
고객이	고객/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EF+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.185.7.3
9층까지 올라갈 수 있는 2개의 엘리베이터 옆에는 한국유흥음식업중앙회가 나눠준 ‘성매매는 불법입니다’라는 문구가 적힌 코팅된 종이가 있었다.

9층까지	9/SN+층/NNG+까지/JX
올라갈	올라가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
2개의	2/SN+개/NNB+의/JKG
엘리베이터	엘리베이터/NNG
옆에는	옆/NNG+에/JKB+는/JX
한국유흥음식업중앙회가	한국유흥음식업중앙회/NNP+가/JKS
나눠준	나누/VV+어/EC+주/VX+ㄴ/ETM
‘성매매는	‘/SS+성매매/NNG+는/JX
불법입니다’라는	불법/NNG+이/VCP+ㅂ니다/EF+’/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
코팅된	코팅/NNG+되/XSV+ㄴ/ETM
종이가	종이/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.185.8.1
또 카운터 서랍에는 지난해 7월 ‘허위 성매매 신고로 장사하기 힘들다’고 서울 강남경찰서에 낸 진정서도 보관돼 있었다.

또	또/MAG
카운터	카운터/NNG
서랍에는	서랍/NNG+에/JKB+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
‘허위	‘/SS+허위/NNG
성매매	성매매/NNG
신고로	신고/NNG+로/JKB
장사하기	장사/NNG+하/XSV+기/ETN
힘들다’고	힘들/VA+다/EF+’/SS+고/JKQ
서울	서울/NNP
강남경찰서에	강남경찰서/NNP+에/JKB
낸	내/VV+ㄴ/ETM
진정서도	진정서/NNG+도/JX
보관돼	보관/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.185.8.2
진정서와 함께 ‘봉사료 지급대장’ 친필서명 확인서와 고용계약서, ‘8시 전에 오면 요금을 깎아준다’는 안내문도 발견됐다.

진정서와	진정서/NNG+와/JKB
함께	함께/MAG
‘봉사료	‘/SS+봉사료/NNG
지급대장’	지급/NNG+대장/NNG+’/SS
친필서명	친필/NNG+서명/NNG
확인서와	확인서/NNG+와/JC
고용계약서,	고용/NNG+계약서/NNG+,/SP
‘8시	‘/SS+8/SN+시/NNB
전에	전/NNG+에/JKB
오면	오/VV+면/EC
요금을	요금/NNG+을/JKO
깎아준다’는	깎/VV+아/EC+주/VX+ㄴ다/EF+’/SS+는/ETM
안내문도	안내문/NNG+도/JX
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.185.9.1
이 업소는 두 번째 단속을 당했기 때문에 강남구의 처분에 따라 영업이 취소될 것으로 보인다.

이	이/MMD
업소는	업소/NNG+는/JX
두	두/MMN
번째	번/NNB+째/XSN
단속을	단속/NNG+을/JKO
당했기	당하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
강남구의	강남구/NNP+의/JKG
처분에	처분/NNG+에/JKB
따라	따르/VV+아/EC
영업이	영업/NNG+이/JKS
취소될	취소/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.185.9.2
하지만 이곳 영업상무는 “어차피 22일까지만 영업을 하고 설날 이후 역삼동으로 이사가려던 참이었다”며 “여종업원을 그대로 옮겨 더 큰 규모로 영업을 시작할 것”이라고 말했다.

하지만	하지만/MAJ
이곳	이곳/NP
영업상무는	영업/NNG+상무/NNG+는/JX
“어차피	“/SS+어차피/MAG
22일까지만	22/SN+일/NNB+까지/JX+만/JX
영업을	영업/NNG+을/JKO
하고	하/VV+고/EC
설날	설날/NNG
이후	이후/NNG
역삼동으로	역삼동/NNP+으로/JKB
이사가려던	이사/NNG+가/VV+려던/ETM
참이었다”며	참/NNB+이/VCP+었/EP+다/EF+”/SS+며/EC
“여종업원을	“/SS+여종업원/NNG+을/JKO
그대로	그대로/MAG
옮겨	옮기/VV+어/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
규모로	규모/NNG+로/JKB
시작할	시작/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.9.3
이곳에서 일했다는 또 다른 영업상무는 “영업정지가 되더라도 큰 타격은 없고 이사를 가면 그만”이라고 말했다.

이곳에서	이곳/NP+에서/JKB
일했다는	일/NNG+하/XSV+았/EP+다는/ETM
또	또/MAG
다른	다른/MMD
영업상무는	영업/NNG+상무/NNG+는/JX
“영업정지가	“/SS+영업/NNG+정지/NNG+가/JKC
되더라도	되/VV+더라도/EC
큰	크/VA+ㄴ/ETM
타격은	타격/NNG+은/JX
없고	없/VA+고/EC
이사를	이사/NNG+를/JKO
가면	가/VV+면/EC
그만”이라고	그만/MAG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.10.1
성매수를 하다 적발된 남성들은 통상 불구속 기소 의견으로 검찰에 송치되고 300만∼500만 원의 벌금형을 받게 된다.

성매수를	성/NNG+매수/NNG+를/JKO
하다	하/VV+다/EC
적발된	적발/NNG+되/XSV+ㄴ/ETM
남성들은	남성/NNG+들/XSN+은/JX
통상	통상/MAG
불구속	불/XPN+구속/NNG
기소	기소/NNG
의견으로	의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
송치되고	송치/NNG+되/XSV+고/EC
300만∼500만	300/SN+만/NR+∼/SO+500/SN+만/NR
원의	원/NNB+의/JKG
벌금형을	벌금형/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


