# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.294
metadata : {}


# id : NWRW1800000049.294.1.1
[횡설수설/정성희]트럼프식 협상

[횡설수설/정성희]트럼프식	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+트럼프식/NNG
돈을	돈/NNG+을/JKO
댈	대/VV+ㄹ/ETM
투자자	투자자/NNG
등	등/NNB
이해관계가	이해관계/NNG+가/JKS
상충하는	상충/NNG+하/XSV+는/ETM
5개	5/SN+개/NNB
그룹과의	그룹/NNG+과/JKB+의/JKG
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
불가능해	불/XPN+가능/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
프로젝트를	프로젝트/NNG+를/JKO
완수한다.	완수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.294.3.5
이 호텔이 현재 뉴욕의 명물 그랜드하이엇호텔이다.

이	이/MMD
호텔이	호텔/NNG+이/JKS
현재	현재/MAG
뉴욕의	뉴욕/NNP+의/JKG
명물	명물/NNG
그랜드하이엇호텔이다.	그랜드하이엇호텔/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.294.4.1
▷물론 이와 다른 주장도 있다.

▷물론	▷/SW+물론/MAG
이와	이/NP+와/JKB
다른	다른/MMD
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.294.4.2
트럼프 자서전 ‘거래의 기술(The Art of the Deal)’은 어제 책 광고가 나오자마자 교보문고 등에서 매진됐다.

트럼프	트럼프/NNP
자서전	자서전/NNG
‘거래의	‘/SS+거래/NNG+의/JKG
기술(The	기술/NNG+(/SS+The/SL
Art	Art/SL
of	of/SL
the	the/SL
Deal)’은	Deal/SL+)/SS+’/SS+은/JX
어제	어제/MAG
책	책/NNG
광고가	광고/NNG+가/JKS
나오자마자	나오/VV+자마자/EC
교보문고	교보문고/NNP
등에서	등/NNB+에서/JKB
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.294.4.3
하지만 1987년 트럼프를 18개월 동안 인터뷰해 실제로 이 책을 쓴 토니 슈워츠는 7월 ‘뉴요커’지에 “책을 팔 욕심에 트럼프를 가장 긍정적으로 색칠했다”며 “트럼프를 주목받게 만든 것을 깊이 후회한다”고 고백했다.

하지만	하지만/MAJ
1987년	1987/SN+년/NNB
트럼프를	트럼프/NNP+를/JKO
18개월	18/SN+개월/NNB
동안	동안/NNG
인터뷰해	인터뷰/NNG+하/XSV+아/EC
실제로	실제로/MAG
이	이/MMD
책을	책/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
토니	토니/NNP
슈워츠는	슈워츠/NNP+는/JX
7월	7/SN+월/NNB
‘뉴요커’지에	‘/SS+뉴요커/NNP+’/SS+지/NA+에/JKB
“책을	“/SS+책/NNG+을/JKO
팔	팔/VV+ㄹ/ETM
욕심에	욕심/NNG+에/JKB
가장	가장/MAG
긍정적으로	긍정/NNG+적/XSN+으로/JKB
색칠했다”며	색칠/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“트럼프를	“/SS+트럼프/NNP+를/JKO
주목받게	주목/NNG+받/XSV+게/EC
만든	만들/VV+ㄴ/ETM
것을	것/NNB+을/JKO
깊이	깊이/MAG
후회한다”고	후회/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
고백했다.	고백/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.294.4.4
책 내용은 순전히 픽션이고 제목도 ‘소시오패스’(반사회적 인격장애자)여야 맞다고 했다.

책	책/NNG
내용은	내용/NNG+은/JX
순전히	순전히/MAG
픽션이고	픽션/NNG+이/VCP+고/EC
제목도	제목/NNG+도/JX
‘소시오패스’(반사회적	‘/SS+소시오패스/NNG+’/SS+(/SS+반/XPN+사회/NNG+적/XSN
인격장애자)여야	인격/NNG+장애자/NNG+)/SS+이/VCP+어야/EC
맞다고	맞/VV+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.294.5.1
▷로스는 트럼프식 협상의 핵심이 “강점을 활용하고 약점은 다른 사람에게 위임하는 것”이라고 한다.

▷로스는	▷/SW+로스/NNP+는/JX
트럼프식	트럼프식/NNG
협상의	협상/NNG+의/JKG
핵심이	핵심/NNG+이/JKS
“강점을	“/SS+강점/NNG+을/JKO
활용하고	활용/NNG+하/XSV+고/EC
약점은	약점/NNG+은/JX
다른	다른/MMD
사람에게	사람/NNG+에게/JKB
위임하는	위임/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.294.5.2
트럼프가 특유의 직관과 돌파력으로 판을 흔들면 마무리는 주변 사람들이 맡는다는 것이다.

트럼프가	트럼프/NNP+가/JKS
특유의	특유/NNG+의/JKG
직관과	직관/NNG+과/JC
돌파력으로	돌파력/NNG+으로/JKB
판을	판/NNG+을/JKO
흔들면	흔들/VV+면/EC
마무리는	마무리/NNG+는/JX
주변	주변/NNG
사람들이	사람/NNG+들/XSN+이/JKS
맡는다는	맡/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.294.5.3
반면 슈워츠는 “트럼프는 단 몇 분도 집중하지 못한다”며 그가 핵 코드를 쥐면 문명의 종말이 올 것”이라고 경고했다.

반면	반면/NNG
슈워츠는	슈워츠/NNP+는/JX
“트럼프는	“/SS+트럼프/NNP+는/JX
단	단/MMA
몇	몇/NR
분도	분/NNB+도/JX
집중하지	집중/NNG+하/XSV+지/EC
못한다”며	못하/VX+ㄴ다/EF+”/SS+며/EC
그가	그/NP+가/JKS
핵	핵/NNG
코드를	코드/NNG+를/JKO
쥐면	쥐/VV+면/EC
문명의	문명/NNG+의/JKG
종말이	종말/NNG+이/JKS
올	오/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.294.5.4
분명한 건 트럼프가 철저히 계산에 따라 움직이는 비즈니스맨이라는 점이다.

분명한	분명/MAG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
트럼프가	트럼프/NNP+가/JKS
철저히	철저히/MAG
계산에	계산/NNG+에/JKB
따라	따르/VV+아/EC
움직이는	움직이/VV+는/ETM
비즈니스맨이라는	비즈니스맨/NNG+이/VCP+라는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.294.5.5
한국은 트럼프에 대해 공부할 게 많다.

한국은	한국/NNP+은/JX
트럼프에	트럼프/NNP+에/JKB
대해	대하/VV+아/EC
공부할	공부/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKS
많다.	많/VA+다/EF+./SF


