# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.459
metadata : {}


# id : NWRW1800000022.459.1.1
"내 자리 바로 앞에서 항공기 동체 부러져";美여객기 활주로 이탈… 승객 91명만 경상 "기적"

"내	"/SS+나/NP+의/JKG
항공기가	항공기/NNG+가/JKS
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
계속	계속/MAG
미끄러지더니	미끄러지/VV+더니/EC
큰	크/VA+ㄴ/ETM
충격과	충격/NNG+과/JKB
함께	함께/MAG
동체가	동체/NNG+가/JKS
파손됐다"고	파손/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.459.5.2
다친 승객들은 대부분 사고 충격으로 떨어진 수하물 등에 머리와 몸을 부딪친 것으로 알려졌다.

다친	다치/VV+ㄴ/ETM
승객들은	승객/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
사고	사고/NNG
충격으로	충격/NNG+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
수하물	수하물/NNG
등에	등/NNB+에/JKB
머리와	머리/NNG+와/JC
몸을	몸/NNG+을/JKO
부딪친	부딪치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.459.5.3
또 다른 승객은 현지 일간지 자메이카 옵서버에 "내가 앉은 바로 앞에서 항공기의 동체가 부러졌다"고 말했다.

또	또/MAG
다른	다른/MMD
승객은	승객/NNG+은/JX
현지	현지/NNG
일간지	일간지/NNG
자메이카	자메이카/NNP
옵서버에	옵서버/NNP+에/JKB
"내가	"/SS+내/NP+가/JKS
앉은	앉/VV+은/ETM
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
항공기의	항공기/NNG+의/JKG
동체가	동체/NNG+가/JKS
부러졌다"고	부러지/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.459.6.1
정확한 사고 원인은 즉각 밝혀지지 않았다.

정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
원인은	원인/NNG+은/JX
즉각	즉각/MAG
밝혀지지	밝혀지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.459.6.2
현지 경찰과 항공 당국은 "조사가 진행 중"이라고 말했다.

현지	현지/NNG
경찰과	경찰/NNG+과/JC
항공	항공/NNG
당국은	당국/NNG+은/JX
"조사가	"/SS+조사/NNG+가/JKS
진행	진행/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


