# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.400
metadata : {}


# id : NWRW1800000036.400.1.1
군, 반유신·반독재도 종북 규정 ‘황당한 시험’

군,	군/NNG+,/SP
# id : NWRW1800000036.400.6.1
또한 “전교조는 종북세력”이라고 규정하거나 “각종 시위의 배후에는 종북세력이 있다”는 내용의 시험문제도 있다.

또한	또한/MAG
“전교조는	“/SS+전교조/NNP+는/JX
종북세력”이라고	종북/NNG+세력/NNG+”/SS+이라고/JKQ
규정하거나	규정/NNG+하/XSV+거나/EC
“각종	“/SS+각종/NNG
시위의	시위/NNG+의/JKG
배후에는	배후/NNG+에/JKB+는/JX
종북세력이	종북/NNG+세력/NNG+이/JKS
있다”는	있/VA+다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
시험문제도	시험/NNG+문제/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.400.7.1
특히 다른 정훈교육과 달리 종북 시험을 의무적으로 치르도록 하면서 일정 수준에 도달하지 않으면 진급에 영향을 주도록 했다.

특히	특히/MAG
다른	다른/MMD
정훈교육과	정훈/NNG+교육/NNG+과/JKB
달리	달리/MAG
종북	종북/NNG
시험을	시험/NNG+을/JKO
의무적으로	의무/NNG+적/XSN+으로/JKB
치르도록	치르/VV+도록/EC
하면서	하/VV+면서/EC
일정	일정/NNG
수준에	수준/NNG+에/JKB
도달하지	도달/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
진급에	진급/NNG+에/JKB
영향을	영향/NNG+을/JKO
주도록	주/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.400.7.2
진급 점수에 도달할 때까지 계속 시험을 치러야 하는 것이다.

진급	진급/NNG
점수에	점수/NNG+에/JKB
도달할	도달/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
계속	계속/MAG
시험을	시험/NNG+을/JKO
치러야	치르/VV+어야/EC
하는	하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.400.7.3
부대별로 기준이 동일해 간부와 병장은 80점, 상병 이하는 70점 이상을 얻어야 한다.

부대별로	부대/NNG+별/XSN+로/JKB
기준이	기준/NNG+이/JKS
동일해	동일/NNG+하/XSA+아/EC
간부와	간부/NNG+와/JC
병장은	병장/NNG+은/JX
80점,	80/SN+점/NNB+,/SP
상병	상병/NNG
이하는	이하/NNG+는/JX
70점	70/SN+점/NNB
이상을	이상/NNG+을/JKO
얻어야	얻/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.400.7.4
군 관계자는 “국방부 지침에 따라 각 군에서 문제은행을 만들었다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“국방부	“/SS+국방부/NNG
지침에	지침/NNG+에/JKB
따라	따르/VV+아/EC
각	각/MMD
군에서	군/NNG+에서/JKB
문제은행을	문제/NNG+은행/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.400.7.5
문제은행은 지난해 말 장교 임관 종합평가부터 시작됐다”고 말했다.

문제은행은	문제/NNG+은행/NNG+은/JX
지난해	지난해/NNG
말	말/NNB
장교	장교/NNG
임관	임관/NNG
종합평가부터	종합/NNG+평가/NNG+부터/JX
시작됐다”고	시작/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.400.8.1
군은 또한 종북 웅변대회(또는 스피치대회)를 열어 성적이 우수한 장교 또는 병사에게 진급 가점이나 휴가를 주고 있다.

군은	군/NNG+은/JX
또한	또한/MAG
종북	종북/NNG
웅변대회(또는	웅변대회/NNG+(/SS+또는/MAG
스피치대회)를	스피치/NNG+대회/NNG+)/SS+를/JKO
열어	열/VV+어/EC
성적이	성적/NNG+이/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
장교	장교/NNG
또는	또는/MAG
병사에게	병사/NNG+에게/JKB
진급	진급/NNG
가점이나	가점/NNG+이나/JC
휴가를	휴가/NNG+를/JKO
주고	주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.400.8.2
웅변대회는 서울·경기·강원 등지의 육군 전방부대에서 집중적으로 열리고 있다.

웅변대회는	웅변대회/NNG+는/JX
서울·경기·강원	서울/NNP+·/SP+경기/NNP+·/SP+강원/NNP
등지의	등지/NNB+의/JKG
육군	육군/NNG
전방부대에서	전방/NNG+부대/NNG+에서/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.400.8.3
최근 휴가를 나온 한 병사는 “스피치대회는 휴가가 걸려있다 보니 가족 등 외부 도움까지 받아가며 준비하는 병사가 많다”고 말했다.

최근	최근/MAG
휴가를	휴가/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
한	한/MMN
병사는	병사/NNG+는/JX
“스피치대회는	“/SS+스피치/NNG+대회/NNG+는/JX
휴가가	휴가/NNG+가/JKS
걸려있다	걸리/VV+어/EC+있/VX+다/EF
보니	보/VX+니/EC
가족	가족/NNG
등	등/NNB
외부	외부/NNG
도움까지	도움/NNG+까지/JX
받아가며	받/VV+아/EC+가/VX+며/EC
준비하는	준비/NNG+하/XSV+는/ETM
병사가	병사/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


