# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.70
metadata : {}


# id : NWRW1800000029.70.1.1
[CAR/시승기]크라이슬러 ‘그랜드체로키 디젤’

[CAR/시승기]크라이슬러	[/SS+CAR/SL+//SP+시승기/NNG+]/SS+크라이슬러/NNP
# id : NWRW1800000029.70.5.4
1800∼2800rpm대라는 높지 않은 상태에서 최대토크를 낸다.

1800∼2800rpm대라는	1800/SN+∼/SO+2800/SN+rpm/SW+대/XSN+이/VCP+라는/ETM
높지	높/VA+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
최대토크를	최대/NNG+토크/NNG+를/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.70.5.5
변속기는 5단 자동변속기를 장착했다.

변속기는	변속기/NNG+는/JX
5단	5/SN+단/NNB
자동변속기를	자동/NNG+변속기/NNG+를/JKO
장착했다.	장착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.70.6.1
첫 움직임은 다소 묵직하다.

첫	첫/MMN
움직임은	움직임/NNG+은/JX
다소	다소/MAG
묵직하다.	묵직하/VA+다/EF+./SF


# id : NWRW1800000029.70.6.2
길이 4825mm, 폭 1935mm, 높이 1765mm의 육중한 몸매에게 엄청난 날렵함을 기대하는 것은 너무 높은 잣대를 적용한 것일 수도 있다.

길이	길이/NNG
4825mm,	4825/SN+mm/SW+,/SP
폭	폭/NNG
1935mm,	1935/SN+mm/SW+,/SP
높이	높이/MAG
1765mm의	1765/SN+mm/SW+의/JKG
육중한	육중하/VA+ㄴ/ETM
몸매에게	몸매/NNG+에게/JKB
엄청난	엄청나/VA+ㄴ/ETM
날렵함을	날렵하/VA+ㅁ/ETN+을/JKO
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
너무	너무/MAG
높은	높/VA+은/ETM
잣대를	잣대/NNG+를/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.70.6.3
하지만 일단 시동이 걸리고 가속 페달을 밟으면 곧바로 튀어 나간다.

하지만	하지만/MAJ
일단	일단/MAG
시동이	시동/NNG+이/JKS
걸리고	걸리/VV+고/EC
가속	가속/NNG
페달을	페달/NNG+을/JKO
밟으면	밟/VV+으면/EC
곧바로	곧바로/MAG
튀어	튀/VV+어/EC
나간다.	나가/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.70.6.4
코너를 돌 때는 안정적으로 지면에 붙어 돈다는 느낌이 든다.

코너를	코너/NNG+를/JKO
돌	돌/VV+ㄹ/ETM
때는	때/NNG+는/JX
안정적으로	안정/NNG+적/XSN+으로/JKB
지면에	지면/NNG+에/JKB
붙어	붙/VV+어/EC
돈다는	돌/VV+ㄴ다는/ETM
느낌이	느낌/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.70.6.5
‘콰트라 드라이브Ⅱ’로 이름붙여진 상시 4륜구동 시스템이 적용됐다.

‘콰트라	‘/SS+콰트라/NNG
드라이브Ⅱ’로	드라이브/NNG+Ⅱ/SL+’/SS+로/JKB
이름붙여진	이름/NNG+붙이/VV+어/EC+지/VX+ㄴ/ETM
상시	상시/NNG
4륜구동	4륜구동/NNG
시스템이	시스템/NNG+이/JKS
적용됐다.	적용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.70.7.1
디젤 엔진을 적용했지만, 소음과 떨림은 크게 느껴지지 않는다.

디젤	디젤/NNG
엔진을	엔진/NNG+을/JKO
적용했지만,	적용/NNG+하/XSV+았/EP+지만/EC+,/SP
소음과	소음/NNG+과/JC
떨림은	떨리/VV+ㅁ/ETN+은/JX
크게	크/VA+게/EC
느껴지지	느끼/VV+어/EC+지/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000029.70.7.2
인상적인 점 중 하나는 높아진 연비인데, L당 11.9km의 연비를 자랑한다.

인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
점	점/NNG
중	중/NNB
하나는	하나/NR+는/JX
높아진	높아지/VV+ㄴ/ETM
연비인데,	연비/NNG+이/VCP+ㄴ데/EC+,/SP
L당	L/SW+당/XSN
11.9km의	11/SN+./SP+9/SN+km/SW+의/JKG
연비를	연비/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.70.7.3
다른 육중한 SUV 모델을 탈 때 눈에 띌 정도로 낮아지는 연료게이지에 놀랐던 사람이라면 그랜드체로키 디젤의 높아진 연비를 확실히 체감할 수 있다.

다른	다른/MMD
육중한	육중하/VA+ㄴ/ETM
SUV	SUV/SL
모델을	모델/NNG+을/JKO
탈	타/VV+ㄹ/ETM
때	때/NNG
눈에	눈/NNG+에/JKB
띌	띄/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
낮아지는	낮/VA+아/EC+지/VX+는/ETM
연료게이지에	연료/NNG+게이지/NNG+에/JKB
놀랐던	놀라/VV+았/EP+던/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
그랜드체로키	그랜드체로키/NNP
디젤의	디젤/NNG+의/JKG
높아진	높아지/VV+ㄴ/ETM
연비를	연비/NNG+를/JKO
확실히	확실히/MAG
체감할	체감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.70.8.1
편의·부가기능을 폭넓게 갖추는 최근의 추세에 맞춰 전후방 주차보조센서, 후방카메라, ABS, 타이어 공기압 모니터링 시스템 등 다양한 안전 및 편의장치를 장착했다.

편의·부가기능을	편의/NNG+·/SP+부가/NNG+기능/NNG+을/JKO
폭넓게	폭넓/VA+게/EC
갖추는	갖추/VV+는/ETM
최근의	최근/NNG+의/JKG
추세에	추세/NNG+에/JKB
맞춰	맞추/VV+어/EC
전후방	전후방/NNG
주차보조센서,	주차/NNG+보조/NNG+센서/NNG+,/SP
후방카메라,	후방/NNG+카메라/NNG+,/SP
ABS,	ABS/SL+,/SP
타이어	타이어/NNG
공기압	공기압/NNG
모니터링	모니터링/NNG
시스템	시스템/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
안전	안전/NNG
및	및/MAG
편의장치를	편의/NNG+장치/NNG+를/JKO
장착했다.	장착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.70.8.2
폴스크바겐의 ‘투아렉’ 등 경쟁구도에 있는 다른 수입차 SUV 모델과 견줘봐도 뒤지지 않는 성능을 갖췄으면서도, 가격은 그리 높지 않은 6950만 원으로 책정했다.

폴스크바겐의	폴스크바겐/NNP+의/JKG
‘투아렉’	‘/SS+투아렉/NNP+’/SS
등	등/NNB
경쟁구도에	경쟁/NNG+구도/NNG+에/JKB
있는	있/VA+는/ETM
다른	다른/MMD
수입차	수입차/NNG
SUV	SUV/SL
모델과	모델/NNG+과/JKB
견줘봐도	견주/VV+어/EC+보/VX+아도/EC
뒤지지	뒤지/VV+지/EC
않는	않/VX+는/ETM
성능을	성능/NNG+을/JKO
갖췄으면서도,	갖추/VV+었/EP+으면서/EC+도/JX+,/SP
가격은	가격/NNG+은/JX
그리	그리/MAG
높지	높/VA+지/EC
않은	않/VX+은/ETM
6950만	6950/SN+만/NR
원으로	원/NNB+으로/JKB
책정했다.	책정/NNG+하/XSV+았/EP+다/EF+./SF


