# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.46
metadata : {}


# id : NWRW1800000036.46.1.1
가공·저장·포장 한자리서…이마트, 유통구조 바꾼다

가공·저장·포장	가공/NNG+·/SP+저장/NNG+·/SP+포장/NNG
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.46.7.3
이마트는 1000억원을 투자해 이곳에 최신 자동화 설비 10여종과 냉장·냉동·특수 저장 시설 60개를 갖췄다.

이마트는	이마트/NNP+는/JX
1000억원을	1000/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
이곳에	이곳/NP+에/JKB
최신	최신/NNG
자동화	자동/NNG+화/XSN
설비	설비/NNG
10여종과	10/SN+여/XSN+종/NNG+과/JC
냉장·냉동·특수	냉장/NNG+·/SP+냉동/NNG+·/SP+특수/NNG
저장	저장/NNG
시설	시설/NNG
60개를	60/SN+개/NNB+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.46.7.4
이마트 관계자는 “국내 대형 유통업체가 농산물 유통 구조를 바꿀 수 있는 이런 대규모의 가공·포장·저장 센터를 만든 건 처음”이라며 “농협중앙회도 내년 준공을 목표로 경기도 안성에 우리와 비슷한 센터를 짓고 있다”고 말했다.

이마트	이마트/NNP
관계자는	관계자/NNG+는/JX
“국내	“/SS+국내/NNG
대형	대형/NNG
유통업체가	유통업체/NNG+가/JKS
농산물	농산물/NNG
유통	유통/NNG
구조를	구조/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이런	이런/MMD
대규모의	대/XPN+규모/NNG+의/JKG
가공·포장·저장	가공/NNG+·/SP+포장/NNG+·/SP+저장/NNG
센터를	센터/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
처음”이라며	처음/NNG+”/SS+이/VCP+라며/EC
“농협중앙회도	“/SS+농협중앙회/NNP+도/JX
내년	내년/NNG
준공을	준공/NNG+을/JKO
목표로	목표/NNG+로/JKB
경기도	경기도/NNP
안성에	안성/NNP+에/JKB
우리와	우리/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
짓고	짓/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.8.1
이날 찾은 센터에서는 층마다 설치된 컨베이어벨트 시스템을 통해, 사람 손을 거의 거치지 않고 사과·마늘·양파 등 다양한 농산물의 세척·등급분류·포장 작업이 쉴새없이 이뤄지고 있었다.

이날	이날/NNG
찾은	찾/VV+은/ETM
센터에서는	센터/NNG+에서/JKB+는/JX
층마다	층/NNG+마다/JX
설치된	설치/NNG+되/XSV+ㄴ/ETM
컨베이어벨트	컨베이어/NNG+벨트/NNG
시스템을	시스템/NNG+을/JKO
통해,	통하/VV+아/EC+,/SP
사람	사람/NNG
손을	손/NNG+을/JKO
거의	거의/MAG
거치지	거치/VV+지/EC
않고	않/VX+고/EC
사과·마늘·양파	사과/NNG+·/SP+마늘/NNG+·/SP+양파/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
농산물의	농산물/NNG+의/JKG
세척·등급분류·포장	세척/NNG+·/SP+등급/NNG+분류/NNG+·/SP+포장/NNG
작업이	작업/NNG+이/JKS
쉴새없이	쉬/VV+ㄹ/ETM+새/NNG+없이/MAG
이뤄지고	이뤄지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.46.8.2
사과의 경우 자동화 기기에 투입하면 사과 1개마다 무게와 당도가 엘시디(LCD) 화면에 곧바로 찍히고, 이를 바탕으로 1~32등급까지 분류돼 등급별로 포장 작업이 진행됐다.

사과의	사과/NNG+의/JKG
경우	경우/NNG
자동화	자동/NNG+화/XSN
기기에	기기/NNG+에/JKB
투입하면	투입/NNG+하/XSV+면/EC
사과	사과/NNG
1개마다	1/SN+개/NNB+마다/JX
무게와	무게/NNG+와/JC
당도가	당도/NNG+가/JKS
엘시디(LCD)	엘시디/NNG+(/SS+LCD/SL+)/SS
화면에	화면/NNG+에/JKB
곧바로	곧바로/MAG
찍히고,	찍히/VV+고/EC+,/SP
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
1~32등급까지	1/SN+~/SO+32/SN+등급/NNG+까지/JX
분류돼	분류/NNG+되/XSV+어/EC
등급별로	등급/NNG+별/XSN+로/JKB
포장	포장/NNG
작업이	작업/NNG+이/JKS
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.46.8.3
이마트 관계자는 “하루 8시간 작업 기준으로 50t을 자동선별하고, 120t을 포장할 수 있다”고 말했다.

이마트	이마트/NNP
관계자는	관계자/NNG+는/JX
“하루	“/SS+하루/NNG
8시간	8/SN+시간/NNB
작업	작업/NNG
기준으로	기준/NNG+으로/JKB
50t을	50/SN+t/SW+을/JKO
자동선별하고,	자동/NNG+선별/NNG+하/XSV+고/EC+,/SP
120t을	120/SN+t/SW+을/JKO
포장할	포장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.9.1
이마트는 후레쉬센터를 통해 4~5단계이던 농수산물 유통 단계를 2단계로 줄일 수 있다고 설명했다.

이마트는	이마트/NNP+는/JX
후레쉬센터를	후레쉬센터/NNP+를/JKO
통해	통하/VV+아/EC
4~5단계이던	4/SN+~/SO+5/SN+단계/NNG+이/VCP+던/ETM
농수산물	농수산물/NNG
유통	유통/NNG
단계를	단계/NNG+를/JKO
2단계로	2/SN+단계/NNG+로/JKB
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.9.2
산지수집상과 도매시장, 도·소매상인 등을 거치지 않고, 산지에서 수확한 농수산물을 곧바로 후레쉬센터로 가져와 일괄적으로 선별·포장한 뒤, 전국의 147개 이마트 매장에 표준화된 제품을 공급하는 것이다.

산지수집상과	산지/NNG+수집상/NNG+과/JC
도매시장,	도매/NNG+시장/NNG+,/SP
도·소매상인	도·소매/NNG+상인/NNG
등을	등/NNB+을/JKO
거치지	거치/VV+지/EC
않고,	않/VX+고/EC+,/SP
산지에서	산지/NNG+에서/JKB
수확한	수확/NNG+하/XSV+ㄴ/ETM
농수산물을	농수산물/NNG+을/JKO
곧바로	곧바로/MAG
후레쉬센터로	후레쉬센터/NNP+로/JKB
가져와	가져오/VV+아/EC
일괄적으로	일괄/NNG+적/XSN+으로/JKB
선별·포장한	선별/NNG+·/SP+포장/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
전국의	전국/NNG+의/JKG
147개	147/SN+개/NNB
이마트	이마트/NNP
매장에	매장/NNG+에/JKB
표준화된	표준/NNG+화/XSN+되/XSV+ㄴ/ETM
제품을	제품/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.46.9.3
이태경 이마트 신선식품담당 상무는 “유통 단계가 줄어 10~20% 정도의 가격 인하 효과가 발생해 소비자에게 좀더 저렴하게 상품을 공급할 수 있다”며 “기존에는 생산자가 담당하던 선별·포장 작업도 이마트가 하기 때문에 생산자도 인건비, 거래비용 절감 등을 통해 10%가량의 수익을 더 얻을 수 있을 것”으로 예상했다.

이태경	이태경/NNP
이마트	이마트/NNP
신선식품담당	신선식품/NNG+담당/NNG
상무는	상무/NNG+는/JX
“유통	“/SS+유통/NNG
단계가	단계/NNG+가/JKS
줄어	줄/VV+어/EC
10~20%	10/SN+~/SO+20/SN+%/SW
정도의	정도/NNG+의/JKG
가격	가격/NNG
인하	인하/NNG
효과가	효과/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
소비자에게	소비자/NNG+에게/JKB
좀더	좀/MAG+더/MAG
저렴하게	저렴하/VA+게/EC
상품을	상품/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“기존에는	“/SS+기존/NNG+에/JKB+는/JX
생산자가	생산자/NNG+가/JKS
담당하던	담당/NNG+하/XSV+던/ETM
선별·포장	선별/NNG+·/SP+포장/NNG
작업도	작업/NNG+도/JX
이마트가	이마트/NNP+가/JKS
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
생산자도	생산자/NNG+도/JX
인건비,	인건비/NNG+,/SP
거래비용	거래/NNG+비용/NNG
절감	절감/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
10%가량의	10/SN+%/SW+가량/XSN+의/JKG
수익을	수익/NNG+을/JKO
더	더/MAG
얻을	얻/VV+을/ETM
있을	있/VA+을/ETM
것”으로	것/NNB+”/SS+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.10.1
이마트는 유통단계 축소를 통한 가격 인하뿐 아니라, 후레쉬센터에 설치한 최첨단 저장시설인 ‘시에이(CA·Controlled Atmosphere) 저장고’를 활용해 농수산물 가격 급등기에도 대비할 수 있다고 강조했다.

이마트는	이마트/NNP+는/JX
유통단계	유통/NNG+단계/NNG
축소를	축소/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
가격	가격/NNG
인하뿐	인하/NNG+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
후레쉬센터에	후레쉬센터/NNP+에/JKB
설치한	설치/NNG+하/XSV+ㄴ/ETM
최첨단	최/XPN+첨단/NNG
저장시설인	저장/NNG+시설/NNG+이/VCP+ㄴ/ETM
‘시에이(CA·Controlled	‘/SS+시에이/NNG+(/SS+CA/SL+·/SP+Controlled/SL
Atmosphere)	Atmosphere/SL+)/SS
저장고’를	저장고/NNG+’/SS+를/JKO
활용해	활용/NNG+하/XSV+아/EC
농수산물	농수산물/NNG
급등기에도	급등기/NNG+에/JKB+도/JX
대비할	대비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.10.2
시에이 저장은 농산물의 노화를 억제해 수확할 당시와 똑같은 품질과 맛을 유지해주는 저장방식으로, 유럽과 일본 등에서는 상용화된 기술이지만, 국내에서는 아직 활성화되지 못했다.

시에이	시에이/NNG
저장은	저장/NNG+은/JX
농산물의	농산물/NNG+의/JKG
노화를	노화/NNG+를/JKO
억제해	억제/NNG+하/XSV+아/EC
수확할	수확/NNG+하/XSV+ㄹ/ETM
당시와	당시/NNG+와/JKB
똑같은	똑같/VA+은/ETM
품질과	품질/NNG+과/JC
맛을	맛/NNG+을/JKO
유지해주는	유지/NNG+하/XSV+아/EC+주/VX+는/ETM
저장방식으로,	저장/NNG+방식/NNG+으로/JKB+,/SP
유럽과	유럽/NNP+과/JC
일본	일본/NNP
등에서는	등/NNB+에서/JKB+는/JX
상용화된	상용/NNG+화/XSN+되/XSV+ㄴ/ETM
기술이지만,	기술/NNG+이/VCP+지만/EC+,/SP
국내에서는	국내/NNG+에서/JKB+는/JX
아직	아직/MAG
활성화되지	활성/NNG+화/XSN+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.46.10.3
이태경 상무는 “수확철에 다 소비하지 못한 물량을 시에이 저장고에 보관하면, 연중 어느 때라도 출하할 당시의 신선도를 유지하는 농산물을 공급할 수 있다”며 “특히 천재지변 등으로 인해 가격이 급등할 때 보관해 놓았던 물량을 풀어 가격 안정화에 기여할 수 있을 것”이라고 말했다.

이태경	이태경/NNP
상무는	상무/NNG+는/JX
“수확철에	“/SS+수확/NNG+철/NNG+에/JKB
다	다/MAG
소비하지	소비/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
물량을	물량/NNG+을/JKO
시에이	시에이/NNG
저장고에	저장고/NNG+에/JKB
보관하면,	보관/NNG+하/XSV+면/EC+,/SP
연중	연중/NNG
어느	어느/MMD
때라도	때/NNG+이/VCP+라도/EC
출하할	출하/NNG+하/XSV+ㄹ/ETM
당시의	당시/NNG+의/JKG
신선도를	신선도/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
농산물을	농산물/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
천재지변	천재지변/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
가격이	가격/NNG+이/JKS
급등할	급등/NNG+하/XSV+ㄹ/ETM
때	때/NNG
보관해	보관/NNG+하/XSV+아/EC
놓았던	놓/VX+았/EP+던/ETM
풀어	풀/VV+어/EC
가격	가격/NNG
안정화에	안정/NNG+화/XSN+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.10.4
후레쉬센터에 설치된 총 12개의 시에이 저장고에는 3300t의 물량을 저장할 수 있다.

후레쉬센터에	후레쉬센터/NNP+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
총	총/MMA
12개의	12/SN+개/NNB+의/JKG
시에이	시에이/NNG
저장고에는	저장고/NNG+에/JKB+는/JX
3300t의	3300/SN+t/SW+의/JKG
물량을	물량/NNG+을/JKO
저장할	저장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.46.11.1
최병렬 대표는 “후레쉬센터를 통해 올해 60개 품목, 10만t(5000억원 규모)가량의 농수산물을 공급할 것”이라며 “2014년에는 1조원 규모로 물량을 늘리고, 농민과 직거래하는 규모도 현재 50%에서 100% 수준으로 끌어올릴 예정”이라고 말했다.

최병렬	최병렬/NNP
대표는	대표/NNG+는/JX
“후레쉬센터를	“/SS+후레쉬센터/NNP+를/JKO
통해	통하/VV+아/EC
올해	올해/NNG
60개	60/SN+개/NNB
품목,	품목/NNG+,/SP
10만t(5000억원	10/SN+만/NR+t/SW+(/SS+5000/SN+억/NR+원/NNB
규모)가량의	규모/NNG+)/SS+가량/XSN+의/JKG
농수산물을	농수산물/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“2014년에는	“/SS+2014/SN+년/NNB+에/JKB+는/JX
1조원	1/SN+조/NR+원/NNB
규모로	규모/NNG+로/JKB
물량을	물량/NNG+을/JKO
늘리고,	늘리/VV+고/EC+,/SP
농민과	농민/NNG+과/JKB
직거래하는	직거래/NNG+하/XSV+는/ETM
규모도	규모/NNG+도/JX
현재	현재/MAG
50%에서	50/SN+%/SW+에서/JKB
100%	100/SN+%/SW
수준으로	수준/NNG+으로/JKB
끌어올릴	끌어올리/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


