# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.376
metadata : {}


# id : NWRW1800000040.376.1.1
“북한 4차 핵실험 실행할 가능성” 중국군 총참모장, 대화 해결 강조

“북한	“/SS+북한/NNP
파악해보면	파악/NNG+하/XSV+아/EC+보/VX+면/EC
북한은	북한/NNP+은/JX
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.5.2
제4차 핵실험을 할 가능성이 있다”고 경고했다.

제4차	제/XPN+4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.5.3
그는 “이런 상황에서 우리는 각 당사국이 함께 북한이 추가 핵실험을 진행하는 것을 멈추게 하고, 핵무기 제조를 중지하도록 노력해야 한다.

그는	그/NP+는/JX
“이런	“/SS+이런/MMD
상황에서	상황/NNG+에서/JKB
우리는	우리/NP+는/JX
각	각/MMD
당사국이	당사국/NNG+이/JKS
함께	함께/MAG
북한이	북한/NNP+이/JKS
추가	추가/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
멈추게	멈추/VV+게/EC
하고,	하/VX+고/EC+,/SP
핵무기	핵무기/NNG
제조를	제조/NNG+를/JKO
중지하도록	중지/NNG+하/XSV+도록/EC
노력해야	노력/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.376.5.4
한반도 비핵화는 공통의 이익에 부합한다.

한반도	한반도/NNP
비핵화는	비핵/NNG+화/XSN+는/JX
공통의	공통/NNG+의/JKG
이익에	이익/NNG+에/JKB
부합한다.	부합/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.376.5.5
6자회담 재개를 통해 문제를 풀길 기대한다”고 말했다.

6자회담	6/SN+자/NNB+회담/NNG
재개를	재개/NNG+를/JKO
통해	통하/VV+아/EC
문제를	문제/NNG+를/JKO
풀길	풀/VV+기/ETN+ㄹ/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.6.1
중국군의 고위 간부로서는 이례적인 이 발언은 팡 참모장이 북한에 대한 고급 군사정보들을 갖고 있을 가능성이 있다는 점에서 북한이 추가 핵실험 움직임을 구체화하고 있는 것 아니냐는 추측을 낳고 있다.

중국군의	중국군/NNG+의/JKG
고위	고위/NNG
간부로서는	간부/NNG+로서/JKB+는/JX
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
이	이/MMD
발언은	발언/NNG+은/JX
팡	팡/NNP
참모장이	참모장/NNG+이/JKS
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
고급	고급/NNG
군사정보들을	군사/NNG+정보/NNG+들/XSN+을/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
북한이	북한/NNP+이/JKS
추가	추가/NNG
핵실험	핵/NNG+실험/NNG
움직임을	움직임/NNG+을/JKO
구체화하고	구체/NNG+화/XSN+하/XSV+고/EC
있는	있/VX+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추측을	추측/NNG+을/JKO
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.376.6.2
그러나 그는 4차 핵실험을 예상하는 근거나 시기 등은 전혀 언급하지 않았다고 중국 언론들이 전했다.

그러나	그러나/MAJ
그는	그/NP+는/JX
4차	4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
예상하는	예상/NNG+하/XSV+는/ETM
근거나	근거/NNG+나/JC
시기	시기/NNG
등은	등/NNB+은/JX
전혀	전혀/MAG
언급하지	언급/NNG+하/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
중국	중국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.7.1
팡 참모장의 발언은 북한에 추가 핵실험 등 군사적 행동을 하지 말 것을 강력히 경고하는 동시에 6자회담 당사국들이 북핵 문제를 대화를 통해 해결해야 한다는 원칙을 거듭 강조한 것으로 해석할 수 있다.

팡	팡/NNP
참모장의	참모장/NNG+의/JKG
발언은	발언/NNG+은/JX
북한에	북한/NNP+에/JKB
추가	추가/NNG
핵실험	핵/NNG+실험/NNG
등	등/NNB
군사적	군사/NNG+적/XSN
행동을	행동/NNG+을/JKO
하지	하/VV+지/EC
말	말/VX+ㄹ/ETM
것을	것/NNB+을/JKO
강력히	강력히/MAG
경고하는	경고/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
6자회담	6/SN+자/NNB+회담/NNG
당사국들이	당사국/NNG+들/XSN+이/JKS
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
해결해야	해결/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
원칙을	원칙/NNG+을/JKO
거듭	거듭/MAG
강조한	강조/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.376.8.1
최근 미·중 두 나라는 북한을 다시 6자회담 등 대화의 틀로 끌어들이기 위해 안간힘을 쓰고 있다.

최근	최근/MAG
미·중	미/NNP+·/SP+중/NNP
두	두/MMN
나라는	나라/NNG+는/JX
북한을	북한/NNP+을/JKO
다시	다시/MAG
6자회담	6/SN+자/NNB+회담/NNG
등	등/NNB
대화의	대화/NNG+의/JKG
틀로	틀/NNG+로/JKB
끌어들이기	끌어들이/VV+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.376.8.2
존 케리 미 국무장관이 최근 동아시아 순방길에 북한에 대화를 제의한 데 이어 6자회담 의장국인 중국의 우다웨이 외교부 한반도사무 특별대표는 21~24일 전격적으로 워싱턴 방문길에 올라 22일 글린 데이비스 미 국무부 대북정책 특별대표(6자회담 미국 대표)를 만났다.

존	존/NNP
케리	케리/NNP
미	미/NNP
국무장관이	국무/NNG+장관/NNG+이/JKS
최근	최근/MAG
동아시아	동아시아/NNP
순방길에	순방길/NNG+에/JKB
북한에	북한/NNP+에/JKB
대화를	대화/NNG+를/JKO
제의한	제의/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
6자회담	6/SN+자/NNB+회담/NNG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
중국의	중국/NNP+의/JKG
우다웨이	우다웨이/NNP
외교부	외교부/NNG
한반도사무	한반도/NNP+사무/NNG
특별대표는	특별/NNG+대표/NNG+는/JX
21~24일	21/SN+~/SO+24/SN+일/NNB
전격적으로	전격/NNG+적/XSN+으로/JKB
워싱턴	워싱턴/NNP
방문길에	방문길/NNG+에/JKB
올라	오르/VV+아/EC
22일	22/SN+일/NNB
글린	글린/NNP
데이비스	데이비스/NNP
국무부	국무부/NNG
대북정책	대북/NNG+정책/NNG
특별대표(6자회담	특별/NNG+대표/NNG+(/SS+6/SN+자/NNB+회담/NNG
미국	미국/NNP
대표)를	대표/NNG+)/SS+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.8.3
우 특별대표는 회의가 끝난 뒤 결과를 묻는 기자들에게 “이제 막 시작했다”고 짤막하게 답했다.

우	우/NNP
특별대표는	특별/NNG+대표/NNG+는/JX
회의가	회의/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
결과를	결과/NNG+를/JKO
묻는	묻/VV+는/ETM
기자들에게	기자/NNG+들/XSN+에게/JKB
“이제	“/SS+이제/MAG
막	막/MAG
시작했다”고	시작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
짤막하게	짤막하/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.8.4
우 특별대표는 방미 기간 중 조셉 윤 동아태 담당 차관보 대행, 웬디 셔먼 정무차관 등 미 국무부의 다른 인사들과도 만날 예정이다.

우	우/NNP
특별대표는	특별/NNG+대표/NNG+는/JX
방미	방미/NNG
기간	기간/NNG
중	중/NNB
조셉	조셉/NNP
윤	윤/NNP
동아태	동아태/NNP
담당	담당/NNG
차관보	차관보/NNG
대행,	대행/NNG+,/SP
웬디	웬디/NNP
셔먼	셔먼/NNP
정무차관	정무/NNG+차관/NNG
등	등/NNB
미	미/NNP
국무부의	국무부/NNG+의/JKG
다른	다른/MMD
인사들과도	인사/NNG+들/XSN+과/JKB+도/JX
만날	만나/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.376.9.1
워싱턴 외교가에선 이날 회의에서 북한과의 대화 재개 방안이 주요 안건이었을 것으로 관측하고 있다.

워싱턴	워싱턴/NNP
외교가에선	외교가/NNG+에서/JKB+ㄴ/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
북한과의	북한/NNP+과/JKB+의/JKG
대화	대화/NNG
재개	재개/NNG
방안이	방안/NNG+이/JKS
주요	주요/NNG
안건이었을	안건/NNG+이/VCP+었/EP+을/ETM
것으로	것/NNB+으로/JKB
관측하고	관측/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.376.9.2
미국은 이미 대화를 위해 북한에 핵 포기 의사를 확인할 수 있는 조처를 요구한 바 있다.

미국은	미국/NNP+은/JX
이미	이미/MAG
대화를	대화/NNG+를/JKO
위해	위하/VV+아/EC
북한에	북한/NNP+에/JKB
핵	핵/NNG
포기	포기/NNG
의사를	의사/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조처를	조처/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.376.9.3
문제는 우 특별대표가 미국 쪽에 전달했을 것으로 보이는 중국의 구상이다.

문제는	문제/NNG+는/JX
우	우/NNP
특별대표가	특별/NNG+대표/NNG+가/JKS
미국	미국/NNP
쪽에	쪽/NNB+에/JKB
전달했을	전달/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
중국의	중국/NNP+의/JKG
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.376.9.4
한 외교 소식통은 “한반도 정세를 대화 국면으로 바꾸려는 데는 중국이 더 적극적”이라며 “중국의 제안이 괜찮다고 생각하면 미국도 이에 응할 것”이라고 말했다.

한	한/MMN
외교	외교/NNG
소식통은	소식통/NNG+은/JX
“한반도	“/SS+한반도/NNP
정세를	정세/NNG+를/JKO
대화	대화/NNG
국면으로	국면/NNG+으로/JKB
바꾸려는	바꾸/VV+려는/ETM
데는	데/NNB+는/JX
중국이	중국/NNP+이/JKS
더	더/MAG
적극적”이라며	적극/NNG+적/XSN+”/SS+이/VCP+라며/EC
“중국의	“/SS+중국/NNP+의/JKG
제안이	제안/NNG+이/JKS
괜찮다고	괜찮/VA+다고/EC
생각하면	생각/NNG+하/XSV+면/EC
미국도	미국/NNP+도/JX
이에	이/NP+에/JKB
응할	응하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.10.1
그러나 북한은 다시 한번 ‘비핵화’와 ‘약속 준수’라는 미국의 대화 조건을 받아들일 수 없다는 뜻을 밝혔다.

그러나	그러나/MAJ
북한은	북한/NNP+은/JX
다시	다시/MAG
한번	한/MMN+번/NNB
‘비핵화’와	‘/SS+비핵/NNG+화/XSN+’/SS+와/JC
‘약속	‘/SS+약속/NNG
준수’라는	준수/NNG+’/SS+이/VCP+라는/ETM
미국의	미국/NNP+의/JKG
대화	대화/NNG
조건을	조건/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.376.10.2
북한 관영 <조선중앙통신>은 23일 “일촉즉발의 적대상황에서 상대방이 먼저 무장을 내놓아야 협상할 수 있다는 논리를 내드는 것이야말로 오만무례하기 짝이 없는 행위”라며 현재로서는 대화할 뜻이 없음을 분명히 했다.

북한	북한/NNP
관영	관영/NNG
<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
23일	23/SN+일/NNB
“일촉즉발의	“/SS+일촉즉발/NNG+의/JKG
적대상황에서	적대/NNG+상황/NNG+에서/JKB
상대방이	상대방/NNG+이/JKS
먼저	먼저/MAG
무장을	무장/NNG+을/JKO
내놓아야	내놓/VV+아야/EC
협상할	협상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
논리를	논리/NNG+를/JKO
내드는	내들/VV+는/ETM
것이야말로	것/NNB+이야말로/JX
오만무례하기	오만무례/NNG+하/XSA+기/ETN
짝이	짝/NNG+이/JKS
없는	없/VA+는/ETM
행위”라며	행위/NNG+”/SS+이/VCP+라며/EC
현재로서는	현재/NNG+로서/JKB+는/JX
대화할	대화/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


