# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.347
metadata : {}


# id : NWRW1800000029.347.1.1
본보-KRC 김해을 보선 여론조사… 한나라 김태호 39.1% vs 참여당 이봉수 45.2%

본보-KRC	본보/NNG+-/SO+KRC/SL
# id : NWRW1800000029.347.2.3
이 후보를 찍겠다는 응답이 45.2%, 김 후보를 지지하는 답변은 39.1%였다.

이	이/NNP
후보를	후보/NNG+를/JKO
찍겠다는	찍/VV+겠/EP+다는/ETM
응답이	응답/NNG+이/JKS
45.2%,	45/SN+./SP+2/SN+%/SW+,/SP
김	김/NNP
지지하는	지지/NNG+하/XSV+는/ETM
답변은	답변/NNG+은/JX
39.1%였다.	39/SN+./SP+1/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.347.2.4
모르겠다거나 응답하지 않은 비율이 15.7%였다.

모르겠다거나	모르/VV+겠/EP+다/EF+거나/JX
응답하지	응답/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
비율이	비율/NNG+이/JKS
15.7%였다.	15/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.347.3.1
이 후보는 30대(57.7%)와 40대(53.8%)에서 김 후보를 각각 26.4%포인트, 19.6%포인트 차로 크게 앞섰다.

이	이/NNP
후보는	후보/NNG+는/JX
30대(57.7%)와	30/SN+대/NNB+(/SS+57/SN+./SP+7/SN+%/SW+)/SS+와/JC
40대(53.8%)에서	40/SN+대/NNB+(/SS+53/SN+./SP+8/SN+%/SW+)/SS+에서/JKB
김	김/NNP
후보를	후보/NNG+를/JKO
각각	각각/MAG
26.4%포인트,	26/SN+./SP+4/SN+%/SW+포인트/NNG+,/SP
19.6%포인트	19/SN+./SP+6/SN+%/SW+포인트/NNG
차로	차/NNG+로/JKB
크게	크/VA+게/EC
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.347.3.2
20대 이하에서는 김 후보가 42.6%의 지지를 얻어 이 후보(39.6%)와 오차범위 안에 있었다.

20대	20/SN+대/NNB
이하에서는	이하/NNG+에서/JKB+는/JX
김	김/NNP
후보가	후보/NNG+가/JKS
42.6%의	42/SN+./SP+6/SN+%/SW+의/JKG
지지를	지지/NNG+를/JKO
얻어	얻/VV+어/EC
이	이/NNP
후보(39.6%)와	후보/NNG+(/SS+39/SN+./SP+6/SN+%/SW+)/SS+와/JC
오차범위	오차/NNG+범위/NNG
안에	안/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.347.3.3
50대 이상에서는 김 후보의 지지도(48.7%)가 이 후보(29.3%)보다 19.4%포인트 높았다.

50대	50/SN+대/NNB
이상에서는	이상/NNG+에서/JKB+는/JX
김	김/NNP
후보의	후보/NNG+의/JKG
지지도(48.7%)가	지지도/NNG+(/SS+48/SN+./SP+7/SN+%/SW+)/SS+가/JKS
이	이/NNP
후보(29.3%)보다	후보/NNG+(/SS+29/SN+./SP+3/SN+%/SW+)/SS+보다/JKB
19.4%포인트	19/SN+./SP+4/SN+%/SW+포인트/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.4.1
50대 이상에서는 지지 후보를 밝히지 않은 비율이 22.1%로 다른 연령대보다 높았다.

50대	50/SN+대/NNB
이상에서는	이상/NNG+에서/JKB+는/JX
지지	지지/NNG
후보를	후보/NNG+를/JKO
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
비율이	비율/NNG+이/JKS
22.1%로	22/SN+./SP+1/SN+%/SW+로/JKB
다른	다른/MMD
연령대보다	연령대/NNG+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.4.2
김 후보가 상대적으로 한나라당 지지 성향이 강한 50대 이상 연령대를 충분히 끌어들이지 못하고 있는 것으로 풀이되는 대목이다.

김	김/NNP
후보가	후보/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
한나라당	한나라당/NNP
지지	지지/NNG
성향이	성향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
50대	50/SN+대/NNB
이상	이상/NNG
연령대를	연령대/NNG+를/JKO
충분히	충분히/MAG
끌어들이지	끌어들이/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
풀이되는	풀이/NNG+되/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.347.5.1
○ 눈에 띄는 야권 단일화 효과

○	○/SW
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
야권	야권/NNG
단일화	단일/NNG+화/XSN
효과	효과/NNG


# id : NWRW1800000029.347.6.1
‘꼭 투표하겠다’는 적극적 투표층(전체 응답자의 60.3%)에서는 이 후보(51.0%)와 김 후보(37.4%) 간의 지지율 격차가 13.6%포인트였다.

‘꼭	‘/SS+꼭/MAG
투표하겠다’는	투표/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
적극적	적극/NNG+적/XSN
투표층(전체	투표/NNG+층/XSN+(/SS+전체/NNG
응답자의	응답자/NNG+의/JKG
60.3%)에서는	60/SN+./SP+3/SN+%/SW+)/SS+에서/JKB+는/JX
이	이/NNP
후보(51.0%)와	후보/NNG+(/SS+51/SN+./SP+0/SN+%/SW+)/SS+와/JC
김	김/NNP
후보(37.4%)	후보/NNG+(/SS+37/SN+./SP+4/SN+%/SW+)/SS
간의	간/NNB+의/JKG
지지율	지지/NNG+율/XSN
격차가	격차/NNG+가/JKS
13.6%포인트였다.	13/SN+./SP+6/SN+%/SW+포인트/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.347.6.2
투표 여부와 상관없이 조사한 전체 지지율 격차(6.1%포인트)보다 더 벌어졌다.

투표	투표/NNG
여부와	여부/NNG+와/JKB
상관없이	상관없이/MAG
조사한	조사/NNG+하/XSV+ㄴ/ETM
전체	전체/NNG
지지율	지지/NNG+율/XSN
격차(6.1%포인트)보다	격차/NNG+(/SS+6/SN+./SP+1/SN+%/SW+포인트/NNG+)/SS+보다/JKB
더	더/MAG
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.347.7.1
이는 야당 지지층에서 투표참여 의사가 더 높기 때문으로 풀이된다.

이는	이/NP+는/JX
야당	야당/NNG
지지층에서	지지/NNG+층/XSN+에서/JKB
투표참여	투표/NNG+참여/NNG
의사가	의사/NNG+가/JKS
더	더/MAG
높기	높/VA+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.347.7.2
한나라당 지지자 중 적극적 투표층은 58.6%에 그쳤으나 민주당과 국민참여당 지지자 중 ‘꼭 투표하겠다’는 응답률은 각각 65.1%, 75.2%에 달했다.

한나라당	한나라당/NNP
지지자	지지자/NNG
중	중/NNB
적극적	적극/NNG+적/XSN
투표층은	투표/NNG+층/XSN+은/JX
58.6%에	58/SN+./SP+6/SN+%/SW+에/JKB
그쳤으나	그치/VV+었/EP+으나/EC
민주당과	민주당/NNP+과/JC
국민참여당	국민참여당/NNP
‘꼭	‘/SS+꼭/MAG
투표하겠다’는	투표/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
응답률은	응답/NNG+률/XSN+은/JX
각각	각각/MAG
65.1%,	65/SN+./SP+1/SN+%/SW+,/SP
75.2%에	75/SN+./SP+2/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.347.8.1
두 후보의 지지율은 정당 지지도와 비슷했다.

두	두/MMN
후보의	후보/NNG+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
정당	정당/NNG
지지도와	지지도/NNG+와/JKB
비슷했다.	비슷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.8.2
야당 지지층이 그대로 야권 단일후보로 선출된 이 후보에게 표를 몰아주고 있다는 얘기다.

야당	야당/NNG
지지층이	지지/NNG+층/XSN+이/JKS
그대로	그대로/MAG
야권	야권/NNG
단일후보로	단일/NNG+후보/NNG+로/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
이	이/NNP
후보에게	후보/NNG+에게/JKB
표를	표/NNG+를/JKO
몰아주고	몰아주/VV+고/EC
있다는	있/VX+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.347.8.3
이 지역에서 한나라당 지지도는 34.4%로 전체 정당 중 가장 높았다.

이	이/MMD
지역에서	지역/NNG+에서/JKB
한나라당	한나라당/NNP
지지도는	지지도/NNG+는/JX
34.4%로	34/SN+./SP+4/SN+%/SW+로/JKB
전체	전체/NNG
정당	정당/NNG
중	중/NNB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.8.4
하지만 민주당(21.6%)과 국민참여당(15.0%), 민주노동당(9.0%)의 지지도를 모두 합하면 45.6%로 한나라당보다 11.2%포인트 높았다.

하지만	하지만/MAJ
민주당(21.6%)과	민주당/NNP+(/SS+21/SN+./SP+6/SN+%/SW+)/SS+과/JC
국민참여당(15.0%),	국민참여당/NNP+(/SS+15/SN+./SP+0/SN+%/SW+)/SS+,/SP
민주노동당(9.0%)의	민주노동당/NNP+(/SS+9/SN+./SP+0/SN+%/SW+)/SS+의/JKG
지지도를	지지도/NNG+를/JKO
모두	모두/MAG
합하면	합/NNG+하/XSV+면/EC
45.6%로	45/SN+./SP+6/SN+%/SW+로/JKB
한나라당보다	한나라당/NNP+보다/JKB
11.2%포인트	11/SN+./SP+2/SN+%/SW+포인트/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.8.5
김 후보가 한나라당을 전면에 내세우지 않고 ‘나 홀로 선거’에 나선 것도 이 같은 지역 정서와 무관치 않아 보인다.

김	김/NNP
후보가	후보/NNG+가/JKS
한나라당을	한나라당/NNP+을/JKO
전면에	전면/NNG+에/JKB
내세우지	내세우/VV+지/EC
않고	않/VX+고/EC
‘나	‘/SS+나/NNG
홀로	홀로/MAG
선거’에	선거/NNG+’/SS+에/JKB
나선	나서/VV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
지역	지역/NNG
정서와	정서/NNG+와/JKB
무관치	무관하/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.347.9.1
지지 정당은 연령대별로 갈렸다.

지지	지지/NNG
정당은	정당/NNG+은/JX
연령대별로	연령대/NNG+별/XSN+로/JKB
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.347.9.2
50대 이상에서는 한나라당(46.7%) 지지자가 가장 많았다.

50대	50/SN+대/NNB
이상에서는	이상/NNG+에서/JKB+는/JX
한나라당(46.7%)	한나라당/NNP+(/SS+46/SN+./SP+7/SN+%/SW+)/SS
지지자가	지지자/NNG+가/JKS
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.9.3
40대에서는 민주당(26.8%), 30대에서는 국민참여당(25.3%)에 대한 지지율이 상대적으로 높았다.

40대에서는	40/SN+대/NNB+에서/JKB+는/JX
민주당(26.8%),	민주당/NNP+(/SS+26/SN+./SP+8/SN+%/SW+)/SS+,/SP
30대에서는	30/SN+대/NNB+에서/JKB+는/JX
국민참여당(25.3%)에	국민참여당/NNP+(/SS+25/SN+./SP+3/SN+%/SW+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
지지율이	지지/NNG+율/XSN+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.9.4
그러나 20대 이하에서는 한나라당 지지율(38.2%)이 민주당(27.4%)과 국민참여당(8.5%)을 합한 것보다 높았다.

그러나	그러나/MAJ
20대	20/SN+대/NNB
이하에서는	이하/NNG+에서/JKB+는/JX
한나라당	한나라당/NNP
지지율(38.2%)이	지지/NNG+율/XSN+(/SS+38/SN+./SP+2/SN+%/SW+)/SS+이/JKS
민주당(27.4%)과	민주당/NNP+(/SS+27/SN+./SP+4/SN+%/SW+)/SS+과/JC
국민참여당(8.5%)을	국민참여당/NNP+(/SS+8/SN+./SP+5/SN+%/SW+)/SS+을/JKO
합한	합/NNG+하/XSV+ㄴ/ETM
것보다	것/NNB+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.10.1
○ 선거 변수는 동남권 신공항 백지화

○	○/SW
선거	선거/NNG
변수는	변수/NNG+는/JX
동남권	동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
백지화	백지/NNG+화/XSN


# id : NWRW1800000029.347.11.1
한나라당은 선거를 앞둔 야권후보 단일화가 “정당정치를 훼손하는 쇼”(배은희 대변인)라고 비판한다.

한나라당은	한나라당/NNP+은/JX
선거를	선거/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
야권후보	야권/NNG+후보/NNG
단일화가	단일/NNG+화/XSN+가/JKS
“정당정치를	“/SS+정당/NNG+정치/NNG+를/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
쇼”(배은희	쇼/NNG+”/SS+(/SS+배은희/NNP
대변인)라고	대변인/NNG+)/SS+라고/JKQ
비판한다.	비판/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.347.11.2
하지만 정작 지역에선 후보 단일화에 대한 거부감이 별로 없었다.

하지만	하지만/MAJ
정작	정작/MAG
지역에선	지역/NNG+에서/JKB+ㄴ/JX
후보	후보/NNG
단일화에	단일/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
거부감이	거부감/NNG+이/JKS
별로	별로/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.347.12.1
‘야권 후보 단일화에 대해 어떻게 생각하느냐’는 질문에 ‘바람직하다’는 응답(60.8%)이 ‘바람직하지 않다’는 응답(15.9%)보다 4배 가까이 많았다.

‘야권	‘/SS+야권/NNG
후보	후보/NNG
단일화에	단일/NNG+화/XSN+에/JKB
대해	대하/VV+아/EC
어떻게	어떻/VA+게/EC
생각하느냐’는	생각/NNG+하/XSV+느냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
‘바람직하다’는	‘/SS+바람직하/VA+다/EF+’/SS+는/ETM
응답(60.8%)이	응답/NNG+(/SS+60/SN+./SP+8/SN+%/SW+)/SS+이/JKS
‘바람직하지	‘/SS+바람직하/VA+지/EC
않다’는	않/VX+다/EF+’/SS+는/ETM
응답(15.9%)보다	응답/NNG+(/SS+15/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
4배	4/SN+배/NNG
가까이	가까이/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.12.2
특히 한나라당 지지층에서도 후보 단일화에 대한 긍정평가(36.7%)가 부정평가(26.4%)를 앞섰다.

특히	특히/MAG
한나라당	한나라당/NNP
지지층에서도	지지/NNG+층/XSN+에서/JKB+도/JX
후보	후보/NNG
단일화에	단일/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
긍정평가(36.7%)가	긍정/NNG+평가/NNG+(/SS+36/SN+./SP+7/SN+%/SW+)/SS+가/JKS
부정평가(26.4%)를	부정/NNG+평가/NNG+(/SS+26/SN+./SP+4/SN+%/SW+)/SS+를/JKO
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.347.13.1
반면 동남권 신공항 건설 백지화는 선거에 적지 않은 영향을 미칠 것으로 예측됐다.

반면	반면/NNG
동남권	동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
건설	건설/NNG
백지화는	백지/NNG+화/XSN+는/JX
선거에	선거/NNG+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측됐다.	예측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.347.13.2
응답자의 48.9%가 ‘신공항 백지화로 야권 후보가 유리할 것’으로 내다봤다.

응답자의	응답자/NNG+의/JKG
48.9%가	48/SN+./SP+9/SN+%/SW+가/JKS
‘신공항	‘/SS+신/XPN+공항/NNG
백지화로	백지/NNG+화/XSN+로/JKB
야권	야권/NNG
후보가	후보/NNG+가/JKS
유리할	유리/NNG+하/XSA+ㄹ/ETM
것’으로	것/NNB+’/SS+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.347.13.3
‘선거에 별 영향이 없을 것’이라는 응답은 33.7%였다.

‘선거에	‘/SS+선거/NNG+에/JKB
별	별/MMA
영향이	영향/NNG+이/JKS
없을	없/VA+을/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
응답은	응답/NNG+은/JX
33.7%였다.	33/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.347.13.4
김 후보 지지자의 36.4%도 신공항 백지화가 야권 후보에게 유리하다고 응답했다.

김	김/NNP
후보	후보/NNG
지지자의	지지자/NNG+의/JKG
36.4%도	36/SN+./SP+4/SN+%/SW+도/JX
신공항	신/XPN+공항/NNG
백지화가	백지/NNG+화/XSN+가/JKS
야권	야권/NNG
후보에게	후보/NNG+에게/JKB
유리하다고	유리/NNG+하/XSA+다고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.347.14.1
김해을 지역이 고 노무현 전 대통령의 고향인 만큼 ‘노풍(盧風)’도 이번 선거에 변수라는 응답이 많았다.

김해을	김해을/NNP
지역이	지역/NNG+이/JKS
고	고/MMA
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
‘노풍(盧風)’도	‘/SS+노풍/NNG+(/SS+盧風/SH+)/SS+’/SS+도/JX
이번	이번/NNG
선거에	선거/NNG+에/JKB
변수라는	변수/NNG+이/VCP+라는/ETM
응답이	응답/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.14.2
‘노 전 대통령에 대한 정서가 선거에 어떤 영향을 미칠 것으로 보느냐’는 질문에 46.5%가 ‘야권 후보에게 유리할 것’이라고 응답했다.

‘노	‘/SS+노/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정서가	정서/NNG+가/JKS
선거에	선거/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보느냐’는	보/VV+느냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
46.5%가	46/SN+./SP+5/SN+%/SW+가/JKS
‘야권	‘/SS+야권/NNG
후보에게	후보/NNG+에게/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.347.14.3
‘별 영향이 없다’는 응답은 37.1%였다.

‘별	‘/SS+별/MMA
영향이	영향/NNG+이/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
응답은	응답/NNG+은/JX
37.1%였다.	37/SN+./SP+1/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.347.14.4
다만 20대 이하에서는 ‘별 영향이 없다’는 응답(66.4%)이 ‘야권 후보에게 유리할 것’이란 응답(29.5%)보다 2배 이상 많았다.

다만	다만/MAG
20대	20/SN+대/NNB
이하에서는	이하/NNG+에서/JKB+는/JX
‘별	‘/SS+별/MMA
영향이	영향/NNG+이/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
응답(66.4%)이	응답/NNG+(/SS+66/SN+./SP+4/SN+%/SW+)/SS+이/JKS
‘야권	‘/SS+야권/NNG
후보에게	후보/NNG+에게/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
것’이란	것/NNB+’/SS+이/VCP+란/ETM
응답(29.5%)보다	응답/NNG+(/SS+29/SN+./SP+5/SN+%/SW+)/SS+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.347.15.1
전화 면접조사 방식으로 진행한 이번 여론조사의 최대 허용 표본오차는 95% 신뢰수준에서 ±4.4%포인트다.

전화	전화/NNG
면접조사	면접/NNG+조사/NNG
방식으로	방식/NNG+으로/JKB
진행한	진행/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
여론조사의	여론/NNG+조사/NNG+의/JKG
최대	최대/NNG
허용	허용/NNG
표본오차는	표본/NNG+오차/NNG+는/JX
95%	95/SN+%/SW
신뢰수준에서	신뢰/NNG+수준/NNG+에서/JKB
±4.4%포인트다.	±/SW+4/SN+./SP+4/SN+%/SW+포인트/NNG+이/VCP+다/EF+./SF


