# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.263
metadata : {}


# id : NWRW1800000040.263.1.1
박영준 전 차관 ‘원전공사 금품 혐의’ 기소

박영준	박영준/NNP
동부지청장)은	동부지청장/NNG+)/SS+은/JX
10일	10/SN+일/NNB
국무총리실	국무총리실/NNG
국무차장	국무/NNG+차장/NNG
재직	재직/NNG
당시	당시/NNG
민간인	민간인/NNG
사찰을	사찰/NNG+을/JKO
한	하/VV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
징역	징역/NNG
2년을	2/SN+년/NNB+을/JKO
선고받아	선고/NNG+받/XSV+아/EC
복역중인	복역/NNG+중/NNB+이/VCP+ㄴ/ETM
박	박/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
뇌물수수	뇌물/NNG+수수/NNG
혐의로	혐의/NNG+로/JKB
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.5.2
원전 비리 수사에 나선 지 105일째인 이날까지 원전 운영 공기업인 한국수력원자력㈜의 김종신(67) 전 사장 등 97명을 기소했다.

원전	원전/NNG
비리	비리/NNG
수사에	수사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
지	지/NNB
105일째인	105/SN+일/NNB+째/XSN+이/VCP+ㄴ/ETM
이날까지	이날/NNG+까지/JX
운영	운영/NNG
공기업인	공기업/NNG+이/VCP+ㄴ/ETM
한국수력원자력㈜의	한국수력원자력/NNP+㈜/SW+의/JKG
김종신(67)	김종신/NNP+(/SS+67/SN+)/SS
전	전/MMD
사장	사장/NNG
등	등/NNB
97명을	97/SN+명/NNB+을/JKO
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.6.1
박 전 차관은 2010년 3월 서울 강남의 호텔에서 한나라당 전 부대변인 이아무개(51·구속 기소)씨로부터 “원전 냉각수처리 설비 기업 ㅎ사가 아랍에미리트 원전의 냉각수처리 설비 공사를 맡을 수 있도록 한국전력 등에 힘써달라”는 청탁과 함께 5000만원을 받은 혐의를 사고 있다.

박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
서울	서울/NNP
강남의	강남/NNP+의/JKG
호텔에서	호텔/NNG+에서/JKB
한나라당	한나라당/NNP
부대변인	부대변인/NNG
이아무개(51·구속	이/NNP+아무개/NP+(/SS+51/SN+·/SP+구속/NNG
기소)씨로부터	기소/NNG+)/SS+씨/NNB+로부터/JKB
“원전	“/SS+원전/NNG
냉각수처리	냉각수/NNG+처리/NNG
설비	설비/NNG
기업	기업/NNG
ㅎ사가	ㅎ/NNG+사/NNG+가/JKS
아랍에미리트	아랍에미리트/NNP
원전의	원전/NNG+의/JKG
공사를	공사/NNG+를/JKO
맡을	맡/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
한국전력	한국전력/NNP
등에	등/NNB+에/JKB
힘써달라”는	힘쓰/VV+어/EC+달/VX+라/EF+”/SS+는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.263.6.2
이씨는 이명박 정부 때 영향력을 행사했던 이른바 ‘영포(경북 영일·포항)라인’의 원전 브로커 오아무개(55)씨로부터 3억원을 받아 박 전 차관한테 5000만원을 전달했다고 검찰에서 진술했다.

이씨는	이/NNP+씨/NNB+는/JX
이명박	이명박/NNP
정부	정부/NNG
때	때/NNG
영향력을	영향력/NNG+을/JKO
행사했던	행사/NNG+하/XSV+았/EP+던/ETM
이른바	이른바/MAG
‘영포(경북	‘/SS+영포/NNP+(/SS+경북/NNP
영일·포항)라인’의	영일/NNP+·/SP+포항/NNP+)/SS+라인/NNG+’/SS+의/JKG
원전	원전/NNG
브로커	브로커/NNG
오아무개(55)씨로부터	오/NNP+아무개/NP+(/SS+55/SN+)/SS+씨/NNB+로부터/JKB
3억원을	3/SN+억/NR+원/NNB+을/JKO
받아	받/VV+아/EC
박	박/NNP
전	전/MMD
차관한테	차관/NNG+한테/JKB
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
전달했다고	전달/NNG+하/XSV+았/EP+다고/EC
검찰에서	검찰/NNG+에서/JKB
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.6.3
ㅎ사는 2011년 2월 한국전력과 960억원 상당의 아랍에미리트 원전 냉각수처리 설비 계약을 체결하는 데 성공했다.

ㅎ사는	ㅎ/NNG+사/NNG+는/JX
2011년	2011/SN+년/NNB
2월	2/SN+월/NNB
한국전력과	한국전력/NNP+과/JKB
960억원	960/SN+억/NR+원/NNB
상당의	상당/NNG+의/JKG
아랍에미리트	아랍에미리트/NNP
원전	원전/NNG
냉각수처리	냉각수/NNG+처리/NNG
설비	설비/NNG
계약을	계약/NNG+을/JKO
체결하는	체결/NNG+하/XSV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.7.1
박 전 차관은 김종신 한수원 전 사장으로부터 원전 정책에 한수원 쪽 입장을 잘 반영해달라는 청탁과 함께 700만원을 받은 혐의도 사고 있다.

박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
김종신	김종신/NNP
한수원	한수원/NNP
사장으로부터	사장/NNG+으로부터/JKB
원전	원전/NNG
정책에	정책/NNG+에/JKB
쪽	쪽/NNB
입장을	입장/NNG+을/JKO
잘	잘/MAG
반영해달라는	반영/NNG+하/XSV+아/EC+달/VX+라는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
700만원을	700/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의도	혐의/NNG+도/JX
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.263.7.2
박 전 차관은 2010년 8월~2011년 5월 원전 업무를 총괄하던 지식경제부의 제2차관을 지냈다.

박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
2010년	2010/SN+년/NNB
8월~2011년	8/SN+월/NNB+~/SO+2011/SN+년/NNB
5월	5/SN+월/NNB
원전	원전/NNG
업무를	업무/NNG+를/JKO
총괄하던	총괄/NNG+하/XSV+던/ETM
지식경제부의	지식/NNG+경제부/NNG+의/JKG
제2차관을	제/XPN+2/SN+차관/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.8.1
검찰은 5월29일 수사에 착수해 이날까지 43명을 구속하고 54명을 불구속하는 등 97명을 기소했다고 밝혔다.

검찰은	검찰/NNG+은/JX
5월29일	5/SN+월/NNB+29/SN+일/NNB
수사에	수사/NNG+에/JKB
착수해	착수/NNG+하/XSV+아/EC
이날까지	이날/NNG+까지/JX
43명을	43/SN+명/NNB+을/JKO
구속하고	구속/NNG+하/XSV+고/EC
54명을	54/SN+명/NNB+을/JKO
불구속하는	불/XPN+구속/NNG+하/XSV+는/ETM
등	등/NNB
97명을	97/SN+명/NNB+을/JKO
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.8.2
구속자 가운데는 김 전 사장 등 한수원 15명, 한국전력기술 6명, 한국전력 1명 등 원전관련 공기업의 전·현 직원 22명이 포함됐다.

구속자	구속자/NNG
가운데는	가운데/NNG+는/JX
김	김/NNP
전	전/MMD
사장	사장/NNG
등	등/NNB
한수원	한수원/NNP
15명,	15/SN+명/NNB+,/SP
한국전력기술	한국전력기술/NNP
6명,	6/SN+명/NNB+,/SP
한국전력	한국전력/NNP
1명	1/SN+명/NNB
원전관련	원전/NNG+관련/NNG
공기업의	공기업/NNG+의/JKG
전·현	전/MMD+·/SP+현/MMD
직원	직원/NNG
22명이	22/SN+명/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.8.3
이들이 업체들로부터 받은 금품은 23억8195만원이나 됐다.

이들이	이/NP+들/XSN+이/JKS
업체들로부터	업체/NNG+들/XSN+로부터/JKB
받은	받/VV+은/ETM
금품은	금품/NNG+은/JX
23억8195만원이나	23/SN+억/NR+8195/SN+만/NR+원/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.9.1
검찰은 원전 부품 납품업체-부품 시험성적서 발급업체-시험성적서 검증기관-발주업체(한수원)로 얽힌 연결고리를 좀더 뚜렷하게 밝혀냈다.

검찰은	검찰/NNG+은/JX
원전	원전/NNG
부품	부품/NNG
납품업체-부품	납품업체/NNG+-/SO+부품/NNG
시험성적서	시험/NNG+성적서/NNG
발급업체-시험성적서	발급/NNG+업체/NNG+-/SO+시험/NNG+성적서/NNG
검증기관-발주업체(한수원)로	검증/NNG+기관/NNG+-/SO+발주/NNG+업체/NNG+(/SS+한수원/NNP+)/SS+로/JKB
얽힌	얽히/VV+ㄴ/ETM
연결고리를	연결/NNG+고리/NNG+를/JKO
좀더	좀/MAG+더/MAG
뚜렷하게	뚜렷하/VA+게/EC
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.9.2
이들 4곳의 전·현 임직원 16명이 신고리 1~4호기와 신월성 1~2호기의 부품 가운데 제어용 케이블의 시험성적서를 함께 조작한 뒤 원전에 납품했다.

이들	이/NP+들/XSN
4곳의	4/SN+곳/NNG+의/JKG
전·현	전/MMD+·/SP+현/MMD
임직원	임직원/NNG
16명이	16/SN+명/NNB+이/JKS
신고리	신/XPN+고리/NNP
1~4호기와	1/SN+~/SO+4/SN+호기/NNB+와/JC
신월성	신월성/NNP
1~2호기의	1/SN+~/SO+2/SN+호기/NNB+의/JKG
부품	부품/NNG
가운데	가운데/NNG
제어용	제어/NNG+용/XSN
케이블의	케이블/NNG+의/JKG
시험성적서를	시험/NNG+성적서/NNG+를/JKO
함께	함께/MAG
조작한	조작/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
원전에	원전/NNG+에/JKB
납품했다.	납품/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.9.3
현대중공업 등 대기업과 중소업체들이 원전 부품 납품계약을 따내려고 한수원 임직원한테 로비하는 관행도 드러났다.

현대중공업	현대중공업/NNP
등	등/NNB
대기업과	대/XPN+기업/NNG+과/JC
중소업체들이	중소/NNG+업체/NNG+들/XSN+이/JKS
원전	원전/NNG
부품	부품/NNG
납품계약을	납품/NNG+계약/NNG+을/JKO
따내려고	따내/VV+려고/EC
한수원	한수원/NNP
임직원한테	임직원/NNG+한테/JKB
로비하는	로비/NNG+하/XSV+는/ETM
관행도	관행/NNG+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.10.1
그러나 원전 비리의 몸통으로 지목됐던 이들의 혐의를 아직 밝혀내지 못했다.

그러나	그러나/MAJ
원전	원전/NNG
비리의	비리/NNG+의/JKG
몸통으로	몸통/NNG+으로/JKB
지목됐던	지목/NNG+되/XSV+었/EP+던/ETM
이들의	이/NNB+들/XSN+의/JKG
혐의를	혐의/NNG+를/JKO
아직	아직/MAG
밝혀내지	밝혀내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.263.10.2
이명박 전 대통령의 친형인 이상득 전 국회 부의장의 보좌관을 10년 이상 지낸 박 전 차관은 기소했지만, 아랍에미리트 원전 수주에 앞장섰던 이 전 국회 부의장은 ‘박 전 차관이 금품 수수 혐의를 부인한다’는 이유로 조사조차 하지 않았다.

이명박	이명박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
친형인	친형/NNG+이/VCP+ㄴ/ETM
이상득	이상득/NNP
국회	국회/NNG
부의장의	부의장/NNG+의/JKG
보좌관을	보좌관/NNG+을/JKO
10년	10/SN+년/NNB
이상	이상/NNG
지낸	지내/VV+ㄴ/ETM
박	박/NNP
차관은	차관/NNG+은/JX
기소했지만,	기소/NNG+하/XSV+았/EP+지만/EC+,/SP
아랍에미리트	아랍에미리트/NNP
원전	원전/NNG
수주에	수주/NNG+에/JKB
앞장섰던	앞장서/VV+었/EP+던/ETM
이	이/NNP
부의장은	부의장/NNG+은/JX
‘박	‘/SS+박/NNP
차관이	차관/NNG+이/JKS
금품	금품/NNG
수수	수수/NNG
혐의를	혐의/NNG+를/JKO
부인한다’는	부인/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
이유로	이유/NNG+로/JKB
조사조차	조사/NNG+조차/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.263.11.1
또 국가정보원장 비서실장 출신인 윤아무개(57)씨가 대학 동창인 최중경 전 지식경제부 장관한테 ‘ㅎ사가 부탁한 인물을 한국전력 자회사 고위직으로 임명해달라’고 청탁해 실제 임명된 것을 밝혀내고 원전 브로커 오씨로부터 “ㅎ사로부터 2억8000만원을 받아 윤씨한테 전달했다”는 진술을 확보했지만, 최 전 장관은 무혐의 처분했다.

또	또/MAG
국가정보원장	국가/NNG+정보원장/NNG
비서실장	비서실장/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
윤아무개(57)씨가	윤/NNP+아무개/NP+(/SS+57/SN+)/SS+씨/NNB+가/JKS
대학	대학/NNG
동창인	동창/NNG+이/VCP+ㄴ/ETM
최중경	최중경/NNP
전	전/MMD
지식경제부	지식/NNG+경제부/NNG
장관한테	장관/NNG+한테/JKB
‘ㅎ사가	‘/SS+ㅎ/NNG+사/NNG+가/JKS
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
인물을	인물/NNG+을/JKO
한국전력	한국전력/NNP
자회사	자회사/NNG
고위직으로	고위직/NNG+으로/JKB
임명해달라’고	임명/NNG+하/XSV+아/EC+달/VX+라/EF+’/SS+고/JKQ
청탁해	청탁/NNG+하/XSV+아/EF
실제	실제/NNG
임명된	임명/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
밝혀내고	밝혀내/VV+고/EC
원전	원전/NNG
브로커	브로커/NNG
오씨로부터	오/NNP+씨/NNB+로부터/JKB
“ㅎ사로부터	“/SS+ㅎ/NNG+사/NNG+로부터/JKB
2억8000만원을	2/SN+억/NR+8000/SN+만/NR+원/NNB+을/JKO
받아	받/VV+아/EC
윤씨한테	윤/NNP+씨/NNB+한테/JKB
전달했다”는	전달/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
진술을	진술/NNG+을/JKO
확보했지만,	확보/NNG+하/XSV+았/EP+지만/EC+,/SP
최	최/NNP
장관은	장관/NNG+은/JX
무혐의	무/XPN+혐의/NNG
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.263.12.1
한수원 송아무개(48) 부장이 현대중공업 임직원한테서 받은 10억원 중 4억원, 오씨가 ㅎ사로부터 받은 18억원 가운데 12억2000만원을 정·관계 인사 로비로 썼는지 등 사용처 의혹을 밝혀내지 못했다.

한수원	한수원/NNP
송아무개(48)	송/NNP+아무개/NP+(/SS+48/SN+)/SS
부장이	부장/NNG+이/JKS
현대중공업	현대중공업/NNP
임직원한테서	임직원/NNG+한테서/JKB
받은	받/VV+은/ETM
10억원	10/SN+억/NR+원/NNB
중	중/NNB
4억원,	4/SN+억/NR+원/NNB+,/SP
오씨가	오/NNP+씨/NNB+가/JKS
ㅎ사로부터	ㅎ/NNG+사/NNG+로부터/JKB
18억원	18/SN+억/NR+원/NNB
가운데	가운데/NNG
12억2000만원을	12/SN+억/NR+2000/SN+만/NR+원/NNB+을/JKO
정·관계	정·관계/NNG
인사	인사/NNG
로비로	로비/NNG+로/JKB
썼는지	쓰/VV+었/EP+는지/EC
등	등/NNB
사용처	사용처/NNG
의혹을	의혹/NNG+을/JKO
밝혀내지	밝혀내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


