# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.24
metadata : {}


# id : NWRW1800000049.24.1.1
[사회공헌 Together]‘캄보디아, 중국, 베트남’ 글로벌 교육지원

[사회공헌	[/SS+사회/NNG+공헌/NNG
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.3.3
아름다운 교실은 단순한 교육자재의 기부뿐만 아니라 아시아나항공 임직원이 직접 현지를 방문해 정서교류활동을 활발하게 하는 것이 특징이다.

아름다운	아름답/VA+ㄴ/ETM
교실은	교실/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
교육자재의	교육/NNG+자재/NNG+의/JKG
기부뿐만	기부/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
아시아나항공	아시아나항공/NNP
임직원이	임직원/NNG+이/JKS
직접	직접/MAG
현지를	현지/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
정서교류활동을	정서/NNG+교류/NNG+활동/NNG+을/JKO
활발하게	활발하/VA+게/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.4.1
올해 3월 캄보디아 프놈펜 썸라옹톰(Samraong Thum) 초등학교에선 ‘캄보디아-아름다운 교실’ 결연 활동을 진행했다.

올해	올해/NNG
3월	3/SN+월/NNB
캄보디아	캄보디아/NNP
프놈펜	프놈펜/NNP
썸라옹톰(Samraong	썸라옹톰/NNP+(/SS+Samraong/SL
Thum)	Thum/SL+)/SS
초등학교에선	초등학교/NNG+에서/JKB+ㄴ/JX
‘캄보디아-아름다운	‘/SS+캄보디아/NNP+-/SO+아름답/VA+ㄴ/ETM
교실’	교실/NNG+’/SS
결연	결연/NNG
활동을	활동/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.4.2
이 프로젝트는 세계교육문화원(WECA)과 공동으로 2015년부터 실시해 온 글로벌 교육지원사업이다.

이	이/MMD
프로젝트는	프로젝트/NNG+는/JX
세계교육문화원(WECA)과	세계/NNG+교육/NNG+문화원/NNG+(/SS+WECA/SL+)/SS+과/JKB
공동으로	공동/NNG+으로/JKB
2015년부터	2015/SN+년/NNB+부터/JX
실시해	실시/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
글로벌	글로벌/NNG
교육지원사업이다.	교육/NNG+지원/NNG+사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.4.3
아시아나항공은 간식, 학용품 및 컴퓨터실 기자재의 후원 활동을 지속적으로 전개해오고 있다.

아시아나항공은	아시아나항공/NNP+은/JX
간식,	간식/NNG+,/SP
학용품	학용품/NNG
및	및/MAG
컴퓨터실	컴퓨터실/NNG
기자재의	기자재/NNG+의/JKG
후원	후원/NNG
활동을	활동/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
전개해오고	전개/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.24.5.1
중국에서도 2012년 옌지 투먼 시 제5중학교와의 자매결연을 맺으며 아름다운 교실을 시작했다.

중국에서도	중국/NNP+에서/JKB+도/JX
2012년	2012/SN+년/NNB
옌지	옌지/NNP
투먼	투먼/NNP
시	시/NNG
제5중학교와의	제/XPN+5/SN+중학교/NNG+와/JKB+의/JKG
자매결연을	자매결연/NNG+을/JKO
맺으며	맺/VV+으며/EC
아름다운	아름답/VA+ㄴ/ETM
교실을	교실/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.5.2
지금까지 창춘, 웨이하이, 다롄, 옌타이, 난징, 시안, 올 6월 결연을 맺은 옌청까지 중국 내 총 25개 학교와 자매결연을 맺었다.

지금까지	지금/NNG+까지/JX
창춘,	창춘/NNP+,/SP
웨이하이,	웨이하이/NNP+,/SP
다롄,	다롄/NNP+,/SP
옌타이,	옌타이/NNP+,/SP
난징,	난징/NNP+,/SP
시안,	시안/NNG+,/SP
올	올/NNG
6월	6/SN+월/NNB
결연을	결연/NNG+을/JKO
맺은	맺/VV+은/ETM
옌청까지	옌청/NNP+까지/JX
중국	중국/NNP
내	내/NNB
총	총/MMA
25개	25/SN+개/NNB
학교와	학교/NNG+와/JKB
자매결연을	자매결연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.24.5.3
아시아나항공은 자매결연 학교에 피아노 15대, 빔프로젝터 32대, 컴퓨터 868대, 도서 1만5000여 권 등 약 10억 원 상당의 교육 기자재를 지원했다.

아시아나항공은	아시아나항공/NNP+은/JX
자매결연	자매결연/NNG
학교에	학교/NNG+에/JKB
피아노	피아노/NNG
15대,	15/SN+대/NNB+,/SP
빔프로젝터	빔/NNG+프로젝터/NNG
32대,	32/SN+대/NNB+,/SP
컴퓨터	컴퓨터/NNG
868대,	868/SN+대/NNB+,/SP
도서	도서/NNG
1만5000여	1/SN+만/NR+5000/SN+여/XSN
권	권/NNB
등	등/NNB
약	약/MMA
10억	10/SN+억/NR
원	원/NNB
상당의	상당/NNG+의/JKG
교육	교육/NNG
기자재를	기자재/NNG+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.6.1
베트남에서는 저소득층 여성들의 사회 진출을 돕기 위해 한국국제협력단(KOICA) 및 비영리단체 ‘굿피플’과 ‘베트남-아름다운 교실’을 운영 중이다.

베트남에서는	베트남/NNP+에서/JKB+는/JX
저소득층	저/XPN+소득/NNG+층/XSN
여성들의	여성/NNG+들/XSN+의/JKG
사회	사회/NNG
진출을	진출/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
한국국제협력단(KOICA)	한국국제협력단/NNP+(/SS+KOICA/SL+)/SS
및	및/MAG
비영리단체	비/XPN+영리/NNG+단체/NNG
‘굿피플’과	‘/SS+굿피플/NNP+’/SS+과/JC
‘베트남-아름다운	‘/SS+베트남/NNP+-/SO+아름답/VA+ㄴ/ETM
교실’을	교실/NNG+’/SS+을/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.6.2
하이즈엉성 ‘3·8직업훈련센터’ 학생 150여 명을 대상으로 서비스 기초, 영어·한국어, 컴퓨터, 회계 교육을 실시했다.

하이즈엉성	하이즈엉성/NNP
‘3·8직업훈련센터’	‘/SS+3/SN+·/SP+8/SN+직업/NNG+훈련/NNG+센터/NNG+’/SS
학생	학생/NNG
150여	150/SN+여/XSN
명을	명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
서비스	서비스/NNG
기초,	기초/NNG+,/SP
영어·한국어,	영어/NNP+·/SP+한국어/NNP+,/SP
컴퓨터,	컴퓨터/NNG+,/SP
회계	회계/NNG
교육을	교육/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.7.1
국내에선 재능나눔 사회공헌활동인 ‘색동나래교실’을 시행 중이다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
재능나눔	재능/NNG+나누/VV+ㅁ/ETN
사회공헌활동인	사회/NNG+공헌/NNG+활동/NNG+이/VCP+ㄴ/ETM
‘색동나래교실’을	‘/SS+색동/NNG+나래/NNG+교실/NNG+’/SS+을/JKO
시행	시행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.7.2
색동나래교실은 임직원 교육기부 봉사단이 학교에 직접 찾아가 강연하는 프로그램이다.

색동나래교실은	색동/NNG+나래/NNG+교실/NNG+은/JX
임직원	임직원/NNG
교육기부	교육/NNG+기부/NNG
봉사단이	봉사단/NNG+이/JKS
학교에	학교/NNG+에/JKB
직접	직접/MAG
찾아가	찾아가/VV+아/EC
강연하는	강연/NNG+하/XSV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.7.3
2013년부터 승무원, 운항조종사, 정비사, 공항서비스 직원이 강연자로 참여했다.

2013년부터	2013/SN+년/NNB+부터/JX
승무원,	승무원/NNG+,/SP
운항조종사,	운항/NNG+조종사/NNG+,/SP
정비사,	정비사/NNG+,/SP
공항서비스	공항/NNG+서비스/NNG
직원이	직원/NNG+이/JKS
강연자로	강연자/NNG+로/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.7.4
현재까지 1257회 총 11만4950명의 학생들에게 강연을 실시했다.

현재까지	현재/NNG+까지/JX
1257회	1257/SN+회/NNB
총	총/MMA
11만4950명의	11/SN+만/NR+4950/SN+명/NNB+의/JKG
학생들에게	학생/NNG+들/XSN+에게/JKB
강연을	강연/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.24.8.1
‘색동창의STEAM 교실’은 학생들을 인천국제공항 아시아나항공 제2격납고에 초청해 항공과학 원리 및 항공기 정비에 대해 설명하고 직접 체험해보게 하는 프로그램이다.

‘색동창의STEAM	‘/SS+색동/NNG+창의/NNG+STEAM/SL
교실’은	교실/NNG+’/SS+은/JX
학생들을	학생/NNG+들/XSN+을/JKO
인천국제공항	인천국제공항/NNP
아시아나항공	아시아나항공/NNP
제2격납고에	제/XPN+2/SN+격납고/NNG+에/JKB
초청해	초청/NNG+하/XSV+아/EC
항공과학	항공/NNG+과학/NNG
원리	원리/NNG
및	및/MAG
항공기	항공기/NNG
정비에	정비/NNG+에/JKB
대해	대하/VV+아/EC
설명하고	설명/NNG+하/XSV+고/EC
직접	직접/MAG
체험해보게	체험/NNG+하/XSV+아/EC+보/VX+게/EC
하는	하/VX+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.8.2
2013년부터 현재까지 16회 450여 명의 학생들이 다녀갔다.

2013년부터	2013/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
16회	16/SN+회/NNB
450여	450/SN+여/XSN
명의	명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


