# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.3
metadata : {}


# id : NWRW1800000048.3.1.1
기프트카드도 불법복제 피해 조심

기프트카드도	기프트카드/NNG+도/JX
금융감독원 관계자는 “카드사에 배상 책임이 있는지 검토중”이라고 밝혔다.

금융감독원	금융/NNG+감독원/NNG
관계자는	관계자/NNG+는/JX
“카드사에	“/SS+카드사/NNG+에/JKB
배상	배상/NNG
책임이	책임/NNG+이/JKS
있는지	있/VA+는지/EF
검토중”이라고	검토/NNG+중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.3.9.3
반면, 비씨카드 관계자는 “카드사는 은행의 의뢰를 받아 기프트카드의 제작·발급만 담당한다”며 “이번 사건은 개인 간 유통 과정에서 생긴 문제인 만큼 카드사가 책임지기 어렵다”고 말했다.

반면,	반면/NNG+,/SP
비씨카드	비씨카드/NNP
관계자는	관계자/NNG+는/JX
“카드사는	“/SS+카드사/NNG+는/JX
은행의	은행/NNG+의/JKG
의뢰를	의뢰/NNG+를/JKO
받아	받/VV+아/EC
기프트카드의	기프트카드/NNG+의/JKG
제작·발급만	제작/NNG+·/SP+발급/NNG+만/JX
담당한다”며	담당/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
개인	개인/NNG
간	간/NNB
유통	유통/NNG
과정에서	과정/NNG+에서/JKB
생긴	생기/VV+ㄴ/ETM
문제인	문제/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
카드사가	카드사/NNG+가/JKS
책임지기	책임지/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.3.9.4
기프트카드의 연간 이용금액 규모는 1조원 안팎으로 추산되며, 이 가운데 비씨카드 점유율은 37%다.

기프트카드의	기프트카드/NNG+의/JKG
연간	연간/NNG
이용금액	이용/NNG+금액/NNG
규모는	규모/NNG+는/JX
1조원	1/SN+조/NR+원/NNB
안팎으로	안팎/NNG+으로/JKB
추산되며,	추산/NNG+되/XSV+며/EC+,/SP
이	이/MMD
가운데	가운데/NNG
비씨카드	비씨카드/NNP
점유율은	점유/NNG+율/XSN+은/JX
37%다.	37/SN+%/SW+이/VCP+다/EF+./SF


