# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.356
metadata : {}


# id : NWRW1800000046.356.1.1
박지원 "文, 아무 일 없었던 것처럼 지나가면 안돼"… 文은 김한길 만나 SOS

박지원	박지원/NNP
바람직하다"고	바람직하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.4.3
천정배 의원 당선에 대해선 "문 대표가 바람직하게 하고 있느냐를 (광주가)평가한 것"이라고 말했다.

천정배	천정배/NNP
의원	의원/NNG
당선에	당선/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"문	"/SS+문/NNP
대표가	대표/NNG+가/JKS
바람직하게	바람직하/VA+게/EC
하고	하/VX+고/EC
있느냐를	있/VX+느냐/EF+를/JKO
(광주가)평가한	(/SS+광주/NNP+가/JKS+)/SS+평가/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.5.1
이에 앞서 박 의원은 이날 오전 동교동계의 권노갑 상임고문과 만나 '문재인 책임론'에 대해 논의한 것으로 알려졌다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
동교동계의	동교동/NNP+계/XSN+의/JKG
권노갑	권노갑/NNP
상임고문과	상임/NNG+고문/NNG+과/JKB
만나	만나/VV+아/EC
'문재인	'/SS+문재인/NNP
책임론'에	책임/NNG+론/XSN+'/SS+에/JKB
대해	대하/VV+아/EC
논의한	논의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.356.5.2
권 고문과 박양수 전 의원 등 일부 동교동계 인사들도 이날 따로 만찬회동을 가졌다.

권	권/NNP
고문과	고문/NNG+과/JC
박양수	박양수/NNP
전	전/MMD
의원	의원/NNG
등	등/NNB
일부	일부/NNG
동교동계	동교동/NNP+계/XSN
인사들도	인사/NNG+들/XSN+도/JX
이날	이날/NNG
따로	따로/MAG
만찬회동을	만찬/NNG+회동/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.356.5.3
한 참석자는 "정치지도자는 책임질 일이 있으면 책임져야 한다는 이희호 여사의 입장이 우리 입장"이라고 말했다.

한	한/MMN
참석자는	참석자/NNG+는/JX
"정치지도자는	"/SS+정치/NNG+지도자/NNG+는/JX
책임질	책임지/VV+ㄹ/ETM
일이	일/NNG+이/JKS
있으면	있/VA+으면/EC
책임져야	책임지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
이희호	이희호/NNP
여사의	여사/NNG+의/JKG
입장이	입장/NNG+이/JKS
우리	우리/NP
입장"이라고	입장/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.6.1
한편 문재인 대표는 7일 오후 비노의 최대 계파 수장인 김한길 의원과 만나 당을 어떻게 수습해나갈지를 묻고 협조를 요청한 것으로 알려졌다.

한편	한편/MAG
문재인	문재인/NNP
대표는	대표/NNG+는/JX
7일	7/SN+일/NNB
오후	오후/NNG
비노의	비/XPN+노/NNP+의/JKG
최대	최대/NNG
계파	계파/NNG
수장인	수장/NNG+이/VCP+ㄴ/ETM
김한길	김한길/NNP
의원과	의원/NNG+과/JKB
만나	만나/VV+아/EC
당을	당/NNG+을/JKO
어떻게	어떻/VA+게/EC
수습해나갈지를	수습/NNG+하/XSV+아/EC+나가/VX+ㄹ지/EF+를/JKO
묻고	묻/VV+고/EC
협조를	협조/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.356.6.2
이날 만남은 문 대표가 먼저 김 의원에게 제안했다고 한다.

이날	이날/NNG
만남은	만남/NNG+은/JX
문	문/NNP
대표가	대표/NNG+가/JKS
먼저	먼저/MAG
김	김/NNP
의원에게	의원/NNG+에게/JKB
제안했다고	제안/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.356.6.3
김 의원은 4·29 재·보선에서 전패한 다음 날 "이겨야 하는 선거를 졌다"며 문재인 대표를 비판했었다.

김	김/NNP
의원은	의원/NNG+은/JX
4·29	4/SN+·/SP+29/SN
재·보선에서	재·보선/NNG+에서/JKB
전패한	전패/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날	날/NNG
"이겨야	"/SS+이기/VV+어야/EC
하는	하/VX+는/ETM
선거를	선거/NNG+를/JKO
졌다"며	지/VV+었/EP+다/EF+"/SS+며/EC
문재인	문재인/NNP
대표를	대표/NNG+를/JKO
비판했었다.	비판/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.356.6.4
야당의 한 의원은 "책임론에 휩싸인 문 대표가 신임 원내대표로 비노계 이종걸 의원이 뽑히자 김 의원에게 SOS를 친 것 같다""고 했다.

야당의	야당/NNG+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
"책임론에	"/SS+책임/NNG+론/XSN+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
문	문/NNP
대표가	대표/NNG+가/JKS
신임	신임/NNG
원내대표로	원내/NNG+대표/NNG+로/JKB
비노계	비/XPN+노/NNP+계/XSN
이종걸	이종걸/NNP
의원이	의원/NNG+이/JKS
뽑히자	뽑히/VV+자/EC
김	김/NNP
의원에게	의원/NNG+에게/JKB
SOS를	SOS/SL+를/JKO
친	치/VV+ㄴ/ETM
것	것/NNB
같다""고	같/VA+다/EF+"/SS+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.6.5
문 대표의 협조 요청에 김 의원은 특별한 반응을 하지 않은 것으로 알려졌다.

문	문/NNP
대표의	대표/NNG+의/JKG
협조	협조/NNG
요청에	요청/NNG+에/JKB
김	김/NNP
의원은	의원/NNG+은/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


