# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.84
metadata : {}


# id : NWRW1800000028.84.1.1
세계 경제위기 똑같이 겪었는데… 엘지는 고용 늘고, 삼성은 줄어

세계	세계/NNG
감소율이	감소/NNG+율/XSN+이/JKS
1.13%로,	1/SN+./SP+13/SN+%/SW+로/JKB+,/SP
500대	500/SN+대/NNG
두	두/MMN
배를	배/NNG+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.84.4.1
이는 대기업들이 이명박 정부 출범 이후 경제 살리기를 내세워 감세와 규제완화 등 각종 혜택을 얻어내고, 지난해 전국경제인연합회 주도로 대졸 초임 최대 28% 삭감과 기존 임직원 임금반환을 단행하며 고용안정과 채용 확대를 약속했으나, 실제로는 일자리를 줄였음을 보여준다.

이는	이/NP+는/JX
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
경제	경제/NNG
살리기를	살리/VV+기/ETN+를/JKO
내세워	내세우/VV+어/EC
감세와	감세/NNG+와/JC
규제완화	규제/NNG+완화/NNG
등	등/NNB
각종	각종/NNG
혜택을	혜택/NNG+을/JKO
얻어내고,	얻/VV+어/EC+내/VX+고/EC+,/SP
지난해	지난해/NNG
전국경제인연합회	전국경제인연합회/NNP
주도로	주도/NNG+로/JKB
대졸	대졸/NNG
초임	초임/NNG
최대	최대/NNG
28%	28/SN+%/SW
삭감과	삭감/NNG+과/JC
기존	기존/NNG
임직원	임직원/NNG
임금반환을	임금/NNG+반환/NNG+을/JKO
단행하며	단행/NNG+하/XSV+며/EC
고용안정과	고용/NNG+안정/NNG+과/JC
채용	채용/NNG
확대를	확대/NNG+를/JKO
약속했으나,	약속/NNG+하/XSV+았/EP+으나/EC+,/SP
실제로는	실제로/MAG+는/JX
일자리를	일자리/NNG+를/JKO
줄였음을	줄이/VV+었/EP+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.84.5.1
고용이 가장 많이 늘어난 기업은 엘지디스플레이로 1만6841명에서 2만1434명으로 4593명(27.3%)이 증가했다.

고용이	고용/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
늘어난	늘어나/VV+ㄴ/ETM
기업은	기업/NNG+은/JX
엘지디스플레이로	엘지디스플레이/NNP+로/JKB
1만6841명에서	1/SN+만/NR+6841/SN+명/NNB+에서/JKB
2만1434명으로	2/SN+만/NR+1434/SN+명/NNB+으로/JKB
4593명(27.3%)이	4593/SN+명/NNB+(/SS+27/SN+./SP+3/SN+%/SW+)/SS+이/JKS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.84.5.2
그다음은 신세계 2217명(17.3%), 현대모비스 1560명(34.5%), 대우건설 1193명(33.7%), 엘지이노텍 938명(68.9%) 순이다.

그다음은	그다음/NNG+은/JX
신세계	신세계/NNP
2217명(17.3%),	2217/SN+명/NNB+(/SS+17/SN+./SP+3/SN+%/SW+)/SS+,/SP
현대모비스	현대모비스/NNP
1560명(34.5%),	1560/SN+명/NNB+(/SS+34/SN+./SP+5/SN+%/SW+)/SS+,/SP
대우건설	대우건설/NNP
1193명(33.7%),	1193/SN+명/NNB+(/SS+33/SN+./SP+7/SN+%/SW+)/SS+,/SP
엘지이노텍	엘지이노텍/NNP
938명(68.9%)	938/SN+명/NNB+(/SS+68/SN+./SP+9/SN+%/SW+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.84.5.3
고용증가 상위 5위 안에 엘지그룹 계열사가 두 곳이나 포함돼 있다.

고용증가	고용/NNG+증가/NNG
상위	상위/NNG
5위	5/SN+위/NNB
안에	안/NNG+에/JKB
엘지그룹	엘지그룹/NNP
계열사가	계열사/NNG+가/JKS
두	두/MMN
곳이나	곳/NNG+이나/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.84.5.4
반면 고용이 가장 많이 줄어든 기업은 삼성에스디아이로 9510명에서 6395명으로 3115명(32.8%)이 감소했다.

반면	반면/NNG
고용이	고용/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
줄어든	줄어들/VV+ㄴ/ETM
기업은	기업/NNG+은/JX
삼성에스디아이로	삼성에스디아이/NNP+로/JKB
9510명에서	9510/SN+명/NNB+에서/JKB
6395명으로	6395/SN+명/NNB+으로/JKB
3115명(32.8%)이	3115/SN+명/NNB+(/SS+32/SN+./SP+8/SN+%/SW+)/SS+이/JKS
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.84.5.5
그다음은 삼성전자 2874명(3.3%), 쌍용차 2728명(37.8%), 엘지화학 2574명(24.25%), 삼성전기 1592명(13.3%) 순이다.

그다음은	그다음/NNG+은/JX
삼성전자	삼성전자/NNP
2874명(3.3%),	2874/SN+명/NNB+(/SS+3/SN+./SP+3/SN+%/SW+)/SS+,/SP
쌍용차	쌍용차/NNP
2728명(37.8%),	2728/SN+명/NNB+(/SS+37/SN+./SP+8/SN+%/SW+)/SS+,/SP
엘지화학	엘지화학/NNP
2574명(24.25%),	2574/SN+명/NNB+(/SS+24/SN+./SP+25/SN+%/SW+)/SS+,/SP
삼성전기	삼성전기/NNP
1592명(13.3%)	1592/SN+명/NNB+(/SS+13/SN+./SP+3/SN+%/SW+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.84.5.6
고용감소 상위 5위 안에 삼성 계열사가 세 곳이나 포함돼 있다.

고용감소	고용/NNG+감소/NNG
상위	상위/NNG
5위	5/SN+위/NNB
안에	안/NNG+에/JKB
삼성	삼성/NNP
계열사가	계열사/NNG+가/JKS
세	세/MMN
곳이나	곳/NNG+이나/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.84.6.1
삼성에스디아이와 삼성전자의 총고용 감소는 5789명이지만, 2008년 9월 두 회사가 합작설립한 삼성모바일디스플레이로 옮겨간 인원 2598명(2008년말 기준)을 계산하면 고용감소 규모는 3391명으로 줄어든다.

삼성에스디아이와	삼성에스디아이/NNP+와/JC
삼성전자의	삼성전자/NNP+의/JKG
총고용	총/MMA+고용/NNG
감소는	감소/NNG+는/JX
5789명이지만,	5789/SN+명/NNB+이/VCP+지만/EC+,/SP
2008년	2008/SN+년/NNB
9월	9/SN+월/NNB
두	두/MMN
회사가	회사/NNG+가/JKS
합작설립한	합작/NNG+설립/NNG+하/XSV+ㄴ/ETM
삼성모바일디스플레이로	삼성모바일디스플레이/NNP+로/JKB
옮겨간	옮기/VV+어/EC+가/VX+ㄴ/ETM
인원	인원/NNG
2598명(2008년말	2598/SN+명/NNB+(/SS+2008/SN+년/NNB+말/NNB
기준)을	기준/NNG+)/SS+을/JKO
계산하면	계산/NNG+하/XSV+면/EC
고용감소	고용/NNG+감소/NNG
규모는	규모/NNG+는/JX
3391명으로	3391/SN+명/NNB+으로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.84.6.2
엘지화학은 2009년 4월 엘지하우시스를 분할한 것을 고려하면 실질적인 고용감소는 없다.

엘지화학은	엘지화학/NNP+은/JX
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
엘지하우시스를	엘지하우시스/NNP+를/JKO
분할한	분할/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
고용감소는	고용/NNG+감소/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.84.6.3
에이치아르 인사이트의 오일선 편집장은 “전체적으로 보면 엘지 계열사들은 고용 확대에 기여했고, 삼성 계열사들은 고용 감소를 주도했다”고 분석했다.

에이치아르	에이치아르/NNP
인사이트의	인사이트/NNP+의/JKG
오일선	오일선/NNP
편집장은	편집장/NNG+은/JX
“전체적으로	“/SS+전체/NNG+적/XSN+으로/JKB
보면	보/VV+면/EC
엘지	엘지/NNP
계열사들은	계열사/NNG+들/XSN+은/JX
고용	고용/NNG
확대에	확대/NNG+에/JKB
기여했고,	기여/NNG+하/XSV+았/EP+고/EC+,/SP
삼성	삼성/NNP
감소를	감소/NNG+를/JKO
주도했다”고	주도/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


