# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.251
metadata : {}


# id : NWRW1800000041.251.1.1
[비바 월드컵]어디를 가봐도… 진짜 ‘축구의 나라’ 맞더라

[비바	[/SS+비바/NNP
두려움에	두려움/NNG+에/JKB
몸이	몸/NNG+이/JKS
굳을	굳/VA+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.251.6.1
하지만 그토록 거리를 돌아다니지 말라고 신신당부를 할 만큼 위험한 곳은 아니었다.

하지만	하지만/MAJ
그토록	그토록/MAG
거리를	거리/NNG+를/JKO
돌아다니지	돌아다니/VV+지/EC
말라고	말/VX+라고/EC
신신당부를	신신당부/NNG+를/JKO
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
위험한	위험/NNG+하/XSA+ㄴ/ETM
곳은	곳/NNG+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000041.251.6.2
오히려 브라질 국민의 친절과 정직에 감탄할 때가 더 많았다.

오히려	오히려/MAG
브라질	브라질/NNP
국민의	국민/NNG+의/JKG
친절과	친절/NNG+과/JC
정직에	정직/NNG+에/JKB
감탄할	감탄/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKS
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.251.6.3
가방을 메고 대중교통을 이용할 때면 “소매치기 때문에 앞으로 메는 것이 좋다”며 조언을 해주거나, 길을 잘 몰라 헤맬 때 “안전한 길을 가르쳐 주겠다”며 20분간 함께 걸어주었던 브라질 사람들이 있었다.

가방을	가방/NNG+을/JKO
메고	메/VV+고/EC
대중교통을	대중교통/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
“소매치기	“/SS+소매치기/NNG
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
메는	메/VV+는/ETM
것이	것/NNB+이/JKS
좋다”며	좋/VA+다/EF+”/SS+며/EC
조언을	조언/NNG+을/JKO
해주거나,	하/VV+아/EC+주/VX+거나/EC+,/SP
길을	길/NNG+을/JKO
잘	잘/MAG
몰라	모르/VV+아/EC
헤맬	헤매/VV+ㄹ/ETM
때	때/NNG
“안전한	“/SS+안전/NNG+하/XSA+ㄴ/ETM
가르쳐	가르치/VV+어/EC
주겠다”며	주/VX+겠/EP+다/EF+”/SS+며/EC
20분간	20/SN+분/NNB+간/XSN
함께	함께/MAG
걸어주었던	걷/VV+어/EC+주/VX+었/EP+던/ETM
브라질	브라질/NNP
사람들이	사람/NNG+들/XSN+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.251.6.4
돈을 덜 거슬러주었다며 30m를 뛰어와 거스름돈을 쥐여 주던 택시기사도 있었다.

돈을	돈/NNG+을/JKO
덜	덜/MAG
거슬러주었다며	거스르/VV+어/EC+주/VX+었/EP+다며/EC
30m를	30/SN+m/SW+를/JKO
뛰어와	뛰어오/VV+아/EC
거스름돈을	거스름돈/NNG+을/JKO
쥐여	쥐이/VV+어/EC
주던	주/VX+던/ETM
택시기사도	택시/NNG+기사/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.251.7.1
두 번째, 브라질은 월드컵을 치르기에는 준비가 덜 되어 있다는 생각을 했었다.

두	두/MMN
번째,	번/NNB+째/XSN+,/SP
브라질은	브라질/NNP+은/JX
월드컵을	월드컵/NNG+을/JKO
치르기에는	치르/VV+기/ETN+에/JKB+는/JX
준비가	준비/NNG+가/JKS
덜	덜/MAG
되어	되/VV+어/EC
있다는	있/VX+다는/ETM
생각을	생각/NNG+을/JKO
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000041.251.7.2
개막식이 열리는 상파울루 경기장을 개막 이틀을 앞두고 찾았을 때만 해도 우려가 현실이 되는 듯했다.

개막식이	개막식/NNG+이/JKS
열리는	열리/VV+는/ETM
상파울루	상파울루/NNP
경기장을	경기장/NNG+을/JKO
개막	개막/NNG
이틀을	이틀/NNG+을/JKO
앞두고	앞두/VV+고/EC
찾았을	찾/VV+았/EP+을/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
우려가	우려/NNG+가/JKS
현실이	현실/NNG+이/JKC
되는	되/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.251.7.3
경기장과 주변은 공사장을 방불케 했다.

경기장과	경기장/NNG+과/JC
주변은	주변/NNG+은/JX
공사장을	공사장/NNG+을/JKO
방불케	방불하/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.251.7.4
그러나 월드컵이 시작된 뒤 경기는 물론이고 모든 것이 잘 돌아갔다.

그러나	그러나/MAJ
월드컵이	월드컵/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
경기는	경기/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
모든	모든/MMN
것이	것/NNB+이/JKS
잘	잘/MAG
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.251.7.5
우리는 ‘하면 된다’ 식이지만 그들은 ‘되면 한다’는 식이었을 뿐이다.

우리는	우리/NP+는/JX
‘하면	‘/SS+하/VV+면/EC
된다’	되/VV+ㄴ다/EF+’/SS
식이지만	식/NNB+이/VCP+지만/EC
그들은	그/NP+들/XSN+은/JX
‘되면	‘/SS+되/VV+면/EC
한다’는	하/VV+ㄴ다/EF+’/SS+는/ETM
식이었을	식/NNB+이/VCP+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.251.7.6
경기장에서 만난 외국 취재진들도 “다른 월드컵과 비교해도 불편함 없이 잘 진행됐다”고 입을 모았다.

경기장에서	경기장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
외국	외국/NNG
취재진들도	취재진/NNG+들/XSN+도/JX
“다른	“/SS+다른/MMD
월드컵과	월드컵/NNG+과/JKB
비교해도	비교/NNG+하/XSV+아도/EC
불편함	불편/NNG+하/XSA+ㅁ/ETN
없이	없이/MAG
잘	잘/MAG
진행됐다”고	진행/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.251.8.1
세 번째, ‘브라질 사람들은 정말 축구밖에 모를까’라는 생각을 했다.

세	세/MMN
번째,	번/NNB+째/XSN+,/SP
‘브라질	‘/SS+브라질/NNP
사람들은	사람/NNG+들/XSN+은/JX
정말	정말/MAG
축구밖에	축구/NNG+밖에/JX
모를까’라는	모르/VV+ㄹ까/EF+’/SS+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.251.8.2
그런데 현지에 와보니 브라질은 정말로 축구의 나라라는 생각을 갖게 됐다.

그런데	그런데/MAJ
현지에	현지/NNG+에/JKB
와보니	오/VV+아/EC+보/VX+니/EC
브라질은	브라질/NNP+은/JX
정말로	정말로/MAG
축구의	축구/NNG+의/JKG
나라라는	나라/NNG+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.251.8.3
2010년 남아프리카공화국 월드컵 취재를 할 때는 경기장을 벗어나면 이곳이 정말 월드컵이 열리는 나라인지 모를 때가 많았다.

2010년	2010/SN+년/NNB
남아프리카공화국	남아프리카공화국/NNP
월드컵	월드컵/NNG
취재를	취재/NNG+를/JKO
할	하/VV+ㄹ/ETM
때는	때/NNG+는/JX
경기장을	경기장/NNG+을/JKO
벗어나면	벗어나/VV+면/EC
이곳이	이곳/NP+이/JKS
정말	정말/MAG
월드컵이	월드컵/NNG+이/JKS
열리는	열리/VV+는/ETM
나라인지	나라/NNG+이/VCP+ㄴ지/EF
모를	모르/VV+ㄹ/ETM
때가	때/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.251.8.4
하지만 브라질은 달랐다.

하지만	하지만/MAJ
브라질은	브라질/NNP+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.251.8.5
시내 어느 곳을 다녀도 월드컵 열기를 느낄 수 있었다.

시내	시내/NNG
어느	어느/MMD
곳을	곳/NNG+을/JKO
다녀도	다니/VV+어도/EC
월드컵	월드컵/NNG
열기를	열기/NNG+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.251.8.6
노란색 브라질 유니폼은 물론이고 자신이 좋아하는 브라질 프로팀의 유니폼을 입고 다니는 사람들을 쉽게 찾아볼 수 있었다.

노란색	노란색/NNG
브라질	브라질/NNP
유니폼은	유니폼/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
자신이	자신/NNG+이/JKS
좋아하는	좋아하/VV+는/ETM
프로팀의	프로/NNG+팀/NNG+의/JKG
유니폼을	유니폼/NNG+을/JKO
입고	입/VV+고/EC
다니는	다니/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
쉽게	쉽/VA+게/EC
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.251.8.7
축구 이야기로 금세 친구가 될 수 있고 공만 있으면 어느 곳에서든 바로 편을 갈라 축구를 할 수 있는 곳이 브라질이었다.

축구	축구/NNG
이야기로	이야기/NNG+로/JKB
금세	금세/MAG
친구가	친구/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
공만	공/NNG+만/JX
있으면	있/VA+으면/EC
어느	어느/MMD
곳에서든	곳/NNG+에서/JKB+든/JX
바로	바로/MAG
편을	편/NNG+을/JKO
갈라	가르/VV+아/EC
축구를	축구/NNG+를/JKO
할	하/VV+ㄹ/ETM
있는	있/VA+는/ETM
곳이	곳/NNG+이/JKS
브라질이었다.	브라질/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.251.9.1
축구는 브라질 국민에게 태어날 때부터 갖는 신앙이나 마찬가지다.

축구는	축구/NNG+는/JX
브라질	브라질/NNP
국민에게	국민/NNG+에게/JKB
태어날	태어나/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
갖는	갖/VV+는/ETM
신앙이나	신앙/NNG+이나/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.251.9.2
축구를 통해 희망과 즐거움을 얻는다.

축구를	축구/NNG+를/JKO
통해	통하/VV+아/EC
희망과	희망/NNG+과/JC
즐거움을	즐거움/NNG+을/JKO
얻는다.	얻/VV+는다/EF+./SF


# id : NWRW1800000041.251.9.3
축구로 하나가 되고 함께 슬퍼하고 기뻐한다.

축구로	축구/NNG+로/JKB
하나가	하나/NR+가/JKC
되고	되/VV+고/EC
함께	함께/MAG
슬퍼하고	슬퍼하/VV+고/EC
기뻐한다.	기뻐하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.251.9.4
월드컵은 끝났지만 삶이 계속되듯 축구도 계속된다.

월드컵은	월드컵/NNG+은/JX
끝났지만	끝나/VV+았/EP+지만/EC
삶이	삶/NNG+이/JKS
계속되듯	계속/NNG+되/XSV+듯/EC
축구도	축구/NNG+도/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.251.9.5
브라질 월드컵이 어땠느냐고 묻는다면 그들이 하루에도 수십 번씩 하는 말을 해주고 싶다.

브라질	브라질/NNP
월드컵이	월드컵/NNG+이/JKS
어땠느냐고	어떻/VA+었/EP+느냐고/EC
묻는다면	묻/VV+는다면/EC
그들이	그/NP+들/XSN+이/JKS
하루에도	하루/NNG+에/JKB+도/JX
수십	수십/NR
번씩	번/NNB+씩/XSN
하는	하/VV+는/ETM
말을	말/NNG+을/JKO
해주고	하/VV+아/EC+주/VX+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000041.251.9.6
“따봉(포르투갈어로 ‘좋다’라는 뜻).”

“따봉(포르투갈어로	“/SS+따봉/NNG+(/SS+포르투갈어/NNP+로/JKB
‘좋다’라는	‘/SS+좋/VA+다/EF+’/SS+이/VCP+라는/ETM
뜻).”	뜻/NNG+)/SS+./SF+”/SS


