# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.213
metadata : {}


# id : NWRW1800000041.213.1.1
[단독]20차례 소환 불응… 檢 ‘박지원 딜레마’

[단독]20차례	[/SS+단독/NNG+]/SS+20/SN+차례/NNG
△불법자금이	△/SW+불법/NNG+자금/NNG+이/JKS
한나라당	한나라당/NNP
전당대회에	전당/NNG+대회/NNG+에/JKB
쓰였다고	쓰이/VV+었/EP+다고/EC
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
사건	사건/NNG
△부산저축은행	△/SW+부산저축은행/NNP
증자와	증자/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
의혹을	의혹/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
사건으로	사건/NNG+으로/JKB
고소를	고소/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.7.1
박 의원은 최근 “박 대통령의 비선라인인 ‘만만회(이재만 대통령총무비서관, 박 대통령의 동생인 박지만 씨, 박 대통령의 옛 보좌관 정윤회 씨)’가 청와대 인사에 개입한다”고 폭로했다가 보수단체로 고발당했으나 역시 출석을 거부했다.

박	박/NNP
의원은	의원/NNG+은/JX
최근	최근/MAG
“박	“/SS+박/NNP
대통령의	대통령/NNG+의/JKG
비선라인인	비선/NNG+라인/NNG+이/VCP+ㄴ/ETM
‘만만회(이재만	‘/SS+만만회/NNP+(/SS+이재만/NNP
대통령총무비서관,	대통령/NNG+총무/NNG+비서관/NNG+,/SP
동생인	동생/NNG+이/VCP+ㄴ/ETM
박지만	박지만/NNP
씨,	씨/NNB+,/SP
옛	옛/MMA
보좌관	보좌관/NNG
정윤회	정윤회/NNP
씨)’가	씨/NNB+)/SS+’/SS+가/JKS
청와대	청와대/NNP
인사에	인사/NNG+에/JKB
개입한다”고	개입/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
폭로했다가	폭로/NNG+하/XSV+았/EP+다가/EC
보수단체로	보수/NNG+단체/NNG+로/JKB
고발당했으나	고발/NNG+당하/XSV+았/EP+으나/EC
역시	역시/MAG
출석을	출석/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.8.1
검찰은 박 의원이 의혹을 제기해 상대편에 타격을 입히면서 정치적 이득을 챙긴 반면 문제의 발언에 따른 법적 책임을 지지 않는 행태가 반복되고 있다고 보고 사법 처리 시기와 수위를 고심하고 있는 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원이	의원/NNG+이/JKS
의혹을	의혹/NNG+을/JKO
제기해	제기/NNG+하/XSV+아/EC
상대편에	상대편/NNG+에/JKB
타격을	타격/NNG+을/JKO
입히면서	입히/VV+면서/EC
정치적	정치/NNG+적/XSN
이득을	이득/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
반면	반면/NNG
문제의	문제/NNG+의/JKG
발언에	발언/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
법적	법/NNG+적/XSN
책임을	책임/NNG+을/JKO
지지	지/VV+지/EC
않는	않/VX+는/ETM
행태가	행태/NNG+가/JKS
반복되고	반복/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
보고	보/VV+고/EC
사법	사법/NNG
처리	처리/NNG
시기와	시기/NNG+와/JC
수위를	수위/NNG+를/JKO
고심하고	고심/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


