# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.76
metadata : {}


# id : NWRW1800000022.76.1.1
[새 영화] 왓치맨;잘 만들어진 최악의 저질 영화?

[새	[/SS+새/MMA
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.76.5.1
'왓치맨'은 영화의 매체 특성을 만화와 혼동한 채 초고속으로 질주한 극단적 선례로 남을 것이다.

'왓치맨'은	'/SS+왓치맨/NNP+'/SS+은/JX
영화의	영화/NNG+의/JKG
매체	매체/NNG
특성을	특성/NNG+을/JKO
만화와	만화/NNG+와/JKB
혼동한	혼동/NNG+하/XSV+ㄴ/ETM
채	채/NNB
초고속으로	초/XPN+고속/NNG+으로/JKB
질주한	질주/NNG+하/XSV+ㄴ/ETM
극단적	극단/NNG+적/XSN
선례로	선례/NNG+로/JKB
남을	남/VV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.5.2
만화에서는 냉전 시대를 더 냉(冷)하게 쏘아보는 철학적 세계관을 엿볼 수 있었다.

만화에서는	만화/NNG+에서/JKB+는/JX
냉전	냉전/NNG
시대를	시대/NNG+를/JKO
더	더/MAG
냉(冷)하게	냉/NNG+(/SS+冷/SH+)/SS+하/XSV+게/EC
쏘아보는	쏘아보/VV+는/ETM
철학적	철학/NNG+적/XSN
세계관을	세계관/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.76.5.3
그러나 영화는 가볍고 천하며 볼썽사납다.

그러나	그러나/MAJ
영화는	영화/NNG+는/JX
가볍고	가볍/VA+고/EC
천하며	천하/VA+며/EC
볼썽사납다.	볼썽사납/VA+다/EF+./SF


# id : NWRW1800000022.76.6.1
이 영화는 '소리의 폭력성'을 공부하는 연구자들에게 좋은 텍스트다.

이	이/MMD
영화는	영화/NNG+는/JX
'소리의	'/SS+소리/NNG+의/JKG
폭력성'을	폭력/NNG+성/XSN+'/SS+을/JKO
공부하는	공부/NNG+하/XSV+는/ETM
연구자들에게	연구자/NNG+들/XSN+에게/JKB
좋은	좋/VA+은/ETM
텍스트다.	텍스트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.6.2
머리통을 벽에 짓찧거나 발로 걷어찰 때 나는 효과음은 점도(粘度)가 매우 높다.

머리통을	머리통/NNG+을/JKO
벽에	벽/NNG+에/JKB
짓찧거나	짓찧/VV+거나/EC
발로	발/NNG+로/JKB
걷어찰	걷어차/VV+ㄹ/ETM
때	때/NNG
나는	나/VV+는/ETM
효과음은	효과음/NNG+은/JX
점도(粘度)가	점도/NNG+(/SS+粘度/SH+)/SS+가/JKS
매우	매우/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000022.76.6.3
듣는 것만으로도 물 끼얹은 맨살에 가죽채찍을 맞는 듯 얼얼하다.

듣는	듣/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
물	물/NNG
끼얹은	끼얹/VV+은/ETM
맨살에	맨/XPN+살/NNG+에/JKB
가죽채찍을	가죽/NNG+채찍/NNG+을/JKO
맞는	맞/VV+는/ETM
듯	듯/NNB
얼얼하다.	얼얼하/VA+다/EF+./SF


# id : NWRW1800000022.76.7.1
감독은 암시나 상징 없이 모든 상황을 모두 묘사하며 폭력성을 극대화했다.

감독은	감독/NNG+은/JX
암시나	암시/NNG+나/JC
상징	상징/NNG
없이	없이/MAG
모든	모든/MMN
상황을	상황/NNG+을/JKO
모두	모두/MAG
묘사하며	묘사/NNG+하/XSV+며/EC
폭력성을	폭력/NNG+성/XSN+을/JKO
극대화했다.	극대/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.76.7.2
유괴된 여자아이가 괴한에게 난자(亂刺)당한 것을 암시한 바로 다음은, 놀랍게도 개 두 마리가 사람 다리를 물어뜯어 당기는 장면이었다.

유괴된	유괴/NNG+되/XSV+ㄴ/ETM
여자아이가	여자아이/NNG+가/JKS
괴한에게	괴한/NNG+에게/JKB
난자(亂刺)당한	난자/NNG+(/SS+亂刺/SH+)/SS+당하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
암시한	암시/NNG+하/XSV+ㄴ/ETM
바로	바로/MAG
다음은,	다음/NNG+은/JX+,/SP
놀랍게도	놀랍/VA+게/EC+도/JX
개	개/NNG
두	두/MMN
마리가	마리/NNB+가/JKS
사람	사람/NNG
다리를	다리/NNG+를/JKO
물어뜯어	물어뜯/VV+어/EC
당기는	당기/VV+는/ETM
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.76.7.3
희생을 이렇게 묘사한 감독이 선택한 복수 장면이 어떨지는 상상에 맡긴다.

희생을	희생/NNG+을/JKO
이렇게	이렇/VA+게/EC
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
감독이	감독/NNG+이/JKS
선택한	선택/NNG+하/XSV+ㄴ/ETM
복수	복수/NNG
장면이	장면/NNG+이/JKS
어떨지는	어떻/VA+ㄹ지/EF+는/JX
상상에	상상/NNG+에/JKB
맡긴다.	맡기/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.76.8.1
잭 스나이더 감독은 CF 작품들로 유수 광고제에서 상을 여럿 탄 사람이다.

잭	잭/NNP
스나이더	스나이더/NNP
감독은	감독/NNG+은/JX
CF	CF/SL
작품들로	작품/NNG+들/XSN+로/JKB
유수	유수/NNG
광고제에서	광고제/NNG+에서/JKB
상을	상/NNG+을/JKO
여럿	여럿/NNG
탄	타/VV+ㄴ/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.8.2
그는 미국 수정헌법 제1조가 보장하는 표현의 자유를 누리기보다, 돈줄 쥔 광고주의 통제를 받는 것이 모두에게 좋을 것 같다.

그는	그/NP+는/JX
미국	미국/NNP
수정헌법	수정/NNG+헌법/NNG
제1조가	제/XPN+1/SN+조/NNB+가/JKS
보장하는	보장/NNG+하/XSV+는/ETM
표현의	표현/NNG+의/JKG
자유를	자유/NNG+를/JKO
누리기보다,	누리/VV+기/ETN+보다/JKB+,/SP
돈줄	돈줄/NNG
쥔	쥐/VV+ㄴ/ETM
광고주의	광고주/NNG+의/JKG
통제를	통제/NNG+를/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
모두에게	모두/NNG+에게/JKB
좋을	좋/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


