# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.320
metadata : {}


# id : NWRW1800000030.320.1.1
김민영씨 소장 보물 가격은… 8건 추정價만 최소 26억원… 월인석보는 '無價之寶(값을 매길 수 없는 보물)'

김민영씨	김민영/NNP+씨/NNB
"불교	"/SS+불교/NNG
관련	관련/NNG
문헌의	문헌/NNG+의/JKG
경우	경우/NNG
연대,	연대/NNG+,/SP
보존상태,	보존/NNG+상태/NNG+,/SP
해석을	해석/NNG+을/JKO
덧붙인	덧붙이/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
누구인지에	누구/NP+이/VCP+ㄴ지/EF+에/JKB
따라	따르/VV+아/EC
가격이	가격/NNG+이/JKS
천차만별"이라고	천차만별/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.320.7.3
총 18건 중 그나마 가격을 추산할 수 있는 것이 '월인석보', '하피첩', 언해본인 '대불정여래밀인수증요의제보살만행수능엄경'·'몽산화상법어략록'·'선종영가집'·'선종영가집' 권하, 서예가의 작품인 '김현성 필적'·'이한진 전예 경산전팔쌍절첩' 등 8건이다.

총	총/MMA
18건	18/SN+건/NNB
중	중/NNB
그나마	그나마/MAG
가격을	가격/NNG+을/JKO
추산할	추산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
것이	것/NNB+이/JKS
'월인석보',	'/SS+월인석보/NNG+'/SS+,/SP
'하피첩',	'/SS+하피첩/NNG+'/SS+,/SP
언해본인	언해본/NNG+이/VCP+ㄴ/ETM
'대불정여래밀인수증요의제보살만행수능엄경'·'몽산화상법어략록'·'선종영가집'·'선종영가집'	'/SS+대불정여래밀인수증요의제보살만행수능엄경/NNP+'/SS+·/SP+'/SS+몽산화상법어략록/NNP+'/SS+·/SP+'/SS+선종영가집/NNP+'/SS+·/SP+'/SS+선종영가집/NNP+'/SS
권하,	권/NNB+하/NNG+,/SP
서예가의	서예가/NNG+의/JKG
작품인	작품/NNG+이/VCP+ㄴ/ETM
'김현성	'/SS+김현성/NNP
필적'·'이한진	필적/NNG+'/SS+·/SP+'/SS+이한진/NNP
전예	전예/NNG
경산전팔쌍절첩'	경산전팔쌍절첩/NNG+'/SS
등	등/NNB
8건이다.	8/SN+건/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.320.7.4
이들 작품의 총액은 최저 26억4000만원가량.

이들	이/NP+들/XSN
작품의	작품/NNG+의/JKG
총액은	총액/NNG+은/JX
최저	최저/NNG
26억4000만원가량.	26/SN+억/NR+4000/SN+만/NR+원/NNB+가량/XSN+./SF


# id : NWRW1800000030.320.7.5
최고액은 산정 불가능하다.

최고액은	최고액/NNG+은/JX
산정	산정/NNG
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.320.7.6
'월인석보'의 값을 매길 수 없기 때문이다.

'월인석보'의	'/SS+월인석보/NNG+'/SS+의/JKG
값을	값/NNG+을/JKO
매길	매기/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.320.7.7
이 때문에 김민영씨가 지난 3월 22일 18건을 심씨에게 10억원에 매도했다는 것은 터무니없다는 게 전문가들의 지적이다.

이	이/MMD
때문에	때문/NNB+에/JKB
김민영씨가	김민영/NNP+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
22일	22/SN+일/NNB
18건을	18/SN+건/NNB+을/JKO
심씨에게	심/NNP+씨/NNB+에게/JKB
10억원에	10/SN+억/NR+원/NNB+에/JKB
매도했다는	매도/NNG+하/XSV+았/EP+다는/ETM
것은	것/NNB+은/JX
터무니없다는	터무니없/VA+다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF


