# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.410
metadata : {}


# id : NWRW1800000046.410.1.1
野, 상가 임차 보호기간 5년서 10년으로 연장 요구

野,	野/SH+,/SP
폭등할	폭등/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
부작용을	부작용/NNG+을/JKO
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.6.2
건물주들이 '10년'의 불확실성을 보상받기 위해 임대 가격을 올림으로써 일반 자영업자들이 피해를 볼 수 있다는 것이다.

건물주들이	건물주/NNG+들/XSN+이/JKS
'10년'의	'/SS+10/SN+년/NNB+'/SS+의/JKG
불확실성을	불확실/NNG+성/XSN+을/JKO
보상받기	보상/NNG+받/XSV+기/ETN
위해	위하/VV+아/EC
임대	임대/NNG
가격을	가격/NNG+을/JKO
올림으로써	올리/VV+ㅁ/ETN+으로써/JKB
일반	일반/NNG
자영업자들이	자영업자/NNG+들/XSN+이/JKS
피해를	피해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.410.7.1
심교언 건국대 부동산학과 교수는 "서울 명동이나 강남같이 잘 되는 상가들은 가격이 뛰어 초토화될 것"이라고 했다.

심교언	심교언/NNP
건국대	건국대/NNP
부동산학과	부동산학과/NNG
교수는	교수/NNG+는/JX
"서울	"/SS+서울/NNP
명동이나	명동/NNP+이나/JC
강남같이	강남/NNP+같이/JKB
잘	잘/MAG
되는	되/VV+는/ETM
상가들은	상가/NNG+들/XSN+은/JX
가격이	가격/NNG+이/JKS
뛰어	뛰/VV+어/EC
초토화될	초토/NNG+화/XSN+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.7.2
고종완 한국자산관리연구원장은 "상가 매물이 급감할 가능성이 클 뿐 아니라 규제를 피해 '이중가격'이 형성되는 등 시장이 혼란에 빠질 우려가 있다"고 했다.

고종완	고종완/NNP
한국자산관리연구원장은	한국자산관리연구원장/NNG+은/JX
"상가	"/SS+상가/NNG
매물이	매물/NNG+이/JKS
급감할	급감/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
클	크/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
규제를	규제/NNG+를/JKO
피해	피하/VV+아/EC
'이중가격'이	'/SS+이중/NNG+가격/NNG+'/SS+이/JKS
형성되는	형성/NNG+되/XSV+는/ETM
등	등/NNB
시장이	시장/NNG+이/JKS
혼란에	혼란/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


