# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.321
metadata : {}


# id : NWRW1800000030.321.1.1
정몽준·김문수 '反朴 연대' 움직임

정몽준·김문수	정몽준/NNP+·/SP+김문수/NNP
"당헌을	"/SS+당헌/NNG+을/JKO
고쳐	고치/VV+어/EC
7월	7/SN+월/NNB
전당대회에	전당/NNG+대회/NNG+에/JKB
대선주자들이	대선/NNG+주자/NNG+들/XSN+이/JKS
나서자"고	나서/VV+자/EF+"/SS+고/JKQ
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
김문수	김문수/NNP
경기지사의	경기/NNP+지사/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
"연대까지는	"/SS+연대/NNG+까지/JX+는/JX
아니지만	아니/VCN+지만/EC
비슷한	비슷하/VA+ㄴ/ETM
뜻을	뜻/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
'가치'를	'/SS+가치/NNG+'/SS+를/JKO
중심으로	중심/NNG+으로/JKB
뭉칠	뭉치/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.321.5.1
친이계의 장제원 의원은 트위터에 올린 글에서 "(박 전 대표를 비공개로 만난 뒤 그 뜻을 전한) 황 원내대표의 행동은 비대위를 완전히 무력화시키는 행동"이라며 "(박 전 대표와의 회동으로) 당론이 정해졌으니 비대위를 해체하라"고 했다.

친이계의	친/XPN+이/NNP+계/XSN+의/JKG
장제원	장제원/NNP
의원은	의원/NNG+은/JX
트위터에	트위터/NNP+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
"(박	"/SS+(/SS+박/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
비공개로	비/XPN+공개/NNG+로/JKB
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
뜻을	뜻/NNG+을/JKO
전한)	전하/VV+ㄴ/ETM+)/SS
황	황/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
행동은	행동/NNG+은/JX
비대위를	비대위/NNG+를/JKO
완전히	완전히/MAG
무력화시키는	무력/NNG+화/XSN+시키/XSV+는/ETM
행동"이라며	행동/NNG+"/SS+이/VCP+라며/EC
대표와의	대표/NNG+와/JKB+의/JKG
회동으로)	회동/NNG+으로/JKB+)/SS
당론이	당론/NNG+이/JKS
정해졌으니	정하/VV+아/EC+지/VX+었/EP+으니/EC
해체하라"고	해체/NNG+하/XSV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.321.5.2
신지호 의원은 당 홈페이지에 올린 글에서 "현재 진행 중인 논의가 어제 두 사람의 회동으로 의미를 상실할 판"이라며 "이는 민주적 의사결정이 아니다"고 했다.

신지호	신지호/NNP
의원은	의원/NNG+은/JX
당	당/NNG
홈페이지에	홈페이지/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
"현재	"/SS+현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
논의가	논의/NNG+가/JKS
어제	어제/MAG
두	두/MMN
사람의	사람/NNG+의/JKG
회동으로	회동/NNG+으로/JKB
의미를	의미/NNG+를/JKO
상실할	상실/NNG+하/XSV+ㄹ/ETM
판"이라며	판/NNB+"/SS+이/VCP+라며/EC
"이는	"/SS+이/NP+는/JX
민주적	민주/NNG+적/XSN
의사결정이	의사/NNG+결정/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.321.6.1
이에 대해 이정현 의원은 "현행 당권·대권 분리 규정은 9개월 동안 57차례의 회의를 거쳐 만들어진 것이고 이 규정으로 각종 선거에서 이기고 정권 교체까지 했다"며 "지금 한나라당의 문제가 과연 당헌·당규 때문이냐"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
이정현	이정현/NNP
의원은	의원/NNG+은/JX
"현행	"/SS+현행/NNG
당권·대권	당권/NNG+·/SP+대권/NNG
분리	분리/NNG
규정은	규정/NNG+은/JX
9개월	9/SN+개월/NNB
동안	동안/NNG
57차례의	57/SN+차례/NNG+의/JKG
회의를	회의/NNG+를/JKO
거쳐	거치/VV+어/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
것이고	것/NNB+이/VCP+고/EC
이	이/MMD
규정으로	규정/NNG+으로/JKB
각종	각종/NNG
선거에서	선거/NNG+에서/JKB
이기고	이기/VV+고/EC
정권	정권/NNG
교체까지	교체/NNG+까지/JX
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"지금	"/SS+지금/MAG
한나라당의	한나라당/NNP+의/JKG
문제가	문제/NNG+가/JKS
과연	과연/MAG
당헌·당규	당헌/NNG+·/SP+당규/NNG
때문이냐"고	때문/NNB+이/VCP+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


