# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.172
metadata : {}


# id : NWRW1800000049.172.1.1
“접근하면 처벌”… 경찰, 데이트폭력男에 직접 경고

“접근하면	“/SS+접근/NNG+하/XSV+면/EC
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
신고할	신고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.172.7.3
경찰은 신고를 받으면 일단 피해자 신변보호가 필요한지 검토한 뒤 가해자의 추가 폭력을 막아야 한다고 판단되면 피해자 가정에 폐쇄회로(CC)TV를 설치하거나 웨어러블 긴급 호출기를 지원한다.

경찰은	경찰/NNG+은/JX
신고를	신고/NNG+를/JKO
받으면	받/VV+으면/EC
일단	일단/MAG
피해자	피해자/NNG
신변보호가	신변/NNG+보호/NNG+가/JKS
필요한지	필요/NNG+하/XSA+ㄴ지/EF
검토한	검토/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
가해자의	가해자/NNG+의/JKG
추가	추가/NNG
폭력을	폭력/NNG+을/JKO
막아야	막/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
판단되면	판단/NNG+되/XSV+면/EC
가정에	가정/NNG+에/JKB
폐쇄회로(CC)TV를	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+를/JKO
설치하거나	설치/NNG+하/XSV+거나/EC
웨어러블	웨어러블/NNG
긴급	긴급/NNG
호출기를	호출기/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.172.7.4
강신명 경찰청장은 1일 기자간담회에서 “영국의 ‘클레어법’처럼 상대방의 가정폭력 범죄 경력을 조회할 수 있는 제도적인 방안을 강구하겠다”고 말하기도 했다.

강신명	강신명/NNP
경찰청장은	경찰청장/NNG+은/JX
1일	1/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“영국의	“/SS+영국/NNP+의/JKG
‘클레어법’처럼	‘/SS+클레어/NNP+법/NNG+’/SS+처럼/JKB
상대방의	상대방/NNG+의/JKG
가정폭력	가정/NNG+폭력/NNG
범죄	범죄/NNG
경력을	경력/NNG+을/JKO
조회할	조회/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도적인	제도/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
강구하겠다”고	강구/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.172.8.1
데이트 폭력 상담 전문가들은 “초기 대응이 가장 중요하다”며 신고의 중요성을 강조한다.

데이트	데이트/NNG
폭력	폭력/NNG
상담	상담/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“초기	“/SS+초기/NNG
대응이	대응/NNG+이/JKS
가장	가장/MAG
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
신고의	신고/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.172.8.2
이화영 전 한국여성의전화 성폭력상담소장이 지난해 발표한 ‘데이트 폭력을 경험한 여성의 관계 중단 과정에 대한 연구’에 따르면 대다수 피해 여성은 만난 지 한 달 만에 폭력을 경험했다.

이화영	이화영/NNP
전	전/MMD
한국여성의전화	한국여성의전화/NNP
성폭력상담소장이	성폭력/NNG+상담소장/NNG+이/JKS
지난해	지난해/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘데이트	‘/SS+데이트/NNG
폭력을	폭력/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
여성의	여성/NNG+의/JKG
관계	관계/NNG
중단	중단/NNG
과정에	과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구’에	연구/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
대다수	대/XPN+다수/NNG
피해	피해/NNG
여성은	여성/NNG+은/JX
만난	만나/VV+ㄴ/ETM
지	지/NNB
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
경험했다.	경험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.8.3
특히 성관계 동영상을 찍자는 남성을 조심해야 한다.

특히	특히/MAG
성관계	성관계/NNG
동영상을	동영상/NNG+을/JKO
찍자는	찍/VV+자는/ETM
남성을	남성/NNG+을/JKO
조심해야	조심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.172.8.4
상당수 가해 남성은 여자 친구의 나체 사진이나 동영상을 이용해 경찰이나 주변에 알리지 못하도록 협박했다.

상당수	상당수/NNG
가해	가해/NNG
남성은	남성/NNG+은/JX
여자	여자/NNG
친구의	친구/NNG+의/JKG
나체	나체/NNG
사진이나	사진/NNG+이나/JC
동영상을	동영상/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
경찰이나	경찰/NNG+이나/JC
주변에	주변/NNG+에/JKB
알리지	알리/VV+지/EC
못하도록	못하/VX+도록/EC
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.8.5
‘사랑하기 때문에 용서해야 한다’는 생각은 금물이다.

‘사랑하기	‘/SS+사랑/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
용서해야	용서/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
생각은	생각/NNG+은/JX
금물이다.	금물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.172.8.6
연인에게 폭력을 행사한 남성이 사과하는 방식은 보통 울기, 빌기, 무릎 꿇기다.

연인에게	연인/NNG+에게/JKB
폭력을	폭력/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
남성이	남성/NNG+이/JKS
사과하는	사과/NNG+하/XSV+는/ETM
방식은	방식/NNG+은/JX
보통	보통/MAG
울기,	울/VV+기/ETN+,/SP
빌기,	빌/VV+기/ETN+,/SP
무릎	무릎/NNG
꿇기다.	꿇/VV+기/ETN+이/VCP+다/EF+./SF


# id : NWRW1800000049.172.8.7
이 전 소장은 “폭력적인 남성의 행동에서 보지 못했던 모습이기 때문에 여성들은 이를 진심 어린 반성으로 인식하는 경향이 있다”며 “폭력행위는 결코 낭만이 될 수 없다”고 강조했다.

이	이/NNP
전	전/MMD
소장은	소장/NNG+은/JX
“폭력적인	“/SS+폭력/NNG+적/XSN+이/VCP+ㄴ/ETM
남성의	남성/NNG+의/JKG
행동에서	행동/NNG+에서/JKB
보지	보/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
모습이기	모습/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
여성들은	여성/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
진심	진심/NNG
어린	어리/VV+ㄴ/ETM
반성으로	반성/NNG+으로/JKB
인식하는	인식/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“폭력행위는	“/SS+폭력/NNG+행위/NNG+는/JX
결코	결코/MAG
낭만이	낭만/NNG+이/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


