# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.107
metadata : {}


# id : NWRW1800000030.107.1.1
매킬로이처럼 치고 싶나요?

매킬로이처럼	매킬로이/NNP+처럼/JKB
스콧(호주)을	스콧/NNP+(/SS+호주/NNP+)/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
정상급	정상급/NNG
골퍼들이	골퍼/NNG+들/XSN+이/JKS
이곳에서	이곳/NP+에서/JKB
정기적으로	정기/NNG+적/XSN+으로/JKB
몸과	몸/NNG+과/JC
스윙을	스윙/NNG+을/JKO
점검하는	점검/NNG+하/XSV+는/ETM
고객들이다.	고객/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.107.5.1
로즈 박사와 필립스는 지난 주말 경기도 분당에서 열린 TPI 세미나를 위해 방한했다.

로즈	로즈/NNP
박사와	박사/NNG+와/JC
필립스는	필립스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
경기도	경기도/NNP
분당에서	분당/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
TPI	TPI/SL
세미나를	세미나/NNG+를/JKO
위해	위하/VV+아/EC
방한했다.	방한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.5.2
이들이 세미나 내내 강조한 것은 '몸과 스윙과 클럽의 삼위일체'였다.

이들이	이/NP+들/XSN+이/JKS
세미나	세미나/NNG
내내	내내/MAG
강조한	강조/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
'몸과	'/SS+몸/NNG+과/JC
스윙과	스윙/NNG+과/JC
클럽의	클럽/NNG+의/JKG
삼위일체'였다.	삼위일체/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.107.5.3
그중에서도 몸이 골퍼의 '최종 병기'라고 강조했다.

그중에서도	그중/NNG+에서/JKB+도/JX
몸이	몸/NNG+이/JKS
골퍼의	골퍼/NNG+의/JKG
'최종	'/SS+최종/NNG
병기'라고	병기/NNG+'/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.6.1
완벽해 보이는 스윙 자세와 최첨단 기술이 적용된 클럽을 들고 다녀도 먼저 몸을 만들지 않으면 무용지물이라는 설명이다.

완벽해	완벽/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
스윙	스윙/NNG
자세와	자세/NNG+와/JC
최첨단	최/XPN+첨단/NNG
기술이	기술/NNG+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
클럽을	클럽/NNG+을/JKO
들고	들/VV+고/EC
다녀도	다니/VV+어도/EC
먼저	먼저/MAG
몸을	몸/NNG+을/JKO
만들지	만들/VV+지/EC
않으면	않/VX+으면/EC
무용지물이라는	무용지물/NNG+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.107.6.2
로즈 박사는 "우즈나 매킬로이의 스윙을 따라 하고 싶은 아마추어 골퍼가 있다면 먼저 우즈나 매킬로이 같은 몸을 만들어야 한다"고 말했다.

로즈	로즈/NNP
박사는	박사/NNG+는/JX
"우즈나	"/SS+우즈/NNP+나/JC
매킬로이의	매킬로이/NNP+의/JKG
스윙을	스윙/NNG+을/JKO
따라	따르/VV+아/EC
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
아마추어	아마추어/NNG
골퍼가	골퍼/NNG+가/JKS
있다면	있/VA+다면/EC
먼저	먼저/MAG
우즈나	우즈/NNP+나/JC
매킬로이	매킬로이/NNP
같은	같/VA+은/ETM
몸을	몸/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.7.1
그럼 평범한 체격의 매킬로이(178cm·73kg)가 310야드에 이르는 장타를 치고, 청야니가 남자 못지않은 파워를 낼 수 있는 비결은 무엇일까?

그럼	그럼/MAJ
평범한	평범하/VA+ㄴ/ETM
체격의	체격/NNG+의/JKG
매킬로이(178cm·73kg)가	매킬로이/NNP+(/SS+178/SN+cm/SW+·/SP+73/SN+kg/SW+)/SS+가/JKS
310야드에	310/SN+야드/NNB+에/JKB
이르는	이르/VV+는/ETM
장타를	장타/NNG+를/JKO
치고,	치/VV+고/EC+,/SP
청야니가	청야니/NNP+가/JKS
남자	남자/NNG
못지않은	못지않/VA+은/ETM
파워를	파워/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비결은	비결/NNG+은/JX
무엇일까?	무엇/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000030.107.7.2
로즈 박사는 "매킬로이의 골반 회전 속도는 PGA투어 선수 평균의 1.5배나 된다"며 "2년 전부터 허리 근육을 강화하는 트레이닝을 꾸준히 해 부상을 예방하고 있다"고 말했다.

로즈	로즈/NNP
박사는	박사/NNG+는/JX
"매킬로이의	"/SS+매킬로이/NNP+의/JKG
골반	골반/NNG
회전	회전/NNG
속도는	속도/NNG+는/JX
PGA투어	PGA/SL+투어/NNG
선수	선수/NNG
평균의	평균/NNG+의/JKG
1.5배나	1/SN+./SP+5/SN+배/NNG+나/JX
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"2년	"/SS+2/SN+년/NNB
전부터	전/NNG+부터/JX
허리	허리/NNG
근육을	근육/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
트레이닝을	트레이닝/NNG+을/JKO
꾸준히	꾸준히/MAG
해	하/VV+아/EC
부상을	부상/NNG+을/JKO
예방하고	예방/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.8.1
5년 전 청야니가 처음 TPI를 찾았을 땐 몸의 균형이 가장 많이 깨져 있는 선수였다고 한다.

5년	5/SN+년/NNB
전	전/NNG
청야니가	청야니/NNP+가/JKS
처음	처음/NNG
TPI를	TPI/SL+를/JKO
찾았을	찾/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
몸의	몸/NNG+의/JKG
균형이	균형/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
깨져	깨지/VV+어/EC
있는	있/VX+는/ETM
선수였다고	선수/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.107.8.2
로즈 박사는 "청야니는 트레이닝을 시작한 지 18개월 만에 진짜 운동선수 같은 몸을 갖게 됐다"며 "세계 최고가 되겠다는 의지가 대단하고 겁이 없는 성격을 지니고 있다"고 했다.

로즈	로즈/NNP
박사는	박사/NNG+는/JX
"청야니는	"/SS+청야니/NNP+는/JX
트레이닝을	트레이닝/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
18개월	18/SN+개월/NNB
만에	만/NNB+에/JKB
진짜	진짜/NNG
운동선수	운동선수/NNG
같은	같/VA+은/ETM
몸을	몸/NNG+을/JKO
갖게	갖/VV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"세계	"/SS+세계/NNG
최고가	최고/NNG+가/JKC
되겠다는	되/VV+겠/EP+다는/ETM
의지가	의지/NNG+가/JKS
대단하고	대단하/VA+고/EC
겁이	겁/NNG+이/JKS
없는	없/VA+는/ETM
성격을	성격/NNG+을/JKO
지니고	지니/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.9.1
이들은 우즈의 부진을 어떻게 보고 있을까.

이들은	이/NP+들/XSN+은/JX
우즈의	우즈/NNP+의/JKG
부진을	부진/NNG+을/JKO
어떻게	어떻/VA+게/EC
보고	보/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000030.107.9.2
미국 골프 채널에서 해설도 하고 있는 필립스는 "전성기 시절의 퍼팅 감각을 찾지 못하는 게 가장 큰 원인"이라며 "퍼팅에서 자신감을 잃으면 게임 전체가 무너지는 게 골프"라고 말했다.

미국	미국/NNP
골프	골프/NNG
채널에서	채널/NNG+에서/JKB
해설도	해설/NNG+도/JX
하고	하/VV+고/EC
있는	있/VX+는/ETM
필립스는	필립스/NNP+는/JX
"전성기	"/SS+전성기/NNG
시절의	시절/NNG+의/JKG
퍼팅	퍼팅/NNG
감각을	감각/NNG+을/JKO
찾지	찾/VV+지/EC
못하는	못하/VX+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인"이라며	원인/NNG+"/SS+이/VCP+라며/EC
"퍼팅에서	"/SS+퍼팅/NNG+에서/JKB
자신감을	자신감/NNG+을/JKO
잃으면	잃/VV+으면/EC
게임	게임/NNG
전체가	전체/NNG+가/JKS
무너지는	무너지/VV+는/ETM
골프"라고	골프/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.10.1
한국 주말 골퍼들을 위한 조언을 부탁했다.

한국	한국/NNP
주말	주말/NNG
골퍼들을	골퍼/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
조언을	조언/NNG+을/JKO
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.10.2
필립스는 "딱딱한 매트 위에서 오랫동안 공을 치면 오히려 몸을 망가뜨리기 쉽다"며 "골프 스트레칭에 하루 20분씩 투자하고, 퍼팅 연습을 많이 하는 게 스코어를 줄이는 지름길"이라고 말했다.

필립스는	필립스/NNP+는/JX
"딱딱한	"/SS+딱딱하/VA+ㄴ/ETM
매트	매트/NNG
위에서	위/NNG+에서/JKB
오랫동안	오랫동안/NNG
공을	공/NNG+을/JKO
치면	치/VV+면/EC
오히려	오히려/MAG
몸을	몸/NNG+을/JKO
망가뜨리기	망가뜨리/VV+기/ETN
쉽다"며	쉽/VA+다/EF+"/SS+며/EC
"골프	"/SS+골프/NNG
스트레칭에	스트레칭/NNG+에/JKB
하루	하루/NNG
20분씩	20/SN+분/NNB+씩/XSN
투자하고,	투자/NNG+하/XSV+고/EC+,/SP
퍼팅	퍼팅/NNG
연습을	연습/NNG+을/JKO
많이	많이/MAG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
스코어를	스코어/NNG+를/JKO
줄이는	줄이/VV+는/ETM
지름길"이라고	지름길/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.107.11.1
로즈 박사는 "무리한 거리 욕심을 내지 말고 자기 몸에 가장 효율적인 스윙을 하겠다는 목표를 세우라"고 했다.

로즈	로즈/NNP
박사는	박사/NNG+는/JX
"무리한	"/SS+무리/NNG+하/XSA+ㄴ/ETM
거리	거리/NNG
욕심을	욕심/NNG+을/JKO
내지	내/VV+지/EC
말고	말/VX+고/EC
자기	자기/NNG
몸에	몸/NNG+에/JKB
가장	가장/MAG
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
스윙을	스윙/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
목표를	목표/NNG+를/JKO
세우라"고	세우/VV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


