# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.49
metadata : {}


# id : NWRW1800000049.49.1.1
“北, 반세기 동안 中원조 받고도… 배은망덕 용납못해”

“北,	“/SS+北/SH+,/SP
중국의 대북 영향력에 대해선 “북한이 과거 중국의 반응을 염려하곤 했지만 이제는 우리의 요구를 수용하지 않아 영향력이 감소하고 있는 것 같다”며 “이런 북한을 바꿀 수 있는 열쇠는 미국의 손안에 있고 중국의 손에는 없다”고 했다.

중국의	중국/NNP+의/JKG
대북	대북/NNG
영향력에	영향력/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“북한이	“/SS+북한/NNP+이/JKS
과거	과거/NNG
반응을	반응/NNG+을/JKO
염려하곤	염려/NNG+하/XSV+곤/EC
했지만	하/VX+았/EP+지만/EC
이제는	이제/NNG+는/JX
우리의	우리/NP+의/JKG
요구를	요구/NNG+를/JKO
수용하지	수용/NNG+하/XSV+지/EC
않아	않/VX+아/EC
영향력이	영향력/NNG+이/JKS
감소하고	감소/NNG+하/XSV+고/EC
있는	있/VA+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
북한을	북한/NNP+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
열쇠는	열쇠/NNG+는/JX
미국의	미국/NNP+의/JKG
손안에	손안/NNG+에/JKB
있고	있/VA+고/EC
손에는	손/NNG+에/JKB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.5.2
그 이유에 대해 차오 소장은 “이번 북핵 파동의 근저에는 미국이 북핵 문제를 근본적으로 해결하려 하지 않고 오히려 긴장 국면을 이용하려는 태도를 갖고 있기 때문”이라며 ‘미국 책임론’을 폈다.

그	그/MMD
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
차오	차오/NNP
소장은	소장/NNG+은/JX
“이번	“/SS+이번/NNG
북핵	북핵/NNG
파동의	파동/NNG+의/JKG
근저에는	근저/NNG+에/JKB+는/JX
미국이	미국/NNP+이/JKS
문제를	문제/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결하려	해결/NNG+하/XSV+려/EC
하지	하/VX+지/EC
않고	않/VX+고/EC
오히려	오히려/MAG
긴장	긴장/NNG
국면을	국면/NNG+을/JKO
이용하려는	이용/NNG+하/XSV+려는/ETM
태도를	태도/NNG+를/JKO
갖고	갖/VV+고/EC
있기	있/VX+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
‘미국	‘/SS+미국/NNP
책임론’을	책임/NNG+론/XSN+’/SS+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.49.5.3
이어 “미국이 북한이 바라는 체제 안전을 보장해 (북한이 핵을 포기함으로써) 북핵 사태가 해결되고, 궁극적으로 한반도가 통일되면 미군은 한반도, 나아가 일본에서 물러나게 될 수도 있다”며 “미국은 이런 상황을 바라지 않는다”고 주장했다.

이어	이어/MAG
“미국이	“/SS+미국/NNP+이/JKS
북한이	북한/NNP+이/JKS
바라는	바라/VV+는/ETM
체제	체제/NNG
안전을	안전/NNG+을/JKO
보장해	보장/NNG+하/XSV+아/EC
(북한이	(/SS+북한/NNP+이/JKS
핵을	핵/NNG+을/JKO
포기함으로써)	포기/NNG+하/XSV+ㅁ/ETN+으로써/JKB+)/SS
북핵	북핵/NNG
사태가	사태/NNG+가/JKS
해결되고,	해결/NNG+되/XSV+고/EC+,/SP
궁극적으로	궁극/NNG+적/XSN+으로/JKB
한반도가	한반도/NNP+가/JKS
통일되면	통일/NNG+되/XSV+면/EC
미군은	미군/NNG+은/JX
한반도,	한반도/NNP+,/SP
나아가	나아가/VV+아/EC
일본에서	일본/NNP+에서/JKB
물러나게	물러나/VV+게/EC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“미국은	“/SS+미국/NNP+은/JX
이런	이런/MMD
상황을	상황/NNG+을/JKO
바라지	바라/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.6.1
차오 소장은 한반도에서 북핵 문제가 지속된다면 한국은 더욱 미국에 의존하게 돼 사드를 배치하라는 미국의 요구를 수용할 수밖에 없을 것이라고 전망했다.

차오	차오/NNP
소장은	소장/NNG+은/JX
한반도에서	한반도/NNP+에서/JKB
북핵	북핵/NNG
문제가	문제/NNG+가/JKS
지속된다면	지속/NNG+되/XSV+ㄴ다면/EC
한국은	한국/NNP+은/JX
더욱	더욱/MAG
미국에	미국/NNP+에/JKB
의존하게	의존/NNG+하/XSV+게/EC
돼	되/VV+어/EC
사드를	사드/NNG+를/JKO
배치하라는	배치/NNG+하/XSV+라는/ETM
미국의	미국/NNP+의/JKG
요구를	요구/NNG+를/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.6.2
그는 중국이 사드 배치를 반대하고 있음을 상기시킨 뒤 “한국 경제는 중국과 떨어져서 독자적으로 발전하기는 어려운 상황이므로 한국은 ‘안보(사드 배치)와 경제 발전(사드 포기로 중국과 협력)’ 중 하나를 선택해야 하는 상황에 직면하게 될 수도 있다”고 압박했다.

그는	그/NP+는/JX
중국이	중국/NNP+이/JKS
사드	사드/NNG
배치를	배치/NNG+를/JKO
반대하고	반대/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
상기시킨	상기/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
“한국	“/SS+한국/NNP
경제는	경제/NNG+는/JX
중국과	중국/NNP+과/JKB
떨어져서	떨어지/VV+어서/EC
독자적으로	독자/NNG+적/XSN+으로/JKB
발전하기는	발전/NNG+하/XSV+기/ETN+는/JX
어려운	어렵/VA+ㄴ/ETM
상황이므로	상황/NNG+이/VCP+므로/EC
한국은	한국/NNP+은/JX
‘안보(사드	‘/SS+안보/NNG+(/SS+사드/NNG
배치)와	배치/NNG+)/SS+와/JC
경제	경제/NNG
발전(사드	발전/NNG+(/SS+사드/NNG
포기로	포기/NNG+로/JKB
협력)’	협력/NNG+)/SS+’/SS
중	중/NNB
하나를	하나/NR+를/JKO
선택해야	선택/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
직면하게	직면/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.6.3
차오 소장은 “북한의 핵 위협으로 한국이 존망의 위기까지 맞는 것은 아니지 않으냐”고 반문하며 “(중국에 거스르지 말고) 경제 발전을 택하라”고 충고하기도 했다.

차오	차오/NNP
소장은	소장/NNG+은/JX
“북한의	“/SS+북한/NNP+의/JKG
핵	핵/NNG
위협으로	위협/NNG+으로/JKB
한국이	한국/NNP+이/JKS
존망의	존망/NNG+의/JKG
위기까지	위기/NNG+까지/JX
맞는	맞/VV+는/ETM
것은	것/NNB+은/JX
아니지	아니/VCN+지/EC
않으냐”고	않/VX+으냐/EF+”/SS+고/JKQ
반문하며	반문/NNG+하/XSV+며/EC
“(중국에	“/SS+(/SS+중국/NNP+에/JKB
거스르지	거스르/VV+지/EC
말고)	말/VX+고/EC+)/SS
경제	경제/NNG
발전을	발전/NNG+을/JKO
택하라”고	택하/VV+라/EF+”/SS+고/JKQ
충고하기도	충고/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.49.7.1
차오 소장은 사드의 한반도 배치 시 중국 전역이 탐지당하는 등 위협이 된다는 주장과 관련해 “긴장할 필요가 없다”고 했다.

차오	차오/NNP
소장은	소장/NNG+은/JX
사드의	사드/NNG+의/JKG
한반도	한반도/NNP
배치	배치/NNG
시	시/NNB
중국	중국/NNP
전역이	전역/NNG+이/JKS
탐지당하는	탐지/NNG+당하/XSV+는/ETM
등	등/NNB
위협이	위협/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
주장과	주장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“긴장할	“/SS+긴장/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.7.2
그는 “지금 세계는 군사적으로 방패가 창을 막지 못하는 시대다. 중국 문 앞에 사드가 배치된들 중국의 창을 막지 못하거나 매우 막기 어려울 것”이라고 내다봤다.

그는	그/NP+는/JX
“지금	“/SS+지금/MAG
세계는	세계/NNG+는/JX
군사적으로	군사/NNG+적/XSN+으로/JKB
방패가	방패/NNG+가/JKS
창을	창/NNG+을/JKO
막지	막/VV+지/EC
못하는	못하/VX+는/ETM
시대다.	시대/NNG+이/VCP+다/EF+./SF
중국	중국/NNP
문	문/NNG
앞에	앞/NNG+에/JKB
사드가	사드/NNG+가/JKS
배치된들	배치/NNG+되/XSV+ㄴ들/EC
중국의	중국/NNP+의/JKG
못하거나	못하/VX+거나/EC
매우	매우/MAG
막기	막/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.7.3
그는 “(미국이) 대만에 무기를 판매한다고 (유사시) 대만의 안전이 보장되는가. 중국 주변에서 무력 충돌이 발생하면 (사드는커녕) 미국의 항공모함인들 충분한 보장이 될 것인가”라고 되물었다.

그는	그/NP+는/JX
“(미국이)	“/SS+(/SS+미국/NNP+이/JKS+)/SS
대만에	대만/NNP+에/JKB
무기를	무기/NNG+를/JKO
판매한다고	판매/NNG+하/XSV+ㄴ다고/EC
(유사시)	(/SS+유사시/NNG+)/SS
대만의	대만/NNP+의/JKG
안전이	안전/NNG+이/JKS
보장되는가.	보장/NNG+되/XSV+는가/EF+./SF
중국	중국/NNP
주변에서	주변/NNG+에서/JKB
무력	무력/NNG
충돌이	충돌/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
(사드는커녕)	(/SS+사드/NNG+는커녕/JX+)/SS
미국의	미국/NNP+의/JKG
항공모함인들	항공/NNG+모함/NNG+이/VCP+ㄴ들/EC
충분한	충분하/VA+ㄴ/ETM
보장이	보장/NNG+이/JKC
될	되/VV+ㄹ/ETM
것인가”라고	것/NNB+이/VCP+ㄴ가/EF+”/SS+라고/JKQ
되물었다.	되묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.49.7.4
그는 “사드(방패)를 배치했으니 상대방이 스스로 물건(창)을 포기하리라고 생각하는 것은 마치 ‘맹인이 쓸데없이 촛불을 켜고 있는 것만큼이나 어리석은 일”이라고 말했다.

그는	그/NP+는/JX
“사드(방패)를	“/SS+사드/NNG+(/SS+방패/NNG+)/SS+를/JKO
배치했으니	배치/NNG+하/XSV+았/EP+으니/EC
상대방이	상대방/NNG+이/JKS
스스로	스스로/MAG
물건(창)을	물건/NNG+(/SS+창/NNG+)/SS+을/JKO
포기하리라고	포기/NNG+하/XSV+리라고/EC
생각하는	생각/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
마치	마치/MAG
‘맹인이	‘/SS+맹인/NNG+이/JKS
쓸데없이	쓸데없이/MAG
촛불을	촛불/NNG+을/JKO
켜고	켜/VV+고/EC
있는	있/VX+는/ETM
것만큼이나	것/NNB+만큼/JKB+이나/JX
어리석은	어리석/VA+은/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


