# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.346
metadata : {}


# id : NWRW1800000038.346.1.1
민주, 노원丙 후보 공천 움직임에 安측 "당선 장담 못해" 바짝 긴장

민주,	민주/NNP+,/SP
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.346.4.2
7일 박용진 대변인은 브리핑에서 "원내 제1 야당으로서 후보를 내는 것은 너무나 당연한 일로 모든 재보선 지역 후보를 내고자 한다"면서도 "미래 비전 야권 연대를 추구하고자 한다"고 했다.

7일	7/SN+일/NNB
박용진	박용진/NNP
대변인은	대변인/NNG+은/JX
브리핑에서	브리핑/NNG+에서/JKB
"원내	"/SS+원내/NNG
제1	제/XPN+1/SN
야당으로서	야당/NNG+으로서/JKB
후보를	후보/NNG+를/JKO
내는	내/VV+는/ETM
것은	것/NNB+은/JX
너무나	너무나/MAG
당연한	당연/NNG+하/XSA+ㄴ/ETM
일로	일/NNG+로/JKB
모든	모든/MMN
재보선	재보선/NNG
지역	지역/NNG
내고자	내/VV+고자/EC
한다"면서도	하/VX+ㄴ다/EF+"/SS+면서/EC+도/JX
"미래	"/SS+미래/NNG
비전	비전/NNG
야권	야권/NNG
연대를	연대/NNG+를/JKO
추구하고자	추구/NNG+하/XSV+고자/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.346.4.3
안 전 교수와 야권 후보 단일화를 전제로 후보를 내지 않을 가능성도 열어둔 것이다.

안	안/NNP
전	전/MMD
교수와	교수/NNG+와/JC
야권	야권/NNG
후보	후보/NNG
단일화를	단일/NNG+화/XSN+를/JKO
전제로	전제/NNG+로/JKB
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않을	않/VX+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
열어둔	열/VV+어/EC+두/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.346.5.1
이에 앞서 박기춘 원내대표는 5일 "후보를 내야 한다. 단일화는 그다음 얘기"라고 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
박기춘	박기춘/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
5일	5/SN+일/NNB
"후보를	"/SS+후보/NNG+를/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
단일화는	단일/NNG+화/XSN+는/JX
그다음	그다음/NNG
얘기"라고	얘기/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.346.5.2
후보를 내지 않을 경우 대선 패배 이후 지리멸렬한 당내 상황이 더 심각해질 수 있다는 내부 판단이 깔려 있다.

후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
대선	대선/NNG
패배	패배/NNG
이후	이후/NNG
지리멸렬한	지리멸렬/NNG+하/XSV+ㄴ/ETM
당내	당내/NNG
상황이	상황/NNG+이/JKS
더	더/MAG
심각해질	심각하/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
내부	내부/NNG
판단이	판단/NNG+이/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.346.6.1
진보정의당도 반드시 후보를 내겠다고 강조하고 있는 상황에서 야권이 각개약진할 경우 안 전 교수도 장담할 수 없는 상황이라는 얘기가 많다.

진보정의당도	진보정의당/NNP+도/JX
반드시	반드시/MAG
후보를	후보/NNG+를/JKO
내겠다고	내/VV+겠/EP+다고/EC
강조하고	강조/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
야권이	야권/NNG+이/JKS
각개약진할	각개/NNG+약진/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
안	안/NNP
전	전/MMD
교수도	교수/NNG+도/JX
장담할	장담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이라는	상황/NNG+이/VCP+라는/ETM
얘기가	얘기/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.346.6.2
일부 여론조사에선 야권이 분열할 경우 새누리당 후보에게 근소하게 밀리는 결과도 나오는 것으로 알려졌다.

일부	일부/NNG
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
야권이	야권/NNG+이/JKS
분열할	분열/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
새누리당	새누리당/NNP
후보에게	후보/NNG+에게/JKB
근소하게	근소하/VA+게/EC
밀리는	밀리/VV+는/ETM
결과도	결과/NNG+도/JX
나오는	나오/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.346.6.3
안 전 교수는 노원 지역에 집과 사무실을 물색 중이라고 한다.

안	안/NNP
전	전/MMD
교수는	교수/NNG+는/JX
노원	노원/NNP
지역에	지역/NNG+에/JKB
집과	집/NNG+과/JC
사무실을	사무실/NNG+을/JKO
물색	물색/NNG
중이라고	중/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.346.7.1
정기남 안철수 캠프 전 부실장은 7일 라디오에서 "조직도 세력도 없는 혈혈단신 무소속 후보인데 당선을 장담하는 것은 좀 어려운 상황"이라며 "노원병 지역 자체가 전통적으로 민주당 텃밭이고, '대선 후보 안철수'가 아니라 현실 정치인 안철수로 첫걸음을 떼는 선거이기 때문에 대단히 조심스럽다"고도 했다.

정기남	정기남/NNP
안철수	안철수/NNP
캠프	캠프/NNG
전	전/MMD
부실장은	부실장/NNG+은/JX
7일	7/SN+일/NNB
라디오에서	라디오/NNG+에서/JKB
"조직도	"/SS+조직/NNG+도/JX
세력도	세력/NNG+도/JX
없는	없/VA+는/ETM
혈혈단신	혈혈단신/NNG
무소속	무/XPN+소속/NNG
후보인데	후보/NNG+이/VCP+ㄴ데/EC
당선을	당선/NNG+을/JKO
장담하는	장담/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
좀	좀/MAG
어려운	어렵/VA+ㄴ/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"노원병	"/SS+노원병/NNP
지역	지역/NNG
자체가	자체/NNG+가/JKS
전통적으로	전통/NNG+적/XSN+으로/JKB
민주당	민주당/NNP
텃밭이고,	텃밭/NNG+이/VCP+고/EC+,/SP
'대선	'/SS+대선/NNG
후보	후보/NNG
안철수'가	안철수/NNP+'/SS+가/JKC
아니라	아니/VCN+라/EC
현실	현실/NNG
정치인	정치인/NNG
안철수로	안철수/NNP+로/JKB
첫걸음을	첫걸음/NNG+을/JKO
떼는	떼/VV+는/ETM
선거이기	선거/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
대단히	대단히/MAG
조심스럽다"고도	조심/NNG+스럽/XSA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.346.8.1
결국 정치권에서는 단일화 문제가 다시 논의될 수밖에 없을 것으로 보고 있다.

결국	결국/MAG
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
단일화	단일/NNG+화/XSN
문제가	문제/NNG+가/JKS
다시	다시/MAG
논의될	논의/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.346.8.2
안 전 캠프 관계자는 통화에서 "선거공학적이고 기계적인 연대가 아닌 국민의 열망을 담아내는 단일화 논의는 이루어질 수 있지 않겠느냐"고 했다.

안	안/NNP
전	전/MMD
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
통화에서	통화/NNG+에서/JKB
"선거공학적이고	"/SS+선거/NNG+공학/NNG+적/XSN+이/VCP+고/EC
기계적인	기계/NNG+적/XSN+이/VCP+ㄴ/ETM
연대가	연대/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
국민의	국민/NNG+의/JKG
열망을	열망/NNG+을/JKO
담아내는	담아내/VV+는/ETM
단일화	단일/NNG+화/XSN
논의는	논의/NNG+는/JX
이루어질	이루어지/VV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.346.8.3
민주당 일각에서는 안 전 교수의 민주당 입당이나 선거 연대를 전제로 노원병에 후보를 내지 않는 방안을 거론하고 있다.

민주당	민주당/NNP
일각에서는	일각/NNG+에서/JKB+는/JX
안	안/NNP
전	전/MMD
교수의	교수/NNG+의/JKG
입당이나	입당/NNG+이나/JC
선거	선거/NNG
연대를	연대/NNG+를/JKO
전제로	전제/NNG+로/JKB
노원병에	노원병/NNP+에/JKB
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않는	않/VX+는/ETM
방안을	방안/NNG+을/JKO
거론하고	거론/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


