# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.312
metadata : {}


# id : NWRW1800000021.312.1.1
토종 과일브랜드 ‘썬플러스’ 아세요?

토종	토종/NNG
선물세트는	선물/NNG+세트/NNG+는/JX
전국으로	전국/NNG+으로/JKB
팔려나가기	팔리/VV+어/EC+나가/VX+기/ETN
때문에	때문/NNB+에/JKB
썬플러스	썬플러스/NNP
브랜드를	브랜드/NNG+를/JKO
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
절호의	절호/NNG+의/JKG
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.312.4.1
썬플러스는 2003년 △경북능금 △충북사과원예 △예산능금 △공주과수원예 △홍성원예 △서산원예 △나주배원예 △천안배원예 △안성배 △평택배 △제주감귤 △진주단감원예 △경기동부원예 등 13개 조합이 모여 만든 한국과수농협연합회가 개발한 공동 브랜드다.

썬플러스는	썬플러스/NNP+는/JX
2003년	2003/SN+년/NNB
△경북능금	△/SW+경북능금/NNP
△충북사과원예	△/SW+충북사과원예/NNP
△예산능금	△/SW+예산능금/NNP
△공주과수원예	△/SW+공주과수원예/NNP
△홍성원예	△/SW+홍성원예/NNP
△서산원예	△/SW+서산원예/NNP
△나주배원예	△/SW+나주배원예/NNP
△천안배원예	△/SW+천안배원예/NNP
△안성배	△/SW+안성배/NNP
△평택배	△/SW+평택배/NNP
△제주감귤	△/SW+제주감귤/NNP
△진주단감원예	△/SW+진주단감원예/NNP
△경기동부원예	△/SW+경기동부원예/NNP
등	등/NNB
13개	13/SN+개/NNB
조합이	조합/NNG+이/JKS
모여	모이/VV+어/EC
만든	만들/VV+ㄴ/ETM
한국과수농협연합회가	한국과수농협연합회/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
공동	공동/NNG
브랜드다.	브랜드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.312.4.2
과일시장 개방이 가속화하면서 초대형 다국적 브랜드와 경쟁할 수 있는 한국 브랜드를 만든 것.

과일시장	과일/NNG+시장/NNG
개방이	개방/NNG+이/JKS
가속화하면서	가속/NNG+화/XSN+하/XSV+면서/EC
초대형	초/XPN+대형/NNG
다국적	다국적/NNG
브랜드와	브랜드/NNG+와/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
한국	한국/NNP
브랜드를	브랜드/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.312.5.1
썬플러스는 그동안 과일을 재배하는 지역의 토양 안전성 검사는 물론 제초제 사용 금지, 무화학 재배 등 철저한 관리를 통해 친환경성과 높은 당도로 품질을 인정받아 왔다.

썬플러스는	썬플러스/NNP+는/JX
그동안	그동안/NNG
과일을	과일/NNG+을/JKO
재배하는	재배/NNG+하/XSV+는/ETM
지역의	지역/NNG+의/JKG
토양	토양/NNG
안전성	안전/NNG+성/XSN
검사는	검사/NNG+는/JX
물론	물론/MAG
제초제	제초제/NNG
사용	사용/NNG
금지,	금지/NNG+,/SP
무화학	무/XPN+화학/NNG
재배	재배/NNG
등	등/NNB
철저한	철저/NNG+하/XSA+ㄴ/ETM
관리를	관리/NNG+를/JKO
통해	통하/VV+아/EC
친환경성과	친/XPN+환경/NNG+성/XSN+과/JC
높은	높/VA+은/ETM
당도로	당도/NNG+로/JKB
품질을	품질/NNG+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.312.5.2
연합회에 따르면 지난해 썬플러스의 고급 제품은 kg당 평균 출하 단가가 3927원으로 일반 과일 평균 도매가격 2368원보다 66%나 높았다.

연합회에	연합회/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
썬플러스의	썬플러스/NNP+의/JKG
고급	고급/NNG
제품은	제품/NNG+은/JX
kg당	kg/SW+당/XSN
평균	평균/NNG
출하	출하/NNG
단가가	단가/NNG+가/JKS
3927원으로	3927/SN+원/NNB+으로/JKB
일반	일반/NNG
과일	과일/NNG
도매가격	도매가격/NNG
2368원보다	2368/SN+원/NNB+보다/JKB
66%나	66/SN+%/SW+나/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.312.6.1
이처럼 품질은 인정받았지만 품질만큼의 브랜드 가치는 제대로 인정받지 못했다.

이처럼	이/NP+처럼/JKB
품질은	품질/NNG+은/JX
인정받았지만	인정/NNG+받/XSV+았/EP+지만/EC
품질만큼의	품질/NNG+만큼/JKB+의/JKG
브랜드	브랜드/NNG
가치는	가치/NNG+는/JX
제대로	제대로/MAG
인정받지	인정/NNG+받/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.312.6.2
고가의 ‘명품 과일’이 주로 팔리는 명절 때가 되면 현대백화점은 썬플러스 제품을 납품받아 ‘명품 현대’라는 자체 브랜드로, 신세계 역시 ‘5스타(star)’라는 브랜드로 바꿔 판매해 왔다.

고가의	고가/NNG+의/JKG
‘명품	‘/SS+명품/NNG
과일’이	과일/NNG+’/SS+이/JKS
주로	주로/MAG
팔리는	팔리/VV+는/ETM
명절	명절/NNG
때가	때/NNG+가/JKC
되면	되/VV+면/EC
현대백화점은	현대백화점/NNP+은/JX
썬플러스	썬플러스/NNP
제품을	제품/NNG+을/JKO
납품받아	납품/NNG+받/XSV+아/EC
현대’라는	현대/NNP+’/SS+이/VCP+라는/ETM
자체	자체/NNG
브랜드로,	브랜드/NNG+로/JKB+,/SP
신세계	신세계/NNP
역시	역시/MAG
‘5스타(star)’라는	‘/SS+5스타/NNP+(/SS+star/SL+)/SS+’/SS+이/VCP+라는/ETM
브랜드로	브랜드/NNG+로/JKB
바꿔	바꾸/VV+어/EC
판매해	판매/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.312.6.3
하지만 올해 처음으로 현대백화점에서 썬플러스라는 본래 이름으로 다른 명품 과일 브랜드와 경쟁하게 됐다.

하지만	하지만/MAJ
올해	올해/NNG
처음으로	처음/NNG+으로/JKB
현대백화점에서	현대백화점/NNP+에서/JKB
썬플러스라는	썬플러스/NNP+이/VCP+라는/ETM
본래	본래/NNG
이름으로	이름/NNG+으로/JKB
다른	다른/MMD
명품	명품/NNG
과일	과일/NNG
브랜드와	브랜드/NNG+와/JKB
경쟁하게	경쟁/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.312.6.4
연합회 관계자는 “앞으로도 다국적 브랜드와 경쟁할 수 있는 국내 브랜드 육성 기회가 더 많아지기를 기대한다”고 말했다.

연합회	연합회/NNG
관계자는	관계자/NNG+는/JX
“앞으로도	“/SS+앞/NNG+으로/JKB+도/JX
다국적	다국적/NNG
브랜드와	브랜드/NNG+와/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
국내	국내/NNG
브랜드	브랜드/NNG
육성	육성/NNG
기회가	기회/NNG+가/JKS
더	더/MAG
많아지기를	많아지/VV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.312.7.1
한편 현대백화점에 따르면 26일까지 썬플러스 과일세트는 약 1600세트가 판매돼 목표 대비 판매율이 80%에 이르고 있다.

한편	한편/MAG
현대백화점에	현대백화점/NNP+에/JKB
따르면	따르/VV+면/EC
26일까지	26/SN+일/NNB+까지/JX
썬플러스	썬플러스/NNP
과일세트는	과일/NNG+세트/NNG+는/JX
약	약/MMA
1600세트가	1600/SN+세트/NNG+가/JKS
판매돼	판매/NNG+되/XSV+어/EC
목표	목표/NNG
대비	대비/NNG
판매율이	판매/NNG+율/XSN+이/JKS
80%에	80/SN+%/SW+에/JKB
이르고	이르/VV+고/EC
있다.	있/VX+다/EF+./SF


