# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.115
metadata : {}


# id : NWRW1800000037.115.1.1
NCCK김영주 총무 신년 기자간담회 “종교인세 신설, 개신교계 뜻 모으는 중”

NCCK김영주	NCCK/SL+김영주/NNP
NCCK는 10월 31일∼11월 8일 부산에서 열리는 세계교회협의회(WCC) 총회에 맞춰 준비 중인 ‘평화열차’ 운행 계획에 정부가 지원해줄 것을 요청했다.

NCCK는	NCCK/SL+는/JX
10월	10/SN+월/NNB
31일∼11월	31/SN+일/NNB+∼/SO+11/SN+월/NNB
8일	8/SN+일/NNB
부산에서	부산/NNP+에서/JKB
열리는	열리/VV+는/ETM
세계교회협의회(WCC)	세계교회협의회/NNP+(/SS+WCC/SL+)/SS
총회에	총회/NNG+에/JKB
맞춰	맞추/VV+어/EC
준비	준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘평화열차’	‘/SS+평화/NNG+열차/NNG+’/SS
운행	운행/NNG
계획에	계획/NNG+에/JKB
정부가	정부/NNG+가/JKS
지원해줄	지원/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.115.7.2
평화열차는 유럽과 러시아, 북한을 거쳐 휴전선을 통과해 부산까지 운행하는 열차다.

평화열차는	평화/NNG+열차/NNG+는/JX
유럽과	유럽/NNP+과/JC
러시아,	러시아/NNP+,/SP
북한을	북한/NNP+을/JKO
거쳐	거치/VV+어/EC
휴전선을	휴전선/NNG+을/JKO
통과해	통과/NNG+하/XSV+아/EC
부산까지	부산/NNP+까지/JX
운행하는	운행/NNG+하/XSV+는/ETM
열차다.	열차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.115.7.3
김 총무는 “한반도 평화정착을 위해 큰 상징성을 지닌 이벤트”라며 “양국 정부(러시아 북한)와의 합의를 위해 새 정부가 적극 힘써줬으면 한다”고 말했다.

김	김/NNP
총무는	총무/NNG+는/JX
“한반도	“/SS+한반도/NNP
평화정착을	평화/NNG+정착/NNG+을/JKO
위해	위하/VV+아/EC
큰	크/VA+ㄴ/ETM
상징성을	상징/NNG+성/XSN+을/JKO
지닌	지니/VV+ㄴ/ETM
이벤트”라며	이벤트/NNG+”/SS+이/VCP+라며/EC
“양국	“/SS+양국/NNG
정부(러시아	정부/NNG+(/SS+러시아/NNP
북한)와의	북한/NNP+)/SS+와/JKB+의/JKG
합의를	합의/NNG+를/JKO
새	새/MMA
정부가	정부/NNG+가/JKS
적극	적극/NNG
힘써줬으면	힘쓰/VV+어/EC+주/VX+었/EP+으면/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


