# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.230
metadata : {}


# id : NWRW1800000028.230.1.1
돈갚을 능력 ‘경보음’…대출문턱 높아지나

돈갚을	돈/NNG+갚/VV+을/ETM
가계의 신용위험지수 전망치는 지난 1분기 ‘13’에서 2분기 ‘9’로 떨어졌다가 3분기 다시 ‘13’으로 올랐다.

가계의	가계/NNG+의/JKG
신용위험지수	신용/NNG+위험/NNG+지수/NNG
전망치는	전망/NNG+치/XSN+는/JX
지난	지나/VV+ㄴ/ETM
1분기	1/SN+분기/NNG
‘13’에서	‘/SS+13/SN+’/SS+에서/JKB
2분기	2/SN+분기/NNG
‘9’로	‘/SS+9/SN+’/SS+로/JKB
떨어졌다가	떨어지/VV+었/EP+다가/EC
3분기	3/SN+분기/NNG
다시	다시/MAG
‘13’으로	‘/SS+13/SN+’/SS+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.4.2
은행들은 가계부채 증가, 주택가격 하락, 대출금리 상승 등을 신용위험 상승의 주요 원인으로 꼽았다.

은행들은	은행/NNG+들/XSN+은/JX
가계부채	가계/NNG+부채/NNG
증가,	증가/NNG+,/SP
주택가격	주택/NNG+가격/NNG
하락,	하락/NNG+,/SP
대출금리	대출/NNG+금리/NNG
상승	상승/NNG
등을	등/NNB+을/JKO
신용위험	신용/NNG+위험/NNG
상승의	상승/NNG+의/JKG
주요	주요/NNG
원인으로	원인/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.4.3
한은은 “가계부채가 꾸준히 늘어나는 가운데 주택가격 하락에 따른 담보가치 감소 가능성이 상존하고 있는데다 향후 대출금리 상승시 가계의 채무상환부담이 가중될 것을 은행권이 우려하는 것”이라고 설명했다.

한은은	한은/NNP+은/JX
“가계부채가	“/SS+가계/NNG+부채/NNG+가/JKS
꾸준히	꾸준히/MAG
늘어나는	늘어나/VV+는/ETM
가운데	가운데/NNG
주택가격	주택/NNG+가격/NNG
하락에	하락/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
담보가치	담보/NNG+가치/NNG
감소	감소/NNG
가능성이	가능/NNG+성/XSN+이/JKS
상존하고	상존/NNG+하/XSV+고/EC
있는데다	있/VX+는/ETM+데/NNB+다/JX
향후	향후/NNG
대출금리	대출/NNG+금리/NNG
상승시	상승/NNG+시/NNB
가계의	가계/NNG+의/JKG
채무상환부담이	채무/NNG+상환/NNG+부담/NNG+이/JKS
가중될	가중/NNG+되/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
은행권이	은행/NNG+권/XSN+이/JKS
우려하는	우려/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.5.1
보증 확대와 만기연장 조처의 종료, 출구전략 가시화를 앞둔 중소기업들의 신용위험지수 전망치도 전분기 ‘22’에서 3분기에 ‘28’로 높아졌다.

보증	보증/NNG
확대와	확대/NNG+와/JC
만기연장	만기/NNG+연장/NNG
조처의	조처/NNG+의/JKG
종료,	종료/NNG+,/SP
출구전략	출구/NNG+전략/NNG
가시화를	가시/NNG+화/XSN+를/JKO
앞둔	앞두/VV+ㄴ/ETM
중소기업들의	중소기업/NNG+들/XSN+의/JKG
신용위험지수	신용/NNG+위험/NNG+지수/NNG
전망치도	전망/NNG+치/XSN+도/JX
전분기	전/MMD+분기/NNG
‘22’에서	‘/SS+22/SN+’/SS+에서/JKB
3분기에	3/SN+분기/NNG+에/JKB
‘28’로	‘/SS+28/SN+’/SS+로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.230.5.2
특히 주택경기가 부진한 가운데 일부 중견 건설업체들의 잇따른 법정관리와 부도 등의 영향으로 건설 업종에 대한 신용위험이 더욱 커질 것으로 은행들은 내다봤다.

특히	특히/MAG
주택경기가	주택/NNG+경기/NNG+가/JKS
부진한	부진/NNG+하/XSA+ㄴ/ETM
가운데	가운데/NNG
일부	일부/NNG
중견	중견/NNG
건설업체들의	건설업체/NNG+들/XSN+의/JKG
잇따른	잇따르/VV+ㄴ/ETM
법정관리와	법정/NNG+관리/NNG+와/JC
부도	부도/NNG
등의	등/NNB+의/JKG
영향으로	영향/NNG+으로/JKB
건설	건설/NNG
업종에	업종/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신용위험이	신용/NNG+위험/NNG+이/JKS
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
은행들은	은행/NNG+들/XSN+은/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.6.1
돈을 빌려쓰는 쪽의 신용위험도가 오른다는 것은 시중 은행 창구에서 대출을 받기가 더 어려워진다는 것을 뜻한다.

돈을	돈/NNG+을/JKO
빌려쓰는	빌리/VV+어/EC+쓰/VV+는/ETM
쪽의	쪽/NNB+의/JKG
신용위험도가	신용/NNG+위험도/NNG+가/JKS
오른다는	오르/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
시중	시중/NNG
은행	은행/NNG
창구에서	창구/NNG+에서/JKB
대출을	대출/NNG+을/JKO
받기가	받/VV+기/ETN+가/JKS
더	더/MAG
어려워진다는	어렵/VA+어/EC+지/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.230.6.2
이번 조사에서 은행의 대출태도지수는 2분기에 이어 낮아질 것으로 예상됐다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
은행의	은행/NNG+의/JKG
대출태도지수는	대출/NNG+태도/NNG+지수/NNG+는/JX
2분기에	2/SN+분기/NNG+에/JKB
이어	잇/VV+어/EC
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.230.6.3
이 지수는 저금리 기조를 타고 지난해 4분기 -4에서 올해 1분기에 8로 높아졌다가 2분기(4)부터 하락세로 꺾였다.

이	이/MMD
지수는	지수/NNG+는/JX
저금리	저/XPN+금리/NNG
기조를	기조/NNG+를/JKO
타고	타/VV+고/EC
지난해	지난해/NNG
4분기	4/SN+분기/NNG
-4에서	-/SO+4/SN+에서/JKB
올해	올해/NNG
1분기에	1/SN+분기/NNG+에/JKB
8로	8/SN+로/JKB
높아졌다가	높아지/VV+었/EP+다가/EC
2분기(4)부터	2/SN+분기/NNG+(/SS+4/SN+)/SS+부터/JX
하락세로	하락세/NNG+로/JKB
꺾였다.	꺾이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.230.6.4
앞으로 은행들이 대출 취급기준과 대출 조건을 종전보다 까다롭게 할 것임을 말해주는 것이다.

앞으로	앞/NNG+으로/JKB
은행들이	은행/NNG+들/XSN+이/JKS
대출	대출/NNG
취급기준과	취급/NNG+기준/NNG+과/JC
조건을	조건/NNG+을/JKO
종전보다	종전/NNG+보다/JKB
까다롭게	까다롭/VA+게/EC
할	하/VX+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
말해주는	말/NNG+하/XSV+아/EC+주/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.230.6.5
조사에 응한 은행 여신담당자들은 중소기업 대출에 대해서는 리스크관리 강화를, 가계주택자금 대출의 경우 신용위험 증가와 향후 금리인상을 주요 요인으로 꼽았다.

조사에	조사/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
은행	은행/NNG
여신담당자들은	여신/NNG+담당자/NNG+들/XSN+은/JX
중소기업	중소기업/NNG
대출에	대출/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
리스크관리	리스크/NNG+관리/NNG
강화를,	강화/NNG+를/JKO+,/SP
가계주택자금	가계/NNG+주택/NNG+자금/NNG
대출의	대출/NNG+의/JKG
경우	경우/NNG
신용위험	신용/NNG+위험/NNG
증가와	증가/NNG+와/JC
향후	향후/NNG
금리인상을	금리/NNG+인상/NNG+을/JKO
주요	주요/NNG
요인으로	요인/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.7.1
반면 3분기에 중소기업과 가계 일반자금의 대출 수요는 전반적인 경기개선 흐름과 소비심리 호조 등에 힘입어 더 늘어날 것으로 조사됐다.

반면	반면/NNG
3분기에	3/SN+분기/NNG+에/JKB
중소기업과	중소기업/NNG+과/JC
가계	가계/NNG
일반자금의	일반/NNG+자금/NNG+의/JKG
대출	대출/NNG
수요는	수요/NNG+는/JX
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
경기개선	경기/NNG+개선/NNG
흐름과	흐름/NNG+과/JC
소비심리	소비/NNG+심리/NNG
호조	호조/NNG
등에	등/NNB+에/JKB
힘입어	힘입/VV+어/EC
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.230.7.2
그러나 중기와 가계의 자금 수요가 많아져도 신용위험이 커진 만큼 은행들은 ‘우량 차주’ 위주의 선별적 대출을 강화할 것으로 예상된다.

그러나	그러나/MAJ
중기와	중기/NNG+와/JC
가계의	가계/NNG+의/JKG
자금	자금/NNG
수요가	수요/NNG+가/JKS
많아져도	많아지/VV+어도/EC
신용위험이	신용/NNG+위험/NNG+이/JKS
커진	커지/VV+ㄴ/ETM
만큼	만큼/NNB
은행들은	은행/NNG+들/XSN+은/JX
‘우량	‘/SS+우량/NNG
차주’	차주/NNG+’/SS
위주의	위주/NNG+의/JKG
선별적	선별/NNG+적/XSN
대출을	대출/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


