# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.319
metadata : {}


# id : NWRW1800000041.319.1.1
檢 “유우성씨 北에 노트북 보낸 새 증거 확보”

檢	檢/SH
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.319.4.1
유 씨에 대한 또 다른 고발 사건을 조사 중인 서울중앙지검 형사2부(부장 이두봉)는 최근 유 씨의 e메일을 압수수색하는 과정에서 유 씨가 중고 노트북의 제원과 이 노트북을 중국에 보낼 계획을 적은 e메일을 확보해 유 씨 재판에 참여 중인 서울중앙지검 공안1부(부장 이현철)에 넘겼다고 21일 밝혔다.

유	유/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
고발	고발/NNG
사건을	사건/NNG+을/JKO
조사	조사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
형사2부(부장	형사/NNG+2/SN+부/NNG+(/SS+부장/NNG
이두봉)는	이두봉/NNP+)/SS+는/JX
최근	최근/MAG
씨의	씨/NNB+의/JKG
e메일을	e/SL+메일/NNG+을/JKO
압수수색하는	압수/NNG+수색/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
씨가	씨/NNB+가/JKS
중고	중고/NNG
노트북의	노트북/NNG+의/JKG
제원과	제원/NNG+과/JC
이	이/MMD
노트북을	노트북/NNG+을/JKO
중국에	중국/NNP+에/JKB
보낼	보내/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
적은	적/VV+은/ETM
확보해	확보/NNG+하/XSV+아/EC
씨	씨/NNB
재판에	재판/NNG+에/JKB
참여	참여/NNG
공안1부(부장	공안/NNG+1/SN+부/NNG+(/SS+부장/NNG
이현철)에	이현철/NNP+)/SS+에/JKB
넘겼다고	넘기/VV+었/EP+다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.319.5.1
유 씨는 2006년 8월 중고 도시바 노트북을 인터넷으로 구입한 뒤 외당숙을 통하여 국제특급우편(EMS)으로 전달해 북한 보위부 반탐부부장에게 건넨 혐의로 지난해 2월 기소됐다.

유	유/NNP
씨는	씨/NNB+는/JX
2006년	2006/SN+년/NNB
8월	8/SN+월/NNB
중고	중고/NNG
도시바	도시바/NNP
노트북을	노트북/NNG+을/JKO
인터넷으로	인터넷/NNG+으로/JKB
구입한	구입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
외당숙을	외당숙/NNG+을/JKO
통하여	통하/VV+아/EC
국제특급우편(EMS)으로	국제/NNG+특급/NNG+우편/NNG+(/SS+EMS/SL+)/SS+으로/JKB
전달해	전달/NNG+하/XSV+아/EC
북한	북한/NNP
보위부	보위부/NNG
반탐부부장에게	반탐부/NNG+부장/NNG+에게/JKB
건넨	건네/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
지난해	지난해/NNG
2월	2/SN+월/NNB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.319.5.2
검찰은 유 씨가 보낸 EMS 접수대장을 증거로 제출했지만 1심 재판부는 “접수대장만으로는 우편물의 내용을 확인할 수 없다”며 혐의를 인정하지 않았다.

검찰은	검찰/NNG+은/JX
유	유/NNP
씨가	씨/NNB+가/JKS
보낸	보내/VV+ㄴ/ETM
EMS	EMS/SL
접수대장을	접수/NNG+대장/NNG+을/JKO
증거로	증거/NNG+로/JKB
제출했지만	제출/NNG+하/XSV+았/EP+지만/EC
1심	1심/NNG
재판부는	재판부/NNG+는/JX
“접수대장만으로는	“/SS+접수/NNG+대장/NNG+만/JX+으로/JKB+는/JX
우편물의	우편물/NNG+의/JKG
내용을	내용/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
혐의를	혐의/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.319.5.3
검찰은 e메일이 북한에 노트북을 제공한 혐의를 입증할 유력한 증거라고 보고 법원에 직권으로 증거로 채택해 달라고 요청했다.

검찰은	검찰/NNG+은/JX
e메일이	e/SL+메일/NNG+이/JKS
북한에	북한/NNP+에/JKB
노트북을	노트북/NNG+을/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
유력한	유력/NNG+하/XSA+ㄴ/ETM
증거라고	증거/NNG+이/VCP+라고/EC
보고	보/VV+고/EC
법원에	법원/NNG+에/JKB
직권으로	직권/NNG+으로/JKB
증거로	증거/NNG+로/JKB
채택해	채택/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.319.6.1
유 씨 변호인 측은 “검찰이 확보한 e메일은 유 씨가 국가정보원에서 조사를 받을 때 진술을 준비하며 본인에게 보낸 것으로 추정된다”며 변론을 재개할 필요가 없다는 취지의 의견서를 재판부에 18일 제출했다.

유	유/NNP
씨	씨/NNB
변호인	변호인/NNG
측은	측/NNB+은/JX
“검찰이	“/SS+검찰/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
e메일은	e/SL+메일/NNG+은/JX
씨가	씨/NNB+가/JKS
국가정보원에서	국가/NNG+정보원/NNG+에서/JKB
조사를	조사/NNG+를/JKO
받을	받/VV+을/ETM
때	때/NNG
진술을	진술/NNG+을/JKO
준비하며	준비/NNG+하/XSV+며/EC
본인에게	본인/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다”며	추정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
변론을	변론/NNG+을/JKO
재개할	재개/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다는	없/VA+다는/ETM
취지의	취지/NNG+의/JKG
의견서를	의견서/NNG+를/JKO
재판부에	재판부/NNG+에/JKB
18일	18/SN+일/NNB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.319.7.1
항소심 선고는 25일 오전 10시 반이며, 재판부는 변론 재개 신청을 받아들일지 아직 결정하지 않았다.

항소심	항소심/NNG
선고는	선고/NNG+는/JX
25일	25/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
반이며,	반/NNG+이/VCP+며/EC+,/SP
재판부는	재판부/NNG+는/JX
변론	변론/NNG
재개	재개/NNG
신청을	신청/NNG+을/JKO
받아들일지	받아들이/VV+ㄹ지/EF
아직	아직/MAG
결정하지	결정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


