# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.34
metadata : {}


# id : NWRW1800000054.34.1.1
[월드 톡톡] 노인 돌봐줄 사람이 없어요… 일본으로 '간병 이민' 오세요

[월드	[/SS+월드/NNG
이	이/MMD
분야에	분야/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
젊은이는	젊은이/NNG+는/JX
매년	매년/MAG
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.34.5.2
일본간병복지사양성시설협회가 관련 학과가 있는 372개 대학·전문대를 조사한 결과, 일본인 신입생은 작년 7752명에서 올해 6667명으로 14% 줄었다.

일본간병복지사양성시설협회가	일본간병복지사양성시설협회/NNP+가/JKS
관련	관련/NNG
학과가	학과/NNG+가/JKS
있는	있/VA+는/ETM
372개	372/SN+개/NNB
대학·전문대를	대학/NNG+·/SP+전문대/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
일본인	일본인/NNG
신입생은	신입/NNG+생/XSN+은/JX
작년	작년/NNG
7752명에서	7752/SN+명/NNB+에서/JKB
올해	올해/NNG
6667명으로	6667/SN+명/NNB+으로/JKB
14%	14/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.34.5.3
경기가 풀려 젊은이들 취업이 갈수록 쉬워지면서 고달픈 간병 일을 기피하는 현상이 벌어지고 있는 것이다.

경기가	경기/NNG+가/JKS
풀려	풀리/VV+어/EC
젊은이들	젊은이/NNG+들/XSN
취업이	취업/NNG+이/JKS
갈수록	갈수록/MAG
쉬워지면서	쉬워지/VV+면서/EC
고달픈	고달프/VA+ㄴ/ETM
간병	간병/NNG
일을	일/NNG+을/JKO
기피하는	기피/NNG+하/XSV+는/ETM
현상이	현상/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.6.1
이 틈을 메우는 게 외국인이다.

이	이/MMD
틈을	틈/NNG+을/JKO
메우는	메우/VV+는/ETM
게	거/NNB+이/JKS
외국인이다.	외국인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.6.2
이번 조사에서 간병복지사 자격증 취득을 목표로 일본에 건너오는 아시아 유학생은 전국적으로 591명에 달해 관련 학과 학생의 10%를 차지했다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
간병복지사	간병/NNG+복지사/NNG
자격증	자격증/NNG
취득을	취득/NNG+을/JKO
목표로	목표/NNG+로/JKB
일본에	일본/NNP+에/JKB
건너오는	건너오/VV+는/ETM
아시아	아시아/NNP
유학생은	유학/NNG+생/XSN+은/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
591명에	591/SN+명/NNB+에/JKB
달해	달하/VV+아/EC
관련	관련/NNG
학과	학과/NNG
학생의	학생/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.34.6.3
2012년에는 연간 20명 수준이었는데 불과 5년 만에 30배 수준으로 늘어난 것이다.

2012년에는	2012/SN+년/NNB+에/JKB+는/JX
연간	연간/NNG
20명	20/SN+명/NNB
수준이었는데	수준/NNG+이/VCP+었/EP+는데/EC
불과	불과/MAG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
30배	30/SN+배/NNG
수준으로	수준/NNG+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.6.4
국적별로는 베트남 364명, 중국 74명, 네팔 40명, 필리핀 35명, 한국 23명 등이다.

국적별로는	국적/NNG+별/XSN+로/JKB+는/JX
베트남	베트남/NNP
364명,	364/SN+명/NNB+,/SP
중국	중국/NNP
74명,	74/SN+명/NNB+,/SP
네팔	네팔/NNP
40명,	40/SN+명/NNB+,/SP
필리핀	필리핀/NNP
35명,	35/SN+명/NNB+,/SP
한국	한국/NNP
23명	23/SN+명/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.7.1
일본인이 마다하는 간병 일에 외국인 유학생이 몰리는 것은 일본 정부가 다음 달부터 외국인이 '간병복지사' 자격을 따면 일본 복지시설에 취업해 돈을 벌 수 있도록 허용했기 때문이다.

일본인이	일본인/NNG+이/JKS
마다하는	마다하/VV+는/ETM
간병	간병/NNG
일에	일/NNG+에/JKB
외국인	외국인/NNG
유학생이	유학/NNG+생/XSN+이/JKS
몰리는	몰리/VV+는/ETM
것은	것/NNB+은/JX
일본	일본/NNP
정부가	정부/NNG+가/JKS
다음	다음/NNG
달부터	달/NNG+부터/JX
외국인이	외국인/NNG+이/JKS
'간병복지사'	'/SS+간병/NNG+복지사/NNG+'/SS
자격을	자격/NNG+을/JKO
따면	따/VV+면/EC
복지시설에	복지/NNG+시설/NNG+에/JKB
취업해	취업/NNG+하/XSV+아/EC
돈을	돈/NNG+을/JKO
벌	벌/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용했기	허용/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.7.2
외국인이 간병복지사가 되면 최대 5년간 일본 내에서 합법적으로 체류할 수 있다.

외국인이	외국인/NNG+이/JKS
간병복지사가	간병/NNG+복지사/NNG+가/JKC
되면	되/VV+면/EC
최대	최대/NNG
5년간	5/SN+년/NNB+간/XSN
일본	일본/NNP
내에서	내/NNB+에서/JKB
합법적으로	합법/NNG+적/XSN+으로/JKB
체류할	체류/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.34.7.3
횟수 제한 없이 연장이 가능해 무기한 거주도 가능하다.

횟수	횟수/NNG
제한	제한/NNG
없이	없이/MAG
연장이	연장/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
무기한	무/XPN+기한/NNG
거주도	거주/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.34.7.4
이 때문에 일본이 사실상 '간병 이민'의 문호를 연 것이라는 평가가 나오고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
일본이	일본/NNP+이/JKS
사실상	사실/NNG+상/XSN
'간병	'/SS+간병/NNG
이민'의	이민/NNG+'/SS+의/JKG
문호를	문호/NNG+를/JKO
연	열/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


