# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.302
metadata : {}


# id : NWRW1800000054.302.1.1
[경제포커스] '新사농공상'을 破(파)하라

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
사상	사상/NNG
최대	최대/NNG
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.302.2.4
경제를 살리려는 정치 리더십은 실종 상태고 중국의 한국 추월 기세는 날로 위협적이다.

경제를	경제/NNG+를/JKO
살리려는	살리/VV+려는/ETM
정치	정치/NNG
리더십은	리더십/NNG+은/JX
실종	실종/NNG
상태고	상태/NNG+이/VCP+고/EC
중국의	중국/NNP+의/JKG
한국	한국/NNP
추월	추월/NNG
기세는	기세/NNG+는/JX
날로	날로/MAG
위협적이다.	위협/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.3.1
그래선지 '한국의 성장이 한계점에 도달했다'는 비관론이 횡행한다.

그래선지	그렇/VA+어서/EC+이/VCP+ㄴ지/EC
'한국의	'/SS+한국/NNP+의/JKG
성장이	성장/NNG+이/JKS
한계점에	한계점/NNG+에/JKB
도달했다'는	도달/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
비관론이	비관/NNG+론/XSN+이/JKS
횡행한다.	횡행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.302.3.2
하지만 우리 지도층 내면에 깊숙이 뿌리 박혀 있는 '신(新)사농공상(士農工商)' 관념을 깬다면 돌파구가 활짝 열릴 수도 있다.

하지만	하지만/MAJ
우리	우리/NP
지도층	지도/NNG+층/XSN
내면에	내면/NNG+에/JKB
깊숙이	깊숙이/MAG
뿌리	뿌리/NNG
박혀	박히/VV+어/EC
있는	있/VX+는/ETM
'신(新)사농공상(士農工商)'	'/SS+신/XPN+(/SS+新/SH+)/SS+사농공상/NNG+(/SS+士農工商/SH+)/SS+'/SS
관념을	관념/NNG+을/JKO
깬다면	깨/VV+ㄴ다면/EC
돌파구가	돌파구/NNG+가/JKS
활짝	활짝/MAG
열릴	열리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.302.4.1
조선시대를 연상케 하는 이 사고방식은 현대적 공상(工商) 계층인 '기업인'에 대한 대우에서 확연하다.

조선시대를	조선시대/NNG+를/JKO
연상케	연상/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
이	이/MMD
사고방식은	사고방식/NNG+은/JX
현대적	현대/NNG+적/XSN
공상(工商)	공상/NNG+(/SS+工商/SH+)/SS
계층인	계층/NNG+이/VCP+ㄴ/ETM
'기업인'에	'/SS+기업인/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
대우에서	대우/NNG+에서/JKB
확연하다.	확연하/VA+다/EF+./SF


# id : NWRW1800000054.302.4.2
최근 1년만 봐도 오너 기업인에 대한 '묻지 마 출국 금지', 툭하면 자행되는 기업 압수 수색, 정치권에 의한 강요를 뇌물로 뒤집어씌우는 행태 등 여럿이다.

최근	최근/NNG
1년만	1/SN+년/NNB+만/JX
봐도	보/VV+아도/EC
오너	오너/NNG
기업인에	기업인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'묻지	'/SS+묻/VV+지/EC
마	말/VX+아/EF
출국	출국/NNG
금지',	금지/NNG+'/SS+,/SP
툭하면	툭하면/MAG
자행되는	자행/NNG+되/XSV+는/ETM
기업	기업/NNG
압수	압수/NNG
수색,	수색/NNG+,/SP
정치권에	정치/NNG+권/XSN+에/JKB
의한	의하/VV+ㄴ/ETM
강요를	강요/NNG+를/JKO
뇌물로	뇌물/NNG+로/JKB
뒤집어씌우는	뒤집어씌우/VV+는/ETM
행태	행태/NNG
등	등/NNB
여럿이다.	여럿/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.4.3
검사·판사·국회의원·박사·공무원 같은 '사(士)'들에 의한 집단적 견제와 통제라는 게 공통점이다.

검사·판사·국회의원·박사·공무원	검사/NNG+·/SP+판사/NNG+·/SP+국회/NNG+의원/NNG+·/SP+박사/NNG+·/SP+공무원/NNG
같은	같/VA+은/ETM
'사(士)'들에	'/SS+사/NNG+(/SS+士/SH+)/SS+'/SS+들/XSN+에/JKB
의한	의하/VV+ㄴ/ETM
집단적	집단/NNG+적/XSN
견제와	견제/NNG+와/JC
통제라는	통제/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
공통점이다.	공통점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.5.1
이들의 논리는 이렇다.

이들의	이/NP+들/XSN+의/JKG
논리는	논리/NNG+는/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000054.302.5.2
'고시·선거 등을 거친 우리 엘리트는 기껏 5~10년 권력을 누리는데, 부모 잘 만나거나 졸부가 된 오너 일가와 기업인은 평생 떵떵거리며 산다.

'고시·선거	'/SS+고시/NNG+·/SP+선거/NNG
등을	등/NNB+을/JKO
거친	거치/VV+ㄴ/ETM
우리	우리/NP
엘리트는	엘리트/NNG+는/JX
기껏	기껏/MAG
5~10년	5/SN+~/SO+10/SN+년/NNB
권력을	권력/NNG+을/JKO
누리는데,	누리/VV+는데/EC+,/SP
부모	부모/NNG
잘	잘/MAG
만나거나	만나/VV+거나/EC
졸부가	졸부/NNG+가/JKC
된	되/VV+ㄴ/ETM
오너	오너/NNG
일가와	일가/NNG+와/JC
기업인은	기업인/NNG+은/JX
평생	평생/NNG
떵떵거리며	떵떵거리/VV+며/EC
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.302.5.3
우리의 하위 존재인 그들을 항상 컨트롤해야 사회가 바로 된다.'

우리의	우리/NP+의/JKG
하위	하위/NNG
존재인	존재/NNG+이/VCP+ㄴ/ETM
그들을	그/NP+들/XSN+을/JKO
항상	항상/MAG
컨트롤해야	컨트롤/NNG+하/XSV+아야/EC
사회가	사회/NNG+가/JKS
바로	바로/MAG
된다.'	되/VV+ㄴ다/EF+./SF+'/SS


# id : NWRW1800000054.302.6.1
국가의 의도적인 시장 개입과 분배를 정당화하는 '경제 민주화론'과 갈수록 강고해지는 '규제 공화국'은 이런 프레임의 필연적 산물이다.

국가의	국가/NNG+의/JKG
의도적인	의도/NNG+적/XSN+이/VCP+ㄴ/ETM
시장	시장/NNG
개입과	개입/NNG+과/JC
분배를	분배/NNG+를/JKO
정당화하는	정당화/NNG+하/XSV+는/ETM
'경제	'/SS+경제/NNG
민주화론'과	민주/NNG+화/XSN+론/XSN+'/SS+과/JKB
갈수록	갈수록/MAG
강고해지는	강고하/VA+아/EC+지/VX+는/ETM
'규제	'/SS+규제/NNG
공화국'은	공화국/NNG+'/SS+은/JX
이런	이런/MMD
프레임의	프레임/NNG+의/JKG
필연적	필연/NNG+적/XSN
산물이다.	산물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.6.2
일론 머스크, 제프 베조스, 손 마사요시(孫正義) 같은 세계적 기업인이라도 한국적 사회 구조에선 활보는커녕 생존조차 힘들다.

일론	일론/NNP
머스크,	머스크/NNP+,/SP
제프	제프/NNP
베조스,	베조스/NNP+,/SP
손	손/NNP
마사요시(孫正義)	마사요시/NNP+(/SS+孫正義/SH+)/SS
같은	같/VA+은/ETM
세계적	세계/NNG+적/XSN
기업인이라도	기업인/NNG+이/VCP+라도/EC
한국적	한국/NNP+적/XSN
사회	사회/NNG
구조에선	구조/NNG+에서/JKB+ㄴ/JX
활보는커녕	활보/NNG+는커녕/JX
생존조차	생존/NNG+조차/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000054.302.7.1
기업인도 전(前)근대적 사고방식에 매몰돼 있기는 마찬가지다.

기업인도	기업인/NNG+도/JX
전(前)근대적	전/MMD+(/SS+前/SH+)/SS+근대/NNG+적/XSN
사고방식에	사고방식/NNG+에/JKB
매몰돼	매몰/NNG+되/XSV+어/EC
있기는	있/VX+기/ETN+는/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.7.2
'공(公·회사)보다는 가(家·집안)가 우선'이란 세계관에 빠져 대다수 기업이 3~4대에 걸쳐 '대(代)물림 경영'을 예사롭게 하는 게 그 증거다.

'공(公·회사)보다는	'/SS+공/NNG+(/SS+公/SH+·/SP+회사/NNG+)/SS+보다/JKB+는/JX
가(家·집안)가	가/NNG+(/SS+家/SH+·/SP+집안/NNG+)/SS+가/JKS
우선'이란	우선/MAG+'/SS+이/VCP+란/ETM
세계관에	세계관/NNG+에/JKB
빠져	빠지/VV+어/EC
대다수	대/XPN+다수/NNG
기업이	기업/NNG+이/JKS
3~4대에	3/SN+~/SO+4/SN+대/NNB+에/JKB
걸쳐	걸치/VV+어/EC
'대(代)물림	'/SS+대/NNG+(/SS+代/SH+)/SS+물림/NNG
경영'을	경영/NNG+'/SS+을/JKO
예사롭게	예사/NNG+롭/XSA+게/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
그	그/MMD
증거다.	증거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.7.3
이는 오너 가문과 전문 경영인 간의 '교대 경영'이 상례화되고 '오너 자녀의 입사 금지' 등을 실천하는 '탈(脫)유교적' 일본 경제계와 대비된다.

이는	이/NP+는/JX
오너	오너/NNG
가문과	가문/NNG+과/JC
전문	전문/NNG
경영인	경영인/NNG
간의	간/NNB+의/JKG
'교대	'/SS+교대/NNG
경영'이	경영/NNG+'/SS+이/JKS
상례화되고	상례/NNG+화/XSN+되/XSV+고/EC
'오너	'/SS+오너/NNG
자녀의	자녀/NNG+의/JKG
입사	입사/NNG
금지'	금지/NNG+'/SS
등을	등/NNB+을/JKO
실천하는	실천/NNG+하/XSV+는/ETM
'탈(脫)유교적'	'/SS+탈/XPN+(/SS+脫/SH+)/SS+유교/NNG+적/XSN+'/SS
일본	일본/NNP
경제계와	경제/NNG+계/XSN+와/JKB
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.302.8.1
대기업에는 옥죄기의 강도를 높이면서 중소기업엔 수십년 넘게 퍼붓기 지원을 계속하는 반(反)자유시장적 행태도 '억강부약(抑强扶弱·강자는 억누르고 약자를 도와줌)'이란 봉건적 질서에 기인한 유교 관념의 발현에 가깝다.

대기업에는	대/XPN+기업/NNG+에/JKB+는/JX
옥죄기의	옥죄/VV+기/ETN+의/JKG
강도를	강도/NNG+를/JKO
높이면서	높이/VV+면서/EC
중소기업엔	중소기업/NNG+에/JKB+ㄴ/JX
수십년	수십/NR+년/NNB
넘게	넘/VV+게/EC
퍼붓기	퍼붓/VV+기/ETN
지원을	지원/NNG+을/JKO
계속하는	계속/NNG+하/XSV+는/ETM
반(反)자유시장적	반/XPN+(/SS+反/SH+)/SS+자유/NNG+시장/NNG+적/XSN
행태도	행태/NNG+도/JX
'억강부약(抑强扶弱·강자는	'/SS+억강부약/NNG+(/SS+抑强扶弱/SH+·/SP+강자/NNG+는/JX
억누르고	억누르/VV+고/EC
약자를	약자/NNG+를/JKO
도와줌)'이란	도와주/VV+ㅁ/ETN+)/SS+'/SS+이/VCP+란/ETM
봉건적	봉건/NNG+적/XSN
질서에	질서/NNG+에/JKB
기인한	기인/NNG+하/XSV+ㄴ/ETM
유교	유교/NNG
관념의	관념/NNG+의/JKG
발현에	발현/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000054.302.8.2
사드 보복을 일삼는 중국을 규탄하는 시위가 거의 전무한 것 역시 '중화(中華)사상'이란 수백년 묵은 잠재의식에 포획됐기 때문이 아닐까.

사드	사드/NNG
보복을	보복/NNG+을/JKO
일삼는	일삼/VV+는/ETM
중국을	중국/NNP+을/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
시위가	시위/NNG+가/JKS
거의	거의/MAG
전무한	전무/NNG+하/XSA+ㄴ/ETM
것	것/NNB
역시	역시/MAG
'중화(中華)사상'이란	'/SS+중화/NNG+(/SS+中華/SH+)/SS+사상/NNG+'/SS+이/VCP+란/ETM
수백년	수백/NR+년/NNB
묵은	묵/VV+은/ETM
잠재의식에	잠재의식/NNG+에/JKB
포획됐기	포획/NNG+되/XSV+었/EP+기/ETN
때문이	때문/NNB+이/JKC
아닐까.	아니/VCN+ㄹ까/EF+./SF


# id : NWRW1800000054.302.9.1
1960년대 이후 대한민국 발전을 견인한 이념적 기반은 분배·화합·의존을 주장하는 평등주의적 담론이 아니라 성장·경쟁·자조(自助)를 기조로 한 자유주의적 실사구시(實事求是)' 사고였다.

1960년대	1960/SN+년대/NNB
이후	이후/NNG
대한민국	대한민국/NNP
발전을	발전/NNG+을/JKO
견인한	견인/NNG+하/XSV+ㄴ/ETM
이념적	이념/NNG+적/XSN
기반은	기반/NNG+은/JX
분배·화합·의존을	분배/NNG+·/SP+화합/NNG+·/SP+의존/NNG+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
평등주의적	평등주의/NNG+적/XSN
담론이	담론/NNG+이/JKC
아니라	아니/VCN+라/EC
성장·경쟁·자조(自助)를	성장/NNG+·/SP+경쟁/NNG+·/SP+자조/NNG+(/SS+自助/SH+)/SS+를/JKO
기조로	기조/NNG+로/JKB
한	하/VV+ㄴ/ETM
자유주의적	자유주의/NNG+적/XSN
실사구시(實事求是)'	실사구시/NNG+(/SS+實事求是/SH+)/SS+'/SS
사고였다.	사고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.302.9.2
하지만 50여년 만에 경제 역동성이 가라앉고 국운 쇠퇴 우려가 커지는 것은 조선조 멸망의 주범인 유교적 세계관이란 망령이 다시 똬리를 틀고 있는 탓이 크다.

하지만	하지만/MAJ
50여년	50/SN+여/XSN+년/NNB
만에	만/NNB+에/JKB
경제	경제/NNG
역동성이	역동/NNG+성/XSN+이/JKS
가라앉고	가라앉/VV+고/EC
국운	국운/NNG
쇠퇴	쇠퇴/NNG
우려가	우려/NNG+가/JKS
커지는	커지/VV+는/ETM
것은	것/NNB+은/JX
조선조	조선조/NNG
멸망의	멸망/NNG+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
유교적	유교/NNG+적/XSN
세계관이란	세계관/NNG+이/VCP+란/ETM
망령이	망령/NNG+이/JKS
다시	다시/MAG
똬리를	똬리/NNG+를/JKO
틀고	틀/VV+고/EC
있는	있/VX+는/ETM
탓이	탓/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000054.302.10.1
미우나 고우나 글로벌 대기업은 현대 국민국가의 경쟁력을 좌우하는 주체이자 가장 크고 견실한 고용 창출 기관이다.

미우나	밉/VA+으나/EC
고우나	곱/VA+으나/EC
글로벌	글로벌/NNG
대기업은	대/XPN+기업/NNG+은/JX
현대	현대/NNG
국민국가의	국민/NNG+국가/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
주체이자	주체/NNG+이/VCP+자/EC
가장	가장/MAG
크고	크/VA+고/EC
견실한	견실하/VA+ㄴ/ETM
고용	고용/NNG
창출	창출/NNG
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.10.2
남한 대비 절반 면적에 인구는 16%인 800만명의 스위스가 보유한 세계 500대 기업(2016년)은 한국과 같은 15개다.

남한	남한/NNP
대비	대비/NNG
절반	절반/NNG
면적에	면적/NNG+에/JKB
인구는	인구/NNG+는/JX
16%인	16/SN+%/SW+이/VCP+ㄴ/ETM
800만명의	800/SN+만/NR+명/NNB+의/JKG
스위스가	스위스/NNP+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
500대	500/SN+대/NNG
기업(2016년)은	기업/NNG+(/SS+2016/SN+년/NNB+)/SS+은/JX
한국과	한국/NNP+과/JKB
같은	같/VA+은/ETM
15개다.	15/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.10.3
아직도 배고픈 한국 경제가 전진하려면 파이를 더 키워야 한다.

아직도	아직/MAG+도/JX
배고픈	배고프/VA+ㄴ/ETM
한국	한국/NNP
경제가	경제/NNG+가/JKS
전진하려면	전진/NNG+하/XSV+려면/EC
파이를	파이/NNG+를/JKO
더	더/MAG
키워야	키우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


