# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.125
metadata : {}


# id : NWRW1800000048.125.1.1
독재정권 에티오피아서 ‘인권’ 눈감은 오바마

독재정권	독재/NNG+정권/NNG
인민혁명민주전선이	인민혁명민주전선/NNP+이/JKS
의석을	의석/NNG+을/JKO
100%	100/SN+%/SW
차지한	차지/NNG+하/XSV+ㄴ/ETM
에티오피아	에티오피아/NNP
정부에	정부/NNG+에/JKB
정당성을	정당성/NNG+을/JKO
부여해	부여/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
미국	미국/NNP
언론들은	언론/NNG+들/XSN+은/JX
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.125.7.1
오바마 대통령은 “(에티오피아의 인권 개선을 위해) 아직 할 일이 많다”면서도 “(데살렌 총리는) 할 일이 많다는 점을 인정한 최초의 인물”이라고 추어올리기도 했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
“(에티오피아의	“/SS+(/SS+에티오피아/NNP+의/JKG
인권	인권/NNG
개선을	개선/NNG+을/JKO
위해)	위하/VV+아/EC+)/SS
아직	아직/MAG
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많다”면서도	많/VA+다/EF+”/SS+면서/EC+도/JX
“(데살렌	“/SS+(/SS+데살렌/NNP
총리는)	총리/NNG+는/JX+)/SS
많다는	많/VA+다는/ETM
점을	점/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
최초의	최초/NNG+의/JKG
인물”이라고	인물/NNG+”/SS+이라고/JKQ
추어올리기도	추어올리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.125.7.2
국제 인권단체들이 총선 과정의 문제점을 지적하며 오바마 대통령의 방문 때 인권 개선을 위해 에티오피아 정부를 압박해 달라고 요청해 왔지만, 이를 눈감은 셈이다.

국제	국제/NNG
인권단체들이	인권/NNG+단체/NNG+들/XSN+이/JKS
총선	총선/NNG
과정의	과정/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
지적하며	지적/NNG+하/XSV+며/EC
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
방문	방문/NNG
때	때/NNG
인권	인권/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
에티오피아	에티오피아/NNP
정부를	정부/NNG+를/JKO
압박해	압박/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청해	요청/NNG+하/XSV+아/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
이를	이/NP+를/JKO
눈감은	눈감/VV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.125.8.1
에티오피아 정부는 총선 과정에서 야당 후보들의 등록이나 선거자금 모집, 지지자 동원 등을 방해했다는 지적을 받고 있다.

에티오피아	에티오피아/NNP
정부는	정부/NNG+는/JX
총선	총선/NNG
과정에서	과정/NNG+에서/JKB
야당	야당/NNG
후보들의	후보/NNG+들/XSN+의/JKG
등록이나	등록/NNG+이나/JC
선거자금	선거/NNG+자금/NNG
모집,	모집/NNG+,/SP
지지자	지지자/NNG
동원	동원/NNG
등을	등/NNB+을/JKO
방해했다는	방해/NNG+하/XSV+았/EP+다는/ETM
지적을	지적/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.125.8.2
또한 언론인들도 위협을 받거나 체포됐으며, 일부 언론사는 폐쇄됐다.

또한	또한/MAG
언론인들도	언론인/NNG+들/XSN+도/JX
위협을	위협/NNG+을/JKO
받거나	받/VV+거나/EC
체포됐으며,	체포/NNG+되/XSV+었/EP+으며/EC+,/SP
일부	일부/NNG
언론사는	언론사/NNG+는/JX
폐쇄됐다.	폐쇄/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.125.8.3
심지어 수전 라이스 백악관 국가안보보좌관조차도 지난주 브리핑에서 “투표 절차의 진정성에 다소의 우려가 있을 수 있다고 생각한다”며 선거 결과를 신뢰할 수 없다는 뜻을 내비친 바 있다고 <뉴욕 타임스>는 전했다.

심지어	심지어/MAG
수전	수전/NNP
라이스	라이스/NNP
백악관	백악관/NNP
국가안보보좌관조차도	국가/NNG+안보/NNG+보좌관/NNG+조차/JX+도/JX
지난주	지난주/NNG
브리핑에서	브리핑/NNG+에서/JKB
“투표	“/SS+투표/NNG
절차의	절차/NNG+의/JKG
진정성에	진정/NNG+성/XSN+에/JKB
다소의	다소/NNG+의/JKG
우려가	우려/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
선거	선거/NNG
결과를	결과/NNG+를/JKO
신뢰할	신뢰/NNG+하/XSV+ㄹ/ETM
없다는	없/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
내비친	내비치/VV+ㄴ/ETM
바	바/NNB
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.125.9.1
국제 인권단체인 휴먼라이츠워치의 세라 마곤 워싱턴 지부장은 “광범위한 폭력이나 노골적인 부정투표는 없었을 수도 있다”면서도 “기본권에 대한 조직적인 억압 때문에 에티오피아인들은 의견 표현에 대해 극도로 불안하다고 느끼고 있다”고 말했다.

국제	국제/NNG
인권단체인	인권/NNG+단체/NNG+이/VCP+ㄴ/ETM
휴먼라이츠워치의	휴먼라이츠워치/NNP+의/JKG
세라	세라/NNP
마곤	마곤/NNP
워싱턴	워싱턴/NNP
지부장은	지부장/NNG+은/JX
“광범위한	“/SS+광범위/NNG+하/XSA+ㄴ/ETM
폭력이나	폭력/NNG+이나/JC
노골적인	노골/NNG+적/XSN+이/VCP+ㄴ/ETM
부정투표는	부정/NNG+투표/NNG+는/JX
없었을	없/VA+었/EP+을/ETM
수도	수/NNB+도/JX
있다”면서도	있/VA+다/EF+”/SS+면서/EC+도/JX
“기본권에	“/SS+기본/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
억압	억압/NNG
때문에	때문/NNB+에/JKB
에티오피아인들은	에티오피아인/NNG+들/XSN+은/JX
의견	의견/NNG
표현에	표현/NNG+에/JKB
대해	대하/VV+아/EC
극도로	극도/NNG+로/JKB
불안하다고	불안/NNG+하/XSA+다고/EC
느끼고	느끼/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.125.10.1
오바마 대통령이 에티오피아의 인권 문제 지적에 소극적인 이유는 에티오피아와 국경을 접한 소말리아의 알카에다 세력인 알샤바브 격퇴와 남수단 종족 갈등 문제 해결에서 이 나라가 중요한 파트너 구실을 하고 있기 때문이라고 <뉴욕 타임스>는 전했다.

오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
에티오피아의	에티오피아/NNP+의/JKG
인권	인권/NNG
문제	문제/NNG
지적에	지적/NNG+에/JKB
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
에티오피아와	에티오피아/NNP+와/JC
국경을	국경/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
소말리아의	소말리아/NNP+의/JKG
알카에다	알카에다/NNP
세력인	세력/NNG+이/VCP+ㄴ/ETM
알샤바브	알샤바브/NNP
격퇴와	격퇴/NNG+와/JC
남수단	남수단/NNP
종족	종족/NNG
갈등	갈등/NNG
해결에서	해결/NNG+에서/JKB
이	이/MMD
나라가	나라/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
파트너	파트너/NNG
구실을	구실/NNG+을/JKO
하고	하/VV+고/EC
있기	있/VX+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


