# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.360
metadata : {}


# id : NWRW1800000053.360.1.1
군사옵션 논의했나… 트럼프, 깨자마자 “준비됐다” 트윗

군사옵션	군사/NNG+옵션/NNG
무력	무력/NNG
대응을	대응/NNG+을/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나오는	나오/VV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.360.6.1
나아가 한국뿐만 아니라 미국 국민의 안전을 위한 ‘단계적 조치’가 포함돼 있어 결국 북-미 간 우발적 군사적 충돌 시 한국 내 미국인 철수 등 ‘컨틴전시 플랜’까지 거론된 것 아니냐는 추측도 나왔다.

나아가	나아가/VV+아/EC
한국뿐만	한국/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
미국	미국/NNP
국민의	국민/NNG+의/JKG
안전을	안전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘단계적	‘/SS+단계/NNG+적/XSN
조치’가	조치/NNG+’/SS+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있어	있/VX+어/EC
결국	결국/NNG
북-미	북/NNP+-/SO+미/NNP
간	간/NNB
우발적	우발/NNG+적/XSN
군사적	군사/NNG+적/XSN
충돌	충돌/NNG
시	시/NNB
한국	한국/NNP
내	내/NNB
미국인	미국인/NNG
철수	철수/NNG
등	등/NNB
‘컨틴전시	‘/SS+컨틴전시/NNG
플랜’까지	플랜/NNG+’/SS+까지/JX
거론된	거론/NNG+되/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추측도	추측/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.6.2
그러나 청와대 관계자는 “선제 타격 등 최악의 상황을 가정한 논의가 포함된 것은 아니다”라며 “군사적·외교적 대응을 포함해 북한에 대한 압박과 함께 군사적 긴장 완화 등을 포괄한 조치들을 공조한다는 취지”라고 말했다.

그러나	그러나/MAJ
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“선제	“/SS+선제/NNG
타격	타격/NNG
등	등/NNB
최악의	최악/NNG+의/JKG
상황을	상황/NNG+을/JKO
가정한	가정/NNG+하/XSV+ㄴ/ETM
논의가	논의/NNG+가/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
“군사적·외교적	“/SS+군사/NNG+적/XSN+·/SP+외교/NNG+적/XSN
대응을	대응/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박과	압박/NNG+과/JKB
함께	함께/MAG
군사적	군사/NNG+적/XSN
긴장	긴장/NNG
완화	완화/NNG
등을	등/NNB+을/JKO
포괄한	포괄/NNG+하/XSV+ㄴ/ETM
조치들을	조치/NNG+들/XSN+을/JKO
공조한다는	공조/NNG+하/XSV+ㄴ다는/ETM
취지”라고	취지/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.7.1
이런 가운데 도널드 트럼프 미 대통령은 정 실장과 맥매스터 보좌관의 통화 하루 만에 트위터에 “군사적 해결책이 완전히 준비됐고 (미군의 무기들은) 장전됐다”며 “김정은이 (괌 타격 등 도발 외에) 다른 길을 찾기를 바란다”고 말했다.

이런	이런/MMD
가운데	가운데/NNG
도널드	도널드/NNP
트럼프	트럼프/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
정	정/NNP
실장과	실장/NNG+과/JC
맥매스터	맥매스터/NNP
보좌관의	보좌관/NNG+의/JKG
통화	통화/NNG
하루	하루/NNG
만에	만/NNB+에/JKB
트위터에	트위터/NNP+에/JKB
“군사적	“/SS+군사/NNG+적/XSN
해결책이	해결책/NNG+이/JKS
완전히	완전히/MAG
준비됐고	준비/NNG+되/XSV+었/EP+고/EC
(미군의	(/SS+미군/NNG+의/JKG
무기들은)	무기/NNG+들/XSN+은/JX+)/SS
장전됐다”며	장전/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“김정은이	“/SS+김정은/NNP+이/JKS
(괌	(/SS+괌/NNP
타격	타격/NNG
등	등/NNB
도발	도발/NNG
외에)	외/NNB+에/JKB+)/SS
다른	다른/MMD
길을	길/NNG+을/JKO
찾기를	찾/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.7.2
조지프 던퍼드 미국 합참의장은 13일 한국을 방문해 북한의 위협에 대한 한미 연합 방위태세를 점검하고 청와대를 찾아 문재인 대통령을 예방할 것으로 알려졌다.

조지프	조지프/NNP
던퍼드	던퍼드/NNP
미국	미국/NNP
합참의장은	합참/NNG+의장/NNG+은/JX
13일	13/SN+일/NNB
한국을	한국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
위협에	위협/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한미	한미/NNP
연합	연합/NNG
방위태세를	방위/NNG+태세/NNG+를/JKO
점검하고	점검/NNG+하/XSV+고/EC
청와대를	청와대/NNP+를/JKO
찾아	찾/VV+아/EC
문재인	문재인/NNP
대통령을	대통령/NNG+을/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.360.8.1
이날 공식 일정이 없었던 문 대통령은 비공개 회의를 열고 북핵·미사일 사태에 대한 대응책을 논의했다.

이날	이날/NNG
공식	공식/NNG
일정이	일정/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
문	문/NNP
대통령은	대통령/NNG+은/JX
비공개	비/XPN+공개/NNG
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
북핵·미사일	북핵/NNG+·/SP+미사일/NNG
사태에	사태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대응책을	대응책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.8.2
문 대통령은 15일 광복절 경축사를 통해 동북아 평화와 한반도 정세에 대한 메시지를 내놓을 계획이다.

문	문/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
광복절	광복절/NNG
경축사를	경축사/NNG+를/JKO
통해	통하/VV+아/EC
동북아	동북아/NNP
평화와	평화/NNG+와/JC
한반도	한반도/NNP
정세에	정세/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
내놓을	내놓/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.360.8.3
한편 강경화 외교부 장관이 이날부터 16일까지 휴가를 떠난 가운데 정 실장은 당초 이달 중순으로 계획했던 휴가를 미룬 것으로 알려졌다.

한편	한편/MAG
강경화	강경화/NNP
외교부	외교부/NNG
장관이	장관/NNG+이/JKS
이날부터	이날/NNG+부터/JX
16일까지	16/SN+일/NNB+까지/JX
휴가를	휴가/NNG+를/JKO
떠난	떠나/VV+ㄴ/ETM
가운데	가운데/NNG
정	정/NNP
실장은	실장/NNG+은/JX
당초	당초/NNG
이달	이달/NNG
중순으로	중순/NNG+으로/JKB
계획했던	계획/NNG+하/XSV+았/EP+던/ETM
미룬	미루/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


